publish_date,title,content
2024-02-09,"[Video] Toàn cảnh cuộc đua lợi nhuận ngân hàng 10 năm: Vietcombank ""cô đơn"" trên đỉnh suốt 8 năm","Không còn là nói quá nếu nhận định, bảng xếp hạng lợi nhuận ngân hàng 10 năm qua là ""Vietcombank và những người bạn"". Nhà băng này đã đứng trên đỉnh toàn ngành suốt 8 năm ròng từ 2016 đến nay. Không những vậy, khoảng cách giữa Vietcombank và các đối thủ trong ngành ngày càng lớn. Năm 2023, Vietcombank ghi nhận lợi nhuận trước thuế lần đầu tiên vượt 40.000 tỷ đồng, cũng là con số cao nhất trong ngành từ trước đến nay. Trong khi đó, vị trí ""á quân"", Top 5, Top 10 là cuộc rượt đuổi đầy gay cấn giữa các ngân hàng tư nhân và 3 nhà băng quốc doanh BIDV, VietinBank, Agribank. Nếu như 2015-2017 là giai đoạn ""thăng hoa"" của những ngân hàng tư nhân lớn như Techcombank, VPBank, thì vài năm gần đây (2022-2023) lại là lúc nhóm quốc doanh lấy lại được vị thế. Thành viên ""câu lạc bộ"" Top 10 đã có những thay đổi lớn. SHB và Sacombank từ những ngân hàng quen mặt trong top 10 đã dần tụt lại phía sau từ năm 2015. Thay vào đó, HDBank, VIB có tăng trưởng vượt trội, và vươn lên gia nhập Top 10, liên tục có mặt trong bảng xếp hạng từ 2017 đến nay. Năm 2022 là năm đánh dấu toàn bộ 10 ngân hàng đều ghi nhận lợi nhuận trên 10.000 tỷ đồng. Năm 2023 là năm đánh dấu 7 nhà băng có lợi nhuận trên 20.000 tỷ đồng. Lợi nhuận trước thuế hợp nhất các ngân hàng trong 10 năm 2013-2023"
2024-02-24,Vietcombank chuẩn bị họp cổ đông bàn phương án phân phối lợi nhuận và tăng vốn,"Trụ sở Vietcombank Ngân hàng TMCP Ngoại thương Việt Nam (Vietcombank – Mã: VCB) thông báo 26/3 là ngày đăng ký cuối cùng để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên năm 2024, tương ứng ngày giao dịch không hưởng quyền là 25/3. Theo đó, Đại hội cổ đông năm nay sẽ được tổ chức vào ngày 26/4/2022 tại Trường đào tạo và phát triển nguồn nhân lực Vietcombank, KĐT Ecopark, xã Cửu Cao, huyện Văn Giang, Hưng Yên. Cuộc họp nhằm thông qua các tờ trình như: Báo cáo Hội đông Quản trị, Ban Điều hành, Ban Kiểm soát về hoạt động kinh doanh năm 2023, định hướng năm 2024; Tờ trình về phương án tăng vốn điều lệ từ nguồn lợi nhuận còn lại năm 2022; Tờ trình về thông qua báo cáo tài chính hợp nhất đã được kiểm toán và phương án phân phối lợi nhuận năm 2023;  Thù lao HĐQT và  Ban Kiểm soát,… Về kết quả kinh doanh, Vietcombank ghi nhận lợi nhuận trước thuế hợp nhất năm 2023 đạt 41.244 tỷ đồng, tăng trưởng 10,4% so với năm 2022. Với kết quả trên, Vietcombank tiếp tục bỏ xa các ""ông lớn"" khác như BIDV (27.650 tỷ đồng), MB (26.306 tỷ đồng), Agribank (25.400 tỷ đồng), VietinBank (25.100 tỷ đồng), đồng thời xác lập kỷ lục mới về lợi nhuận trong ngành ngân hàng. Tính đến cuối năm 2023, tổng tài sản Vietcombank đạt hơn 1,839 triệu tỷ đồng, tăng 1,4% so với hồi đầu năm. Trong đó, dư nợ cho vay khách hàng là trên 1,270 triệu tỷ đồng, tăng 10,9%. Huy động tiền gửi khách hàng tăng 12,2% lên gần 1,396 triệu tỷ đồng, với tỷ lệ tiền gửi không kỳ hạn ở mức 35,2%. Nợ xấu nội bảng của Vietcombank tại thời điểm 31/12/2023 là 12.455 tỷ đồng, tăng 59,3% so với cuối năm 2022. Qua đó, kéo tỷ lệ nợ xấu trên tổng dư nợ cho vay tăng từ 0,68% lên 0,98%; đồng thời tỷ lệ bao phủ nợ xấu giảm từ 317% xuống còn 230%. Dù vậy,Vietcombankvẫn là ngân hàng có tỷ lệ nợ xấu thấp hàng đầu hệ thống và tỷ lệ bao phủ nợ xấu cao nhất nhì ngành ngân hàng."
2024-03-08,Lãi suất ngân hàng Vietcombank mới nhất: Gửi 12 tháng có lãi suất tốt nhất,"Ảnh minh họa Lãi suất huy động Vietcombank dành cho khách hàng cá nhân Trong tháng 03/2024, lãi suất huy động dành cho khách hàng cá nhân tạiVietcombank không thay đổi so với tháng 2 và dao động trong khoảng0,2 - 4,7%/năm. Cụ thể, các khoản tiền gửi có kỳ hạn dưới 1 tháng có lãi suất là0,2%/năm; kỳ hạn 1 - 2 tháng là1,7%/năm; Đối với khoản tiền gửi kỳ hạn 3 tháng, lãi suất được áp dụng là2%/năm; kỳ hạn 6 và 9 tháng được hưởng cùng mức lãi suất là3%/năm; Mức lãi suất ưu đãi nhất được Vietcombank áp dụng cho khách hàng cá nhân là4,7%/năm, dành cho các kỳ hạn từ 12 tháng trở lên; Các khoản tiền gửi không kỳ hạn hiện có lãi suất huy động là0,1%/năm Biểu lãi suất huy động tiền gửi Vietcombank dành cho khách hàng cá nhân tháng 3/2024 Kỳ hạn VND Không kỳ hạn 0,10% 7 ngày 0,20% 14 ngày 0,20% 1 tháng 1,70% 2 tháng 1,70% 3 tháng 2,00% 6 tháng 3,00% 9 tháng 3,00% 12 tháng 4,70% 24 tháng 4,70% 36 tháng 4,70% 48 tháng 4,70% 60 tháng 4,70% Nguồn: Vietcombank. Bên cạnh gửi tiền tại quầy, Vietcombank cũng đang triển khai hình thức gửi tiền online nhằm đem lại sự tiện lợi và tiết kiệm thời gian cho khách hàng. Đối với hình thức này, Vietcombank hiện áp dụng cùng mức lãi suất so với tiền gửi thông thường tại quầy và dao động trong khoảng0,2 - 4,7%/năm. Biểu lãi suất huy động tiền gửi online Vietcombank tháng 3/2024 Kỳ hạn VND 14 ngày 0,20% 1 tháng 1,70% 3 tháng 2,00% 6 tháng 3,00% 9 tháng 3,00% 12 tháng 4,70% 24 tháng 4,70% Nguồn: Vietcombank. Lãi suất huy động Vietcombank dành cho khách hàng tổ chức Trong đầu tháng 3/2024, lãi suất huy động dành cho khác hàng tổ chức tại Vietcombank dao động trong khoảng1,6 - 4,2%/năm. Cụ thể, lãi suất được áp dụng cho kỳ hạn gửi 1 - 2 tháng là1,6%/năm;kỳ hạn là 3 tháng là1,9%/năm; kỳ hạn 6 và 9 tháng là2,9%/năm; Các kỳ hạn gửi 12 – 60 tháng được áp dụng lãi suất huy động cao nhất ở mức4,2%/năm. Trong tháng 3/2024, mức lãi suất huy động tiền gửi không kỳ hạn đối với khách hàng tổ chức tại Vietcombank là0,2%/năm. Biểu lãi suất huy động tiền gửi Vietcombank dành cho khách hàng doanh nghiệp tháng 3/2024 Kỳ hạn VND Không kỳ hạn 0,2% 1 tháng 1,6% 2 tháng 1,6% 3 tháng 1,9% 6 tháng 2,9% 9 tháng 2,9% 12 tháng 4,2% 24 tháng 4,2% 36 tháng 4,2% 48 tháng 4,2% 60 tháng 4,2% Nguồn: Vietcombank Lưu ý rằng các mức lãi suất trên mang ý nghĩa tham khảo và có thể thay đổi theo thời gian cũng như theo từng điều kiện thị trường. Khách hàng nên liên hệ trực tiếp với phòng giao dịch ngân hàng Vietcombank gần nhất để biết thông tin chi tiết. Vietcombank hiện là một trong những ngân hàng có quy mô hoạt động, mạng lưới giao dịch lớn nhất Việt Nam. Ngân hàng này liên tục dẫn đầu hệ thống về hiệu quả hoạt động với lợi nhuận năm 2023 đạt hơn 41.000 tỷ đồng. Tính đến cuối năm 2023, Vietcombank nhận gần 1,396 triệu tỷ đồng tiền gửi của khách hàng, đứng thứ tư toàn ngành ngân hàng, chỉ sau Agribank, BIDV và VietinBank."
2024-09-16,Mặt trận Tổ quốc tiếp tục công bố hơn 13.000 trang sao kê qua số tài khoản Vietcombank,"Chiều 16/9, Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam tiếp tục đăng tải 13.358 trang sao kê tiền ủng hộ đồng bào bị ảnh hưởng bởi bão số 3 trong ngày 13/9 qua số tài khoản Ngân hàng Vietcombank 0011001932418. Ban Vận động cứu trợ Trung ương - Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam trân trọng cảm ơn tấm lòng của các cơ quan, doanh nghiệp, tổ chức, cá nhân ở trong và ngoài nước đã ủng hộ đồng bào bị ảnh hưởng bởi cơn bão số 3 thông qua ban.  Theo danh sách 13.358 trang được đăng tải, trong ngày 13/9 đã có 386.402 giao dịch chuyển tiền ủng hộ đến số tài khoản của ban. Trong đó có trường hợp ủng hộ 2.000 đồng, sau đó là 10.000 đồng, 20.000 đồng, 50.000 đồng, 100.000 đồng đến vài chục triệu đồng. Ban Vận động cứu trợ Trung ương đang tiếp tục rà soát để phân bổ sớm nhất đến với các địa phương vùng thiệt hại do bão lũ. Đồng thời tiếp tục cập nhật và công khai danh sách các tổ chức, cá nhân ủng hộ trên các phương tiện thông tin đại chúng. Với tinh thần công khai minh bạch, Ban Cứu trợ Trung ương đang tiếp tục cập nhật và sẽ tiếp tục công bố bản sao kê danh sách chuyển khoản qua các ngân hàng và ủng hộ trực tiếp bằng tiền mặt của các đơn vị, tổ chức, cá nhân tại Cơ quan Ủy ban Trung ương MTTQ Việt Nam trên các phương tiện thông tin đại chúng. Đại diện Mặt trận Tổ quốc Việt Nam cho biết việc sao kê thực hiện theo đúng quy định hiện hành với mục đích để các tổ chức, cá nhân có thể thấy được và yên tâm khi sự đóng góp của mình đã đến đúng địa chỉ, cũng như sẽ về được với người dân bị thiệt hại do bão số 3."
2024-06-12,EVNGENCO3 và Vietcombank ký kết Hợp đồng Tái cấu trúc khoản vay nước ngoài,"Tham dự Lễ ký kết, về phía Tập đoàn Điện lực Việt Nam (EVN) có ông Nguyễn Xuân Nam - Phó Tổng Giám đốc cùng đại diện Ban Tài chính - Kế toán Tập đoàn. Về phía Vietcombank, có ông Nguyễn Việt Cường - Phó Tổng Giám đốc ông Đoàn Văn Tuyến - Giám đốc Vietcombank Vũng Tàu và đại diện Lãnh đạo các đơn vị, các Ban của Vietcombank. Về phía Tổng Công ty Phát điện 3 (EVNGENCO3) có ông Đinh Quốc Lâm - Chủ tịch HĐQT, ông Lê Văn Danh - Tổng Giám đốc, các Thành viên HĐQT, Phó Tổng Giám đốc, đại diện các Ban Tổng Công ty và Giám đốc Công ty Nhiệt điện Mông Dương. Trước tình hình biến động của thế giới, lãi suất và tỷ giá USD/VNĐ tăng mạnh, để giảm thiểu ảnh hưởng của rủi ro tỷ giá và tối ưu chi phí tài chính, EVNGENCO3 đã triển khai phương án tái cấu trúc nợ vay nước ngoài với Vietcombank Chi nhánh Vũng Tàu nhằm tái cấu trúc khoản vay nước ngoài với giá trị quy đổi là 2.075 tỷ đồng. Ông Lê Văn Danh - Tổng Giám đốc EVNGENCO3 chia sẻ Lễ ký kết này là nền tảng để Tổng Công ty tiếp tục thực hiện các giải pháp nâng cao năng lực tài chính, đầu tư vào các dự án nguồn điện mới trong tương lai. Phát biểu tại buổi lễ, ông Nguyễn Xuân Nam - Phó Tổng Giám đốc EVN đánh giá cao sự chủ động, quyết liệt của EVNGENCO3 trong triển khai thực hiện các giải pháp để tối ưu chi phí tài chính. Với tiền đề hợp tác từ trước đến nay giữa Vietcombank và EVN/EVNGENCO3, ông Nam tin tưởng vào mối quan hệ hợp tác bền chặt và hiệu quả giữa Vietcombank và EVNGENCO3 trong thời gian tới."
2024-08-11,"Dịch vụ của các ngân hàng: Techcombank 'kiếm bộn', MB áp sát Vietcombank","Theo số liệu từ báo cáo tài chính các ngân hàng trên sàn chứng khoán, trong quý 2/2024, tổng lãi/lỗ thuần từ hoạt động dịch vụ cả 27 ngân hàng đạt 16.887 tỷ đồng, tăng 13,4% so với quý 1/2024 và tăng 7,4% so với cùng kỳ năm trước. Theo quan sát, hoạt động dịch vụ của các ngân hàng thường có kết quả tốt hơn vào quý 2 và quý 4 và kém hơn vào quý 1 và quý 3.  Trong quý 2/2024, Techcombank vẫn tiếp tục là ngân hàng đứng đầu về hoạt động dịch vụ, với 2.461 tỷ đồng, tăng 13% so với quý 1. Mảng dịch vụ của Techcombank được duy trì ổn định thời gian gần đây, đều đặn đem về hơn 2.000 tỷ đồng mỗi quý. BIDV cũng tăng trưởng mạnh mảng dịch vụ kỳ vừa qua, lên 1.939 tỷ đồng, qua đó vượt VietinBank để chiếm vị trí số 2. VietinBank cũng tăng trưởng nhưng chỉ 6%, đạt 1.886 tỷ đồng. Các ngân hàng VPBank, MB, TPBank, ACB cũng đều chứng kiến thu nhập từ hoạt động dịch vụ tăng mạnh trong quý 2/2024. Trong đó, TPBank tăng 3 bậc trên bảng xếp hạng và MB dù thứ hạng không đổi nhưng tăng tới 43%, áp sát Vietcombank.  Ở nhóm giữa của bảng xếp hạng, VIB gần như không đổi khi giảm 1,6%. Bên cạnh đó,  mảng dịch vụ của HDBank giảm 37%. Các ngân hàng khác đều tăng trưởng 2 chữ số như Sacombank, MSB, SHB, SeABank, OCB, Eximbank. Ở phía cuối bảng xếp hạng, NCB tăng trưởng mạnh nhất do mức nền thấp của quý trước, đạt 43 tỷ đồng (tăng hơn 600%).  "
2024-02-22,Vietcombank bổ nhiệm loạt lãnh đạo tại Trụ sở chính," Cụ thể, bà Hoàng Diễm Thùy - Trưởng Phòng Kinh doanh vốn Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam được điều động và bổ nhiệm giữ chức vụ Giám đốc Ban Giao dịch thị trường tài chính toàn cầu - Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam kể từ ngày 21/02/2024 với thời hạn 04 năm. Ông Lục Diệu Khánh, bà Nguyễn Thị Thanh Tâm - Phó Trưởng phòng Kinh doanh vốn Trụ sở chínhNgân hàng TMCP Ngoại thương Việt Namvà ông Phan Nghĩa Hiếu - Cán bộ phòng Kinh doanh vốn Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam được điều động và bổ nhiệm giữ chức vụ Phó Giám đốc Ban Giao dịch thị trường tài chính toàn cầu - Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam kể từ ngày 21/02/2024 với thời hạn 04 năm; Bà Trương Diệu Linh - Trưởng Ban Định chế tài chính Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam được điều động và bổ nhiệm giữ chức vụ Giám đốc Ban Kinh doanh sản phẩm và dịch vụ vốn - Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam kể từ ngày 21/02/2024 với thời hạn 04 năm. Ông Nguyễn Việt Anh - Phó trưởng Ban Chiến lược và Thư ký Hội đồng quản trị Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam và bà Phạm Thùy Dương - Phó Giám đốc Ban Định chế tài chính Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam được điều động và bổ nhiệm giữ chức vụ Phó Giám đốc Ban Kinh doanh sản phẩm và dịch vụ vốn - Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam kể từ ngày 21/02/2024 với thời hạn 04 năm; Bà Nguyễn Mỹ Hạnh - Phó Trưởng phòng Kinh doanh vốn Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam được điều động và bổ nhiệm giữ chức vụ Trưởng phòng Phát triển sản phẩm và giám sát giao dịch vốn - Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam kể từ ngày 21/02/2024 với thời hạn 04 năm. Bà Đỗ Diễm Hằng, cán bộ Văn phòng (Thư ký Ban lãnh đạo) Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam và ông Ngô Quốc Thái - cán bộ Phòng Kinh doanh vốn Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam được điều động và bổ nhiệm giữ chức vụ Phó Trưởng phòng Phát triển sản phẩm và giám sát giao dịch vốn - Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam kể từ ngày 21/02/2024 với thời hạn 04 năm; Bà Nguyễn Liên Hà - Phó Trưởng phòng Kinh doanh vốn Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam được điều động và bổ nhiệm giữ chức vụ Trưởng Ban Định chế tài chính - Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam kể từ ngày 21/02/2024 với thời hạn 04 năm. Bà Đinh Phương Thu Hà - Phó Giám đốc Ngân hàng TMCP Ngoại thương Việt Nam chi nhánh Sở Giao dịch được điều động và bổ nhiệm giữ chức vụ Giám đốc Ban Khách hàng Doanh nghiệp - Trụ sở chính Ngân hàng TMCP Ngoại thương Việt Nam kể từ ngày 21/02/2024 với thời hạn 04 năm."
2024-12-01,"Đầu tháng 12, gửi tiết kiệm tại Agribank, Vietcombank, BIDV, VietinBank hưởng lãi suất cao nhất?","Biến động lãi suất giữa các ngân hàng Big 4 có sự thay đổi đáng kể khi trong tháng 11, ngân hàng Agribank chính thức điều chỉnh biểu lãi suất tiết kiệm tại quầy và online. Hiện tại,lãi suất tiết kiệm Agribanktại quầy ở kỳ hạn 1 tháng là 2,2%/năm; kỳ hạn 3 tháng là 2,5%/năm; kỳ hạn 6 tháng là 3,5%/năm; kỳ hạn 12 tháng là 4,7%/năm và kỳ hạn 24 tháng là 4,8%/năm. Đối với biểu lãi suất tiết kiệm trực tuyến, lãi suất tiết kiệm ở kỳ hạn 1 tháng là 2,4%/năm; kỳ hạn 3 tháng là 3%/năm; 6 tháng là 3,7%/năm; kỳ hạn 12 tháng là 4,8%/năm và 24 tháng là 4,9%/năm. Trong khi đó,biểu lãi suất tiết kiệm tại Vietcombankkhông có sự điều chỉnh kể từ tháng 4 trở lại đây. Theo biểu lãi suất tiết kiệm tại quầy và trực tuyến, Vietcombank niêm yết lãi suất kỳ hạn 7 ngày và 14 ngày ở mức 0,2%/năm. Lãi suất tiết kiệm ở kỳ hạn 1-2 tháng là 1,6%/năm; kỳ hạn 3 tháng có lãi suất huy động là 1,9%/năm. Đối với kỳ hạn 6-9 tháng, ngân hàng này trả lãi 2,9%/năm. Còn ở kỳ hạn 12 tháng, lãi suất huy động là 4,6%/năm. Vietcombank trả lãi cao nhất cho kỳ hạn 24-60 tháng ở mức 4,7%/năm. Biểu lãi suất tiết kiệm mới nhất tại nhóm ngân hàng Big 4. (Tổng hợp: Tùng Lâm). Biểu lãi suất tiết kiệm tại ngân hàng BIDVcũng không có sự điều chỉnh trong nhiều tháng trở lại đây. Hiện nhà băng này vẫn triển khai phạm vi lãi suất tiết kiệm ổn định trong khoảng 1,7% - 4,7%/năm, hình thức trả lãi cuối kỳ, đối với gửi tiết kiệm tại quầy. Khách hàng khi gửi tiết kiệm với kỳ hạn 1 - 2 tháng sẽ được hưởng lãi suất là 1,7%/năm. Tại các kỳ hạn 3 - 5 tháng, BIDV tiếp tục niêm yết lãi suất không đổi là 2%/năm.Lãi suất ngân hàngBIDV được ấn định cho hai kỳ hạn 6 tháng và 9 tháng vẫn là 3%/năm. Khách hàng cá nhân sẽ được hưởng mức lãi suất ưu đãi nhất khi gửi tiết kiệm với kỳ hạn 12 - 36 tháng là 4,7%/năm. Tuy nhiên, với hình thức gửi tiết kiệm online, BIDV điều chỉnh biểu lãi suất này từ tháng 5. Theo đó, lãi suất tiết kiệm kỳ hạn 1-2 tháng là 2%/năm; kỳ hạn 3-5 tháng là 2,3%/năm; kỳ hạn 6-11 tháng là 3,3%/năm; kỳ hạn 24-36 tháng là 4,8%/năm; kỳ hạn 12-18 tháng là 4,7%/năm. Lãi suất tiết kiệm của VietinBankhiện niêm yết dành cho khách hàng cá nhân trong khoảng 0,2 - 4,8%/năm đối với hình thức nhận lãi cuối kỳ, gửi tiết kiệm tại quầy. Theo đó, các kỳ hạn dưới 1 tháng, VietinBank áp dụng lãi suất 0,2%/năm ; kỳ hạn từ 1 tháng đến dưới 3 là 1,7%/năm; kỳ hạn từ 3 tháng đến dưới 6 tháng là 2,0%/năm ; kỳ hạn từ 6 tháng đến dưới 12 tháng là 3%/năm ; kỳ hạn từ 12 tháng đến dưới 24 tháng được áp dụng mức lãi suất 4,7%/năm. Mức lãi suất huy động cao nhất đang được VietinBank áp dụng cho khách hàng cá nhân gửi tiền tại quầy là 4,8%/năm, dành cho các kỳ hạn từ 24 tháng trở lên. Biểu lãi suất tiết kiệm online được ngân hàng VietinBank điều chỉnh kể từ tháng 6. Nhà băng này trả lãi ở kỳ hạn 1-2 tháng là 2%/năm; kỳ hạn 3-5 tháng là 2,3%/năm; kỳ hạn 6-11 tháng là 3,3%/năm; kỳ hạn 12-18 tháng là 4,7%/năm; kỳ hạn 24-36 tháng là 5%/năm.  "
2024-04-02,"Lãi suất tiết kiệm mới nhất tại ngân hàng Agribank, Vietcombank, BIDV, VietinBank: Cao nhất bao nhiêu?","Ngay trong ngày đầu tháng 1/4, Ngân hàng Vietcombank đã chính thức điều chỉnh lãi suất tiết kiệm, đưa lãi suất tiết kiệm tại một số kỳ hạn xuống mức thấp nhất trong nhóm ngân hàng Big 4. Trước đó vào tháng 3, Agribank, Vietinbank và BIDV cùng đồng loạt điều chỉnh lãi suất tiết kiệm theo chiều hướng giảm. Theo khảo sát của chúng tôi, đến thời điểm hiện tại,lãi suất tiết kiệm cao nhấttrong nhóm Big 4hiện ở mức 4,8%/năm. Cụ thể, BIDV và VietinBank giữ mức lãi suất cho khách hàng gửi tiền từ kỳ hạn 24 - 36 tháng là 4,8%/năm, Tiếp đến là ngân hàng Vietcombank và Agribank áp dụng mức lãi suất 4,7%/năm cho kỳ hạn tương tự. Đối với kỳ hạn 12 tháng, Vietcombank đang áp dụng lãi suất tiết kiệm thấp nhất trong nhóm ngân hàng Big 4 khi chỉ trả 4,6%/năm. Các ngân hàng còn lại áp dụng lãi suất 4,7%/năm. Tương tự, với kỳ hạn 6-9 tháng,lãi suất tiết kiệm tại Vietcombankcũng niêm yết ở mức thấp nhất trong nhóm ngân hàng Big 4, giữ ở mức 2,9%/năm. Các ngân hàng còn lại trả lãi 3%/năm cho kỳ hạn này. Đối với kỳ hạn 3 tháng, lãi suất tiết kiệm tại BIDV và VietinBank hiện giữ ở mức 2%/năm. Vietcombank và Agribank đồng áp dụng lãi suất tiết kiệm 1,9%/năm. Cũng ở kỳ hạn 1-2 tháng, Vietcombank và Agribank áp dụng lãi suất tiết kiệm thấp nhất, khi ở mức 1,6%/năm. Còn BIDV và VietinBank trả mức lãi suất huy động là 1,7%/năm. 4,7 4,7 Biểu lãi suất tiết kiệm tại 4 ngân hàng Big 4 mới nhất.  "
2024-09-06,"Công an tìm người bị lừa đảo đầu tư, vay tiền online, đã chuyển tiền vào 4 số tài khoản ở ngân hàng VIB, VPBank, MB, Vietcombank"," Cơ quan An ninh điều tra, Công an tỉnh Bình Thuận vừa đăng thông báo truy tìm các bị hại trong vụ án hình sự ""Lừa đảo chiếm đoạt tài sản"" trên không gian mạng dưới hình thức cho vay online và đầu tư tài chính liên quan đến các Công ty TNHH hỗ trợ và đầu tư Anh Phúc, Công ty TNHH đầu tư dịch vụ Minh Thành Công, sàn đầu tư tài chính JDR giả mạo. Cơ quan công an cho biết, trong khoảng thời gian từ tháng 3/2023 đến khi bị bắt giữ, bị can Phạm Anh Trường (sinh ngày 23/8/1992, trú tại: thôn Minh Lương Nội, xã Tiên Ngoại, thị xã Duy Tiên, tỉnh Hà Nam) đã thuê địa điểm tại Bavet, tỉnh Svay Rieng, Campuchia. Tại đây, bị can Trường tiến hành lắp đặt 26 bộ máy tính để bàn, khoảng 40 điện thoại di động đăng nhập tài khoản Zalo mạng thông tin của người Việt Nam (đã được đối tượng mua lại) được kết nối với mạng Internet tạo lập các trang fanpage trên mạng xã hội Facebook, Zalo để chạy quảng cáo, đăng bài viết. Đồng thời, Trường thuê 25 người Việt Nam để lập, điều hành hoạt động của 2 trang mạng chuyên về cho vay vốn online có bảo hiểm khoản vay (địa chỉ truy cập: anhphuc.vn và anhphuc.com.vn) mạo danh các công ty tài chính có thật tại Việt Nam mời gọi các bị hại vay tiền tín chấp có 10% bảo hiểm khoản vay rồi chiếm đoạt số tiền này. Bên cạnh đó, Trường cũng mạo danh lập sàn đầu tư tài chính JDR (địa chỉ truy cập: jdrsecurities.com.vn) để kêu gọi các bị hại đầu tư tài chính rồi chiếm đoạt tiền đầu tư của các bị hại. Để tiếp nhận tiền do các bị hại chuyển đến, Phạm Anh Trường cùng đồng bọn đã sử dụng 4 số tài khoản ngân hàng đăng ký thông tin trùng tên với người đại diện hợp pháp của Công ty hoặc mạng thông tin của các Công ty hỗ trợ đầu tư tài chính để các bị hại tin tưởng, từ đó chuyển tiền vào các số tài khoản ngân hàng gồm: (1)Tài khoản VIB BANK số: 037513170, chủ tài khoản: NGUYEN VAN PHUC; (2) Tài khoản VPBANK số: 136789, chủ tài khoản: CT TNHH HO TRO VA DAU TU ANH PHUC; (3) Tài khoản MB BANK số: 5599888666, chủ tài khoản: CONG TY TNHH ANH PHUC; (4) Tài khoản VIETCOMBANK số: 1211016789, Chủ tài khoản: CT TNHH DAU TU DICH VU MINH THANH CONG. Công an tỉnh Bình Thuận đề nghị các cá nhân trên địa bàn tỉnh Bình Thuận đã bị các đối tượng lừa đảo với thủ đoạn như trên liên hệ Cơ quan An ninh điều tra, Công an tỉnh Bình Thuận (số 65, Cao Thắng, Tp. Phan Thiết, tỉnh Bình Thuận; SĐT: 069.342.8198) để phục vụ việc giải quyết vụ án theo quy định."
