time,open,high,low,close,volume,change
2023-12-07,18.73,18.9,18.65,18.82,7241320,Tăng
2023-12-08,18.82,18.94,18.73,18.82,3815334,Giảm
2023-12-11,18.86,18.9,18.69,18.82,2277359,Giảm
2023-12-12,18.86,18.9,18.73,18.9,3230408,Tăng
2023-12-13,18.9,18.94,18.73,18.73,3933379,Giảm
2023-12-14,18.82,19.11,18.73,18.9,6949441,Tăng
2023-12-15,18.98,19.19,18.94,19.11,6195129,Tăng
2023-12-18,19.07,19.15,19.03,19.15,6390775,Tăng
2023-12-19,19.15,19.4,19.15,19.36,11476459,Tăng
2023-12-20,19.36,19.53,19.36,19.49,8865596,Tăng
2023-12-21,19.49,19.53,19.36,19.53,7087055,Tăng
2023-12-22,19.49,19.57,19.49,19.49,4512456,Giảm
2023-12-25,19.53,19.7,19.49,19.61,7586810,Tăng
2023-12-26,19.66,19.66,19.53,19.53,5731233,Giảm
2023-12-27,19.49,19.66,19.49,19.57,4869398,Tăng
2023-12-28,19.57,20.12,19.57,19.95,10526964,Tăng
2023-12-29,20.08,20.24,19.99,20.08,9202991,Giảm
2024-01-02,20.12,20.79,20.12,20.54,13896933,Tăng
2024-01-03,20.58,21.0,20.37,21.0,9817807,Tăng
2024-01-04,21.17,21.55,21.08,21.25,23605373,Tăng
2024-01-05,21.25,21.38,21.04,21.38,9282598,Tăng
2024-01-08,21.59,21.63,21.17,21.29,12398885,Giảm
2024-01-09,21.21,21.29,20.96,21.0,15455964,Giảm
2024-01-10,21.17,21.42,21.0,21.21,17610661,Tăng
2024-01-11,21.34,21.63,21.13,21.21,9941849,Giảm
2024-01-12,21.13,22.01,21.04,21.67,25574880,Tăng
2024-01-15,21.84,21.84,21.25,21.25,11725544,Giảm
2024-01-16,21.34,21.46,21.04,21.34,12385822,Giảm
2024-01-17,21.38,21.67,21.29,21.34,9720759,Giảm
2024-01-18,21.38,21.63,21.29,21.5,9616784,Tăng
2024-01-19,21.67,21.8,21.55,21.8,12778025,Tăng
2024-01-22,22.01,22.09,21.67,22.09,12010820,Tăng
2024-01-23,22.05,22.22,21.88,21.88,11738886,Giảm
2024-01-24,21.88,21.92,21.59,21.67,11347376,Giảm
2024-01-25,21.71,21.76,21.5,21.67,5090360,Giảm
2024-01-26,21.71,22.18,21.71,22.09,6861782,Tăng
2024-01-29,22.26,22.26,21.8,21.8,9281301,Giảm
2024-01-30,21.88,22.01,21.76,21.8,6383741,Giảm
2024-01-31,21.92,21.92,21.46,21.63,12162755,Giảm
2024-02-01,21.59,21.92,21.59,21.84,6284328,Tăng
2024-02-02,21.8,22.09,21.71,22.05,14534871,Tăng
2024-02-05,22.05,23.52,21.97,23.35,28138723,Tăng
2024-02-06,23.39,23.44,23.23,23.39,5454327,Giảm
2024-02-07,23.39,23.69,23.39,23.52,11903453,Tăng
2024-02-15,23.56,23.86,22.85,22.85,14255094,Giảm
2024-02-16,23.1,23.18,22.93,23.18,9502568,Tăng
2024-02-19,23.27,23.27,22.85,23.27,11864502,Giảm
2024-02-20,23.1,23.31,22.97,23.14,7321603,Tăng
2024-02-21,23.1,23.44,23.02,23.27,10257725,Tăng
2024-02-22,23.27,23.31,23.1,23.23,7407861,Giảm
2024-02-23,23.27,23.86,22.93,22.93,25987605,Giảm
2024-02-26,22.93,23.27,22.76,23.1,9791428,Tăng
2024-02-27,23.27,23.27,22.97,23.18,12061563,Giảm
2024-02-28,23.23,23.52,23.14,23.52,10465608,Tăng
2024-02-29,23.6,23.73,23.27,23.52,9960379,Giảm
2024-03-01,23.52,23.52,23.14,23.35,10201609,Giảm
2024-03-04,23.35,23.69,23.02,23.35,13224034,Giảm
2024-03-05,23.35,23.52,23.14,23.48,6339771,Tăng
2024-03-06,23.52,23.65,23.14,23.18,9799350,Giảm
2024-03-07,23.18,23.27,23.02,23.1,10171157,Giảm
2024-03-08,23.1,23.23,22.68,22.72,23024715,Giảm
2024-03-11,22.72,22.76,22.39,22.47,12023089,Giảm
2024-03-12,22.39,22.55,22.34,22.47,8318885,Tăng
2024-03-13,22.47,23.23,22.47,23.23,8940425,Tăng
2024-03-14,23.18,23.18,22.72,22.89,8232737,Giảm
2024-03-15,22.89,23.02,22.68,22.97,7828640,Tăng
2024-03-18,22.85,22.97,22.43,22.6,14127772,Giảm
2024-03-19,22.51,22.72,22.47,22.55,7125247,Tăng
2024-03-20,22.55,23.27,22.51,23.1,14010312,Tăng
2024-03-21,23.27,23.52,23.14,23.52,12824070,Tăng
2024-03-22,23.73,24.32,23.44,23.65,22688584,Giảm
2024-03-25,23.56,23.56,23.1,23.1,10196791,Giảm
2024-03-26,23.18,23.48,22.97,23.48,6287467,Tăng
2024-03-27,23.48,23.56,23.18,23.52,5962845,Tăng
2024-03-28,23.77,24.02,23.69,23.81,12429800,Tăng
2024-03-29,23.86,24.07,23.65,23.94,13496333,Tăng
2024-04-01,23.69,23.94,23.6,23.9,6180472,Tăng
2024-04-02,23.77,23.86,23.44,23.86,10414778,Tăng
2024-04-03,23.69,23.86,23.44,23.52,10205483,Giảm
2024-04-04,23.56,23.56,23.14,23.14,11161719,Giảm
2024-04-05,22.93,23.02,22.76,22.81,12293515,Giảm
2024-04-08,22.81,22.89,22.64,22.81,6874403,Giảm
2024-04-09,22.81,22.93,22.72,22.93,5374934,Tăng
2024-04-10,23.06,23.18,22.76,22.76,5127160,Giảm
2024-04-11,22.68,22.81,22.6,22.81,11290085,Tăng
2024-04-12,22.85,23.52,22.68,23.52,9772642,Tăng
2024-04-15,23.35,23.52,22.55,22.55,16263243,Giảm
2024-04-16,22.55,22.81,22.47,22.81,17356891,Tăng
2024-04-17,22.85,22.89,22.47,22.47,10485319,Giảm
2024-04-19,22.34,22.51,22.22,22.34,10866833,Giảm
2024-04-22,22.6,22.64,22.43,22.51,6317643,Giảm
2024-04-23,22.51,22.64,22.3,22.39,8544832,Giảm
2024-04-24,22.51,22.76,22.43,22.72,6684776,Tăng
2024-04-25,22.68,22.72,22.47,22.51,5144590,Giảm
2024-04-26,22.51,22.68,22.34,22.55,5446804,Tăng
2024-05-02,22.55,22.81,22.51,22.68,4801959,Tăng
2024-05-03,22.76,23.1,22.76,23.1,8722742,Tăng
2024-05-06,23.1,23.27,22.97,23.18,7449978,Tăng
2024-05-07,23.31,23.35,23.1,23.23,4305048,Giảm
2024-05-08,23.1,23.23,22.93,23.14,4040821,Tăng
2024-05-09,23.18,23.35,23.1,23.18,4105414,Giảm
2024-05-10,23.18,23.27,23.06,23.27,4913057,Tăng
2024-05-13,23.52,23.52,23.23,23.27,5555670,Giảm
2024-05-14,23.27,23.44,23.23,23.31,4474265,Tăng
2024-05-15,23.39,23.39,23.27,23.27,7807457,Giảm
2024-05-16,23.52,23.86,23.35,23.73,30211993,Tăng
2024-05-17,23.73,23.86,23.69,23.73,8509864,Giảm
2024-05-20,23.94,23.98,23.69,23.73,9339952,Giảm
2024-05-21,23.73,23.77,23.39,23.69,10828854,Giảm
2024-05-22,23.69,23.73,23.44,23.48,9288338,Giảm
2024-05-23,23.52,23.94,23.52,23.9,10454272,Tăng
2024-05-24,23.9,25.37,23.73,24.57,33867112,Tăng
2024-05-27,24.78,25.07,24.57,24.74,7541858,Giảm
2024-05-28,24.95,24.95,24.61,24.91,10694176,Giảm
2024-05-29,24.95,24.99,24.57,24.57,13456310,Giảm
2024-05-30,24.49,24.7,24.23,24.7,13118384,Tăng
2024-05-31,25.0,25.3,24.65,24.65,11139289,Giảm
2024-06-03,24.85,24.95,24.6,24.8,16257238,Giảm
2024-06-04,24.8,24.8,24.45,24.5,9735560,Giảm
2024-06-05,24.75,24.75,24.3,24.35,10801981,Giảm
2024-06-06,24.4,24.5,24.3,24.35,8033240,Giảm
2024-06-07,24.55,24.65,24.3,24.6,5892570,Tăng
2024-06-10,24.6,24.7,24.3,24.4,7679882,Giảm
2024-06-11,24.4,24.45,24.1,24.15,9213280,Giảm
2024-06-12,24.15,24.55,23.9,24.55,10400953,Tăng
2024-06-13,24.55,24.9,24.4,24.8,11727801,Tăng
2024-06-14,24.7,24.9,24.6,24.6,11049165,Giảm
2024-06-17,24.6,24.6,24.25,24.55,6375848,Giảm
2024-06-18,24.7,24.7,24.4,24.55,5729760,Giảm
2024-06-19,24.55,24.7,24.25,24.65,7618993,Tăng
2024-06-20,24.55,24.85,24.4,24.8,10178313,Tăng
2024-06-21,24.85,24.85,24.5,24.55,5126289,Giảm
2024-06-24,24.6,24.6,23.9,24.1,14225312,Giảm
2024-06-25,24.0,24.2,23.9,24.05,6708386,Tăng
2024-06-26,24.0,24.1,23.6,24.1,10145262,Tăng
2024-06-27,24.0,24.1,23.8,23.95,4904878,Giảm
2024-06-28,23.8,24.0,23.75,23.8,5755042,Giảm
2024-07-01,23.8,23.85,23.6,23.8,3938961,Giảm
2024-07-02,23.8,24.1,23.7,24.05,5701649,Tăng
2024-07-03,24.15,24.4,23.95,24.25,5854818,Tăng
2024-07-04,24.3,24.35,23.95,24.15,6394551,Giảm
2024-07-05,24.15,24.3,24.0,24.3,6357111,Tăng
2024-07-08,24.3,24.35,24.1,24.25,4959392,Giảm
2024-07-09,24.15,24.4,24.05,24.3,8004908,Tăng
2024-07-10,24.5,24.5,24.25,24.25,6484698,Giảm
2024-07-11,24.35,24.35,24.15,24.15,5001133,Giảm
2024-07-12,24.1,24.15,23.8,24.0,7160694,Giảm
2024-07-15,24.0,24.05,23.9,23.95,4490958,Giảm
2024-07-16,24.0,24.3,23.95,24.1,7002765,Tăng
2024-07-17,24.3,25.2,24.2,24.5,28924392,Tăng
2024-07-18,24.5,25.1,24.5,24.8,10670220,Tăng
2024-07-19,24.8,25.3,24.65,25.1,17087130,Tăng
2024-07-22,25.1,25.2,24.65,24.75,15163392,Giảm
2024-07-23,24.8,24.9,24.0,24.0,15116634,Giảm
2024-07-24,24.0,24.4,23.8,24.2,12261810,Tăng
2024-07-25,24.15,24.15,23.8,24.05,7164193,Giảm
2024-07-26,24.1,24.15,24.0,24.1,3453662,Giảm
2024-07-29,24.3,24.3,24.05,24.15,4109383,Giảm
2024-07-30,24.0,24.15,23.95,24.15,5494866,Tăng
2024-07-31,24.2,24.55,24.1,24.55,8556266,Tăng
2024-08-01,24.5,24.6,23.95,23.95,9183311,Giảm
2024-08-02,23.9,24.0,23.65,23.95,13718492,Tăng
2024-08-05,23.6,23.85,23.15,23.2,20100624,Giảm
2024-08-06,23.5,23.65,23.25,23.5,8029731,Giảm
2024-08-07,23.6,23.6,23.3,23.4,4407675,Giảm
2024-08-08,23.25,23.5,23.25,23.25,3655058,Giảm
2024-08-09,23.4,23.6,23.3,23.6,3012436,Tăng
2024-08-12,23.6,23.8,23.3,23.8,4203077,Tăng
2024-08-13,23.55,23.8,23.5,23.6,2854856,Tăng
2024-08-14,23.7,23.8,23.55,23.55,3321023,Giảm
2024-08-15,23.55,23.6,23.45,23.5,2660430,Giảm
2024-08-16,23.5,24.0,23.5,24.0,6524010,Tăng
2024-08-19,24.0,24.15,23.95,24.05,3843540,Tăng
2024-08-20,24.05,24.3,24.0,24.1,5422431,Tăng
2024-08-21,24.05,24.4,24.05,24.4,6563393,Tăng
2024-08-22,24.5,24.55,24.3,24.4,6795952,Giảm
2024-08-23,24.4,24.5,24.25,24.45,3899558,Tăng
2024-08-26,24.55,24.55,24.4,24.45,4928433,Giảm
2024-08-27,24.45,24.5,24.4,24.45,4159515,Giảm
2024-08-28,24.5,24.55,24.4,24.5,5228038,Giảm
2024-08-29,24.55,24.9,24.55,24.65,8594985,Tăng
2024-08-30,24.65,24.8,24.65,24.8,4489249,Tăng
2024-09-04,24.5,24.7,24.45,24.65,5639763,Tăng
2024-09-05,24.65,24.7,24.45,24.5,3540918,Giảm
2024-09-06,24.5,24.6,24.45,24.6,5008937,Tăng
2024-09-09,24.55,24.6,24.3,24.45,4691162,Giảm
2024-09-10,24.45,24.55,24.1,24.25,6138609,Giảm
2024-09-11,24.15,24.25,24.1,24.15,3589050,Giảm
2024-09-12,24.25,24.5,24.2,24.45,2621199,Tăng
2024-09-13,24.4,24.45,24.25,24.4,2374108,Giảm
2024-09-16,24.4,24.55,24.15,24.15,3717063,Giảm
2024-09-17,24.15,24.5,24.1,24.5,4081633,Tăng
2024-09-18,24.5,24.75,24.35,24.65,8725286,Tăng
2024-09-19,24.75,24.85,24.6,24.8,5224618,Tăng
2024-09-20,24.9,25.8,24.9,25.65,34336295,Tăng
2024-09-23,25.7,26.0,25.6,25.65,8585132,Giảm
2024-09-24,25.65,25.8,25.4,25.8,12786286,Tăng
2024-09-25,26.0,26.2,25.8,26.2,23028936,Tăng
2024-09-26,26.3,26.35,26.0,26.0,18186603,Giảm
2024-09-27,26.0,26.4,25.9,25.9,10816416,Giảm
2024-09-30,25.7,25.95,25.7,25.75,8463727,Tăng
2024-10-01,25.75,26.15,25.75,25.75,10417047,Giảm
2024-10-02,25.7,26.1,25.6,25.8,10118989,Tăng
2024-10-03,25.95,26.3,25.7,25.7,14808112,Giảm
2024-10-04,25.7,25.75,25.4,25.4,8670214,Giảm
2024-10-07,25.5,25.7,25.35,25.45,6775964,Giảm
2024-10-08,25.5,25.65,25.35,25.5,6528035,Giảm
2024-10-09,25.6,26.25,25.55,26.25,20014266,Tăng
2024-10-10,26.4,26.5,26.05,26.2,9087762,Giảm
2024-10-11,26.1,26.15,25.9,26.1,6565661,Giảm
2024-10-14,26.15,26.25,25.95,25.95,9033561,Giảm
2024-10-15,25.95,26.2,25.8,25.85,7115715,Giảm
2024-10-16,25.75,25.85,25.6,25.75,5401467,Giảm
2024-10-17,25.9,26.15,25.75,26.15,9200056,Tăng
2024-10-18,26.25,26.5,25.95,26.1,11497656,Giảm
2024-10-21,26.0,26.1,25.8,25.8,5537752,Giảm
2024-10-22,25.8,25.85,25.4,25.4,12123912,Giảm
2024-10-23,25.4,25.55,25.15,25.4,7707474,Giảm
2024-10-24,25.4,25.45,25.0,25.0,8933983,Giảm
