time,open,high,low,close,volume,change
2023-12-07,66.68,66.68,62.35,63.83,671717,Giảm
2023-12-08,63.53,66.0,63.43,64.03,515008,Tăng
2023-12-11,64.12,64.91,62.94,64.12,453943,Giảm
2023-12-12,64.03,64.32,63.14,63.43,336900,Giảm
2023-12-13,63.24,63.53,62.55,62.94,440664,Giảm
2023-12-14,62.84,63.04,62.06,62.74,348394,Giảm
2023-12-15,62.06,62.35,61.07,61.07,412076,Giảm
2023-12-18,60.58,60.58,58.8,59.79,454997,Giảm
2023-12-19,59.1,60.08,57.82,60.08,478270,Tăng
2023-12-20,60.08,60.87,59.4,60.38,314270,Tăng
2023-12-21,59.59,60.87,59.4,60.87,281989,Tăng
2023-12-22,60.18,60.87,59.89,60.87,398153,Tăng
2023-12-25,60.28,61.07,60.08,60.97,516009,Tăng
2023-12-26,60.97,62.45,60.48,61.37,518119,Tăng
2023-12-27,61.27,62.06,61.07,61.66,464565,Tăng
2023-12-28,61.66,61.76,60.87,61.76,529589,Tăng
2023-12-29,61.76,61.96,61.17,61.96,609090,Tăng
2024-01-02,61.56,62.15,60.97,60.97,349357,Giảm
2024-01-03,60.78,60.78,59.69,60.58,623816,Giảm
2024-01-04,60.18,60.68,59.89,59.89,547381,Giảm
2024-01-05,59.99,60.08,59.1,59.59,516417,Giảm
2024-01-08,59.59,59.89,59.1,59.4,550653,Giảm
2024-01-09,59.2,59.3,58.51,58.71,608875,Giảm
2024-01-10,58.41,58.71,58.02,58.31,482590,Giảm
2024-01-11,57.92,60.68,57.92,59.49,712009,Tăng
2024-01-12,59.49,59.49,58.21,59.0,521830,Giảm
2024-01-15,58.9,59.59,58.31,58.61,199856,Giảm
2024-01-16,58.71,58.71,58.02,58.51,411525,Giảm
2024-01-17,58.51,59.1,58.31,59.0,378671,Tăng
2024-01-18,58.9,59.4,58.51,59.4,464456,Tăng
2024-01-19,59.4,60.28,59.4,60.28,667081,Tăng
2024-01-22,60.38,60.78,59.59,60.28,489480,Giảm
2024-01-23,60.87,61.86,60.38,61.07,819195,Tăng
2024-01-24,62.06,62.06,60.58,61.07,509920,Giảm
2024-01-25,60.68,60.78,59.89,60.68,567544,Giảm
2024-01-26,60.97,61.07,60.28,60.87,586581,Giảm
2024-01-29,61.46,61.86,60.78,61.17,588536,Giảm
2024-01-30,61.17,64.52,60.78,64.32,1710048,Tăng
2024-01-31,64.52,64.52,62.84,64.32,981081,Giảm
2024-02-01,63.43,65.5,63.34,65.01,738595,Tăng
2024-02-02,64.12,65.01,63.53,63.53,680777,Giảm
2024-02-05,63.63,63.83,62.55,62.55,634030,Giảm
2024-02-06,62.55,64.03,62.25,62.84,469146,Tăng
2024-02-07,62.84,63.73,62.55,63.04,276761,Tăng
2024-02-15,63.53,63.53,62.25,62.74,369397,Giảm
2024-02-16,62.74,63.73,62.55,62.65,593351,Giảm
2024-02-19,62.74,64.03,62.06,63.34,1000395,Tăng
2024-02-20,63.43,63.83,62.74,62.84,519959,Giảm
2024-02-21,62.84,65.01,62.55,64.81,1600133,Tăng
2024-02-22,64.91,66.29,64.12,64.12,1320187,Giảm
2024-02-23,64.22,64.62,62.35,62.35,1432994,Giảm
2024-02-26,62.35,62.84,61.76,62.35,776364,Giảm
2024-02-27,62.55,62.84,61.96,62.35,1032546,Giảm
2024-02-28,63.04,63.34,61.96,62.45,787511,Giảm
2024-02-29,62.55,63.63,62.25,62.35,872650,Giảm
2024-03-01,62.45,63.04,62.15,62.65,852276,Tăng
2024-03-04,63.43,65.4,62.84,64.42,1830647,Tăng
2024-03-05,64.62,65.4,63.63,64.52,1339230,Giảm
2024-03-06,64.81,66.68,64.03,65.21,1574836,Tăng
2024-03-07,65.5,67.96,65.21,67.96,1917091,Tăng
2024-03-08,68.95,69.94,68.26,68.26,2470732,Giảm
2024-03-11,68.36,68.85,65.7,66.09,1556773,Giảm
2024-03-12,65.8,67.87,65.21,66.88,1303052,Tăng
2024-03-13,67.08,68.66,66.98,68.16,1394785,Tăng
2024-03-14,68.36,69.64,66.78,66.88,1921985,Giảm
2024-03-15,66.88,67.87,66.29,66.49,1296509,Giảm
2024-03-18,66.59,67.08,62.06,63.63,2084326,Giảm
2024-03-19,63.63,64.32,63.34,63.43,598892,Giảm
2024-03-20,63.43,64.32,62.84,64.03,799128,Tăng
2024-03-21,64.52,65.11,64.22,64.72,802034,Tăng
2024-03-22,65.01,65.11,64.12,64.72,1196167,Giảm
