time,open,high,low,close,volume,change
2023-12-07,40.35,41.0,40.0,40.6,1956881,Tăng
2023-12-08,40.6,42.0,40.6,41.9,2408030,Tăng
2023-12-11,42.0,42.2,41.35,41.4,1591005,Giảm
2023-12-12,41.5,42.05,41.2,41.9,957886,Tăng
2023-12-13,41.9,42.0,40.6,41.6,794504,Giảm
2023-12-14,41.65,41.8,41.3,41.6,780657,Giảm
2023-12-15,41.45,41.7,41.25,41.5,562608,Tăng
2023-12-18,41.05,41.5,40.5,41.0,679053,Giảm
2023-12-19,41.0,41.5,40.55,41.2,823834,Tăng
2023-12-20,41.9,42.0,40.8,41.3,1025521,Giảm
2023-12-21,40.9,41.9,40.9,41.8,1137420,Tăng
2023-12-22,41.8,42.45,41.4,42.45,1190985,Tăng
2023-12-25,42.5,43.3,42.0,43.2,1175553,Tăng
2023-12-26,43.2,43.55,42.7,43.0,1165412,Giảm
2023-12-27,42.8,43.2,42.8,43.0,939903,Tăng
2023-12-28,43.0,43.15,42.7,42.7,1100128,Giảm
2023-12-29,42.7,43.4,42.3,43.4,883671,Tăng
2024-01-02,43.4,43.6,42.7,43.0,1112938,Giảm
2024-01-03,43.4,44.1,43.0,43.8,1561832,Tăng
2024-01-04,43.9,45.0,43.6,43.65,3214754,Giảm
2024-01-05,43.7,44.95,43.7,44.5,1331657,Tăng
2024-01-08,44.8,46.5,44.65,46.4,1951306,Tăng
2024-01-09,47.0,47.0,46.05,46.05,1743286,Giảm
2024-01-10,46.05,47.8,46.0,47.4,2144305,Tăng
2024-01-11,47.2,47.25,46.2,46.5,3399421,Giảm
2024-01-12,45.9,47.2,45.05,46.0,3091109,Tăng
2024-01-15,46.05,47.0,46.05,46.6,1345255,Tăng
2024-01-16,46.05,46.95,46.05,46.9,1135791,Tăng
2024-01-17,46.55,47.0,46.3,46.85,1469274,Tăng
2024-01-18,46.85,47.85,46.65,47.5,2293041,Tăng
2024-01-19,47.9,49.85,47.2,49.85,2971887,Tăng
2024-01-22,49.95,50.2,48.7,49.8,2372235,Giảm
2024-01-23,49.5,49.8,48.65,49.4,2186583,Giảm
2024-01-24,48.5,49.2,48.45,48.9,1872754,Tăng
2024-01-25,48.9,49.75,48.4,48.4,1353235,Giảm
2024-01-26,48.4,48.95,48.4,48.95,814358,Tăng
2024-01-29,48.9,49.2,48.5,48.7,986750,Giảm
2024-01-30,48.8,48.9,48.2,48.45,1123666,Giảm
2024-01-31,48.5,48.8,47.5,47.7,1676533,Giảm
2024-02-01,47.5,47.95,47.15,47.25,1545088,Giảm
2024-02-02,47.3,47.5,46.7,46.9,1955284,Giảm
2024-02-05,47.1,49.4,47.05,48.65,2254701,Tăng
2024-02-06,48.8,48.8,48.0,48.8,1529371,Giảm
2024-02-07,48.8,49.05,48.6,48.95,1861415,Tăng
2024-02-15,48.95,49.25,48.45,48.95,1628521,Giảm
2024-02-16,49.0,49.0,48.3,48.55,1355591,Giảm
2024-02-19,48.75,50.3,48.25,49.3,3288060,Tăng
2024-02-20,49.5,50.2,49.4,49.4,1572592,Giảm
2024-02-21,49.75,49.8,48.9,49.75,1854473,Giảm
2024-02-22,49.8,49.9,49.5,49.75,1598960,Giảm
2024-02-23,49.8,53.2,49.3,52.0,6948065,Tăng
2024-02-26,52.8,54.5,52.0,53.6,1536698,Tăng
2024-02-27,53.7,54.0,53.0,53.0,1744935,Giảm
2024-02-28,53.2,54.8,52.3,53.9,2346478,Tăng
2024-02-29,53.9,54.0,53.0,53.0,1340368,Giảm
2024-03-01,53.3,54.3,52.4,53.5,1248808,Tăng
2024-03-04,53.6,54.5,52.5,53.5,2334455,Giảm
2024-03-05,53.5,54.4,52.9,54.4,1203171,Tăng
2024-03-06,54.0,54.8,53.5,54.4,1587437,Tăng
2024-03-07,54.4,54.4,53.2,53.3,2127394,Giảm
2024-03-08,53.4,53.4,49.6,51.1,2743455,Giảm
2024-03-11,51.8,52.4,50.5,50.5,1481676,Giảm
2024-03-12,50.6,52.1,50.5,52.0,1212545,Tăng
2024-03-13,52.2,52.6,51.8,52.6,1399923,Tăng
2024-03-14,53.5,53.5,51.4,51.7,1484385,Giảm
2024-03-15,51.6,52.8,51.0,52.2,1435031,Tăng
2024-03-18,52.0,52.8,49.9,52.0,1483545,Giảm
2024-03-19,52.1,52.1,51.0,51.6,766534,Giảm
2024-03-20,51.6,53.1,50.5,53.0,3135459,Tăng
2024-03-21,53.2,53.4,52.8,53.0,1859542,Giảm
2024-03-22,53.3,56.7,53.3,54.2,4368960,Tăng
2024-03-25,54.2,55.5,52.7,53.0,1264961,Giảm
2024-03-26,53.0,53.9,53.0,53.0,1411023,Giảm
2024-03-27,53.3,53.3,52.5,52.5,1609580,Giảm
2024-03-28,53.2,53.9,52.5,52.6,1360986,Giảm
2024-03-29,53.2,53.2,52.0,52.1,1789819,Giảm
2024-04-01,52.2,52.7,51.7,52.1,1365330,Giảm
2024-04-02,51.9,52.4,51.5,51.9,1578085,Giảm
2024-04-03,52.0,52.3,51.0,51.0,1497781,Giảm
2024-04-04,51.8,51.8,51.0,51.0,1094832,Giảm
2024-04-05,50.9,50.9,50.2,50.2,1656504,Giảm
2024-04-08,50.2,51.6,50.0,50.8,906777,Tăng
2024-04-09,51.1,52.7,50.8,52.7,1752434,Tăng
2024-04-10,52.8,52.8,51.9,52.0,1194800,Giảm
2024-04-11,51.5,53.4,51.3,53.0,2278176,Tăng
2024-04-12,53.0,54.5,52.8,53.4,3378524,Tăng
2024-04-15,53.3,54.5,49.7,49.7,2543650,Giảm
2024-04-16,49.7,51.2,49.45,50.3,2353772,Tăng
2024-04-17,50.9,51.0,48.0,48.1,1976645,Giảm
2024-04-19,47.9,49.5,47.1,48.35,2172286,Tăng
2024-04-22,48.8,50.1,48.8,50.1,1300516,Tăng
2024-04-23,49.2,50.5,48.5,49.4,2275027,Tăng
2024-04-24,49.45,50.4,49.35,50.0,1417731,Tăng
2024-04-25,49.75,50.3,49.3,49.6,1054622,Giảm
2024-04-26,49.6,50.1,49.1,49.2,776097,Giảm
2024-05-02,49.3,49.7,48.85,49.2,569727,Giảm
2024-05-03,49.65,49.9,49.0,49.2,701877,Giảm
2024-05-06,49.3,50.5,49.3,50.5,1193818,Tăng
2024-05-07,50.6,51.0,50.0,50.0,1071204,Giảm
2024-05-08,50.1,50.8,49.8,49.8,1058548,Giảm
2024-05-09,50.3,50.3,49.5,49.5,971915,Giảm
2024-05-10,49.6,49.75,48.95,49.05,828864,Giảm
2024-05-13,49.2,49.5,48.5,48.6,1665656,Giảm
2024-05-14,48.8,49.2,48.05,48.1,1950627,Giảm
2024-05-15,48.45,48.95,48.35,48.6,1394263,Tăng
2024-05-16,49.15,50.3,49.05,49.6,2099463,Tăng
2024-05-17,49.65,49.7,49.2,49.35,1519945,Giảm
2024-05-20,49.6,50.7,49.5,49.6,2194600,Giảm
2024-05-21,50.0,50.3,49.4,50.0,1796281,Giảm
2024-05-22,50.5,51.2,49.75,49.8,2430579,Giảm
2024-05-23,49.8,50.2,49.4,49.5,1790055,Giảm
2024-05-24,49.6,50.6,48.5,49.2,2177908,Giảm
2024-05-27,49.4,49.4,48.55,48.9,765228,Giảm
2024-05-28,49.0,49.2,48.6,49.1,1232312,Tăng
2024-05-29,49.45,49.45,48.6,48.6,1390091,Giảm
2024-05-30,48.4,48.5,47.4,47.7,2095616,Giảm
2024-05-31,47.7,48.3,47.1,47.1,1970022,Giảm
2024-06-03,47.9,48.45,47.2,47.3,2097260,Giảm
2024-06-04,47.85,48.2,47.55,47.6,1116575,Giảm
2024-06-05,47.9,48.2,47.65,47.65,1801566,Giảm
