time,open,high,low,close,volume,change
2023-12-07,39.13,39.18,38.5,38.69,467164,Giảm
2023-12-08,38.79,38.89,38.4,38.64,214583,Giảm
2023-12-11,38.69,39.18,38.64,39.13,396854,Tăng
2023-12-12,39.13,39.38,39.08,39.18,324703,Tăng
2023-12-13,39.18,40.11,39.18,39.57,900709,Tăng
2023-12-14,39.67,39.72,39.23,39.23,313391,Giảm
2023-12-15,39.23,39.28,38.6,38.6,534119,Giảm
2023-12-18,38.64,38.79,38.11,38.16,276839,Giảm
2023-12-19,38.16,38.5,38.11,38.3,144013,Tăng
2023-12-20,38.35,38.55,38.16,38.45,171244,Tăng
2023-12-21,38.45,38.55,38.3,38.45,132551,Giảm
2023-12-22,38.45,38.45,38.01,38.01,360232,Giảm
2023-12-25,38.06,38.55,38.01,38.4,224340,Tăng
2023-12-26,38.25,38.74,38.25,38.6,240315,Tăng
2023-12-27,38.6,39.08,38.6,38.64,237031,Tăng
2023-12-28,38.69,38.79,38.6,38.69,168371,Giảm
2023-12-29,38.69,38.84,38.6,38.6,270440,Giảm
2024-01-02,38.6,38.99,38.6,38.69,223584,Tăng
2024-01-03,38.6,38.89,38.6,38.89,148612,Tăng
2024-01-04,39.08,39.48,38.84,39.18,684484,Tăng
2024-01-05,39.23,39.28,38.94,39.08,189698,Giảm
2024-01-08,39.13,39.43,39.03,39.08,301494,Giảm
2024-01-09,39.08,39.52,38.89,39.08,377633,Giảm
2024-01-10,39.23,40.01,39.23,39.57,887428,Tăng
2024-01-11,39.57,41.23,39.48,41.04,1197002,Tăng
2024-01-12,41.04,41.09,40.3,40.84,691612,Giảm
2024-01-15,40.74,41.04,40.06,40.06,436024,Giảm
2024-01-16,40.06,40.11,39.67,40.06,553897,Giảm
2024-01-17,39.77,40.74,39.77,40.21,503807,Tăng
2024-01-18,40.06,40.5,40.06,40.21,289400,Tăng
2024-01-19,40.21,40.5,40.21,40.3,250332,Tăng
2024-01-22,40.5,40.55,40.21,40.26,234958,Giảm
2024-01-23,40.26,40.26,39.77,39.87,450086,Giảm
2024-01-24,39.87,40.01,39.67,39.77,334363,Giảm
2024-01-25,39.92,39.92,39.67,39.77,158137,Giảm
2024-01-26,39.77,39.92,39.77,39.92,140399,Tăng
2024-01-29,40.01,40.5,39.77,40.26,266540,Tăng
2024-01-30,40.35,40.5,40.01,40.06,144101,Giảm
2024-01-31,40.35,40.35,39.57,39.57,336590,Giảm
2024-02-01,39.77,40.45,39.67,40.3,485513,Tăng
2024-02-02,40.3,40.3,39.92,40.06,167989,Giảm
2024-02-05,40.11,41.04,40.11,40.11,388171,Giảm
2024-02-06,40.16,40.4,40.06,40.16,221420,Giảm
2024-02-07,40.16,40.45,40.11,40.26,290154,Tăng
2024-02-15,40.26,40.74,40.26,40.35,360478,Tăng
2024-02-16,40.65,41.77,40.55,41.53,982300,Tăng
2024-02-19,41.72,42.26,41.48,42.21,819871,Tăng
2024-02-20,42.21,42.26,41.67,41.77,458021,Giảm
2024-02-21,41.77,41.82,41.28,41.48,464500,Giảm
2024-02-22,41.58,41.62,41.18,41.18,401050,Giảm
2024-02-23,41.28,41.87,40.89,40.99,627586,Giảm
2024-02-26,40.99,41.28,40.94,41.09,353635,Tăng
2024-02-27,41.14,41.53,41.14,41.48,290506,Tăng
2024-02-28,41.48,41.58,41.18,41.48,391182,Giảm
2024-02-29,41.72,42.31,41.72,41.92,674330,Tăng
2024-03-01,41.87,42.21,41.72,41.82,400268,Giảm
2024-03-04,41.77,42.36,41.77,42.21,805098,Tăng
2024-03-05,42.02,42.46,41.92,42.31,492319,Tăng
2024-03-06,42.6,43.19,41.92,42.31,770205,Giảm
2024-03-07,42.36,43.87,42.26,43.87,1674619,Tăng
2024-03-08,44.26,44.51,43.29,43.43,1514549,Giảm
2024-03-11,43.43,43.48,42.21,42.36,874721,Giảm
2024-03-12,42.36,42.5,42.02,42.41,890373,Tăng
2024-03-13,42.46,42.99,42.26,42.99,579675,Tăng
2024-03-14,42.99,42.99,42.55,42.65,582608,Giảm
2024-03-15,42.5,42.85,41.97,42.11,793386,Giảm
2024-03-18,42.11,42.41,40.55,41.04,901329,Giảm
2024-03-19,41.04,41.38,40.94,41.04,196136,Giảm
2024-03-20,41.09,41.43,40.84,41.28,281081,Tăng
2024-03-21,41.58,41.92,41.48,41.82,492423,Tăng
2024-03-22,41.97,41.97,41.38,41.53,440211,Giảm
2024-03-25,41.53,42.31,41.43,41.82,728842,Tăng
2024-03-26,42.06,42.06,41.67,41.92,297417,Giảm
2024-03-27,41.92,42.31,41.72,42.31,547244,Tăng
2024-03-28,42.31,42.55,42.21,42.31,390110,Giảm
2024-03-29,42.41,42.41,41.67,41.77,526253,Giảm
2024-04-01,41.82,41.97,41.38,41.43,268197,Giảm
2024-04-02,41.43,41.43,40.94,41.43,486360,Giảm
2024-04-03,41.43,41.97,41.04,41.33,275586,Giảm
2024-04-04,41.38,41.62,41.04,41.14,199348,Giảm
2024-04-05,40.94,41.04,40.74,40.74,274979,Giảm
2024-04-08,40.74,41.04,40.5,40.6,324192,Giảm
2024-04-09,40.74,40.99,40.35,40.6,303126,Giảm
2024-04-10,40.6,40.89,40.55,40.6,233262,Giảm
2024-04-11,40.6,40.6,40.3,40.5,173832,Giảm
2024-04-12,40.84,40.94,40.35,40.94,132579,Tăng
2024-04-15,40.84,40.84,38.6,38.79,405580,Giảm
2024-04-16,38.99,39.08,38.3,38.45,618612,Giảm
2024-04-17,38.55,39.08,37.67,37.72,779938,Giảm
2024-04-19,37.72,38.06,37.33,37.62,606730,Giảm
2024-04-22,38.6,39.13,37.67,38.69,446976,Tăng
2024-04-23,38.69,38.69,38.01,38.35,210069,Giảm
2024-04-24,38.35,38.74,38.16,38.69,239985,Tăng
