time,open,high,low,close,volume,change
2023-12-07,20.61,20.61,19.77,20.01,3410614,Giảm
2023-12-08,20.01,20.21,19.82,19.87,1284664,Giảm
2023-12-11,19.96,20.16,19.82,20.16,1128982,Tăng
2023-12-12,20.26,20.51,20.16,20.16,1283996,Giảm
2023-12-13,20.16,20.36,19.77,19.77,1918512,Giảm
2023-12-14,19.96,20.01,19.62,19.67,1055474,Giảm
2023-12-15,19.67,19.92,19.47,19.72,961930,Tăng
2023-12-18,19.72,19.72,19.27,19.27,1003737,Giảm
2023-12-19,19.27,19.42,19.02,19.42,1244340,Tăng
2023-12-20,19.47,19.67,19.32,19.57,789545,Tăng
2023-12-21,19.52,19.77,19.47,19.72,958317,Tăng
2023-12-22,19.87,20.06,19.72,20.06,1996294,Tăng
2023-12-25,20.11,20.21,19.87,20.01,1477756,Giảm
2023-12-26,20.06,20.31,20.01,20.11,1790753,Tăng
2023-12-27,20.11,20.31,20.01,20.06,1276099,Giảm
2023-12-28,20.16,20.31,19.96,20.11,1830464,Giảm
2023-12-29,20.26,21.1,20.26,21.0,7485872,Tăng
2024-01-02,21.25,21.25,20.71,20.76,2681890,Giảm
2024-01-03,20.71,21.7,20.61,21.4,4321988,Tăng
2024-01-04,21.3,21.55,21.2,21.2,2913195,Giảm
2024-01-05,21.3,21.75,21.25,21.6,2869417,Tăng
2024-01-08,21.8,21.8,21.3,21.3,1879255,Giảm
2024-01-09,21.45,21.45,20.81,21.2,3127599,Giảm
2024-01-10,21.15,21.4,20.91,21.4,1653803,Tăng
2024-01-11,21.4,21.45,20.96,21.0,1700122,Giảm
2024-01-12,20.81,21.0,20.11,20.21,3547100,Giảm
2024-01-15,20.36,20.71,20.21,20.36,2018225,Giảm
2024-01-16,20.31,20.76,20.31,20.76,1320362,Tăng
2024-01-17,20.76,21.25,20.71,21.0,2064038,Tăng
2024-01-18,21.0,21.2,20.76,20.91,1785284,Giảm
2024-01-19,20.91,21.45,20.91,21.1,2035242,Tăng
2024-01-22,21.25,21.25,20.66,20.86,2143545,Giảm
2024-01-23,20.76,20.86,20.61,20.71,1485782,Giảm
2024-01-24,20.66,21.1,20.66,20.71,1074604,Tăng
2024-01-25,20.71,20.81,20.61,20.71,664267,Giảm
2024-01-26,20.81,21.25,20.76,21.25,2436649,Tăng
2024-01-29,21.4,22.49,21.4,22.29,6730869,Tăng
2024-01-30,22.29,23.09,22.04,22.74,3699669,Tăng
2024-01-31,22.89,22.89,21.8,22.19,4075054,Giảm
2024-02-01,22.24,23.73,22.24,23.73,5951322,Tăng
2024-02-02,24.28,24.67,24.03,24.37,5670173,Tăng
2024-02-05,24.57,25.12,24.08,24.82,5142493,Tăng
2024-02-06,24.82,25.32,24.57,24.97,2649482,Tăng
2024-02-07,24.97,25.17,24.72,25.12,2758053,Tăng
2024-02-15,25.17,25.32,24.52,24.72,4640893,Giảm
2024-02-16,24.67,26.4,24.62,26.4,7575594,Tăng
2024-02-19,26.7,27.94,26.55,26.55,5354890,Giảm
2024-02-20,26.65,27.94,26.11,27.94,5441175,Tăng
2024-02-21,27.99,28.24,27.44,27.89,3978147,Giảm
2024-02-22,27.84,28.04,27.5,27.69,2742218,Giảm
2024-02-23,27.84,28.04,26.55,27.3,5828216,Giảm
2024-02-26,27.25,28.83,27.05,28.54,7031061,Tăng
2024-02-27,28.63,29.13,28.39,28.63,3319996,Giảm
2024-02-28,28.63,29.62,28.19,28.63,5554165,Giảm
2024-02-29,28.63,28.63,27.89,28.34,4999963,Giảm
2024-03-01,28.34,28.98,27.74,28.88,4189691,Tăng
2024-03-04,29.38,30.47,29.18,29.53,6029394,Tăng
2024-03-05,29.23,29.67,29.08,29.43,2288960,Tăng
2024-03-06,29.28,29.38,28.54,28.63,3516363,Giảm
2024-03-07,28.58,28.93,28.39,28.83,3416035,Tăng
2024-03-08,29.33,29.53,28.24,28.73,5531822,Giảm
2024-03-11,28.73,30.07,28.73,29.28,5769843,Tăng
2024-03-12,29.28,31.31,29.23,31.31,9494505,Tăng
2024-03-13,31.9,32.7,31.51,32.0,3677330,Tăng
2024-03-14,32.0,32.84,31.51,32.5,4829823,Tăng
2024-03-15,32.5,34.28,32.1,34.28,5680581,Tăng
2024-03-18,34.28,35.47,31.9,32.25,13921542,Giảm
2024-03-19,32.45,33.59,31.61,32.25,5440927,Giảm
2024-03-20,32.35,32.7,31.9,32.5,4026589,Tăng
2024-03-21,32.99,33.09,32.3,32.94,4066537,Giảm
2024-03-22,33.09,33.39,32.45,32.94,5649200,Giảm
2024-03-25,32.5,32.9,31.31,31.61,6123029,Giảm
2024-03-26,31.61,33.74,31.56,33.59,5041959,Tăng
2024-03-27,33.59,33.59,32.7,33.09,2582849,Giảm
2024-03-28,33.24,33.29,32.7,32.75,3196256,Giảm
2024-03-29,32.7,33.39,32.6,32.84,3229674,Tăng
2024-04-01,32.84,33.04,32.35,32.65,3764524,Giảm
2024-04-02,32.5,34.93,32.45,34.93,10184749,Tăng
2024-04-03,34.73,34.88,33.94,33.94,3902337,Giảm
2024-04-04,33.84,34.08,32.8,32.8,5223942,Giảm
2024-04-05,32.5,32.7,31.21,31.21,7356049,Giảm
2024-04-08,31.31,32.1,31.01,31.41,3620190,Tăng
2024-04-09,31.71,32.05,31.31,32.0,2031205,Tăng
2024-04-10,32.15,32.2,31.31,31.36,2557102,Giảm
2024-04-11,30.91,32.0,30.86,31.61,2723762,Tăng
2024-04-12,31.66,31.95,31.36,31.71,2990242,Tăng
2024-04-15,31.71,32.94,29.53,29.53,7401194,Giảm
2024-04-16,29.72,30.07,29.03,30.07,5271483,Tăng
2024-04-17,30.42,30.42,28.39,28.39,4712356,Giảm
2024-04-19,27.25,29.13,27.25,27.84,5883275,Tăng
2024-04-22,28.63,28.78,27.94,28.44,2523350,Giảm
2024-04-23,28.39,28.63,26.8,27.35,4114748,Giảm
2024-04-24,27.84,29.23,27.59,29.23,6237441,Tăng
2024-04-25,29.43,29.72,28.88,29.13,3441565,Giảm
2024-04-26,28.78,30.17,28.78,29.72,3971670,Tăng
2024-05-02,29.72,30.07,28.98,29.72,3825407,Giảm
2024-05-03,30.02,30.02,29.08,29.13,3959373,Giảm
2024-05-06,29.58,30.96,29.23,30.91,6484421,Tăng
2024-05-07,31.01,31.46,30.52,31.16,3852895,Tăng
2024-05-08,30.72,31.85,30.22,31.41,5304778,Tăng
2024-05-09,31.51,32.4,31.31,31.46,5782746,Giảm
2024-05-10,31.51,31.61,30.91,31.36,3562584,Giảm
2024-05-13,31.51,31.95,31.01,31.71,3375177,Tăng
2024-05-14,31.9,32.55,31.8,32.2,4216822,Tăng
2024-05-15,32.55,32.55,32.0,32.45,3873903,Giảm
2024-05-16,32.7,33.09,32.2,32.25,4269646,Giảm
2024-05-17,32.1,33.84,32.0,33.04,6325118,Tăng
2024-05-20,33.34,34.18,33.19,33.29,5488563,Giảm
2024-05-21,33.29,33.44,32.6,33.04,4042387,Giảm
2024-05-22,33.49,33.64,32.3,32.5,5202951,Giảm
2024-05-23,32.3,33.14,32.1,33.09,4459502,Tăng
2024-05-24,32.7,34.68,32.5,33.94,12311917,Tăng
2024-05-27,33.88,35.62,33.24,34.93,7434247,Tăng
2024-05-28,35.17,35.27,34.63,35.27,4465496,Tăng
2024-05-29,35.22,36.56,34.48,34.58,6871586,Giảm
2024-05-30,33.98,35.92,33.74,35.67,8155218,Tăng
2024-05-31,35.77,35.87,34.83,34.83,2635995,Giảm
2024-06-03,35.37,35.37,34.68,34.68,4509000,Giảm
2024-06-04,34.68,35.42,34.63,34.78,3284074,Tăng
2024-06-05,35.17,35.97,34.78,34.83,4620183,Giảm
2024-06-06,34.88,35.12,34.28,34.48,3063593,Giảm
2024-06-07,34.58,34.88,34.48,34.68,2124683,Tăng
2024-06-10,34.93,36.41,34.93,35.87,6189529,Tăng
2024-06-11,35.97,36.12,34.93,35.27,4493203,Giảm
2024-06-12,35.07,35.47,34.73,35.42,3276656,Tăng
2024-06-13,35.62,35.62,34.98,35.02,3581691,Giảm
2024-06-14,35.07,35.37,32.7,32.7,5511489,Giảm
2024-06-17,33.09,33.59,32.7,33.04,5121554,Giảm
2024-06-18,33.49,33.98,33.19,33.64,2556320,Tăng
2024-06-19,33.64,33.69,33.09,33.29,3075412,Giảm
2024-06-20,33.19,33.69,33.09,33.69,2559527,Tăng
2024-06-21,33.69,34.53,33.69,34.23,3666515,Tăng
2024-06-24,33.74,34.08,32.7,32.7,4721207,Giảm
2024-06-25,32.94,33.39,32.7,33.29,2337372,Tăng
2024-06-26,33.64,35.62,33.29,35.62,10262696,Tăng
2024-06-27,35.62,36.46,34.98,35.67,6494668,Tăng
2024-06-28,35.67,35.72,33.19,33.88,7379059,Giảm
2024-07-01,33.88,34.13,33.29,33.98,3248985,Tăng
2024-07-02,34.13,34.48,33.84,34.28,2053189,Tăng
2024-07-03,34.28,34.78,34.08,34.28,3128411,Giảm
2024-07-04,34.18,35.22,33.84,34.68,5656673,Tăng
2024-07-05,34.68,35.12,34.28,34.78,3119041,Tăng
2024-07-08,35.02,36.16,34.78,36.16,6639629,Tăng
2024-07-09,37.06,38.15,36.81,37.65,8139491,Tăng
2024-07-10,37.8,37.95,36.66,36.66,5597548,Giảm
2024-07-11,37.16,37.45,36.31,36.61,3803036,Giảm
2024-07-12,36.61,37.85,36.36,37.55,5395224,Tăng
2024-07-15,37.55,38.64,37.25,38.15,4634143,Tăng
2024-07-16,38.15,38.39,37.45,37.85,3258070,Giảm
2024-07-17,37.85,37.85,35.22,35.22,10721086,Giảm
2024-07-18,35.22,36.12,34.48,35.72,3849734,Tăng
2024-07-19,35.72,35.72,34.13,34.18,5134806,Giảm
2024-07-22,33.69,33.79,32.3,32.45,6235952,Giảm
2024-07-23,32.7,33.14,30.32,30.32,3979857,Giảm
2024-07-24,30.32,32.4,29.82,32.4,5007335,Tăng
2024-07-25,32.4,32.75,31.76,32.7,1940394,Tăng
2024-07-26,32.75,33.54,32.6,32.8,2931835,Tăng
2024-07-29,33.19,33.19,32.8,33.19,2070999,Giảm
2024-07-30,33.29,33.49,32.2,32.94,2019908,Giảm
2024-07-31,32.94,33.44,32.55,32.7,2860313,Giảm
2024-08-01,32.9,32.94,30.66,31.11,3736390,Giảm
2024-08-02,30.42,32.1,30.42,32.05,2310026,Tăng
2024-08-05,31.41,32.0,29.82,29.82,4196393,Giảm
2024-08-06,31.01,31.46,30.12,31.06,3086232,Tăng
2024-08-07,31.21,32.35,31.01,32.25,4144043,Tăng
2024-08-08,31.8,32.5,31.36,31.61,3008195,Giảm
2024-08-09,32.3,32.5,31.95,32.2,2929062,Giảm
2024-08-12,32.25,33.14,32.1,32.9,2728947,Tăng
2024-08-13,32.9,32.94,32.45,32.8,1987568,Giảm
2024-08-14,32.9,33.49,32.6,33.09,2925460,Tăng
2024-08-15,32.99,32.99,32.3,32.35,1955480,Giảm
2024-08-16,32.7,34.53,32.65,34.23,4687238,Tăng
2024-08-19,34.28,34.63,34.18,34.43,2027146,Tăng
2024-08-20,34.33,35.27,34.13,34.78,3132047,Tăng
2024-08-21,34.78,34.98,34.28,34.93,2077802,Tăng
2024-08-22,35.27,35.27,34.38,34.48,2105135,Giảm
2024-08-23,34.48,35.12,34.28,35.12,2070340,Tăng
2024-08-26,35.77,35.87,34.73,34.73,1971335,Giảm
2024-08-27,34.68,34.78,34.38,34.63,1420570,Giảm
2024-08-28,34.88,35.77,34.73,35.32,4324289,Tăng
2024-08-29,35.42,35.57,34.98,34.98,874865,Giảm
2024-08-30,35.02,35.47,34.93,35.02,1249929,Giảm
2024-09-04,34.48,34.63,33.09,34.38,3843698,Giảm
2024-09-05,34.53,34.58,33.54,33.59,2269872,Giảm
2024-09-06,33.39,34.28,33.34,34.18,1688659,Tăng
