time,open,high,low,close,volume,change
2023-12-07,17.96,18.06,17.58,17.96,9196864,Giảm
2023-12-08,17.96,18.06,17.86,18.01,7914713,Tăng
2023-12-11,18.06,18.1,17.77,18.01,6789754,Giảm
2023-12-12,18.06,18.06,17.86,18.06,7047115,Giảm
2023-12-13,18.06,18.15,17.91,18.1,7052906,Tăng
2023-12-14,18.1,18.25,18.01,18.15,6712131,Tăng
2023-12-15,18.15,18.3,18.06,18.25,7310767,Tăng
2023-12-18,18.3,18.3,17.48,17.67,7226850,Giảm
2023-12-19,17.67,18.2,17.43,18.2,6934912,Tăng
2023-12-20,18.2,18.2,17.67,18.06,7030902,Giảm
2023-12-21,17.91,18.1,17.62,18.01,6505796,Tăng
2023-12-22,18.01,18.2,17.82,18.2,7007118,Tăng
2023-12-25,18.2,18.39,18.1,18.39,6817898,Tăng
2023-12-26,18.44,18.44,18.2,18.44,6649607,Giảm
2023-12-27,18.44,18.54,18.39,18.54,6484414,Tăng
2023-12-28,18.44,18.59,18.25,18.59,8526566,Tăng
2023-12-29,18.63,19.5,18.39,19.5,12445203,Tăng
2024-01-02,19.21,19.45,18.92,19.11,6720342,Giảm
2024-01-03,19.11,19.21,19.02,19.21,8194761,Tăng
2024-01-04,19.26,19.74,19.16,19.59,11217405,Tăng
2024-01-05,19.59,19.69,19.4,19.69,6539053,Tăng
2024-01-08,19.74,19.93,19.64,19.74,5517166,Giảm
2024-01-09,19.74,19.79,19.59,19.74,6280853,Giảm
2024-01-10,19.74,19.88,19.59,19.88,6378347,Tăng
2024-01-11,19.88,20.03,19.83,19.98,5501321,Tăng
2024-01-12,19.98,20.07,19.69,20.07,5943128,Tăng
2024-01-15,20.12,20.17,19.83,20.17,6598864,Tăng
2024-01-16,20.12,20.22,19.98,20.17,6368585,Tăng
2024-01-17,20.17,20.17,19.74,20.03,7113971,Giảm
2024-01-18,20.03,20.07,19.88,19.98,5723534,Giảm
2024-01-19,19.98,20.12,19.93,20.12,7104514,Tăng
2024-01-22,20.17,20.36,19.98,20.36,7959343,Tăng
2024-01-23,20.36,20.41,19.98,20.17,6416242,Giảm
2024-01-24,20.17,20.32,20.03,20.32,7040485,Tăng
2024-01-25,20.32,20.32,20.07,20.22,5421583,Giảm
2024-01-26,20.22,20.51,20.22,20.46,6676863,Tăng
2024-01-29,20.46,20.56,20.41,20.56,5917816,Tăng
2024-01-30,20.6,21.08,20.56,20.99,6304035,Tăng
2024-01-31,20.99,21.13,20.65,20.94,5778345,Giảm
2024-02-01,20.94,21.04,20.84,20.94,6252733,Giảm
2024-02-02,20.94,21.47,20.94,21.47,9318133,Tăng
2024-02-05,21.47,21.8,21.32,21.76,9569479,Tăng
2024-02-06,21.76,22.14,21.71,22.09,6050983,Tăng
2024-02-07,22.14,22.62,22.04,22.62,5973355,Tăng
2024-02-15,22.72,22.86,22.33,22.72,6882170,Giảm
2024-02-16,22.67,22.72,22.28,22.38,6116225,Giảm
2024-02-19,22.38,22.43,22.04,22.43,6621330,Tăng
2024-02-20,22.38,22.72,22.09,22.67,6845279,Tăng
2024-02-21,22.62,22.81,22.28,22.57,6165942,Giảm
2024-02-22,22.57,22.57,22.0,22.0,7168640,Giảm
2024-02-23,22.0,22.14,21.61,21.61,7481573,Giảm
2024-02-26,21.61,22.0,21.56,21.8,5607504,Tăng
2024-02-27,21.8,22.09,21.66,21.8,6316270,Giảm
2024-02-28,21.8,22.28,21.8,22.28,6191898,Tăng
2024-02-29,22.28,22.48,22.24,22.38,6026614,Tăng
2024-03-01,22.38,22.43,22.04,22.38,6107711,Giảm
2024-03-04,22.38,22.43,22.19,22.38,5919766,Giảm
2024-03-05,22.38,22.57,22.09,22.57,6843383,Tăng
2024-03-06,22.43,22.57,22.04,22.52,4534879,Tăng
2024-03-07,22.19,22.48,22.19,22.24,5643237,Tăng
2024-03-08,22.24,22.24,21.85,22.09,6186277,Giảm
2024-03-11,22.09,22.24,21.85,22.19,6434293,Tăng
2024-03-12,22.14,22.14,21.56,22.04,6584251,Giảm
2024-03-13,22.04,22.28,21.71,22.19,6351175,Tăng
2024-03-14,22.24,22.24,21.85,22.04,5687855,Giảm
2024-03-15,21.9,22.19,21.76,22.09,5972716,Tăng
2024-03-18,22.09,22.14,21.42,21.42,6627021,Giảm
2024-03-19,21.42,21.47,20.7,21.47,8888588,Tăng
2024-03-20,21.52,21.9,20.94,21.71,6223709,Tăng
2024-03-21,21.76,22.96,21.66,22.96,11197599,Tăng
2024-03-22,22.96,23.0,22.72,22.86,6535355,Giảm
2024-03-25,22.86,22.86,22.43,22.62,6287224,Giảm
2024-03-26,22.57,23.24,22.48,23.24,7239046,Tăng
2024-03-27,23.34,23.53,23.0,23.2,5712594,Giảm
2024-03-28,23.05,23.29,23.05,23.29,5405974,Tăng
2024-03-29,23.34,23.34,22.86,23.15,6437514,Giảm
2024-04-01,23.15,23.2,22.72,23.05,6008060,Giảm
2024-04-02,22.76,23.0,22.57,22.96,5776739,Tăng
2024-04-03,22.91,22.96,22.43,22.48,6573694,Giảm
2024-04-04,22.48,22.86,22.43,22.43,6109725,Giảm
2024-04-05,22.38,22.76,22.28,22.43,6318477,Tăng
2024-04-08,22.43,23.05,22.38,22.96,8079483,Tăng
2024-04-09,22.96,23.1,22.76,23.0,5819042,Tăng
2024-04-10,23.05,23.1,22.67,23.0,6267643,Giảm
2024-04-11,22.76,23.05,22.57,23.05,5639310,Tăng
2024-04-12,23.05,23.44,22.72,23.34,8525161,Tăng
2024-04-15,23.29,23.39,22.38,22.57,9743888,Giảm
2024-04-16,22.57,22.72,22.09,22.57,7198387,Giảm
2024-04-17,22.62,22.62,21.52,22.09,8716612,Giảm
2024-04-19,21.8,21.85,21.04,21.37,9471307,Giảm
2024-04-22,21.42,21.76,21.32,21.52,8546451,Tăng
2024-04-23,21.32,21.56,20.75,21.32,8712619,Giảm
2024-04-24,21.42,21.71,21.32,21.52,9416199,Tăng
2024-04-25,21.52,21.76,21.37,21.61,7368721,Tăng
2024-04-26,21.61,22.67,21.47,22.67,9979313,Tăng
2024-05-02,22.67,22.72,22.43,22.72,6125078,Tăng
2024-05-03,22.72,23.48,22.72,23.48,11393983,Tăng
2024-05-06,23.53,23.53,22.91,23.34,9086749,Giảm
2024-05-07,23.44,23.44,22.91,23.34,6998687,Giảm
2024-05-08,23.29,23.34,22.91,23.15,6260999,Giảm
2024-05-09,23.15,23.24,22.62,22.76,7126009,Giảm
2024-05-10,22.81,22.86,22.48,22.76,6755071,Giảm
2024-05-13,22.76,22.81,22.33,22.33,6529690,Giảm
2024-05-14,22.38,22.76,22.38,22.38,6838721,Giảm
2024-05-15,22.43,22.67,22.38,22.57,6984646,Tăng
2024-05-16,22.67,23.29,22.62,23.24,9091371,Tăng
2024-05-17,23.29,23.58,23.1,23.34,8262000,Tăng
2024-05-20,23.39,24.11,23.39,23.87,10560882,Tăng
2024-05-21,23.87,23.92,23.44,23.72,6286971,Giảm
2024-05-22,23.77,23.77,23.39,23.39,5715498,Giảm
2024-05-23,23.44,23.72,23.05,23.72,5825200,Tăng
2024-05-24,23.53,23.77,23.05,23.24,7297631,Giảm
2024-05-27,23.24,23.34,22.76,22.86,6143845,Giảm
2024-05-28,22.96,23.2,22.62,23.2,7229893,Tăng
2024-05-29,23.2,23.2,22.52,22.52,11284037,Giảm
2024-05-30,22.38,22.43,21.9,22.19,8708488,Giảm
2024-05-31,22.24,22.38,22.19,22.33,4348181,Tăng
2024-06-03,22.43,23.05,22.38,23.05,6686088,Tăng
2024-06-04,23.15,23.2,22.86,23.0,4861124,Giảm
2024-06-05,23.05,23.2,22.76,22.76,5267472,Giảm
2024-06-06,22.76,23.0,22.57,22.76,5851237,Giảm
2024-06-07,22.81,22.91,22.62,22.76,4588691,Giảm
2024-06-10,22.81,22.96,22.72,22.96,5192624,Tăng
2024-06-11,23.0,23.05,22.57,22.62,6378751,Giảm
2024-06-12,22.67,23.05,22.48,23.05,6458860,Tăng
2024-06-13,23.24,23.29,22.96,23.15,8024997,Giảm
2024-06-14,23.24,23.29,23.0,23.0,7374369,Giảm
2024-06-17,23.0,23.05,22.38,22.62,8357906,Giảm
2024-06-18,22.67,22.81,22.57,22.76,6054701,Tăng
2024-06-19,22.81,22.81,22.38,22.76,6748221,Giảm
2024-06-20,22.72,22.81,22.38,22.67,7770972,Giảm
2024-06-21,22.67,22.67,22.24,22.24,7159021,Giảm
2024-06-24,22.24,22.33,21.47,21.47,9516792,Giảm
2024-06-25,21.47,21.8,21.42,21.71,10137240,Tăng
2024-06-26,21.71,21.8,21.61,21.8,6525618,Tăng
2024-06-27,21.8,22.33,21.61,22.04,8828191,Tăng
2024-06-28,22.04,22.09,21.8,22.09,7280157,Tăng
2024-07-01,22.09,22.24,21.9,22.19,5485523,Tăng
2024-07-02,22.24,23.24,22.24,23.15,16717433,Tăng
2024-07-03,23.24,23.53,23.24,23.53,11843592,Tăng
2024-07-04,23.63,23.63,23.34,23.58,8143218,Giảm
2024-07-05,23.63,23.63,23.24,23.44,8582460,Giảm
2024-07-08,23.53,23.53,23.24,23.44,7295892,Giảm
2024-07-09,23.34,24.3,23.34,24.25,14663829,Tăng
2024-07-10,24.25,24.4,23.82,23.96,8237097,Giảm
2024-07-11,23.96,24.4,23.96,24.3,11692500,Tăng
2024-07-12,24.45,24.5,23.95,24.15,8649550,Giảm
2024-07-15,24.2,24.45,24.1,24.4,8552812,Tăng
2024-07-16,24.45,24.8,24.35,24.75,7325834,Tăng
2024-07-17,24.8,25.4,24.6,25.2,16296570,Tăng
2024-07-18,25.25,25.3,24.6,25.1,8495028,Giảm
2024-07-19,25.15,25.2,24.7,24.95,6975007,Giảm
2024-07-22,24.85,25.3,24.6,25.3,10030026,Tăng
2024-07-23,25.35,25.4,24.8,25.05,8622338,Giảm
2024-07-24,24.85,25.1,24.6,25.05,8711212,Tăng
2024-07-25,24.95,25.05,24.65,25.05,5507622,Tăng
2024-07-26,25.05,25.3,24.95,25.1,5578509,Tăng
2024-07-29,25.15,25.25,25.05,25.25,5024136,Tăng
2024-07-30,25.25,25.3,25.05,25.3,4974304,Tăng
2024-07-31,25.4,26.3,25.35,26.3,9084301,Tăng
2024-08-01,26.35,26.7,25.7,25.8,8074417,Giảm
2024-08-02,25.6,26.1,24.9,26.1,9698315,Tăng
2024-08-05,25.7,26.0,24.3,24.5,10165308,Giảm
2024-08-06,25.0,25.3,24.35,24.85,6423751,Giảm
2024-08-07,24.9,25.0,24.25,24.85,6345119,Giảm
2024-08-08,24.55,25.5,24.55,24.95,8032370,Tăng
2024-08-09,25.3,25.65,25.05,25.5,5241441,Tăng
2024-08-12,25.6,26.0,25.2,25.55,9880230,Giảm
2024-08-13,25.65,26.1,25.4,25.95,5396744,Tăng
2024-08-14,26.2,26.2,25.75,25.9,4993112,Giảm
2024-08-15,25.9,26.8,25.9,26.15,6476388,Tăng
2024-08-16,26.4,27.05,25.95,27.05,8745379,Tăng
2024-08-19,27.15,27.4,26.85,27.0,5282877,Giảm
2024-08-20,26.95,27.15,26.7,26.8,4934041,Giảm
2024-08-21,26.8,27.25,26.7,27.1,6469313,Tăng
2024-08-22,27.1,27.2,26.75,27.1,5340909,Giảm
2024-08-23,27.1,27.15,26.85,27.1,4871082,Giảm
2024-08-26,27.15,27.2,26.85,27.1,6167406,Giảm
2024-08-27,27.15,27.2,26.95,27.1,5216128,Giảm
2024-08-28,27.2,27.25,26.95,27.05,5200114,Giảm
2024-08-29,27.1,27.65,27.05,27.35,7437302,Tăng
2024-08-30,27.45,27.7,27.3,27.7,5895062,Tăng
2024-09-04,27.45,27.5,26.85,27.1,5517829,Giảm
2024-09-05,27.2,27.2,26.7,26.95,5828682,Giảm
2024-09-06,26.95,27.0,26.7,26.75,5215967,Giảm
2024-09-09,26.8,26.8,26.15,26.5,5326975,Giảm
2024-09-10,26.6,26.6,26.1,26.3,6284070,Giảm
2024-09-11,26.3,26.4,25.95,26.35,5069680,Tăng
2024-09-12,26.45,26.45,26.15,26.2,4890084,Giảm
2024-09-13,26.3,26.5,26.15,26.4,4033440,Tăng
2024-09-16,26.4,26.4,26.05,26.2,4192627,Giảm
2024-09-17,26.25,26.6,26.0,26.6,4479750,Tăng
2024-09-18,26.55,26.75,26.45,26.7,5823162,Tăng
2024-09-19,26.7,26.9,26.6,26.85,6304062,Tăng
2024-09-20,26.9,27.2,26.85,27.05,8365747,Tăng
2024-09-23,27.1,27.15,26.8,27.0,6284150,Giảm
2024-09-24,27.0,27.05,26.8,27.0,6299099,Giảm
2024-09-25,27.1,27.35,27.0,27.25,7299305,Tăng
2024-09-26,27.25,28.4,27.2,28.3,18892561,Tăng
2024-09-27,28.4,28.6,28.1,28.3,10547494,Giảm
2024-09-30,28.4,28.4,27.75,28.2,9166289,Giảm
2024-10-01,28.2,28.25,27.85,28.0,9915921,Giảm
2024-10-02,27.9,28.0,27.45,27.55,9026959,Giảm
2024-10-03,27.6,28.0,27.5,27.65,9386269,Tăng
2024-10-04,27.7,27.7,27.3,27.3,8692892,Giảm
2024-10-07,27.3,27.3,26.7,26.85,9453047,Giảm
2024-10-08,26.9,27.5,26.65,27.2,10073895,Tăng
2024-10-09,27.25,27.25,26.9,27.0,11085211,Giảm
2024-10-10,27.1,27.55,27.1,27.45,10629004,Tăng
2024-10-11,27.45,27.45,27.1,27.35,7402773,Giảm
2024-10-14,27.4,27.45,27.0,27.0,7892871,Giảm
2024-10-15,27.05,27.2,26.95,27.15,7200958,Tăng
2024-10-16,27.05,27.05,26.65,27.05,10509122,Giảm
2024-10-17,27.0,27.0,26.6,26.6,10760230,Giảm
2024-10-18,26.7,27.0,26.65,27.0,8428325,Tăng
2024-10-21,27.0,27.05,26.85,26.95,5197017,Giảm
2024-10-22,26.95,27.0,26.7,27.0,7159843,Tăng
2024-10-23,27.0,27.0,26.6,26.95,7163042,Giảm
2024-10-24,26.95,26.95,26.6,26.9,5795759,Giảm
2024-10-25,26.9,26.9,26.65,26.9,5776980,Giảm
2024-10-28,26.85,26.9,26.5,26.65,6197191,Giảm
2024-10-29,26.75,27.4,26.7,27.3,8178496,Tăng
2024-10-30,27.3,27.35,27.05,27.2,6909391,Giảm
2024-10-31,27.2,27.2,26.9,26.9,8319543,Giảm
2024-11-01,26.9,26.95,26.55,26.55,8689253,Giảm
2024-11-04,26.6,26.6,26.05,26.05,7429158,Giảm
2024-11-05,26.0,26.25,25.9,26.05,5510066,Tăng
2024-11-06,26.05,26.4,26.05,26.4,6168581,Tăng
2024-11-07,26.45,26.5,26.2,26.25,6380569,Giảm
2024-11-08,26.25,26.25,25.9,26.25,7434413,Giảm
2024-11-11,26.25,26.25,25.35,25.55,8248358,Giảm
2024-11-12,25.3,25.9,25.3,25.8,6516167,Tăng
2024-11-13,25.7,25.95,25.5,25.65,7336175,Giảm
2024-11-14,25.65,25.65,25.2,25.25,7754480,Giảm
2024-11-15,25.25,25.25,24.6,24.7,9618323,Giảm
2024-11-18,24.65,24.9,24.25,24.55,10098005,Giảm
2024-11-19,24.6,24.85,24.45,24.65,8273807,Tăng
2024-11-20,24.6,24.85,24.3,24.65,9632732,Tăng
2024-11-21,24.65,24.8,24.4,24.8,8076028,Tăng
2024-11-22,24.8,24.9,24.65,24.7,7860323,Giảm
2024-11-25,24.7,24.8,24.65,24.7,7384934,Giảm
2024-11-26,24.7,25.2,24.65,25.05,6539942,Tăng
2024-11-27,25.05,25.35,25.0,25.15,7046763,Tăng
2024-11-28,25.2,25.55,24.95,25.3,7321843,Tăng
2024-11-29,25.35,25.5,25.15,25.35,5933061,Giảm
2024-12-02,25.4,25.5,25.25,25.4,5375780,Giảm
2024-12-03,25.9,26.15,25.6,26.05,11355323,Tăng
