time,open,high,low,close,volume,change
2023-12-07,25.14,25.36,24.5,25.09,49444696,Giảm
2023-12-08,25.27,25.68,25.0,25.18,52799031,Giảm
2023-12-11,25.18,25.27,24.82,25.0,17852876,Giảm
2023-12-12,25.0,25.64,25.0,25.41,31693150,Tăng
2023-12-13,25.55,25.64,24.82,24.86,33356819,Giảm
2023-12-14,25.05,25.05,24.59,24.59,31784558,Giảm
2023-12-15,24.64,24.73,24.32,24.36,34693422,Giảm
2023-12-18,24.46,24.55,24.18,24.18,14883440,Giảm
2023-12-19,24.18,24.73,24.14,24.73,20502049,Tăng
2023-12-20,24.73,24.86,24.64,24.73,17666787,Giảm
2023-12-21,24.64,24.82,24.5,24.73,14312119,Tăng
2023-12-22,24.73,24.86,24.59,24.59,17434981,Giảm
2023-12-25,24.68,25.09,24.68,24.96,20414974,Tăng
2023-12-26,24.91,25.36,24.91,25.27,33753533,Tăng
2023-12-27,25.32,25.46,25.23,25.23,19860170,Giảm
2023-12-28,25.23,25.64,25.14,25.41,31321948,Tăng
2023-12-29,25.41,25.55,25.27,25.41,20475453,Giảm
2024-01-02,25.55,25.59,24.96,24.96,22196509,Giảm
2024-01-03,24.91,25.27,24.91,25.27,18581664,Tăng
2024-01-04,25.27,25.55,25.18,25.23,38548706,Giảm
2024-01-05,25.23,25.36,25.05,25.27,17340693,Tăng
2024-01-08,25.41,25.68,25.32,25.32,31258576,Giảm
2024-01-09,25.36,25.41,25.0,25.18,28631164,Giảm
2024-01-10,25.18,25.23,24.77,24.86,32654545,Giảm
2024-01-11,24.96,25.14,24.91,25.0,15271976,Tăng
2024-01-12,24.86,24.96,24.59,24.68,28640291,Giảm
2024-01-15,24.73,24.96,24.64,24.64,12506342,Giảm
2024-01-16,24.64,25.27,24.59,25.27,19773999,Tăng
2024-01-17,25.32,25.41,25.14,25.14,23419285,Giảm
2024-01-18,25.18,25.32,25.09,25.14,12645044,Giảm
2024-01-19,25.23,25.36,25.09,25.27,14866159,Tăng
2024-01-22,25.46,26.05,25.32,25.73,66094584,Tăng
2024-01-23,25.86,25.91,25.68,25.77,21686564,Giảm
2024-01-24,25.73,25.91,25.68,25.68,16144379,Giảm
2024-01-25,25.68,25.82,25.46,25.68,15234746,Giảm
2024-01-26,25.82,25.91,25.68,25.77,14380956,Giảm
2024-01-29,25.77,25.82,25.46,25.46,21583456,Giảm
2024-01-30,25.46,25.55,25.32,25.46,17536929,Giảm
2024-01-31,25.41,25.55,25.23,25.23,24464533,Giảm
2024-02-01,25.23,25.55,25.18,25.32,10642909,Tăng
2024-02-02,25.18,25.55,25.18,25.36,14168885,Tăng
