time,open,high,low,close,volume,change
2023-12-07,17.76,17.95,17.66,17.86,13924335,Tăng
2023-12-08,17.86,17.95,17.76,17.81,7475062,Giảm
2023-12-11,17.81,17.86,17.66,17.76,4881115,Giảm
2023-12-12,17.76,17.86,17.71,17.86,4882018,Tăng
2023-12-13,17.86,17.95,17.66,17.66,7181020,Giảm
2023-12-14,17.76,17.81,17.61,17.66,5305711,Giảm
2023-12-15,17.66,17.81,17.61,17.66,5545275,Giảm
2023-12-18,17.66,17.76,17.56,17.61,5279756,Giảm
2023-12-19,17.61,17.81,17.56,17.76,5900950,Tăng
2023-12-20,17.76,17.81,17.66,17.76,3090866,Giảm
2023-12-21,17.71,17.76,17.61,17.76,3984203,Tăng
2023-12-22,17.76,18.05,17.71,17.9,8556099,Tăng
2023-12-25,17.95,18.15,17.9,18.0,6596548,Tăng
2023-12-26,18.0,18.1,17.9,18.05,4266363,Tăng
2023-12-27,18.1,18.1,17.95,18.0,5791162,Giảm
2023-12-28,18.0,18.2,17.95,18.15,9891014,Tăng
2023-12-29,18.2,18.44,18.15,18.25,13824310,Tăng
2024-01-02,18.3,18.59,18.25,18.44,13795931,Tăng
2024-01-03,18.34,18.78,18.3,18.74,13867158,Tăng
2024-01-04,18.74,20.01,18.74,19.67,49460264,Tăng
2024-01-05,19.67,20.06,19.67,20.06,22545252,Tăng
2024-01-08,20.16,20.4,19.96,20.25,20170178,Tăng
2024-01-09,20.3,20.45,20.06,20.4,19819773,Tăng
2024-01-10,20.4,20.69,20.2,20.45,24708606,Tăng
2024-01-11,20.45,20.64,20.06,20.2,24699072,Giảm
2024-01-12,20.06,21.08,19.96,20.89,45939222,Tăng
2024-01-15,21.04,21.43,20.94,20.99,25101956,Giảm
2024-01-16,20.99,21.04,20.69,21.04,17507709,Tăng
2024-01-17,21.13,21.33,20.84,21.04,20498402,Giảm
2024-01-18,20.94,21.28,20.84,21.23,23636665,Tăng
2024-01-19,21.33,21.67,21.23,21.57,21632516,Tăng
2024-01-22,21.82,22.06,21.52,21.62,29147259,Giảm
2024-01-23,21.62,21.87,21.43,21.48,15918094,Giảm
2024-01-24,21.38,21.67,21.33,21.43,12702423,Tăng
2024-01-25,21.48,21.48,21.23,21.43,14706039,Giảm
2024-01-26,21.43,21.67,21.43,21.52,9501696,Tăng
2024-01-29,21.52,21.96,21.52,21.67,15682580,Tăng
