time,open,high,low,close,volume,change
2023-12-07,40.73,40.78,39.19,40.53,10598704,Giảm
2023-12-08,40.48,42.66,40.08,42.26,16810802,Tăng
2023-12-11,42.26,42.31,41.57,42.16,6211799,Giảm
2023-12-12,42.16,42.26,41.77,42.16,5958365,Giảm
2023-12-13,42.46,43.26,41.22,41.37,10867507,Giảm
2023-12-14,41.77,41.97,41.07,41.27,6546661,Giảm
2023-12-15,41.27,41.27,40.18,40.43,9353465,Giảm
2023-12-18,40.63,40.63,39.19,39.29,8702188,Giảm
2023-12-19,39.19,40.58,38.89,40.33,5741334,Tăng
2023-12-20,40.33,42.06,40.18,42.06,12455352,Tăng
2023-12-21,41.87,42.36,41.52,42.31,7209719,Tăng
2023-12-22,42.12,42.31,41.67,42.02,6077323,Giảm
2023-12-25,42.02,43.36,42.02,42.31,8482228,Tăng
2023-12-26,42.21,42.81,42.02,42.36,6771030,Tăng
2023-12-27,42.36,42.71,42.21,42.51,5244966,Tăng
2023-12-28,42.51,42.91,42.46,42.71,6374234,Tăng
2023-12-29,42.86,42.96,42.31,42.46,4183218,Giảm
2024-01-02,42.76,42.96,41.82,42.12,7143270,Giảm
2024-01-03,42.06,43.11,41.67,42.86,6086184,Tăng
2024-01-04,42.86,43.45,42.66,42.86,8519623,Giảm
2024-01-05,42.86,43.75,42.66,43.5,9044887,Tăng
2024-01-08,43.95,43.95,42.86,42.86,6215699,Giảm
2024-01-09,42.81,42.86,42.06,42.36,9020560,Giảm
2024-01-10,42.36,42.56,41.57,41.92,6773587,Giảm
2024-01-11,41.92,42.81,41.87,42.12,4994094,Tăng
2024-01-12,41.52,42.26,41.47,41.57,7142308,Tăng
2024-01-15,42.21,42.96,41.92,42.56,8988879,Tăng
2024-01-16,42.56,44.05,42.46,43.95,17424732,Tăng
2024-01-17,43.95,45.24,43.95,44.54,12491662,Tăng
2024-01-18,44.54,45.49,44.25,45.49,8905753,Tăng
2024-01-19,45.64,46.33,44.94,45.69,10722345,Tăng
2024-01-22,45.74,45.93,44.79,45.78,7240140,Tăng
2024-01-23,45.78,45.78,44.89,45.04,6107162,Giảm
2024-01-24,44.84,45.09,44.0,44.05,9688323,Giảm
2024-01-25,43.9,44.84,43.75,44.84,7539783,Tăng
2024-01-26,44.64,45.14,44.4,44.54,3786071,Giảm
2024-01-29,44.6,44.79,44.15,44.25,4132041,Giảm
2024-01-30,44.25,45.09,44.15,45.04,7142787,Tăng
2024-01-31,45.34,45.54,44.3,44.64,8747005,Giảm
2024-02-01,44.64,46.33,44.64,45.84,11309166,Tăng
2024-02-02,46.13,47.03,45.74,47.03,11953031,Tăng
2024-02-05,47.12,47.22,46.43,47.03,7541893,Giảm
2024-02-06,47.12,47.12,46.43,46.63,5406983,Giảm
2024-02-07,46.58,46.68,46.08,46.23,5709528,Giảm
2024-02-15,46.58,46.63,45.49,45.49,9344418,Giảm
2024-02-16,46.03,46.23,45.44,45.93,5004113,Giảm
2024-02-19,46.13,46.83,45.78,46.43,7508409,Tăng
2024-02-20,46.58,46.58,45.64,46.43,7874063,Giảm
2024-02-21,46.33,46.33,45.64,45.74,6482170,Giảm
2024-02-22,45.93,45.93,44.84,44.94,11207252,Giảm
2024-02-23,44.94,45.19,43.6,43.65,17645284,Giảm
