time,open,high,low,close,volume,change
2023-12-07,34.45,34.45,33.49,33.83,956614,Giảm
2023-12-08,33.83,34.31,33.78,34.31,629925,Tăng
2023-12-11,34.55,34.55,33.88,34.31,372426,Giảm
2023-12-12,34.31,34.36,33.78,34.12,547575,Giảm
2023-12-13,34.07,34.16,33.4,33.4,939802,Giảm
2023-12-14,33.68,33.68,32.82,33.06,442388,Giảm
2023-12-15,33.2,33.44,33.01,33.01,448090,Giảm
2023-12-18,33.01,33.2,32.62,32.62,352381,Giảm
2023-12-19,32.72,32.82,32.29,32.67,305008,Giảm
2023-12-20,32.72,33.2,32.67,33.11,267145,Tăng
2023-12-21,32.72,32.87,32.72,32.72,358786,Giảm
2023-12-22,32.82,33.01,32.48,32.53,635929,Giảm
2023-12-25,32.58,33.4,32.58,33.35,674467,Tăng
2023-12-26,33.3,33.49,33.16,33.16,782903,Giảm
2023-12-27,33.4,33.44,33.06,33.16,457274,Giảm
2023-12-28,33.11,33.4,32.82,33.2,963315,Tăng
2023-12-29,33.2,33.35,33.11,33.2,523085,Giảm
2024-01-02,33.3,33.35,33.2,33.25,634812,Giảm
2024-01-03,33.25,33.59,33.11,33.59,808042,Tăng
2024-01-04,33.59,33.97,33.59,33.78,1705055,Tăng
2024-01-05,33.92,34.07,33.78,33.88,1409079,Giảm
2024-01-08,33.88,34.21,33.68,33.97,1404589,Tăng
2024-01-09,34.07,34.07,33.35,33.35,498609,Giảm
2024-01-10,33.49,33.64,33.3,33.54,605412,Tăng
2024-01-11,33.54,34.12,33.54,34.12,1123425,Tăng
2024-01-12,34.16,34.21,33.44,33.64,1009605,Giảm
2024-01-15,33.68,33.88,33.35,33.35,322356,Giảm
2024-01-16,33.3,33.49,33.3,33.44,311875,Tăng
2024-01-17,33.64,33.88,33.25,33.25,545724,Giảm
2024-01-18,33.49,33.49,33.16,33.2,339406,Giảm
2024-01-19,33.59,33.64,33.4,33.54,588898,Giảm
2024-01-22,33.59,33.64,33.4,33.44,314639,Giảm
2024-01-23,33.44,33.68,33.4,33.54,351684,Tăng
2024-01-24,33.54,33.64,33.3,33.35,348882,Giảm
2024-01-25,33.44,33.49,33.2,33.2,275454,Giảm
2024-01-26,33.3,33.49,33.2,33.2,280924,Giảm
2024-01-29,33.2,33.49,33.2,33.4,384441,Tăng
2024-01-30,33.4,33.59,33.35,33.44,323918,Tăng
2024-01-31,33.44,33.49,33.25,33.3,540842,Giảm
2024-02-01,33.2,33.44,33.2,33.3,394430,Tăng
2024-02-02,33.49,33.49,33.25,33.3,506928,Giảm
2024-02-05,33.3,33.49,33.2,33.25,589442,Giảm
2024-02-06,33.3,33.4,33.25,33.4,359358,Tăng
2024-02-07,33.4,33.68,33.3,33.44,523842,Tăng
2024-02-15,33.59,34.16,33.59,33.97,737296,Tăng
2024-02-16,33.97,34.02,33.68,33.97,517352,Giảm
2024-02-19,34.02,35.22,34.02,34.89,1887745,Tăng
2024-02-20,35.13,35.13,34.65,34.74,953097,Giảm
2024-02-21,34.65,34.79,34.31,34.41,890366,Giảm
2024-02-22,34.36,34.94,34.31,34.5,1340903,Tăng
2024-02-23,34.5,34.55,33.78,33.78,1447710,Giảm
2024-02-26,33.64,33.92,33.59,33.88,444511,Tăng
2024-02-27,33.97,35.13,33.97,34.31,1008741,Tăng
2024-02-28,34.55,35.61,34.55,34.84,2211861,Tăng
2024-02-29,34.94,35.03,34.36,34.5,839625,Giảm
2024-03-01,34.65,34.74,34.36,34.55,717942,Giảm
2024-03-04,35.08,35.08,34.6,34.6,933388,Giảm
2024-03-05,34.6,34.65,34.31,34.6,708348,Giảm
2024-03-06,34.84,35.51,34.7,34.89,1721377,Tăng
2024-03-07,35.13,36.09,34.94,36.09,2774817,Tăng
2024-03-08,36.09,36.48,35.32,35.42,1455828,Giảm
2024-03-11,35.32,35.37,34.55,34.6,1224731,Giảm
2024-03-12,34.6,35.18,34.6,34.98,880758,Tăng
2024-03-13,35.42,35.7,35.13,35.7,1173188,Tăng
2024-03-14,35.85,36.52,35.66,35.95,2857679,Tăng
2024-03-15,36.09,36.38,35.85,36.23,1565504,Tăng
2024-03-18,36.23,36.38,34.6,35.13,2849484,Giảm
2024-03-19,35.22,36.28,34.98,36.04,1382396,Tăng
2024-03-20,36.28,36.38,35.61,36.04,1272290,Giảm
2024-03-21,36.09,37.24,35.75,37.0,3063058,Tăng
2024-03-22,37.05,37.1,36.38,36.57,1528959,Giảm
2024-03-25,36.67,36.96,35.8,35.99,1721225,Giảm
2024-03-26,35.99,36.57,35.7,36.57,929373,Tăng
2024-03-27,36.62,37.05,36.19,36.57,1294708,Giảm
2024-03-28,36.48,36.72,36.04,36.14,1266217,Giảm
2024-03-29,36.28,36.38,35.8,35.9,1119314,Giảm
2024-04-01,35.85,36.38,35.75,36.04,682747,Tăng
2024-04-02,36.04,36.52,35.61,36.48,1468071,Tăng
2024-04-03,36.57,36.67,36.09,36.19,983200,Giảm
2024-04-04,36.19,36.19,35.66,35.75,963268,Giảm
2024-04-05,35.61,36.62,35.61,35.75,1296523,Tăng
2024-04-08,35.85,36.04,35.66,35.66,541118,Giảm
2024-04-09,35.66,35.95,35.46,35.75,437947,Tăng
2024-04-10,35.9,35.9,35.18,35.22,864131,Giảm
2024-04-11,35.13,35.13,34.74,34.94,826973,Giảm
2024-04-12,35.13,35.56,34.98,35.46,446121,Tăng
2024-04-15,35.51,35.8,33.49,34.65,927997,Giảm
2024-04-16,34.65,34.94,33.83,34.6,787402,Giảm
2024-04-17,34.65,34.65,33.88,33.97,449224,Giảm
2024-04-19,33.73,33.97,33.25,33.35,518813,Giảm
2024-04-22,33.68,33.88,33.25,33.35,411792,Giảm
2024-04-23,33.49,33.97,33.25,33.68,421100,Tăng
2024-04-24,33.73,33.97,33.64,33.92,742886,Tăng
2024-04-25,33.92,33.92,33.59,33.78,219805,Giảm
2024-04-26,33.78,34.36,33.68,34.36,422484,Tăng
2024-05-02,34.36,34.7,33.92,34.45,421250,Tăng
2024-05-03,34.74,34.84,34.5,34.65,519400,Giảm
2024-05-06,35.42,35.42,35.03,35.32,551512,Giảm
2024-05-07,35.46,37.39,35.42,37.24,3667823,Tăng
2024-05-08,37.24,38.88,36.67,38.5,2987411,Tăng
2024-05-09,38.5,39.07,37.77,38.69,2132572,Tăng
2024-05-10,38.69,39.17,38.21,38.59,1934314,Giảm
2024-05-13,38.98,38.98,38.3,38.35,1604669,Giảm
2024-05-14,38.6,38.7,37.3,37.5,1950446,Giảm
2024-05-15,37.5,38.6,37.5,38.2,1257406,Tăng
2024-05-16,38.55,38.85,38.1,38.2,1778821,Giảm
2024-05-17,38.25,38.25,37.4,37.95,2726222,Giảm
2024-05-20,38.0,38.55,38.0,38.0,1631170,Giảm
2024-05-21,37.7,37.95,37.0,37.5,2552910,Giảm
2024-05-22,37.6,38.2,37.4,37.7,1576562,Tăng
2024-05-23,37.8,40.3,37.6,40.3,5339203,Tăng
2024-05-24,41.2,42.4,40.25,41.0,5372537,Giảm
2024-05-27,41.2,41.85,40.5,41.3,3454500,Tăng
2024-05-28,41.8,41.9,41.1,41.55,3262202,Giảm
2024-05-29,41.8,42.8,41.25,41.5,4837209,Giảm
2024-05-30,41.0,41.45,40.35,41.35,3178965,Tăng
2024-05-31,41.3,41.3,40.8,41.0,1186375,Giảm
2024-06-03,41.2,42.4,41.2,41.5,2571348,Tăng
2024-06-04,41.5,42.15,41.35,41.7,2201852,Tăng
2024-06-05,41.7,42.5,41.5,41.85,2445957,Tăng
2024-06-06,41.75,42.35,40.8,41.9,2092206,Tăng
2024-06-07,42.0,42.1,41.25,41.5,1544548,Giảm
2024-06-10,41.55,42.2,41.5,41.95,1543970,Tăng
2024-06-11,42.1,43.4,42.1,43.2,3783609,Tăng
2024-06-12,43.2,43.3,42.5,43.1,1530392,Giảm
2024-06-13,43.3,43.3,42.15,42.2,2331676,Giảm
2024-06-14,42.2,42.55,40.5,40.5,3496473,Giảm
2024-06-17,40.6,40.8,39.9,39.9,2125535,Giảm
2024-06-18,40.8,41.3,40.3,41.0,1477556,Tăng
2024-06-19,41.05,41.5,40.55,41.5,1027609,Tăng
2024-06-20,41.9,42.1,40.6,41.3,1285549,Giảm
2024-06-21,41.5,42.65,40.8,42.3,1971769,Tăng
2024-06-24,42.6,42.8,40.75,40.75,2507110,Giảm
2024-06-25,40.75,41.4,40.7,41.0,854544,Tăng
2024-06-26,41.0,42.45,40.75,42.4,2057136,Tăng
2024-06-27,42.5,42.5,41.3,41.3,1068657,Giảm
2024-06-28,41.4,41.8,40.6,40.9,1456408,Giảm
2024-07-01,41.05,41.4,40.25,40.8,682864,Giảm
2024-07-02,41.35,41.35,40.8,41.35,660904,Giảm
2024-07-03,41.6,42.2,41.2,41.85,1462413,Tăng
2024-07-04,41.9,44.3,41.8,43.9,6019356,Tăng
2024-07-05,43.9,44.4,43.8,43.95,2476809,Tăng
2024-07-08,44.0,46.6,44.0,46.5,5316020,Tăng
2024-07-09,46.6,46.6,45.8,46.0,1999558,Giảm
2024-07-10,46.4,47.05,46.0,46.55,2764660,Tăng
2024-07-11,46.65,46.9,46.1,46.8,2442096,Tăng
2024-07-12,46.9,47.2,46.1,46.3,1818606,Giảm
2024-07-15,46.7,48.0,46.55,48.0,2716682,Tăng
2024-07-16,48.4,48.4,47.1,47.1,2057065,Giảm
2024-07-17,47.1,47.1,43.85,45.0,3845770,Giảm
2024-07-18,45.4,47.5,45.0,47.5,2700997,Tăng
2024-07-19,47.5,47.8,46.1,46.9,2055687,Giảm
2024-07-22,46.8,46.8,45.45,46.35,2145989,Giảm
2024-07-23,46.4,47.2,45.2,45.5,2258904,Giảm
2024-07-24,45.05,46.5,44.1,46.5,3365040,Tăng
2024-07-25,46.0,46.7,45.45,46.35,1152907,Tăng
2024-07-26,46.35,48.15,46.35,47.8,3344181,Tăng
2024-07-29,48.7,48.7,47.3,47.8,1353431,Giảm
2024-07-30,47.5,48.3,46.55,47.1,1700323,Giảm
2024-07-31,47.1,47.8,45.8,45.9,3185383,Giảm
2024-08-01,46.1,46.6,45.3,45.3,2572860,Giảm
2024-08-02,45.05,47.5,44.8,47.5,2541850,Tăng
2024-08-05,46.4,46.85,45.1,45.5,2339208,Giảm
2024-08-06,46.4,47.3,45.55,47.0,2130367,Tăng
2024-08-07,47.2,47.95,46.25,47.8,1945065,Tăng
2024-08-08,47.75,48.2,47.0,47.55,2288723,Giảm
2024-08-09,48.0,48.0,47.0,48.0,1398221,Giảm
2024-08-12,48.7,49.8,48.7,48.85,4058840,Tăng
2024-08-13,48.95,49.8,48.75,48.85,2216000,Giảm
2024-08-14,49.0,50.5,48.75,49.2,3085932,Tăng
2024-08-15,49.2,49.5,48.8,49.0,1245594,Giảm
2024-08-16,49.1,51.7,49.05,50.6,4588051,Tăng
2024-08-19,50.6,51.4,50.4,50.4,1224573,Giảm
2024-08-20,50.3,51.3,49.45,49.45,2520231,Giảm
2024-08-21,49.5,50.0,48.5,48.8,3226535,Giảm
2024-08-22,49.1,49.65,48.9,49.0,1066892,Giảm
2024-08-23,48.6,49.4,48.6,49.0,1219887,Tăng
2024-08-26,49.15,49.4,48.55,48.55,1460187,Giảm
2024-08-27,48.55,49.35,48.5,49.1,1208652,Tăng
2024-08-28,49.35,49.75,49.2,49.4,1088559,Tăng
2024-08-29,49.6,49.6,48.75,48.8,722890,Giảm
2024-08-30,48.8,49.0,48.55,48.6,893681,Giảm
2024-09-04,48.3,48.3,46.9,47.0,2545591,Giảm
2024-09-05,47.0,47.4,45.55,46.05,2979729,Giảm
2024-09-06,45.65,47.0,45.65,46.95,1278720,Tăng
2024-09-09,46.2,47.1,46.2,46.45,792019,Tăng
2024-09-10,46.9,46.95,46.1,46.4,1015688,Giảm
2024-09-11,46.5,46.5,45.75,45.8,836695,Giảm
2024-09-12,46.25,46.3,45.4,45.4,1270293,Giảm
2024-09-13,45.4,45.95,45.0,45.8,726513,Tăng
2024-09-16,46.45,46.45,45.0,45.0,814197,Giảm
2024-09-17,45.0,45.4,44.2,45.0,1126574,Giảm
2024-09-18,45.35,45.6,44.75,45.0,896345,Giảm
2024-09-19,45.05,45.35,44.55,45.35,1416716,Tăng
