time,open,high,low,close,volume,change
2023-12-07,11.55,11.7,11.45,11.5,5042827,Giảm
2023-12-08,11.6,11.85,11.55,11.65,6568236,Tăng
2023-12-11,11.7,11.75,11.55,11.6,2424770,Giảm
2023-12-12,11.65,11.7,11.5,11.6,3004098,Giảm
2023-12-13,11.6,11.6,11.4,11.4,4454691,Giảm
2023-12-14,11.45,11.5,11.25,11.3,3184511,Giảm
2023-12-15,11.35,11.4,11.2,11.2,6927056,Giảm
2023-12-18,11.25,11.3,11.1,11.1,3360564,Giảm
2023-12-19,11.1,11.25,11.1,11.2,2565237,Tăng
2023-12-20,11.3,11.35,11.2,11.3,2902994,Giảm
2023-12-21,11.3,11.35,11.25,11.3,2089514,Giảm
2023-12-22,11.35,11.35,11.15,11.25,4127305,Giảm
2023-12-25,11.3,11.4,11.2,11.3,3861297,Giảm
2023-12-26,11.3,11.4,11.2,11.25,3915443,Giảm
2023-12-27,11.35,11.35,11.15,11.15,6909594,Giảm
2023-12-28,11.25,11.3,11.15,11.25,2967743,Giảm
2023-12-29,11.25,11.3,11.2,11.25,5572357,Giảm
2024-01-02,11.3,11.35,11.2,11.25,3503865,Giảm
2024-01-03,11.25,11.4,11.2,11.4,4521631,Tăng
2024-01-04,11.45,11.6,11.4,11.45,7750844,Giảm
2024-01-05,11.45,11.5,11.3,11.3,4311823,Giảm
2024-01-08,11.35,11.45,11.3,11.4,6007994,Tăng
2024-01-09,11.4,11.45,11.35,11.45,4061524,Tăng
2024-01-10,11.5,11.55,11.35,11.4,4322985,Giảm
2024-01-11,11.4,11.8,11.4,11.65,11456846,Tăng
2024-01-12,11.75,11.75,11.35,11.45,8297550,Giảm
2024-01-15,11.55,11.6,11.4,11.4,4256228,Giảm
2024-01-16,11.4,11.5,11.35,11.5,2790085,Tăng
2024-01-17,11.5,11.55,11.4,11.4,4247033,Giảm
2024-01-18,11.4,11.45,11.35,11.4,3572793,Giảm
2024-01-19,11.45,11.6,11.45,11.55,5919733,Tăng
2024-01-22,11.6,11.65,11.45,11.55,4025464,Giảm
2024-01-23,11.55,11.6,11.4,11.45,4088058,Giảm
2024-01-24,11.45,11.5,11.35,11.4,3626721,Giảm
2024-01-25,11.4,11.45,11.35,11.45,1764191,Tăng
2024-01-26,11.4,11.45,11.4,11.4,2316991,Giảm
2024-01-29,11.45,11.5,11.4,11.4,3348309,Giảm
2024-01-30,11.45,11.65,11.4,11.5,7276277,Tăng
2024-01-31,11.55,11.55,11.35,11.35,4574416,Giảm
2024-02-01,11.35,11.45,11.3,11.35,2542279,Giảm
2024-02-02,11.4,11.4,11.3,11.3,2619127,Giảm
2024-02-05,11.35,11.35,11.25,11.25,3683131,Giảm
2024-02-06,11.3,11.35,11.25,11.35,3945611,Tăng
2024-02-07,11.35,11.4,11.3,11.35,2858745,Giảm
2024-02-15,11.4,11.45,11.35,11.4,4293271,Giảm
2024-02-16,11.45,11.5,11.4,11.5,2897892,Tăng
2024-02-19,11.5,12.1,11.5,12.0,22521564,Tăng
2024-02-20,12.05,12.25,11.85,11.9,7681169,Giảm
2024-02-21,11.85,11.9,11.75,11.8,6654882,Giảm
2024-02-22,11.8,11.9,11.75,11.75,5357705,Giảm
2024-02-23,11.8,11.85,11.5,11.5,9335672,Giảm
2024-02-26,11.5,11.6,11.45,11.55,6814875,Tăng
2024-02-27,11.6,11.8,11.55,11.75,6556994,Tăng
2024-02-28,11.85,11.9,11.75,11.8,7061368,Giảm
2024-02-29,11.9,11.9,11.65,11.65,6479655,Giảm
2024-03-01,11.65,11.75,11.6,11.75,4803429,Tăng
2024-03-04,11.85,11.9,11.75,11.85,7089976,Giảm
2024-03-05,11.85,11.9,11.75,11.85,4591531,Giảm
2024-03-06,11.8,12.1,11.8,11.9,8877090,Tăng
2024-03-07,11.9,11.95,11.75,11.85,5717255,Giảm
2024-03-08,11.9,12.05,11.7,11.7,13574209,Giảm
