time,open,high,low,close,volume,change
2023-12-07,62.23,62.23,61.38,61.95,627406,Giảm
2023-12-08,62.33,62.33,61.48,61.95,556866,Giảm
2023-12-11,62.04,62.42,61.48,61.86,384307,Giảm
2023-12-12,61.86,62.23,61.29,61.38,361335,Giảm
2023-12-13,61.57,62.14,60.44,60.44,747146,Giảm
2023-12-14,60.82,61.29,59.5,59.5,427966,Giảm
2023-12-15,59.59,60.06,59.31,59.31,845260,Giảm
2023-12-18,59.4,59.4,57.89,58.08,592149,Giảm
2023-12-19,58.46,59.02,58.08,58.74,528498,Tăng
2023-12-20,58.74,59.21,58.46,58.55,565769,Giảm
2023-12-21,58.08,58.74,58.08,58.55,445382,Tăng
2023-12-22,58.55,58.65,58.08,58.08,640727,Giảm
2023-12-25,57.98,59.59,57.98,58.55,547509,Tăng
2023-12-26,58.84,59.5,58.84,59.21,358033,Tăng
2023-12-27,59.4,59.78,58.65,58.65,647201,Giảm
2023-12-28,59.12,59.59,58.74,58.74,868844,Giảm
2023-12-29,59.5,59.97,59.21,59.5,1569131,Giảm
2024-01-02,60.35,60.72,59.78,59.97,771225,Giảm
2024-01-03,60.16,60.16,59.68,59.97,558138,Giảm
2024-01-04,60.16,60.55,60.16,60.35,774491,Tăng
2024-01-05,60.35,60.35,59.58,59.87,709246,Giảm
2024-01-08,59.87,60.26,59.87,60.06,655600,Tăng
2024-01-09,59.97,60.26,59.48,59.58,559039,Giảm
2024-01-10,59.58,59.58,58.61,58.81,822458,Giảm
2024-01-11,58.81,59.77,58.81,59.39,489824,Tăng
2024-01-12,59.39,59.39,58.52,59.1,498278,Giảm
2024-01-15,59.0,59.48,58.42,58.42,443433,Giảm
2024-01-16,58.52,58.61,58.13,58.42,266902,Giảm
2024-01-17,58.42,58.61,58.22,58.42,470452,Giảm
2024-01-18,58.71,58.71,58.42,58.52,446740,Giảm
2024-01-19,59.77,59.77,58.81,59.39,715634,Giảm
2024-01-22,59.58,59.58,58.81,58.9,360503,Giảm
2024-01-23,58.9,59.0,58.32,58.32,346852,Giảm
2024-01-24,58.32,58.52,58.13,58.32,472781,Giảm
2024-01-25,58.32,58.42,56.87,56.87,1395775,Giảm
2024-01-26,57.06,57.16,55.03,55.42,2068422,Giảm
2024-01-29,55.42,57.06,55.42,56.0,702548,Tăng
2024-01-30,56.1,56.1,55.32,55.32,733465,Giảm
2024-01-31,55.42,56.0,54.45,54.45,1098018,Giảm
2024-02-01,54.55,55.81,54.55,55.61,592985,Tăng
2024-02-02,55.71,56.0,55.13,55.13,544853,Giảm
2024-02-05,55.32,55.52,55.03,55.13,883732,Giảm
2024-02-06,55.13,55.52,54.94,55.42,671760,Tăng
2024-02-07,55.42,56.0,55.23,55.9,569318,Tăng
2024-02-15,56.0,56.87,56.0,56.48,865475,Tăng
2024-02-16,56.58,56.78,55.9,56.1,1079912,Giảm
2024-02-19,56.1,56.19,55.32,56.0,1269141,Giảm
2024-02-20,56.39,57.64,56.1,56.68,1644045,Tăng
2024-02-21,57.06,57.06,56.0,56.19,1133039,Giảm
2024-02-22,56.19,56.58,56.0,56.1,789630,Giảm
2024-02-23,56.1,56.29,55.03,55.13,1500691,Giảm
2024-02-26,55.32,55.52,54.55,54.74,810486,Giảm
2024-02-27,54.74,54.74,53.97,54.45,1760729,Giảm
2024-02-28,54.65,55.81,54.65,55.81,1091315,Tăng
2024-02-29,56.1,57.26,56.0,56.58,2672516,Tăng
2024-03-01,56.87,56.97,56.19,56.68,848894,Giảm
2024-03-04,56.78,57.06,56.29,56.39,1253807,Giảm
2024-03-05,56.48,56.97,56.0,56.97,1004691,Tăng
2024-03-06,57.26,59.77,57.16,59.29,4282708,Tăng
2024-03-07,59.29,60.26,58.32,58.61,2510848,Giảm
2024-03-08,58.9,59.1,57.55,58.03,1826294,Giảm
2024-03-11,58.03,58.52,57.06,57.36,2347402,Giảm
2024-03-12,57.36,58.03,57.06,57.16,1291139,Giảm
2024-03-13,57.36,57.64,56.68,57.64,1487461,Tăng
2024-03-14,57.94,58.03,56.78,56.78,1459529,Giảm
2024-03-15,56.78,56.87,55.52,56.1,2038776,Giảm
2024-03-18,56.19,56.68,54.26,54.84,1834550,Giảm
2024-03-19,55.42,55.52,54.74,55.03,654999,Giảm
2024-03-20,55.13,55.23,54.55,55.03,740367,Giảm
2024-03-21,55.52,55.71,55.23,55.32,738922,Giảm
2024-03-22,55.61,55.71,55.23,55.42,699223,Giảm
2024-03-25,55.42,55.81,54.94,55.13,1086958,Giảm
2024-03-26,55.13,55.32,54.74,55.03,911011,Giảm
2024-03-27,55.13,55.9,55.03,55.61,599038,Tăng
