time,open,high,low,close,volume,change
2023-12-07,10.58,10.82,10.49,10.58,35310697,Giảm
2023-12-08,10.58,10.73,10.49,10.54,18863399,Giảm
2023-12-11,10.58,10.73,10.54,10.68,21553542,Tăng
2023-12-12,10.68,10.78,10.63,10.63,20441817,Giảm
2023-12-13,10.68,10.73,10.44,10.44,20476908,Giảm
2023-12-14,10.49,10.54,10.34,10.34,20162971,Giảm
2023-12-15,10.39,10.49,10.3,10.34,18986591,Giảm
2023-12-18,10.39,10.39,10.2,10.25,13539242,Giảm
2023-12-19,10.2,10.3,10.15,10.25,14407625,Tăng
2023-12-20,10.3,10.34,10.2,10.25,6808288,Giảm
2023-12-21,10.2,10.3,10.2,10.2,9625824,Giảm
2023-12-22,10.25,10.34,10.2,10.25,10064368,Giảm
2023-12-25,10.25,10.39,10.25,10.3,8686861,Tăng
2023-12-26,10.34,10.39,10.25,10.25,14663627,Giảm
2023-12-27,10.3,10.34,10.25,10.3,7830123,Giảm
2023-12-28,10.34,10.39,10.25,10.34,9639399,Giảm
2023-12-29,10.39,10.49,10.34,10.34,11759842,Giảm
2024-01-02,10.44,10.63,10.39,10.49,24650546,Tăng
2024-01-03,10.49,10.78,10.49,10.78,30258929,Tăng
2024-01-04,10.82,11.25,10.78,10.97,61559539,Tăng
2024-01-05,11.02,11.11,10.87,11.06,39868353,Tăng
2024-01-08,11.16,11.25,11.06,11.21,38352791,Tăng
2024-01-09,11.21,11.25,11.06,11.21,29827357,Giảm
2024-01-10,11.21,11.68,11.11,11.49,94333607,Tăng
2024-01-11,11.59,11.88,11.49,11.59,46158798,Giảm
2024-01-12,11.4,11.92,11.35,11.78,64625731,Tăng
2024-01-15,11.88,11.97,11.64,11.64,37231017,Giảm
2024-01-16,11.54,11.68,11.45,11.68,34307856,Tăng
2024-01-17,11.68,11.83,11.49,11.49,37169813,Giảm
2024-01-18,11.49,11.59,11.45,11.54,25149958,Tăng
2024-01-19,11.64,11.68,11.54,11.64,23410883,Giảm
2024-01-22,11.78,11.78,11.59,11.64,31816843,Giảm
2024-01-23,11.64,11.73,11.54,11.59,31046299,Giảm
2024-01-24,11.59,11.88,11.54,11.68,50220966,Tăng
2024-01-25,11.73,11.83,11.68,11.73,27270594,Giảm
2024-01-26,11.78,11.83,11.73,11.83,21724036,Tăng
2024-01-29,11.88,11.97,11.78,11.78,21325556,Giảm
2024-01-30,11.78,11.83,11.68,11.78,17121371,Giảm
2024-01-31,11.68,11.73,11.02,11.11,127121255,Giảm
2024-02-01,11.11,11.25,11.02,11.11,20172715,Giảm
2024-02-02,11.16,11.21,10.87,10.97,37987789,Giảm
2024-02-05,10.92,11.35,10.92,11.25,38733629,Tăng
2024-02-06,11.35,11.35,11.06,11.06,17883152,Giảm
2024-02-07,11.11,11.25,11.06,11.16,22747940,Tăng
2024-02-15,11.25,11.64,11.21,11.4,44497151,Tăng
2024-02-16,11.49,11.59,11.35,11.4,21027857,Giảm
2024-02-19,11.49,11.59,11.35,11.49,24134787,Giảm
2024-02-20,11.49,11.59,11.3,11.35,23246358,Giảm
2024-02-21,11.4,11.49,11.3,11.4,21828395,Giảm
2024-02-22,11.49,11.83,11.45,11.59,44925666,Tăng
2024-02-23,11.59,11.78,11.35,11.35,50675265,Giảm
2024-02-26,11.35,11.4,11.21,11.25,29271563,Giảm
2024-02-27,11.3,11.4,11.21,11.4,26098326,Tăng
2024-02-28,11.45,11.45,11.3,11.4,20487601,Giảm
2024-02-29,11.49,11.54,11.25,11.3,30603858,Giảm
2024-03-01,11.35,11.4,11.25,11.4,27251324,Tăng
2024-03-04,11.45,11.49,11.3,11.35,24841455,Giảm
2024-03-05,11.35,11.4,11.21,11.35,22729306,Giảm
2024-03-06,11.3,11.54,11.25,11.3,32553176,Giảm
2024-03-07,11.35,11.45,11.25,11.4,20280698,Tăng
2024-03-08,11.45,11.49,11.21,11.21,26203785,Giảm
2024-03-11,11.21,11.21,10.87,10.92,30066232,Giảm
2024-03-12,10.87,10.97,10.78,10.82,22469306,Giảm
2024-03-13,10.82,11.11,10.82,11.06,14862621,Tăng
2024-03-14,11.11,11.11,10.92,10.97,17681547,Giảm
2024-03-15,10.97,11.02,10.87,10.92,17717722,Giảm
2024-03-18,10.92,11.02,10.54,10.68,32012445,Giảm
2024-03-19,10.73,10.82,10.68,10.73,11499527,Giảm
2024-03-20,10.73,10.97,10.63,10.87,23453200,Tăng
2024-03-21,10.97,11.06,10.87,10.97,21471698,Giảm
2024-03-22,11.06,11.21,10.97,11.06,26773781,Giảm
2024-03-25,11.06,11.11,10.97,10.97,20821063,Giảm
