time,open,high,low,close,volume,change
2023-12-07,19.94,19.98,19.81,19.98,1386339,Tăng
2023-12-08,19.98,19.98,19.81,19.98,1421193,Giảm
2023-12-11,19.9,19.98,19.81,19.94,1078777,Tăng
2023-12-12,19.94,19.94,19.81,19.94,1165999,Giảm
2023-12-13,19.94,19.98,19.81,19.9,1115474,Giảm
2023-12-14,19.9,19.98,19.81,19.9,1035101,Giảm
2023-12-15,19.85,19.9,19.72,19.9,1231768,Tăng
2023-12-18,19.9,19.9,19.72,19.9,1082268,Giảm
2023-12-19,19.72,19.9,19.72,19.9,1005212,Tăng
2023-12-20,19.72,19.9,19.72,19.9,1026116,Tăng
2023-12-21,19.9,19.9,19.76,19.9,1151121,Giảm
2023-12-22,19.9,19.94,19.72,19.9,1245738,Giảm
2023-12-25,19.9,20.03,19.81,19.94,1082226,Tăng
2023-12-26,19.94,20.03,19.85,19.98,1004496,Tăng
2023-12-27,19.98,20.03,19.94,19.94,1035073,Giảm
2023-12-28,19.94,21.13,19.85,20.82,1321862,Tăng
2023-12-29,20.86,21.08,20.86,21.04,1220462,Tăng
2024-01-02,21.04,21.22,20.42,21.08,1283313,Tăng
2024-01-03,21.08,21.08,20.51,20.51,1271031,Giảm
2024-01-04,20.56,21.04,20.29,20.73,1178659,Tăng
2024-01-05,20.73,21.04,20.6,20.78,1134446,Tăng
2024-01-08,20.78,20.86,20.51,20.51,1050832,Giảm
2024-01-09,20.38,20.69,20.38,20.64,1080732,Tăng
2024-01-10,20.64,20.69,20.38,20.6,1268679,Giảm
2024-01-11,20.6,21.04,20.42,20.78,1367620,Tăng
2024-01-12,20.78,20.78,20.47,20.64,1200913,Giảm
2024-01-15,20.64,20.64,20.47,20.51,1185571,Giảm
2024-01-16,20.29,20.56,20.07,20.2,1124126,Giảm
2024-01-17,20.16,20.38,20.11,20.29,1633675,Tăng
2024-01-18,20.34,20.38,20.16,20.29,1982922,Giảm
2024-01-19,20.29,20.38,20.2,20.34,1857110,Tăng
2024-01-22,20.38,20.51,20.29,20.47,1726954,Tăng
2024-01-23,20.47,20.51,20.16,20.34,1378928,Giảm
2024-01-24,20.29,20.47,20.07,20.34,1390683,Tăng
2024-01-25,20.38,20.38,20.11,20.34,1371296,Giảm
2024-01-26,20.16,20.34,20.16,20.34,1452888,Tăng
2024-01-29,20.29,20.34,20.16,20.25,1345391,Giảm
2024-01-30,20.16,20.25,20.07,20.25,1383719,Tăng
2024-01-31,20.25,20.34,19.72,20.16,1616651,Giảm
2024-02-01,19.98,20.16,19.81,20.03,1354998,Tăng
2024-02-02,19.98,20.07,19.54,20.03,2020251,Tăng
2024-02-05,20.03,20.29,19.68,20.25,1574234,Tăng
2024-02-06,20.25,20.34,20.03,20.25,1345912,Giảm
2024-02-07,20.2,20.42,19.98,20.42,1475384,Tăng
2024-02-15,20.42,20.51,20.11,20.47,1561541,Tăng
2024-02-16,20.51,20.51,20.25,20.47,1301006,Giảm
2024-02-19,20.47,20.51,20.11,20.29,1430719,Giảm
2024-02-20,20.34,20.34,20.03,20.25,1495967,Giảm
2024-02-21,20.11,20.29,19.9,20.2,1681549,Tăng
2024-02-22,20.2,20.25,19.94,20.25,1391538,Tăng
2024-02-23,20.25,20.42,20.07,20.25,1502059,Giảm
2024-02-26,20.07,20.25,19.98,20.16,1290611,Tăng
2024-02-27,20.16,20.16,19.85,20.16,1765623,Giảm
2024-02-28,19.94,20.2,19.9,20.2,1603321,Tăng
2024-02-29,20.2,20.25,19.94,20.16,1433794,Giảm
2024-03-01,19.98,20.2,19.94,20.2,1385983,Tăng
2024-03-04,20.2,20.25,19.98,20.11,1503749,Giảm
2024-03-05,20.11,20.11,19.94,20.11,1450299,Giảm
2024-03-06,19.98,20.11,19.85,20.03,1532248,Tăng
2024-03-07,20.03,20.03,19.85,20.03,1442536,Giảm
2024-03-08,20.03,20.07,19.76,19.98,1385788,Giảm
2024-03-11,19.94,19.98,19.59,19.85,1764656,Giảm
2024-03-12,19.9,19.9,19.59,19.85,1474802,Giảm
2024-03-13,19.85,19.94,19.63,19.9,1416086,Tăng
