time,open,high,low,close,volume,change
2023-12-07,26.23,26.31,25.02,25.65,44220824,Giảm
2023-12-08,25.53,25.76,25.22,25.45,18084242,Giảm
2023-12-11,25.45,25.8,25.06,25.53,20001338,Tăng
2023-12-12,25.61,25.76,25.37,25.45,12456871,Giảm
2023-12-13,25.68,25.72,24.98,24.98,21552744,Giảm
2023-12-14,25.37,25.37,24.9,24.98,15660959,Giảm
2023-12-15,25.06,25.37,24.75,24.83,19873990,Giảm
2023-12-18,24.86,25.1,24.71,24.75,11327005,Giảm
2023-12-19,24.79,25.1,24.48,25.1,15690880,Tăng
2023-12-20,25.1,25.45,24.94,25.22,13508830,Tăng
2023-12-21,25.02,25.22,24.98,25.14,8085167,Tăng
2023-12-22,25.26,25.72,25.14,25.26,17461200,Giảm
2023-12-25,25.26,25.57,25.06,25.41,13956840,Tăng
2023-12-26,25.45,25.68,25.37,25.57,14008666,Tăng
2023-12-27,25.72,25.88,25.61,25.61,16105571,Giảm
2023-12-28,25.65,25.88,25.49,25.76,10899256,Tăng
2023-12-29,25.72,25.84,25.57,25.61,12793611,Giảm
2024-01-02,25.76,25.92,25.37,25.37,18056240,Giảm
2024-01-03,25.26,25.72,25.22,25.72,11410808,Tăng
2024-01-04,25.76,26.7,25.76,26.23,58726383,Tăng
2024-01-05,26.39,26.66,26.23,26.66,25144024,Tăng
2024-01-08,26.9,26.93,26.54,26.62,20735618,Giảm
2024-01-09,26.7,26.82,26.47,26.54,18989909,Giảm
2024-01-10,26.5,26.58,26.04,26.31,23834249,Giảm
2024-01-11,26.35,26.86,26.23,26.47,25477178,Tăng
2024-01-12,26.23,26.54,26.04,26.43,25263290,Tăng
2024-01-15,26.54,26.62,25.76,25.76,22252177,Giảm
2024-01-16,25.76,26.15,25.57,26.15,19319481,Tăng
2024-01-17,26.15,26.93,26.11,26.27,26225492,Tăng
2024-01-18,26.39,26.58,26.27,26.39,14739610,Giảm
2024-01-19,26.54,26.62,26.08,26.31,22395072,Giảm
2024-01-22,26.47,26.54,26.08,26.5,16818935,Tăng
2024-01-23,26.54,26.62,26.27,26.39,12568658,Giảm
2024-01-24,26.35,26.86,26.31,26.54,27358980,Tăng
2024-01-25,26.58,26.7,26.43,26.5,10944446,Giảm
2024-01-26,26.66,26.82,26.5,26.62,14292358,Giảm
2024-01-29,26.7,26.86,26.43,26.5,12263168,Giảm
2024-01-30,26.43,26.66,26.39,26.66,11908039,Tăng
2024-01-31,26.78,27.44,26.7,26.86,44828105,Tăng
2024-02-01,26.9,27.21,26.86,27.05,11157027,Tăng
