time,open,high,low,close,volume,change
2023-12-07,28.3,28.95,28.05,28.55,29265387,Tăng
2023-12-08,28.7,28.85,28.2,28.2,14680362,Giảm
2023-12-11,28.3,28.4,27.85,27.85,14346313,Giảm
2023-12-12,27.95,28.1,27.8,28.0,6954986,Tăng
2023-12-13,28.0,28.2,27.45,27.45,20642224,Giảm
2023-12-14,27.7,27.75,27.1,27.1,14267576,Giảm
2023-12-15,27.1,27.45,27.05,27.1,12860483,Giảm
2023-12-18,27.1,27.2,26.3,26.3,21732647,Giảm
2023-12-19,26.3,26.6,25.85,26.6,18264138,Tăng
2023-12-20,26.7,26.95,26.45,26.95,8219175,Tăng
2023-12-21,26.75,26.85,26.5,26.6,10020837,Giảm
2023-12-22,26.6,27.45,26.3,27.2,22254504,Tăng
2023-12-25,27.25,27.8,27.25,27.5,12753428,Tăng
2023-12-26,27.6,27.6,27.15,27.5,13849870,Giảm
2023-12-27,27.5,27.65,27.35,27.4,10686692,Giảm
2023-12-28,27.45,27.8,27.35,27.6,10409411,Tăng
2023-12-29,27.65,28.1,27.6,27.95,16018347,Tăng
2024-01-02,28.0,28.15,27.75,27.75,14815625,Giảm
2024-01-03,27.75,28.5,27.6,28.5,19993388,Tăng
2024-01-04,28.6,29.55,28.5,28.6,31418651,Giảm
2024-01-05,29.0,29.45,28.85,29.3,31294814,Tăng
2024-01-08,29.6,29.65,29.0,29.2,15857047,Giảm
2024-01-09,29.2,29.5,29.1,29.2,16762949,Giảm
2024-01-10,29.1,29.8,29.1,29.45,25105891,Tăng
2024-01-11,29.7,29.95,29.2,29.5,24453815,Giảm
2024-01-12,29.3,30.15,29.1,29.9,41149942,Tăng
2024-01-15,30.1,30.25,29.7,29.8,13059866,Giảm
2024-01-16,29.75,29.9,29.6,29.9,13165088,Tăng
2024-01-17,29.9,30.05,29.7,29.7,15241706,Giảm
2024-01-18,29.75,30.25,29.65,29.8,14264464,Tăng
2024-01-19,30.0,30.3,29.95,30.3,19386002,Tăng
2024-01-22,30.5,30.6,30.15,30.25,13402881,Giảm
2024-01-23,30.35,30.7,30.25,30.5,17928786,Tăng
2024-01-24,30.45,31.25,30.4,30.75,24683004,Tăng
2024-01-25,31.0,31.0,30.3,30.5,17448413,Giảm
2024-01-26,30.7,30.7,30.2,30.3,15141920,Giảm
2024-01-29,30.3,30.65,30.3,30.35,8936603,Tăng
2024-01-30,30.35,30.7,30.3,30.7,11434467,Tăng
2024-01-31,30.75,30.9,29.8,29.9,34440710,Giảm
2024-02-01,29.9,30.15,29.7,29.8,10676211,Giảm
2024-02-02,29.95,30.15,29.75,29.9,10082220,Giảm
2024-02-05,30.0,30.85,29.85,30.6,20318799,Tăng
2024-02-06,30.8,31.1,30.7,30.8,13440045,Giảm
2024-02-07,30.75,31.2,30.75,31.1,12203955,Tăng
2024-02-15,31.2,31.7,31.0,31.25,17191502,Tăng
2024-02-16,31.3,31.4,30.75,30.8,20797470,Giảm
2024-02-19,30.95,30.95,30.45,30.7,15783572,Giảm
2024-02-20,30.7,31.05,30.55,30.7,16161281,Giảm
2024-02-21,31.0,32.0,30.85,31.5,44469935,Tăng
2024-02-22,31.4,31.5,31.0,31.05,15528581,Giảm
2024-02-23,31.15,31.55,30.65,30.65,33555215,Giảm
2024-02-26,30.65,30.75,30.15,30.5,24766318,Giảm
2024-02-27,30.6,30.85,30.35,30.75,15453918,Tăng
2024-02-28,30.85,31.5,30.75,31.4,28488223,Tăng
