time,open,high,low,close,volume,change
2023-12-07,14.81,15.06,14.69,14.96,5845954,Tăng
2023-12-08,14.96,15.03,14.84,15.01,2750225,Tăng
2023-12-11,15.01,15.03,14.86,14.96,1615268,Giảm
2023-12-12,14.96,15.06,14.91,15.06,2168646,Tăng
2023-12-13,15.1,15.1,14.79,14.79,3109879,Giảm
2023-12-14,14.94,14.96,14.81,14.81,2553679,Giảm
2023-12-15,14.81,14.94,14.74,14.84,2153765,Tăng
2023-12-18,14.84,14.86,14.57,14.57,2379664,Giảm
2023-12-19,14.55,14.84,14.45,14.84,2110482,Tăng
2023-12-20,14.69,14.81,14.62,14.72,1747233,Tăng
2023-12-21,14.69,14.86,14.62,14.86,2483222,Tăng
2023-12-22,14.79,14.94,14.76,14.84,1854701,Tăng
2023-12-25,14.94,15.03,14.84,15.01,2573593,Tăng
2023-12-26,14.96,15.03,14.91,14.94,1508215,Giảm
2023-12-27,14.96,15.1,14.96,14.96,2016434,Giảm
2023-12-28,14.98,15.35,14.98,15.27,5754815,Tăng
2023-12-29,15.37,15.49,15.27,15.42,4233088,Tăng
2024-01-02,15.47,15.64,15.42,15.56,3711936,Tăng
2024-01-03,15.47,15.81,15.44,15.81,5612090,Tăng
2024-01-04,15.81,16.32,15.78,16.05,10076237,Tăng
2024-01-05,16.05,16.2,16.0,16.1,3571390,Tăng
2024-01-08,16.24,16.56,16.17,16.54,6326633,Tăng
2024-01-09,16.49,16.73,16.39,16.73,6902873,Tăng
2024-01-10,16.75,16.83,16.61,16.68,7191724,Giảm
2024-01-11,16.63,16.78,16.39,16.56,6733180,Giảm
2024-01-12,16.41,16.83,16.27,16.8,10188187,Tăng
2024-01-15,16.83,16.88,16.63,16.63,3728651,Giảm
2024-01-16,16.54,16.58,16.39,16.56,4460247,Tăng
2024-01-17,16.56,16.8,16.49,16.51,4420973,Giảm
2024-01-18,16.61,16.78,16.51,16.68,4109183,Tăng
2024-01-19,16.78,17.04,16.73,16.95,7949602,Tăng
2024-01-22,17.12,17.12,16.83,16.95,4315163,Giảm
2024-01-23,17.21,17.46,17.16,17.19,10077334,Giảm
2024-01-24,17.09,17.24,17.09,17.09,3142400,Giảm
2024-01-25,17.09,17.09,16.92,16.97,4272604,Giảm
2024-01-26,17.0,17.21,16.97,17.16,3146339,Tăng
2024-01-29,17.19,17.29,17.07,17.09,3146439,Giảm
2024-01-30,17.02,17.09,16.83,17.07,5208589,Tăng
2024-01-31,17.07,17.09,16.68,16.75,5382180,Giảm
2024-02-01,16.7,16.8,16.49,16.56,6211892,Giảm
2024-02-02,16.49,16.7,16.49,16.56,7865577,Tăng
2024-02-05,16.7,17.46,16.68,17.21,9602258,Tăng
2024-02-06,17.29,17.55,17.26,17.29,4015381,Giảm
2024-02-07,17.36,18.09,17.36,18.09,11169540,Tăng
2024-02-15,18.18,18.89,18.16,18.62,13075633,Tăng
2024-02-16,18.67,18.77,18.38,18.67,7221365,Giảm
2024-02-19,18.69,18.93,18.64,18.86,9737540,Tăng
2024-02-20,18.81,18.91,18.67,18.86,5415889,Tăng
2024-02-21,18.79,19.08,18.72,18.91,7676668,Tăng
2024-02-22,18.91,19.57,18.89,19.54,9648022,Tăng
2024-02-23,19.76,20.54,19.4,19.44,16448608,Giảm
