time,open,high,low,close,volume,change
2023-12-07,14.19,14.27,13.99,14.23,15079464,Tăng
2023-12-08,14.19,14.35,14.11,14.15,4737848,Giảm
2023-12-11,14.15,14.23,14.07,14.07,4331665,Giảm
2023-12-12,14.11,14.15,13.99,14.07,2416307,Giảm
2023-12-13,14.11,14.11,13.78,13.78,3335319,Giảm
2023-12-14,13.86,13.95,13.66,13.7,3330261,Giảm
2023-12-15,13.78,13.82,13.66,13.74,3380612,Giảm
2023-12-18,13.7,13.78,13.58,13.7,3077529,Giảm
2023-12-19,13.62,13.78,13.58,13.78,2429238,Tăng
2023-12-20,13.7,13.78,13.66,13.7,2825458,Giảm
2023-12-21,13.7,13.7,13.54,13.7,2097571,Giảm
2023-12-22,13.7,13.74,13.58,13.7,2374078,Giảm
2023-12-25,13.7,13.86,13.7,13.82,2548254,Tăng
2023-12-26,13.86,13.86,13.74,13.78,2030227,Giảm
2023-12-27,13.78,14.07,13.78,14.07,5357747,Tăng
2023-12-28,14.03,14.07,13.9,14.03,3899546,Giảm
2023-12-29,14.11,14.15,13.99,14.11,3048145,Giảm
2024-01-02,14.15,14.19,13.99,14.03,6972007,Giảm
2024-01-03,13.99,14.15,13.86,14.15,7156654,Tăng
2024-01-04,14.19,14.76,14.11,14.51,30604262,Tăng
2024-01-05,14.51,14.72,14.39,14.59,11027926,Tăng
2024-01-08,14.76,14.76,14.43,14.55,10135587,Giảm
2024-01-09,14.59,14.64,14.35,14.39,10505693,Giảm
2024-01-10,14.43,15.08,14.39,15.0,24221574,Tăng
2024-01-11,15.0,15.4,14.88,15.0,18119563,Giảm
2024-01-12,14.88,15.24,14.72,15.04,18903546,Tăng
2024-01-15,15.2,15.24,14.84,14.84,6965814,Giảm
2024-01-16,14.76,15.08,14.76,15.08,9335413,Tăng
2024-01-17,15.04,15.16,14.88,14.88,7455094,Giảm
2024-01-18,14.88,14.96,14.76,14.96,5370589,Tăng
2024-01-19,14.96,15.12,14.92,15.08,5652900,Tăng
2024-01-22,15.08,15.16,14.96,15.12,8799064,Tăng
2024-01-23,15.12,15.24,15.0,15.08,9422714,Giảm
2024-01-24,15.04,15.04,14.8,14.84,9179066,Giảm
2024-01-25,14.84,14.84,14.72,14.72,5631807,Giảm
2024-01-26,14.76,15.0,14.72,14.84,3899828,Tăng
2024-01-29,14.84,14.92,14.72,14.72,2948966,Giảm
2024-01-30,14.72,14.96,14.72,14.84,7023878,Tăng
2024-01-31,14.96,14.96,14.43,14.47,8858005,Giảm
2024-02-01,14.47,14.64,14.43,14.47,5057592,Giảm
2024-02-02,14.51,14.55,14.19,14.19,9175641,Giảm
2024-02-05,14.19,14.8,14.19,14.72,18714346,Tăng
2024-02-06,14.8,14.88,14.68,14.68,9957893,Giảm
2024-02-07,14.68,15.08,14.68,15.0,14678695,Tăng
2024-02-15,15.12,15.53,15.08,15.28,25902501,Tăng
2024-02-16,15.32,15.45,15.24,15.32,14364194,Giảm
2024-02-19,15.32,15.36,15.12,15.24,8782998,Giảm
2024-02-20,15.2,15.28,15.12,15.2,9315850,Giảm
2024-02-21,15.2,15.81,15.04,15.81,31800025,Tăng
2024-02-22,15.81,16.01,15.57,15.85,15647874,Tăng
2024-02-23,15.89,16.3,15.49,15.49,43609529,Giảm
2024-02-26,15.45,15.65,15.36,15.53,8203673,Tăng
2024-02-27,15.53,15.65,15.28,15.53,15272359,Giảm
2024-02-28,15.61,16.22,15.49,16.22,25604492,Tăng
2024-02-29,16.22,16.42,15.97,16.09,30163480,Giảm
2024-03-01,16.09,16.18,15.85,16.09,14285287,Giảm
2024-03-04,16.14,16.18,15.81,15.89,15044312,Giảm
2024-03-05,15.89,15.89,15.65,15.73,12297029,Giảm
2024-03-06,15.73,15.93,15.49,15.57,10019615,Giảm
2024-03-07,15.69,15.69,15.53,15.61,9138978,Giảm
2024-03-08,15.61,15.65,15.08,15.08,22069265,Giảm
2024-03-11,15.04,15.24,14.92,15.0,11039443,Giảm
2024-03-12,15.0,15.16,14.96,15.0,7981563,Giảm
2024-03-13,15.0,15.4,14.96,15.4,7645139,Tăng
2024-03-14,15.4,15.45,15.08,15.2,7678563,Giảm
2024-03-15,15.16,15.4,14.96,15.24,9001479,Tăng
2024-03-18,15.4,15.4,14.35,14.84,13706020,Giảm
2024-03-19,14.84,14.92,14.76,14.76,4383580,Giảm
2024-03-20,14.76,15.2,14.55,15.08,15981272,Tăng
2024-03-21,15.24,15.28,15.0,15.2,9185199,Giảm
2024-03-22,15.24,15.61,15.12,15.2,17972329,Giảm
2024-03-25,15.24,15.61,15.16,15.4,17585868,Tăng
2024-03-26,15.4,15.57,15.32,15.53,10845104,Tăng
2024-03-27,15.57,15.61,15.4,15.57,6032387,Giảm
2024-03-28,15.73,15.81,15.4,15.49,10136151,Giảm
2024-03-29,15.57,15.57,15.4,15.49,5777111,Giảm
2024-04-01,15.4,15.45,15.12,15.2,10022082,Giảm
2024-04-02,15.12,15.28,14.84,15.28,10361316,Tăng
2024-04-03,15.24,15.24,14.96,15.0,8205356,Giảm
2024-04-04,15.0,15.04,14.84,14.92,11409380,Giảm
2024-04-05,14.76,14.88,14.68,14.76,9631727,Giảm
2024-04-08,14.76,15.08,14.68,14.8,11669502,Tăng
2024-04-09,14.88,15.08,14.72,15.08,4447989,Tăng
2024-04-10,15.12,15.12,14.88,14.88,4269718,Giảm
2024-04-11,14.68,14.88,14.68,14.88,6872629,Tăng
