time,open,high,low,close,volume,change
2023-12-07,85.7,86.0,85.0,85.2,993875,Giảm
2023-12-08,85.2,85.5,85.0,85.0,1184278,Giảm
2023-12-11,85.0,85.3,84.1,84.2,1401171,Giảm
2023-12-12,84.7,84.7,84.0,84.2,1007855,Giảm
2023-12-13,84.2,84.5,83.7,83.7,1154515,Giảm
2023-12-14,84.0,84.5,84.0,84.4,841937,Tăng
2023-12-15,84.0,84.4,82.2,82.2,2531751,Giảm
2023-12-18,82.8,82.9,81.5,81.5,1805761,Giảm
2023-12-19,81.5,81.5,80.1,81.2,1964252,Giảm
2023-12-20,81.2,81.3,80.5,81.1,1873375,Giảm
2023-12-21,81.0,81.0,80.3,80.9,2031463,Giảm
2023-12-22,80.9,81.1,80.4,80.9,1581238,Giảm
2023-12-25,80.9,81.8,80.7,81.8,1303639,Tăng
2023-12-26,82.0,82.8,82.0,82.8,973002,Tăng
2023-12-27,82.9,83.2,82.5,82.7,900989,Giảm
2023-12-28,82.7,83.1,82.4,82.8,704577,Tăng
2023-12-29,83.5,83.9,80.3,80.3,1623585,Giảm
2024-01-02,82.9,83.6,82.2,83.5,1788420,Tăng
2024-01-03,83.5,84.5,82.8,84.5,1374590,Tăng
2024-01-04,84.5,86.2,84.0,85.9,2660779,Tăng
2024-01-05,85.9,86.2,85.7,86.2,1181807,Tăng
2024-01-08,86.3,86.8,86.3,86.8,1611721,Tăng
2024-01-09,86.8,87.9,86.8,87.8,1928985,Tăng
2024-01-10,87.8,89.5,87.2,89.5,1800328,Tăng
2024-01-11,89.5,90.0,88.6,89.3,1491432,Giảm
2024-01-12,88.1,89.5,87.4,88.7,1911967,Tăng
2024-01-15,89.0,90.1,88.9,90.0,1916364,Tăng
2024-01-16,89.0,90.1,88.9,90.0,1368816,Tăng
2024-01-17,89.0,91.0,89.0,90.9,1581258,Tăng
2024-01-18,90.9,91.2,90.0,91.1,1424696,Tăng
2024-01-19,91.0,93.0,90.4,92.6,1477733,Tăng
2024-01-22,93.5,93.5,92.0,92.0,1048242,Giảm
2024-01-23,92.1,92.4,90.4,91.5,1259446,Giảm
2024-01-24,91.6,92.0,90.9,91.1,746187,Giảm
2024-01-25,91.1,91.6,90.7,91.0,505031,Giảm
2024-01-26,91.6,92.0,91.4,92.0,953670,Tăng
2024-01-29,91.8,92.0,90.9,91.2,732044,Giảm
2024-01-30,91.2,91.2,90.1,91.0,889895,Giảm
2024-01-31,90.6,90.6,88.5,88.5,947351,Giảm
2024-02-01,88.0,90.2,88.0,89.8,598963,Tăng
2024-02-02,89.1,90.5,89.1,90.3,734186,Tăng
2024-02-05,90.2,90.6,89.4,90.0,1950335,Giảm
2024-02-06,90.3,90.6,89.1,89.5,1353403,Giảm
2024-02-07,90.0,90.8,89.3,90.0,1372449,Giảm
2024-02-15,90.0,90.7,89.1,89.9,1047830,Giảm
2024-02-16,89.9,90.2,89.5,89.6,735346,Giảm
2024-02-19,89.9,90.5,89.3,90.2,1046679,Tăng
2024-02-20,90.1,91.4,89.4,91.3,1405753,Tăng
2024-02-21,91.7,91.7,90.5,91.2,1369259,Giảm
2024-02-22,90.6,91.0,89.5,89.5,1224789,Giảm
2024-02-23,89.5,91.4,88.9,88.9,1802815,Giảm
2024-02-26,88.9,90.0,88.9,89.5,722488,Tăng
2024-02-27,89.6,91.2,89.1,91.1,1608348,Tăng
2024-02-28,91.0,97.4,90.4,97.4,4227766,Tăng
2024-02-29,98.5,100.5,97.3,97.3,1902870,Giảm
2024-03-01,98.2,98.2,94.9,97.3,2383117,Giảm
2024-03-04,98.0,98.0,95.6,96.0,1643680,Giảm
2024-03-05,96.6,96.6,95.2,95.5,1366903,Giảm
2024-03-06,95.5,96.8,95.1,95.6,2072535,Tăng
2024-03-07,95.9,97.4,95.5,95.8,2364334,Giảm
2024-03-08,95.9,96.5,95.1,95.1,2231150,Giảm
2024-03-11,95.1,96.0,94.1,94.1,1842420,Giảm
2024-03-12,94.1,94.9,94.0,94.4,1108496,Tăng
2024-03-13,94.9,96.5,94.3,96.0,3126592,Tăng
2024-03-14,96.0,96.1,94.6,95.0,2322431,Giảm
2024-03-15,95.0,95.0,93.9,94.0,2304560,Giảm
2024-03-18,94.3,94.5,92.5,93.0,1843874,Giảm
2024-03-19,92.5,93.5,92.5,92.5,870431,Giảm
2024-03-20,92.5,94.1,92.5,93.2,899448,Tăng
2024-03-21,94.0,95.5,94.0,95.2,1454765,Tăng
2024-03-22,95.2,96.8,95.2,96.4,1846861,Tăng
2024-03-25,95.0,96.9,94.1,95.7,1370504,Tăng
2024-03-26,96.0,96.6,95.8,96.3,736873,Tăng
2024-03-27,96.2,96.2,95.6,95.8,1047647,Giảm
2024-03-28,96.2,96.4,95.6,95.7,1233566,Giảm
2024-03-29,95.9,95.9,94.9,94.9,801942,Giảm
2024-04-01,94.9,96.0,94.7,95.2,1222710,Tăng
2024-04-02,95.1,95.2,93.9,94.5,970357,Giảm
2024-04-03,94.4,94.8,93.8,93.8,1323149,Giảm
2024-04-04,94.9,96.0,94.4,96.0,2024326,Tăng
2024-04-05,94.8,95.6,94.2,94.9,780020,Tăng
2024-04-08,94.9,95.3,94.2,94.9,865357,Giảm
2024-04-09,95.0,95.4,94.2,94.3,688518,Giảm
2024-04-10,94.3,94.6,94.1,94.5,738740,Tăng
2024-04-11,94.0,94.6,93.5,94.0,778946,Giảm
2024-04-12,94.5,95.5,93.8,94.6,846008,Tăng
2024-04-15,94.6,96.5,92.0,92.0,1902194,Giảm
2024-04-16,93.8,93.8,90.5,91.0,1860102,Giảm
2024-04-17,91.2,92.1,89.5,90.5,1454446,Giảm
2024-04-19,90.0,90.9,89.7,90.5,1326423,Tăng
2024-04-22,90.5,91.4,90.2,90.6,999830,Tăng
2024-04-23,90.6,91.2,89.2,90.1,1565162,Giảm
2024-04-24,91.0,91.1,90.1,90.6,1926287,Giảm
2024-04-25,90.6,92.9,90.5,91.0,1236861,Tăng
2024-04-26,91.7,93.3,91.2,91.2,1699786,Giảm
