time,open,high,low,close,volume,change
2023-12-07,40.45,40.55,39.4,39.7,11346794,Giảm
2023-12-08,39.7,40.1,39.45,39.65,9896138,Giảm
2023-12-11,40.15,41.3,40.1,41.0,8702563,Tăng
2023-12-12,41.0,41.3,40.75,41.05,6171848,Tăng
2023-12-13,41.2,41.65,40.65,40.75,9943249,Giảm
2023-12-14,41.1,41.25,40.25,40.3,4706774,Giảm
2023-12-15,40.45,40.55,39.85,39.9,6801507,Giảm
2023-12-18,40.2,40.2,39.85,39.9,3564888,Giảm
2023-12-19,39.9,39.95,39.3,39.5,5229860,Giảm
2023-12-20,39.85,39.95,39.5,39.95,2358415,Tăng
2023-12-21,39.7,40.45,39.65,40.2,3558160,Tăng
2023-12-22,40.2,40.4,40.0,40.3,3290547,Tăng
2023-12-25,40.3,41.25,40.3,41.2,5960459,Tăng
2023-12-26,41.5,42.2,41.3,41.9,10397855,Tăng
2023-12-27,42.0,42.15,41.85,41.9,6037479,Giảm
2023-12-28,42.1,43.8,42.05,43.7,13136725,Tăng
2023-12-29,44.05,44.1,43.2,43.2,5327943,Giảm
2024-01-02,43.3,43.75,42.55,43.0,7591730,Giảm
2024-01-03,42.6,43.4,42.55,43.4,6114634,Tăng
2024-01-04,43.55,43.7,43.25,43.45,8780655,Giảm
2024-01-05,43.45,43.55,43.05,43.1,4510634,Giảm
2024-01-08,43.2,43.85,42.9,43.35,6216748,Tăng
2024-01-09,43.15,43.3,42.65,43.0,6379398,Giảm
2024-01-10,43.0,43.0,42.1,42.7,6792763,Giảm
2024-01-11,42.5,43.05,42.0,42.0,6971310,Giảm
2024-01-12,41.8,41.9,40.9,41.3,8330552,Giảm
2024-01-15,41.8,41.85,41.4,41.6,3151249,Giảm
2024-01-16,41.6,42.65,41.45,42.65,3776742,Tăng
2024-01-17,42.65,42.85,41.9,41.9,6345684,Giảm
2024-01-18,42.25,43.5,42.05,43.2,8941804,Tăng
2024-01-19,43.35,43.6,43.0,43.05,5533944,Giảm
2024-01-22,43.35,43.45,42.8,43.0,4711104,Giảm
2024-01-23,43.05,43.2,42.3,42.35,5258263,Giảm
2024-01-24,42.35,42.95,42.3,42.5,2743314,Tăng
2024-01-25,42.5,42.5,42.05,42.1,2297052,Giảm
2024-01-26,42.2,42.5,42.0,42.0,4353577,Giảm
2024-01-29,42.3,42.3,41.8,41.8,3168351,Giảm
2024-01-30,41.8,42.3,41.7,42.0,2910566,Tăng
2024-01-31,42.05,42.25,41.5,41.5,6310175,Giảm
2024-02-01,41.35,41.5,41.1,41.2,7109228,Giảm
2024-02-02,41.5,42.1,41.15,41.2,5777556,Giảm
2024-02-05,41.4,41.6,41.1,41.25,3363623,Giảm
2024-02-06,41.4,41.45,41.0,41.0,5537080,Giảm
2024-02-07,41.05,41.85,41.0,41.8,3770219,Tăng
2024-02-15,42.15,42.2,41.8,41.95,4319070,Giảm
2024-02-16,42.15,42.8,41.95,42.7,6027229,Tăng
2024-02-19,43.0,45.65,42.9,45.55,20165747,Tăng
