time,open,high,low,close,volume,change
2023-12-07,15.57,15.73,15.41,15.57,7028850,Giảm
2023-12-08,15.57,15.69,15.53,15.61,4537577,Tăng
2023-12-11,15.65,15.65,15.41,15.49,2209542,Giảm
2023-12-12,15.57,15.57,15.37,15.49,2263735,Giảm
2023-12-13,15.49,15.65,15.37,15.37,3331922,Giảm
2023-12-14,15.49,15.49,15.25,15.25,3054410,Giảm
2023-12-15,15.21,15.37,15.17,15.17,1781644,Giảm
2023-12-18,15.17,15.21,14.93,14.97,3754088,Giảm
2023-12-19,14.85,15.05,14.85,15.05,2103160,Tăng
2023-12-20,15.17,15.17,15.01,15.09,1710162,Giảm
2023-12-21,15.05,15.17,15.01,15.13,1390855,Tăng
2023-12-22,15.17,15.25,15.01,15.13,1881898,Giảm
2023-12-25,15.17,15.45,15.13,15.37,1529363,Tăng
2023-12-26,15.37,15.45,15.33,15.45,1731404,Tăng
2023-12-27,15.41,15.53,15.41,15.49,1901118,Tăng
2023-12-28,15.53,15.85,15.49,15.85,5152603,Tăng
2023-12-29,15.9,16.06,15.81,15.81,8960038,Giảm
2024-01-02,15.85,16.06,15.85,15.98,4385836,Tăng
2024-01-03,15.98,16.22,15.9,16.22,4471802,Tăng
2024-01-04,16.3,16.86,16.18,16.46,10168396,Tăng
2024-01-05,16.46,16.7,16.46,16.7,4439462,Tăng
2024-01-08,16.86,16.94,16.7,16.86,6163094,Giảm
2024-01-09,16.94,16.94,16.78,16.9,3893999,Giảm
2024-01-10,16.86,17.07,16.78,16.98,4785302,Tăng
2024-01-11,16.98,17.19,16.9,17.07,6949054,Tăng
2024-01-12,16.9,17.1,16.78,16.98,9661250,Tăng
2024-01-15,17.02,17.39,17.02,17.1,6443765,Tăng
2024-01-16,17.02,17.35,16.98,17.35,4250612,Tăng
2024-01-17,17.35,17.47,17.27,17.27,4950215,Giảm
2024-01-18,17.27,17.31,17.1,17.27,3621430,Giảm
2024-01-19,17.43,17.56,17.35,17.52,3579909,Tăng
2024-01-22,17.56,17.68,17.35,17.52,4195704,Giảm
2024-01-23,17.52,17.64,17.35,17.39,4132352,Giảm
2024-01-24,17.39,17.47,17.27,17.31,2286152,Giảm
2024-01-25,17.35,17.35,17.06,17.1,3844774,Giảm
2024-01-26,17.14,17.31,17.14,17.27,2173111,Tăng
2024-01-29,17.31,17.35,17.18,17.27,2177461,Giảm
2024-01-30,17.31,17.35,17.1,17.35,3595464,Tăng
2024-01-31,17.43,17.47,17.06,17.22,5758417,Giảm
2024-02-01,17.22,17.27,16.98,17.14,4251822,Giảm
2024-02-02,17.1,17.14,16.81,16.81,7524899,Giảm
2024-02-05,16.89,17.68,16.85,17.6,10212882,Tăng
2024-02-06,17.85,18.18,17.68,17.76,7386370,Giảm
2024-02-07,17.93,18.01,17.76,18.01,11242761,Tăng
2024-02-15,18.26,18.55,18.18,18.34,14546750,Tăng
2024-02-16,18.51,18.51,18.14,18.34,5230031,Giảm
2024-02-19,18.43,18.43,18.05,18.26,7477741,Giảm
2024-02-20,18.3,18.72,18.18,18.43,6742874,Tăng
2024-02-21,18.68,18.72,18.43,18.51,5642418,Giảm
2024-02-22,18.59,18.68,18.43,18.68,4237895,Tăng
2024-02-23,18.68,18.88,18.18,18.26,14812104,Giảm
2024-02-26,18.18,18.26,17.97,18.22,4289391,Tăng
2024-02-27,18.26,18.26,18.05,18.22,4721252,Giảm
2024-02-28,18.3,18.39,18.14,18.34,4678327,Tăng
2024-02-29,18.59,18.59,18.1,18.18,6364458,Giảm
2024-03-01,18.14,18.18,17.89,18.18,4831690,Tăng
2024-03-04,18.26,18.39,17.93,18.26,7385465,Giảm
2024-03-05,18.26,18.34,18.1,18.34,3309168,Tăng
2024-03-06,18.43,18.55,18.14,18.18,5296529,Giảm
2024-03-07,18.22,18.22,18.05,18.14,5708770,Giảm
2024-03-08,18.22,18.26,17.89,17.89,7432906,Giảm
2024-03-11,17.89,17.97,17.68,17.68,3388780,Giảm
2024-03-12,17.76,17.76,17.6,17.68,3516583,Giảm
2024-03-13,17.85,18.34,17.64,18.3,4028859,Tăng
2024-03-14,18.39,18.39,17.93,18.01,3861291,Giảm
2024-03-15,18.14,18.76,18.01,18.68,8529132,Tăng
2024-03-18,18.88,18.88,18.05,18.47,6286039,Giảm
2024-03-19,18.47,18.55,18.18,18.34,3976219,Giảm
2024-03-20,18.55,19.59,18.26,19.59,27164537,Tăng
2024-03-21,19.84,20.25,19.63,20.17,10269547,Tăng
2024-03-22,20.17,20.46,19.76,20.09,9231521,Giảm
2024-03-25,20.05,20.54,19.63,19.88,7517819,Giảm
2024-03-26,19.84,20.25,19.8,20.21,5058696,Tăng
2024-03-27,20.21,20.21,19.88,20.09,5553488,Giảm
2024-03-28,20.34,20.54,19.88,20.13,8015399,Giảm
2024-03-29,20.13,20.75,19.92,20.42,6182733,Tăng
2024-04-01,20.25,20.42,19.88,20.17,5856500,Giảm
2024-04-02,19.96,20.17,19.55,20.0,11614642,Tăng
2024-04-03,20.0,20.0,19.51,19.55,8774197,Giảm
2024-04-04,19.55,19.67,19.26,19.26,7721306,Giảm
2024-04-05,19.01,19.13,18.76,18.84,7372929,Giảm
2024-04-08,18.84,18.97,18.72,18.84,8402870,Giảm
2024-04-09,18.84,19.18,18.8,19.13,5834346,Tăng
2024-04-10,19.3,19.3,19.01,19.01,6596477,Giảm
2024-04-11,18.93,19.01,18.76,19.01,4587029,Tăng
2024-04-12,19.18,19.59,18.97,19.59,9059475,Tăng
2024-04-15,19.59,19.76,18.64,18.68,11383671,Giảm
2024-04-16,18.76,19.09,18.26,18.72,9412942,Giảm
2024-04-17,19.06,19.1,18.38,18.38,7522195,Giảm
2024-04-19,17.95,18.38,17.91,18.03,8954253,Tăng
2024-04-22,18.08,18.29,18.03,18.12,5871976,Tăng
2024-04-23,18.12,18.42,17.78,17.95,6479202,Giảm
2024-04-24,18.03,18.46,18.03,18.29,4444940,Tăng
2024-04-25,18.29,18.38,17.99,18.08,3794531,Giảm
2024-04-26,17.86,18.2,17.86,18.03,2907977,Tăng
