time,open,high,low,close,volume,change
2023-12-07,42.8,43.2,41.9,42.8,4456617,Giảm
2023-12-08,42.6,43.05,42.55,42.95,2655052,Tăng
2023-12-11,43.25,44.35,43.25,44.05,5298706,Tăng
2023-12-12,44.05,44.4,44.0,44.25,2777999,Tăng
2023-12-13,44.1,44.35,43.2,43.9,3978030,Giảm
2023-12-14,43.95,44.05,43.45,43.8,3045113,Giảm
2023-12-15,43.7,43.95,43.05,43.7,6068694,Giảm
2023-12-18,43.7,43.95,43.05,43.2,2347367,Giảm
2023-12-19,43.3,43.3,42.3,43.2,2816581,Giảm
2023-12-20,42.95,43.45,42.85,43.25,1761694,Tăng
2023-12-21,43.0,43.3,42.8,43.2,1892061,Tăng
2023-12-22,43.2,43.35,42.75,43.15,2002652,Giảm
2023-12-25,43.1,43.55,43.0,43.4,1979879,Tăng
2023-12-26,43.4,43.75,43.35,43.55,1766330,Tăng
2023-12-27,43.65,43.95,43.6,43.6,1851342,Giảm
2023-12-28,43.6,44.6,43.6,44.45,4075667,Tăng
2023-12-29,44.65,44.85,44.45,44.6,2172536,Giảm
2024-01-02,44.95,44.95,44.0,44.0,2284931,Giảm
2024-01-03,43.5,44.15,43.5,44.15,2277071,Tăng
2024-01-04,44.15,44.4,43.8,44.15,2340552,Giảm
2024-01-05,44.15,44.2,43.9,44.1,1483990,Giảm
2024-01-08,44.45,44.75,44.1,44.35,2537739,Giảm
2024-01-09,44.3,44.4,43.9,43.9,1606614,Giảm
2024-01-10,43.9,44.05,43.2,43.6,2678758,Giảm
2024-01-11,43.6,44.0,43.4,43.65,1667559,Tăng
2024-01-12,43.5,43.5,42.7,43.0,2971794,Giảm
2024-01-15,43.5,43.5,43.05,43.05,1457599,Giảm
2024-01-16,43.0,43.25,42.85,43.15,1437992,Tăng
2024-01-17,43.15,43.45,42.95,43.2,1880531,Tăng
2024-01-18,43.0,43.5,43.0,43.35,1726203,Tăng
2024-01-19,43.35,43.45,43.15,43.3,2906906,Giảm
2024-01-22,43.5,43.5,43.15,43.3,1694115,Giảm
2024-01-23,43.4,43.4,42.9,43.1,2213543,Giảm
2024-01-24,43.2,43.25,42.9,43.15,1695959,Giảm
2024-01-25,43.1,43.1,42.8,42.8,1156705,Giảm
2024-01-26,42.7,43.0,42.65,42.8,1809396,Tăng
2024-01-29,42.8,42.85,42.4,42.65,1818669,Giảm
2024-01-30,42.65,42.8,42.5,42.7,1334887,Tăng
2024-01-31,42.7,42.8,42.1,42.5,2741896,Giảm
2024-02-01,42.45,42.5,42.05,42.35,2198185,Giảm
2024-02-02,42.35,42.5,42.05,42.1,1983722,Giảm
2024-02-05,42.2,42.2,41.8,42.2,2695220,Giảm
2024-02-06,42.25,42.35,41.9,42.3,1596415,Tăng
2024-02-07,42.3,42.4,42.0,42.4,1597298,Tăng
2024-02-15,42.5,42.8,42.2,42.55,1937352,Tăng
2024-02-16,42.55,44.15,42.5,43.95,4997596,Tăng
2024-02-19,44.3,47.0,44.3,47.0,16653816,Tăng
2024-02-20,48.0,49.35,47.9,48.5,8987903,Tăng
2024-02-21,48.55,48.55,47.1,47.25,6658534,Giảm
2024-02-22,47.25,47.7,47.0,47.6,4027415,Tăng
2024-02-23,47.95,47.95,45.2,45.2,9887996,Giảm
2024-02-26,45.35,45.75,44.3,44.6,5096811,Giảm
2024-02-27,44.8,45.65,44.35,45.15,4374017,Tăng
2024-02-28,45.9,46.4,45.25,45.6,3374436,Giảm
2024-02-29,46.0,46.15,45.0,45.0,4021847,Giảm
2024-03-01,45.0,45.6,44.85,45.25,2986239,Tăng
2024-03-04,45.3,45.75,45.15,45.25,3742869,Giảm
2024-03-05,45.2,45.5,45.0,45.3,3156457,Tăng
2024-03-06,45.3,46.85,45.2,45.3,4657669,Giảm
2024-03-07,45.6,45.85,45.35,45.6,2469235,Giảm
2024-03-08,46.0,46.0,44.8,44.8,3902115,Giảm
2024-03-11,44.9,45.25,44.35,44.35,3457455,Giảm
2024-03-12,44.35,44.6,44.05,44.15,2840004,Giảm
2024-03-13,44.25,45.0,44.1,45.0,2241005,Tăng
2024-03-14,45.2,46.85,45.0,45.95,6026937,Tăng
2024-03-15,45.9,46.0,44.4,44.4,4816578,Giảm
2024-03-18,44.85,46.2,43.9,46.1,7739070,Tăng
2024-03-19,46.2,47.3,45.6,47.0,7834465,Tăng
2024-03-20,46.8,47.0,45.8,46.5,4699233,Giảm
2024-03-21,46.5,46.85,45.9,46.5,3529613,Giảm
2024-03-22,46.5,46.7,46.05,46.6,5202615,Tăng
2024-03-25,46.6,47.4,46.15,46.85,4742980,Tăng
2024-03-26,47.0,47.2,46.6,47.05,3482260,Tăng
2024-03-27,47.05,47.3,46.7,47.05,4206598,Giảm
2024-03-28,47.05,47.95,46.9,47.6,4643059,Tăng
2024-03-29,47.85,47.9,47.3,47.65,3527781,Giảm
2024-04-01,47.65,48.1,47.35,47.85,4455197,Tăng
2024-04-02,47.0,47.9,46.5,47.8,4821769,Tăng
2024-04-03,47.5,47.85,47.2,47.75,4263220,Tăng
2024-04-04,47.25,47.95,47.25,47.85,4125125,Tăng
2024-04-05,47.45,47.95,47.3,47.8,3385682,Tăng
2024-04-08,48.0,48.0,47.35,47.7,2951317,Giảm
2024-04-09,47.6,47.7,47.0,47.7,3504936,Tăng
2024-04-10,47.7,48.65,47.65,48.5,5167251,Tăng
2024-04-11,48.25,48.55,47.75,48.3,3401529,Tăng
2024-04-12,48.35,48.7,48.15,48.45,3011703,Tăng
2024-04-15,48.0,48.2,46.0,47.0,5603162,Giảm
2024-04-16,47.0,47.0,44.65,46.4,4798093,Giảm
2024-04-17,46.5,46.5,44.5,45.0,3014738,Giảm
2024-04-19,43.6,44.0,42.6,42.6,3678561,Giảm
2024-04-22,42.65,43.0,41.7,42.0,3224414,Giảm
2024-04-23,42.45,42.45,41.0,41.0,2701228,Giảm
2024-04-24,41.1,41.95,41.1,41.6,1585787,Tăng
2024-04-25,41.7,42.35,41.3,42.0,1519881,Tăng
2024-04-26,41.95,44.45,41.9,44.45,2701183,Tăng
2024-05-02,44.0,44.4,43.6,44.4,1598981,Tăng
2024-05-03,44.6,44.9,44.0,44.45,1317425,Giảm
2024-05-06,44.45,44.75,43.85,44.75,1527085,Tăng
2024-05-07,45.35,45.35,44.5,45.0,1055748,Giảm
2024-05-08,45.1,45.4,44.3,45.4,1715664,Tăng
2024-05-09,45.4,46.0,45.05,45.4,1417786,Giảm
2024-05-10,45.4,45.7,44.5,45.0,1170076,Giảm
2024-05-13,45.3,45.35,44.35,45.0,1714839,Giảm
2024-05-14,48.1,48.1,46.05,46.05,5270017,Giảm
2024-05-15,46.2,46.75,46.0,46.35,1360467,Tăng
2024-05-16,46.6,47.15,46.2,46.75,2786528,Tăng
2024-05-17,46.75,46.9,46.25,46.85,2170875,Tăng
2024-05-20,47.0,47.55,46.35,46.7,3230491,Giảm
2024-05-21,47.0,47.7,46.45,46.45,3339305,Giảm
2024-05-22,46.35,46.9,45.5,45.5,3154087,Giảm
2024-05-23,45.25,45.9,44.75,45.55,2653781,Tăng
2024-05-24,45.15,45.6,44.15,44.95,3719560,Giảm
2024-05-27,44.95,45.25,44.45,45.05,1715599,Tăng
2024-05-28,45.0,45.3,44.45,45.05,2256983,Tăng
2024-05-29,45.05,45.2,44.25,44.4,2585924,Giảm
2024-05-30,44.4,44.5,43.15,43.15,2390475,Giảm
2024-05-31,43.5,44.6,43.3,43.55,1667310,Tăng
2024-06-03,43.8,44.6,43.8,43.95,1539213,Tăng
2024-06-04,44.3,44.55,44.0,44.1,1466478,Giảm
2024-06-05,44.1,44.75,44.1,44.2,1614098,Tăng
2024-06-06,44.3,44.35,43.7,43.7,1827520,Giảm
2024-06-07,43.9,44.0,43.2,43.5,1685408,Giảm
2024-06-10,43.5,43.9,43.4,43.45,1584674,Giảm
2024-06-11,43.3,43.45,42.55,43.2,4839697,Giảm
2024-06-12,42.8,43.5,42.5,43.3,2295361,Tăng
2024-06-13,43.3,43.5,42.9,43.2,2146182,Giảm
2024-06-14,43.2,43.25,42.0,42.0,2722732,Giảm
2024-06-17,42.6,42.95,42.0,42.0,2064171,Giảm
2024-06-18,42.3,42.95,42.1,42.1,1834877,Giảm
2024-06-19,42.35,42.45,41.45,41.5,3277993,Giảm
2024-06-20,41.55,41.8,41.35,41.45,2359994,Giảm
2024-06-21,41.45,41.65,41.15,41.65,2687452,Tăng
2024-06-24,41.65,42.3,41.1,41.1,2810231,Giảm
2024-06-25,41.15,42.0,41.15,41.2,1599910,Tăng
2024-06-26,41.3,41.7,41.15,41.2,1921541,Giảm
2024-06-27,41.1,41.4,41.0,41.0,1313587,Giảm
2024-06-28,41.1,41.35,40.9,41.2,1788564,Tăng
2024-07-01,41.4,41.4,41.05,41.35,905835,Giảm
2024-07-02,41.4,41.75,41.3,41.6,1495437,Tăng
2024-07-03,41.6,41.65,41.25,41.35,1139867,Giảm
2024-07-04,41.5,41.7,41.3,41.4,1215987,Giảm
2024-07-05,41.4,41.45,41.1,41.4,1446715,Giảm
2024-07-08,41.4,41.4,40.35,40.4,3511161,Giảm
2024-07-09,40.5,40.95,40.15,40.8,2290196,Tăng
2024-07-10,40.95,40.95,40.6,40.6,1238833,Giảm
2024-07-11,40.9,41.75,40.7,41.1,2749970,Tăng
2024-07-12,41.7,42.8,41.65,41.75,3317424,Tăng
2024-07-15,41.75,42.25,41.3,41.35,970281,Giảm
