time,open,high,low,close,volume,change
2023-12-07,103.8,106.0,102.5,105.7,965123,Tăng
2023-12-08,105.7,105.7,103.8,104.2,816463,Giảm
2023-12-11,104.3,104.5,101.8,104.2,718135,Giảm
2023-12-12,104.4,104.9,102.1,104.5,758100,Tăng
2023-12-13,104.8,105.0,103.2,105.0,1061642,Tăng
2023-12-14,105.2,105.7,104.8,105.3,784032,Tăng
2023-12-15,105.3,105.5,103.0,103.0,893011,Giảm
2023-12-18,104.9,105.0,102.0,105.0,727085,Tăng
2023-12-19,105.0,105.0,103.7,104.3,728655,Giảm
2023-12-20,104.3,105.0,103.1,104.3,1257541,Giảm
2023-12-21,104.0,106.2,103.9,105.3,750304,Tăng
2023-12-22,105.5,106.2,105.1,106.2,709095,Tăng
2023-12-25,106.7,107.8,106.5,107.8,777011,Tăng
2023-12-26,108.0,108.2,107.5,108.0,901815,Giảm
2023-12-27,108.1,108.1,107.5,107.9,1381274,Giảm
2023-12-28,107.8,108.0,106.4,108.0,1594766,Tăng
2023-12-29,108.0,108.0,107.0,108.0,2055732,Giảm
2024-01-02,108.0,108.3,106.8,107.0,930059,Giảm
2024-01-03,107.0,107.7,105.4,107.7,882544,Tăng
2024-01-04,107.9,108.0,105.4,107.8,667850,Giảm
2024-01-05,107.9,108.0,106.2,107.6,633231,Giảm
2024-01-08,107.8,107.8,106.2,106.6,626459,Giảm
2024-01-09,106.4,106.7,105.2,106.5,628722,Tăng
2024-01-10,106.7,106.7,104.3,105.7,670370,Giảm
2024-01-11,105.9,106.0,104.7,105.8,617093,Giảm
2024-01-12,105.6,105.8,103.9,105.3,659393,Giảm
2024-01-15,105.3,105.8,104.2,105.2,613446,Giảm
2024-01-16,104.5,105.4,104.3,105.4,732518,Tăng
2024-01-17,105.4,105.4,103.9,104.6,735904,Giảm
2024-01-18,104.6,105.0,103.7,104.3,698312,Giảm
2024-01-19,104.3,105.2,104.3,105.0,613159,Tăng
2024-01-22,105.0,105.8,104.9,105.6,631265,Tăng
2024-01-23,105.6,105.8,103.5,105.0,701603,Giảm
2024-01-24,105.0,105.5,103.8,104.7,660090,Giảm
2024-01-25,104.8,105.0,104.5,104.9,615310,Tăng
2024-01-26,104.5,105.8,104.5,105.7,678797,Tăng
2024-01-29,105.9,106.0,105.3,105.8,621393,Giảm
2024-01-30,105.9,106.0,105.5,105.6,622681,Giảm
2024-01-31,105.6,105.8,103.6,104.6,644993,Giảm
2024-02-01,104.6,105.5,104.0,105.5,610924,Tăng
2024-02-02,105.7,105.7,104.4,104.8,622558,Giảm
2024-02-05,104.8,105.4,103.8,105.3,670758,Tăng
2024-02-06,105.5,105.5,104.5,104.5,617672,Giảm
2024-02-07,104.7,105.3,104.3,105.3,615858,Tăng
2024-02-15,105.4,105.5,104.0,104.5,691086,Giảm
2024-02-16,104.5,105.3,104.4,105.3,635456,Tăng
2024-02-19,105.9,106.0,104.4,105.2,615677,Giảm
2024-02-20,105.0,105.2,104.3,104.3,649014,Giảm
2024-02-21,104.3,104.5,103.2,103.2,658239,Giảm
2024-02-22,103.2,104.7,103.2,103.6,621539,Tăng
2024-02-23,103.8,104.4,103.4,103.8,671068,Giảm
2024-02-26,103.9,104.9,103.9,104.5,605863,Tăng
2024-02-27,104.8,104.8,103.5,103.5,647962,Giảm
2024-02-28,103.5,104.7,103.3,103.4,639027,Giảm
2024-02-29,103.6,104.3,103.1,103.1,728828,Giảm
2024-03-01,103.8,104.3,103.2,103.3,651007,Giảm
