time,open,high,low,close,volume,change
2023-12-07,65.15,65.15,63.92,64.77,3877491,Giảm
2023-12-08,64.77,65.62,64.39,65.34,3730770,Tăng
2023-12-11,66.76,66.76,66.19,66.29,4737231,Giảm
2023-12-12,66.29,66.38,65.34,65.72,2791599,Giảm
2023-12-13,65.91,66.0,64.49,64.58,4516351,Giảm
2023-12-14,64.77,65.25,64.58,64.77,1463160,Giảm
2023-12-15,64.87,64.96,64.49,64.49,3741675,Giảm
2023-12-18,64.49,64.58,63.45,63.45,3518371,Giảm
2023-12-19,63.54,63.83,62.78,63.45,3066185,Giảm
2023-12-20,63.45,64.58,63.45,64.49,2605917,Tăng
2023-12-21,64.3,64.68,64.2,64.2,2587654,Giảm
2023-12-22,64.2,64.49,63.92,64.02,2147607,Giảm
2023-12-25,64.02,65.06,64.02,64.3,2675110,Tăng
2023-12-26,64.68,64.87,64.39,64.39,1977559,Giảm
2023-12-27,64.87,65.06,64.4,64.4,1628408,Giảm
2023-12-28,64.4,65.35,64.4,65.35,2410778,Tăng
2023-12-29,65.54,65.54,64.49,64.49,1956751,Giảm
2024-01-02,65.06,65.35,64.78,65.16,2144983,Tăng
2024-01-03,65.26,65.83,64.87,65.83,1891530,Tăng
2024-01-04,65.92,66.31,65.83,65.83,3403997,Giảm
2024-01-05,66.11,66.11,65.35,65.64,1477880,Giảm
2024-01-08,65.83,65.92,65.06,65.06,2399171,Giảm
2024-01-09,65.06,65.35,64.87,64.97,2461700,Giảm
2024-01-10,64.97,64.97,64.3,64.4,3010809,Giảm
2024-01-11,64.4,65.35,64.4,64.78,2085776,Tăng
2024-01-12,64.49,64.78,63.92,64.11,3286730,Giảm
2024-01-15,64.11,64.4,63.92,63.92,2228627,Giảm
2024-01-16,63.92,64.3,63.63,64.3,2074925,Tăng
2024-01-17,64.4,64.78,63.92,64.02,1829118,Giảm
2024-01-18,64.21,64.68,64.21,64.3,1230002,Tăng
2024-01-19,64.3,65.45,64.3,64.87,2621840,Tăng
2024-01-22,64.87,65.54,64.87,65.16,1961559,Tăng
2024-01-23,65.16,65.16,64.49,64.59,2113751,Giảm
2024-01-24,64.68,64.87,64.11,64.21,2085392,Giảm
2024-01-25,64.3,64.4,63.82,63.82,2662473,Giảm
2024-01-26,63.92,64.4,63.92,63.92,1677432,Giảm
2024-01-29,64.02,64.21,63.82,63.92,1734356,Giảm
2024-01-30,64.21,64.21,63.82,63.82,1791324,Giảm
2024-01-31,64.11,65.06,63.82,63.92,4021787,Giảm
2024-02-01,64.11,64.68,64.11,64.4,2500699,Tăng
2024-02-02,64.4,64.59,63.92,64.3,2613144,Giảm
2024-02-05,64.3,65.06,64.11,64.87,3568444,Tăng
2024-02-06,64.97,65.06,64.49,64.49,2394933,Giảm
2024-02-07,64.49,64.78,64.11,64.49,2737292,Giảm
2024-02-15,64.49,64.87,64.11,64.49,3880447,Giảm
2024-02-16,64.68,67.07,64.4,66.78,11120422,Tăng
2024-02-19,67.64,69.26,67.45,68.6,6660129,Tăng
2024-02-20,68.4,69.07,68.02,68.21,4390643,Giảm
2024-02-21,68.21,68.6,67.74,68.02,3593123,Giảm
2024-02-22,68.02,69.36,67.83,68.31,4652126,Tăng
2024-02-23,68.5,69.36,67.74,67.74,6146121,Giảm
2024-02-26,67.74,68.4,67.45,67.74,3050150,Giảm
2024-02-27,67.93,69.07,67.83,68.69,5285311,Tăng
2024-02-28,69.07,69.26,68.21,68.88,3422219,Giảm
2024-02-29,69.26,69.93,68.31,68.69,6543917,Giảm
2024-03-01,68.79,68.79,67.93,68.21,4399953,Giảm
2024-03-04,68.5,69.36,68.31,68.69,5018814,Tăng
2024-03-05,68.69,69.64,68.4,69.64,5443242,Tăng
2024-03-06,69.93,70.12,68.5,68.5,4837251,Giảm
2024-03-07,68.4,68.79,68.02,68.69,5070038,Tăng
2024-03-08,68.79,69.55,66.78,66.78,7364624,Giảm
2024-03-11,67.26,68.02,66.78,67.07,4214115,Giảm
2024-03-12,67.16,67.36,66.78,66.78,3847561,Giảm
2024-03-13,66.88,67.64,66.78,67.54,5648587,Tăng
2024-03-14,67.74,68.02,67.07,67.26,5449322,Giảm
2024-03-15,67.74,67.74,66.39,66.49,4857330,Giảm
2024-03-18,66.49,66.78,65.33,65.62,6803665,Giảm
2024-03-19,66.2,66.2,65.52,65.52,3166304,Giảm
2024-03-20,65.52,66.3,65.23,65.72,3551272,Tăng
2024-03-21,65.91,66.2,65.62,66.1,4910550,Tăng
2024-03-22,66.3,66.39,65.52,65.52,6070254,Giảm
2024-03-25,65.62,65.91,64.84,65.04,5459681,Giảm
2024-03-26,65.14,65.62,65.04,65.42,2507194,Tăng
2024-03-27,65.72,65.72,65.23,65.42,2639932,Giảm
2024-03-28,65.42,66.1,65.33,65.42,4474441,Giảm
2024-03-29,66.1,66.1,65.23,65.33,3487674,Giảm
2024-04-01,65.33,65.42,64.75,64.75,4996398,Giảm
2024-04-02,64.75,65.14,64.46,65.04,4325527,Tăng
2024-04-03,65.04,65.04,64.46,64.46,5054063,Giảm
2024-04-04,64.46,66.1,64.46,65.91,7477825,Tăng
2024-04-05,65.91,65.91,65.42,65.62,4237214,Giảm
2024-04-08,65.72,65.72,64.65,64.75,3671802,Giảm
2024-04-09,64.84,65.04,64.56,64.75,2518780,Giảm
2024-04-10,64.84,65.04,64.56,64.56,2767420,Giảm
2024-04-11,64.46,64.65,64.27,64.36,2950689,Giảm
2024-04-12,64.56,64.84,64.36,64.46,2511089,Giảm
2024-04-15,64.46,64.46,62.72,62.72,5766677,Giảm
2024-04-16,62.72,62.82,60.88,61.85,7137771,Giảm
2024-04-17,62.24,62.72,62.04,62.04,4593232,Giảm
2024-04-19,62.04,62.24,61.17,62.04,4521513,Giảm
2024-04-22,62.53,63.11,61.85,61.85,2038048,Giảm
2024-04-23,62.04,62.14,61.08,61.37,2020719,Giảm
2024-04-24,61.85,62.14,61.37,61.85,2403394,Giảm
2024-04-25,61.85,62.62,61.75,62.53,1918445,Tăng
2024-04-26,62.53,63.59,62.33,62.82,2944790,Tăng
2024-05-02,63.2,63.3,62.72,63.2,2566088,Giảm
2024-05-03,63.4,63.78,63.3,63.4,1969178,Giảm
2024-05-06,63.59,64.17,63.3,63.59,2264163,Giảm
2024-05-07,63.78,66.2,63.69,65.72,8490375,Tăng
2024-05-08,65.72,65.72,64.84,65.62,2967447,Giảm
2024-05-09,65.62,65.62,64.36,64.36,3001858,Giảm
2024-05-10,64.46,65.23,63.88,64.27,2422429,Giảm
2024-05-13,64.36,64.56,63.2,63.59,2737626,Giảm
2024-05-14,63.69,64.75,63.69,64.27,2435304,Tăng
2024-05-15,64.65,65.04,64.46,64.75,3237247,Tăng
2024-05-16,64.84,65.42,64.75,64.94,2914420,Tăng
2024-05-17,65.04,65.52,64.56,64.75,4173675,Giảm
2024-05-20,64.84,65.33,64.17,64.17,4925028,Giảm
2024-05-21,64.17,64.36,63.59,63.98,3803505,Giảm
2024-05-22,64.17,64.46,63.59,63.59,3621204,Giảm
2024-05-23,63.78,64.75,63.59,64.75,2993637,Tăng
2024-05-24,64.46,64.65,63.49,63.78,4109865,Giảm
2024-05-27,63.88,64.36,63.59,63.88,2339390,Giảm
2024-05-28,64.07,65.04,63.88,64.56,5350287,Tăng
2024-05-29,64.75,65.04,63.78,64.07,3362126,Giảm
2024-05-30,63.88,63.98,63.3,63.49,4416677,Giảm
2024-05-31,63.69,63.69,63.11,63.2,4149784,Giảm
2024-06-03,63.59,64.36,63.49,63.88,3193327,Tăng
2024-06-04,63.88,64.36,63.78,63.78,2447656,Giảm
2024-06-05,63.98,66.88,63.98,66.2,11876432,Tăng
2024-06-06,66.68,66.68,64.94,64.94,4893549,Giảm
2024-06-07,65.33,66.3,65.23,65.52,4131178,Tăng
2024-06-10,66.1,66.2,64.94,64.94,4569222,Giảm
2024-06-11,65.14,65.23,64.17,64.27,6181560,Giảm
2024-06-12,64.27,65.04,64.07,64.75,3427814,Tăng
2024-06-13,64.75,65.14,64.56,64.65,2807130,Giảm
2024-06-14,64.75,65.04,63.98,63.98,4127632,Giảm
2024-06-17,64.07,64.36,63.78,63.78,3621867,Giảm
2024-06-18,64.27,64.27,63.69,63.69,2754686,Giảm
2024-06-19,63.78,63.78,62.91,63.11,6160999,Giảm
2024-06-20,63.2,64.56,63.01,63.78,4400155,Tăng
2024-06-21,64.27,64.84,63.78,63.78,3970969,Giảm
2024-06-24,63.88,64.36,63.11,63.3,3851919,Giảm
2024-06-25,63.59,63.98,63.3,63.3,2436399,Giảm
2024-06-26,63.59,63.59,62.91,63.01,2488180,Giảm
2024-06-27,63.01,63.4,62.91,63.11,2710114,Tăng
2024-06-28,63.3,63.78,63.11,63.3,2735071,Giảm
2024-07-01,63.59,63.78,63.11,63.78,1911478,Tăng
2024-07-02,63.78,64.07,63.59,63.98,2044987,Tăng
2024-07-03,63.98,64.07,63.78,63.98,1334249,Giảm
2024-07-04,64.07,64.65,64.07,64.17,2691198,Tăng
2024-07-05,64.17,65.23,64.17,64.94,4183952,Tăng
2024-07-08,65.04,65.42,64.75,65.33,4946406,Tăng
2024-07-09,65.33,65.52,64.94,65.23,5048980,Giảm
2024-07-10,65.23,65.52,64.56,64.56,3884733,Giảm
2024-07-11,64.65,64.75,64.07,64.07,3789635,Giảm
2024-07-12,64.17,64.36,63.88,64.07,2081812,Giảm
2024-07-15,64.07,64.65,63.98,63.98,2157757,Giảm
2024-07-16,64.17,64.46,63.88,63.88,2245463,Giảm
2024-07-17,63.98,64.27,63.4,63.49,3468308,Giảm
2024-07-18,63.78,63.78,63.3,63.69,2284658,Giảm
2024-07-19,63.69,63.69,62.91,63.11,3396038,Giảm
2024-07-22,63.11,63.78,63.01,63.2,2657788,Tăng
2024-07-23,63.4,64.07,63.3,63.69,3780379,Tăng
2024-07-24,63.59,63.88,63.4,63.4,3615591,Giảm
2024-07-25,63.4,63.49,63.11,63.4,1958885,Giảm
2024-07-26,63.2,63.98,63.2,63.59,2976837,Tăng
2024-07-29,63.98,65.33,63.69,64.94,5785374,Tăng
2024-07-30,65.04,66.1,64.65,65.42,6381582,Tăng
2024-07-31,66.2,69.58,66.2,69.19,21167413,Tăng
2024-08-01,69.39,69.48,67.74,67.94,8872145,Giảm
2024-08-02,67.65,69.48,67.65,69.1,10298482,Tăng
2024-08-05,68.61,68.81,66.2,67.07,12162219,Giảm
2024-08-06,67.94,70.84,67.65,70.26,13505235,Tăng
2024-08-07,70.74,71.32,69.97,71.32,10709270,Tăng
2024-08-08,71.42,71.9,69.77,70.26,5817168,Giảm
2024-08-09,70.35,70.93,70.06,70.84,4530433,Tăng
2024-08-12,70.84,71.9,70.35,70.55,5808119,Giảm
2024-08-13,70.35,71.9,70.26,71.32,6740336,Tăng
2024-08-14,71.51,71.61,70.84,71.51,5459112,Giảm
2024-08-15,71.51,72.09,71.22,71.32,4258433,Giảm
2024-08-16,71.51,71.61,70.74,71.32,7396631,Giảm
2024-08-19,71.51,73.45,71.32,73.45,7924678,Tăng
2024-08-20,73.45,73.64,72.77,73.06,4181936,Giảm
2024-08-21,72.67,73.54,72.58,72.77,3994706,Tăng
2024-08-22,73.45,73.45,71.13,71.71,6031982,Giảm
2024-08-23,72.38,73.06,71.9,72.38,3310515,Giảm
2024-08-26,72.38,72.48,70.84,70.93,6329637,Giảm
2024-08-27,70.93,71.32,70.16,71.03,4269971,Tăng
2024-08-28,71.13,71.51,70.74,71.42,3355013,Tăng
2024-08-29,71.22,71.51,70.93,71.03,2044649,Giảm
2024-08-30,71.13,72.29,70.93,71.42,3679027,Tăng
2024-09-04,70.84,72.0,70.64,71.8,2842048,Tăng
2024-09-05,71.8,72.87,71.61,72.19,5862150,Tăng
2024-09-06,72.38,72.96,72.29,72.87,3645061,Tăng
2024-09-09,72.58,72.58,71.71,72.29,2641519,Giảm
2024-09-10,72.29,72.96,71.8,72.38,3335353,Tăng
2024-09-11,72.29,72.58,71.42,72.09,3167882,Giảm
2024-09-12,72.48,72.67,71.9,72.19,2054428,Giảm
2024-09-13,72.29,72.29,70.45,70.45,5350666,Giảm
2024-09-16,70.55,70.55,69.48,69.48,4039871,Giảm
2024-09-17,69.58,70.93,69.29,70.93,2392584,Tăng
2024-09-18,71.13,71.42,70.55,70.84,2847879,Giảm
2024-09-19,70.84,71.03,70.55,70.84,1574276,Giảm
2024-09-20,71.03,71.51,70.26,70.26,5234412,Giảm
2024-09-23,70.64,70.74,70.16,70.45,2933886,Giảm
2024-09-24,71.0,71.0,70.1,70.3,2080216,Giảm
2024-09-25,70.3,70.4,69.6,69.6,4525095,Giảm
2024-09-26,69.6,71.1,69.6,70.7,3987434,Tăng
2024-09-27,70.8,71.2,70.7,71.0,2971446,Tăng
2024-09-30,71.0,71.0,70.1,70.1,2046753,Giảm
2024-10-01,70.2,70.7,70.1,70.1,2042595,Giảm
2024-10-02,70.2,70.2,69.6,70.1,2142472,Giảm
2024-10-03,70.2,70.5,69.9,70.3,2949988,Tăng
2024-10-04,70.5,70.5,68.4,68.5,6140641,Giảm
2024-10-07,68.7,69.3,67.1,67.1,5995180,Giảm
