time,open,high,low,close,volume,change
2023-12-07,18.42,18.66,18.18,18.66,17160290,Tăng
2023-12-08,18.66,18.7,18.32,18.61,8341844,Giảm
2023-12-11,18.52,18.61,18.23,18.42,7677593,Giảm
2023-12-12,18.42,18.47,18.23,18.47,6825408,Tăng
2023-12-13,18.37,18.42,18.14,18.23,9964519,Giảm
2023-12-14,18.23,18.32,17.99,18.04,9436419,Giảm
2023-12-15,18.04,18.14,17.71,17.76,12094937,Giảm
2023-12-18,17.71,17.76,17.14,17.47,22112287,Giảm
2023-12-19,17.19,17.38,17.09,17.38,11909755,Tăng
2023-12-20,17.38,17.42,17.14,17.33,7716809,Giảm
2023-12-21,17.28,17.33,17.09,17.28,9594328,Giảm
2023-12-22,17.28,17.42,17.14,17.23,10361289,Giảm
2023-12-25,17.33,17.57,17.33,17.57,8640192,Tăng
2023-12-26,17.57,17.61,17.33,17.57,8405087,Giảm
2023-12-27,17.57,17.66,17.42,17.57,7676722,Giảm
2023-12-28,17.57,17.85,17.52,17.85,10318128,Tăng
2023-12-29,17.85,18.23,17.76,18.23,17013562,Tăng
2024-01-02,18.23,18.23,17.9,17.9,8801273,Giảm
2024-01-03,17.9,18.14,17.71,18.14,8222597,Tăng
2024-01-04,18.18,18.66,17.99,18.37,25327514,Tăng
2024-01-05,18.37,18.47,18.14,18.23,9909348,Giảm
2024-01-08,18.32,18.42,18.18,18.28,9016243,Giảm
2024-01-09,18.28,18.37,18.14,18.18,6454429,Giảm
2024-01-10,18.14,18.75,18.14,18.61,31574191,Tăng
2024-01-11,18.8,18.85,18.56,18.66,17942117,Giảm
2024-01-12,18.47,18.75,18.32,18.66,25024618,Tăng
2024-01-15,18.8,18.8,18.37,18.37,11343070,Giảm
2024-01-16,18.32,18.47,18.23,18.47,9595700,Tăng
2024-01-17,18.47,18.56,18.28,18.32,11936551,Giảm
2024-01-18,18.42,18.56,18.32,18.52,8449718,Tăng
2024-01-19,18.56,18.75,18.56,18.7,16583259,Tăng
2024-01-22,18.85,18.94,18.7,18.8,16138915,Giảm
2024-01-23,18.85,18.9,18.66,18.7,10964135,Giảm
2024-01-24,18.7,18.8,18.56,18.66,7409462,Giảm
2024-01-25,18.66,18.7,18.56,18.66,5003106,Giảm
2024-01-26,18.7,18.75,18.66,18.75,7548359,Tăng
2024-01-29,18.75,18.75,18.56,18.75,4836722,Giảm
2024-01-30,18.66,18.85,18.66,18.7,6807087,Tăng
2024-01-31,18.66,18.7,18.18,18.42,20004150,Giảm
2024-02-01,18.37,18.37,18.14,18.18,6508777,Giảm
2024-02-02,18.18,18.23,17.85,17.85,16723095,Giảm
2024-02-05,17.9,18.47,17.9,18.23,10733253,Tăng
2024-02-06,18.32,18.42,18.23,18.32,5807746,Giảm
2024-02-07,18.37,18.61,18.32,18.61,10725011,Tăng
2024-02-15,18.61,19.13,18.61,18.8,19367162,Tăng
2024-02-16,18.94,18.94,18.7,18.85,7327585,Giảm
2024-02-19,18.85,18.94,18.66,18.8,11051556,Giảm
2024-02-20,18.7,18.75,18.52,18.61,16247086,Giảm
2024-02-21,18.61,18.99,18.61,18.75,17582404,Tăng
2024-02-22,18.8,18.9,18.61,18.7,10544976,Giảm
2024-02-23,18.7,19.23,18.52,18.52,42137667,Giảm
2024-02-26,18.56,18.56,18.23,18.28,12772802,Giảm
2024-02-27,18.37,18.52,18.23,18.37,17765091,Giảm
2024-02-28,18.42,18.9,18.42,18.9,20963339,Tăng
2024-02-29,19.08,19.18,18.66,18.9,17120600,Giảm
2024-03-01,18.9,18.9,18.66,18.66,9762406,Giảm
2024-03-04,18.8,18.8,18.61,18.61,12992804,Giảm
2024-03-05,18.61,18.75,18.56,18.75,8097032,Tăng
2024-03-06,18.8,18.85,18.32,18.42,11553242,Giảm
