publish_date,title,summary
2024-10-23,ACB muốn phát hành lượng trái phiếu nhiều kỷ lục,"Ngân hàng Á Châu (ACB) dự kiến phát hành lượng trái phiếu kỷ lục lên đến 45.000 tỷ đồng trong năm 2024, bao gồm 3 đợt phát hành riêng lẻ, mỗi đợt 15.000 tỷ đồng.  Đây là một phần trong xu hướng chung của các ngân hàng Việt Nam đẩy mạnh phát hành trái phiếu để bổ sung vốn trung và dài hạn, đáp ứng nhu cầu cho vay tăng cao trong bối cảnh tín dụng đang phục hồi mạnh mẽ.  Tính đến tháng 10, ACB đã phát hành hơn 27.840 tỷ đồng trái phiếu, trở thành đơn vị phát hành nhiều nhất thị trường.  Ngành ngân hàng nói chung đã phát hành khoảng 245.400 tỷ đồng trái phiếu trong năm 2024, tăng mạnh so với cùng kỳ năm trước. Các chuyên gia dự báo xu hướng này sẽ tiếp tục trong thời gian tới để đáp ứng nhu cầu tăng trưởng tín dụng. "
2024-09-19,FiinRatings: ACB xếp hạng cao nhất trên bảng đánh giá xếp hạng tín nhiệm,"FiinRatings đã xếp hạng tín nhiệm ACB ở mức rất cao, chỉ dưới mức AAA, là mức cao nhất trong số các ngân hàng được các tổ chức trong nước đánh giá.  Xếp hạng này dựa trên vị thế kinh doanh vững chắc của ACB, hồ sơ vốn ổn định, khả năng sinh lời tốt, khẩu vị rủi ro thận trọng, và khả năng huy động vốn và thanh khoản mạnh mẽ.  FiinRatings đánh giá cao các yếu tố như vị thế kinh doanh tốt, cơ cấu vốn phù hợp (CAR 11.8%, đứng thứ 3 trong nhóm ngân hàng thương mại cổ phần cùng quy mô), khả năng sinh lời tốt, vị thế rủi ro rất tốt, và nguồn vốn & thanh khoản tốt.  Kết quả này, cùng với việc Fitch Ratings duy trì đánh giá BB- cho ACB, khẳng định năng lực tài chính ổn định và triển vọng tăng trưởng mạnh mẽ của ACB, thu hút nhà đầu tư và củng cố niềm tin của khách hàng. "
2024-01-27,"Kết quả kinh doanh quý 4/2023 ngày 27/1: Hải Phát, Hoa Sen, ACB, ... cùng loạt doanh nghiệp chủ chốt đã công bố, lợi nhuận Đường Quảng Ngãi thăng hoa","Ngày 27/1, nhiều doanh nghiệp công bố báo cáo tài chính quý 4/2023.  Ngành bất động sản ghi nhận kết quả khả quan với Hải Phát Invest (HPX) tăng lợi nhuận sau thuế 136% lên 99 tỷ đồng (mặc dù cả năm giảm 17%), SaigonRes Group (SGR) tăng 389%, và Năm Bảy Bảy (NBB) tăng 177%.  Ngược lại, Đạm Cà Mau (DCM) giảm doanh thu 20% và lợi nhuận trước thuế 49%.  Ngân hàng Á Châu (ACB) đạt lợi nhuận trước thuế 5.043 tỷ đồng trong quý 4, tăng 40% so với cùng kỳ và vượt 20.000 tỷ đồng cả năm, tăng 17%.  Nam Long (NLG) đạt doanh thu gần tương đương cùng kỳ nhưng lợi nhuận giảm 13,3% do giá vốn tăng.  Hoa Sen (HSG) lãi 115 tỷ đồng trong quý đầu tiên của niên độ 2023-2024, so với lỗ 667 tỷ đồng cùng kỳ năm trước.  Bài báo đề cập đến kết quả tích cực của Đường Quảng Ngãi nhưng không cung cấp thông tin chi tiết. "
2024-10-17,"Ngân hàng hé lộ kết quả kinh doanh 9 tháng: Lợi nhuận thuần BIDV dự kiến đạt 36.100 tỷ đồng, ACB được cấp room tín dụng 18,4%","Hội nghị các ngân hàng hé lộ kết quả kinh doanh 9 tháng năm 2024: BIDV dự kiến lợi nhuận thuần 36.100 tỷ đồng (tăng 6% so với cùng kỳ).  ACB được cấp room tín dụng 18,4%.  Các ngân hàng khác như Vietcombank, VietinBank, và MB cũng công bố kết quả khả quan về tăng trưởng tín dụng, nhưng NIM dự kiến sẽ đi ngang hoặc giảm nhẹ do cạnh tranh lãi suất.  Chất lượng tài sản nhìn chung được cải thiện, với tỷ lệ nợ xấu dự kiến chạm đỉnh trong quý III hoặc IV/2024.  Vietcombank dự kiến hoàn tất bán vốn cho nước ngoài vào đầu năm 2025.  VPBank và Techcombank cũng chia sẻ kế hoạch kinh doanh và dự báo về NIM và chất lượng tài sản, với VPBank cho rằng NIM sẽ chịu áp lực trong nửa cuối năm và Techcombank đặt mục tiêu tăng trưởng tín dụng 18-20% cho cả năm 2024.  Các ngân hàng đều tập trung vào quản lý rủi ro, đặc biệt là nợ xấu từ lĩnh vực bất động sản và bán lẻ. "
2024-09-12,Lộ diện thêm nhóm cổ đông nắm giữ lượng lớn cổ phiếu ACB,"Ngân hàng Á Châu (ACB) công bố thêm 5 cổ đông nắm giữ trên 1% vốn điều lệ, nâng tổng tỷ lệ sở hữu của nhóm cổ đông này lên 6,774%.  Ba trong số năm cổ đông là các công ty đầu tư có liên quan đến Chủ tịch Trần Hùng Huy, nắm giữ tổng cộng hơn 5% vốn.  Hai cổ đông còn lại là hai cá nhân, con của bà Ngô Thu Thuý (Chủ tịch HĐQT CTCP Âu Lạc), cùng với công ty của bà Ngô, nắm giữ gần 4% vốn.  Thông tin này được cập nhật ngày 10/9/2024, bổ sung cho danh sách công bố ngày 30/7, trong đó đã bao gồm Chủ tịch Trần Hùng Huy (với người liên quan nắm giữ 8,218% vốn), bà Đặng Thu Thuỷ (mẹ ông Huy), và một số tổ chức khác như Prudential Việt Nam và các quỹ đầu tư nước ngoài. "
2024-04-23,ACB cập nhật phí giao dịch ngoại tệ từ 0% và ưu đãi xuyên suốt cho chủ thẻ tín dụng quốc tế,"Ngân hàng Á Châu (ACB) cập nhật chính sách phí giao dịch ngoại tệ và ưu đãi cho chủ thẻ tín dụng quốc tế.  Chủ thẻ ACB Visa Infinite được miễn phí hoàn toàn giao dịch ngoại tệ.  Chủ thẻ ACB Visa Signature và Platinum được hưởng ưu đãi lên đến 20% từ các đối tác như Shopee, Agoda và XanhSM.  Tất cả chủ thẻ ACB Visa tích lũy điểm thưởng ACB Rewards để đổi quà.  ACB cũng nhấn mạnh tính năng trả góp miễn phí trên ứng dụng ACB ONE và hệ sinh thái thanh toán một chạm (Apple Pay, Google Pay, Samsung Pay, Garmin Pay).  Các ưu đãi này nhằm tăng giá trị và trải nghiệm cho khách hàng sử dụng thẻ tín dụng quốc tế của ACB. "
2024-01-11,"Lãi suất ngân hàng ACB mới nhất tháng 01/2024: Bất ngờ tăng đối với tiền gửi online 12 tháng, giảm mạnh ở các kỳ hạn ngắn","Lãi suất huy động của ACB tháng 1/2024 có sự điều chỉnh: giảm mạnh ở các kỳ hạn ngắn (1-9 tháng) so với tháng 12/2023,  nhưng lại tăng nhẹ 0,1%/năm đối với tiền gửi online 12 tháng.  Lãi suất gửi tại quầy dao động từ 0,5% đến 4,6%/năm (cao nhất cho kỳ hạn 12-36 tháng), trong khi lãi suất gửi online cao hơn, từ 0,5% đến 5%/năm (cao nhất cho kỳ hạn 12 tháng với số tiền gửi từ 5 tỷ đồng).  ACB cũng cung cấp các hình thức lĩnh lãi linh hoạt (hàng quý, tháng, trả trước) và các gói tiết kiệm ưu đãi. "
2024-05-29,"Tăng 'bốc đầu', giá trị vốn hóa của chủ thương hiệu CHIN-SU, Omachi lên hơn 5 tỷ USD, vượt cả MB, Thế Giới Di Động, ACB, Sabeco...","Giá cổ phiếu MCH của Masan Consumer đạt mức đỉnh lịch sử, khiến vốn hóa thị trường vượt 5 tỷ USD, cao hơn nhiều doanh nghiệp lớn như MB, ACB, Thế Giới Di Động và Sabeco.  Sự tăng trưởng này được thúc đẩy bởi kết quả kinh doanh ấn tượng năm 2023 (lãi sau thuế 7.195 tỷ đồng, tăng 30%), biên lợi nhuận gộp gần 50%, và kết quả kinh doanh quý 1/2024 khả quan.  Masan Consumer sở hữu các thương hiệu nổi tiếng như CHIN-SU, Omachi,  và có độ phủ rộng khắp Việt Nam.  Công ty cũng được đánh giá cao về tăng trưởng lợi nhuận và tỷ suất sinh lời, vượt trội so với các đối thủ trong ngành F&B theo báo cáo của Vietcap và HSBC.  Việc công bố kế hoạch huy động vốn và IPO cũng góp phần tích cực vào đà tăng giá cổ phiếu.  Thêm vào đó, Masan Consumer còn chốt chia cổ tức tiền mặt tỷ lệ 100%. "
2024-11-04,ACB: Ngân hàng đầu tiên được đảm bảo cả hai nhóm chỉ số môi trường & xã hội trong Báo cáo PTBV 2023,"ACB là ngân hàng đầu tiên tại Việt Nam được đảm bảo cả hai nhóm chỉ số môi trường và xã hội trong Báo cáo PTBV 2023.  Báo cáo cho thấy lượng khí thải nhà kính của ACB giảm 9% so với năm 2022, nhờ các sáng kiến tiết kiệm năng lượng và hợp tác với DHL.  ACB cũng tăng hạn mức tín dụng xanh/xã hội lên 4.000 tỷ đồng (đã giải ngân 73%), đồng thời cam kết hỗ trợ doanh nghiệp nhỏ và vừa với gói tín dụng lên đến 20.000 tỷ đồng nếu cần.  Bên cạnh đó, ACB tích cực tham gia các hoạt động xã hội từ thiện, đóng góp lớn cho ngân sách nhà nước và đạt nhiều giải thưởng về phát triển bền vững.  Những hoạt động này thể hiện cam kết của ACB với chiến lược ESG (Môi trường - Xã hội - Quản trị). "
2024-05-06,ACB kết hợp vay và cho thuê tài chính giúp doanh nghiệp nhẹ áp lực vốn,"ACB hợp tác với ACBL (công ty cho thuê tài chính của ACB) cung cấp chương trình kết hợp vay vốn và cho thuê tài chính cho doanh nghiệp.  Chương trình cho phép doanh nghiệp vay vốn lưu động từ ACB và thuê máy móc, thiết bị từ ACBL với lãi suất ưu đãi, tương đương lãi suất vay trung dài hạn của ACB.  Điều này giúp doanh nghiệp giảm áp lực vốn, tối ưu nguồn lực, và đơn giản hóa quy trình vay vốn. ACB cũng thiết kế các gói vay chuyên biệt cho các lĩnh vực khác nhau, nhằm hỗ trợ doanh nghiệp trong bối cảnh kinh tế hiện nay. "
