publish_date,title,summary
2024-09-02,"Từ đầu năm 2024 đến nay, Becamex (BCM) hút thành công 1.800 tỷ đồng trái phiếu","Becamex (BCM) đã huy động thành công 1.800 tỷ đồng từ trái phiếu trong năm 2024 tính đến nay, thông qua 4 đợt phát hành.  Nếu tính thêm đợt phát hành cuối năm 2023, tổng số tiền huy động đạt 3.100 tỷ đồng.  Mới đây nhất, BCM đã phát hành thành công lô trái phiếu BCMH2427003 trị giá 500 tỷ đồng, có tài sản đảm bảo là quyền sử dụng đất.  Becamex đặt mục tiêu doanh thu 9.000 tỷ đồng và lợi nhuận sau thuế 2.350 tỷ đồng trong năm 2024, đồng thời dự kiến chia cổ tức 10%.  Kết quả kinh doanh 6 tháng đầu năm 2024 cho thấy doanh thu tăng nhẹ và lợi nhuận tăng mạnh so với cùng kỳ năm trước. Giá cổ phiếu BCM cũng tăng nhẹ trên thị trường chứng khoán. "
2024-11-14,"Dự kiến thu về 15.000 tỷ từ chào bán cổ phiếu, Becamex IDC sẽ “rót” 6.300 tỷ vào dự án KCN Cây Trường và KCN Bàu Bàng","Becamex IDC (BCM) dự kiến chào bán thêm 300 triệu cổ phiếu (tăng vốn điều lệ lên 13.350 tỷ đồng) với giá khởi điểm ít nhất 50.000 đồng/cổ phiếu, mục tiêu thu về 15.000 tỷ đồng.  Số tiền thu được sẽ được dùng chủ yếu để đầu tư vào dự án Khu công nghiệp Cây Trường (2.800 tỷ đồng) và mở rộng Khu công nghiệp Bàu Bàng (3.500 tỷ đồng),  cùng với việc góp vốn vào các công ty liên kết (3.634 tỷ đồng) và tái cấu trúc tài chính (5.066 tỷ đồng).  Đợt chào bán sẽ diễn ra trong quý IV/2024 và/hoặc năm 2025 thông qua đấu giá công khai trên HoSE. "
2024-03-14,Phó Giám đốc Becamex: Các bước thủ tục về pháp lý kéo dài nên dòng tiền và kế hoạch trả nợ gặp khó khăn,"Phó Giám đốc Becamex, ông Quảng Văn Viết Cương, cho biết mặc dù Becamex có quan hệ tốt với các tổ chức tín dụng, nhưng việc tiếp cận vốn đang gặp khó khăn do thủ tục pháp lý kéo dài, ảnh hưởng đến kế hoạch trả nợ và dòng tiền.  Ông Cương nhấn mạnh rằng thời gian triển khai dự án chậm hơn trước đây, gây cản trở cho việc huy động vốn thông qua phát hành trái phiếu.  Becamex đang tập trung vào phát triển nhà ở xã hội và hệ sinh thái năng lượng tái tạo, đồng thời đề nghị Chính phủ hỗ trợ về chính sách tín dụng,  thủ tục pháp lý và tăng vốn điều lệ để thúc đẩy phát triển bền vững. "
2024-11-15,Becamex IDC sắp huy động hơn 1.000 tỷ đồng trái phiếu để cơ cấu lại nợ,"Becamex IDC (BCM) dự kiến phát hành 1.080 tỷ đồng trái phiếu không chuyển đổi, được bảo đảm bằng tài sản, trong quý IV/2024 để cơ cấu lại nợ.  Trái phiếu có kỳ hạn 4 năm và lãi suất từ 10,3% đến 10,7%/năm.  Số tiền thu được sẽ dùng để trả nợ ngắn hạn cho BIDV và Vietcombank, với tổng giá trị nợ được cơ cấu tối đa là 3.600 tỷ đồng.  Đây là đợt phát hành trái phiếu thứ năm của BCM trong năm 2024, nâng tổng số tiền huy động từ trái phiếu lên 2.120 tỷ đồng.  Mặc dù huy động thêm nợ, tổng dư nợ vay trái phiếu của công ty dự kiến sẽ tăng lên gần 12.824,1 tỷ đồng. "
2024-01-28,"Liên tục dời ngày thanh toán cổ tức năm 2022, Becamex IJC đang kinh doanh ra sao?","Becamex IJC (IJC) ghi nhận lợi nhuận sau thuế năm 2023 là 395 tỷ đồng, giảm 22,7% so với năm trước, là mức thấp nhất trong 3 năm.  Doanh thu giảm 24%.  Mặc dù lợi nhuận quý IV/2023 tăng mạnh nhờ giảm giá vốn,  công ty đã hai lần dời lịch thanh toán cổ tức năm 2022 (tỷ lệ 14%), dự kiến chi trả gần 353 tỷ đồng,  do ưu tiên thanh toán gốc và lãi trái phiếu đến hạn (hơn 194 tỷ đồng).  Tổng nợ phải trả của IJC giảm 5% so với đầu năm, nhưng vẫn còn hơn 991 tỷ đồng nợ vay và nợ thuê tài chính, bao gồm cả nợ trái phiếu. "
2024-07-25,"Trong khi HVN, VGI, GVR, VEA đã giảm hàng chục phần trăm từ đỉnh, cổ phiếu Becamex IDC 'lầm lũi' tăng 37% sau 3 tháng, vốn hóa vượt Sabeco, Petrolimex...","Cổ phiếu BCM của Becamex IDC đã tăng 37% trong 3 tháng qua, đạt mức giá cao nhất trong 4 tháng, trái ngược với xu hướng giảm của một số cổ phiếu doanh nghiệp nhà nước khác như HVN, VGI, và GVR. Vốn hóa của Becamex IDC đã vượt qua Sabeco, BSR, Vietjet và SSI.  Sự tăng trưởng này diễn ra trong bối cảnh Chính phủ phê duyệt giảm sở hữu nhà nước tại Becamex IDC xuống 65% vào cuối năm 2025 và kế hoạch phát hành 300 triệu cổ phiếu (khoảng 15.000 tỷ đồng) để đầu tư vào các dự án khu công nghiệp, góp vốn vào các công ty con và tái cấu trúc tài chính.  Becamex IDC là một nhà phát triển bất động sản khu công nghiệp lớn tại Việt Nam với nhiều công ty con niêm yết trên sàn chứng khoán.  Kết quả kinh doanh quý 1/2024 cho thấy doanh thu tăng nhẹ và lợi nhuận tăng mạnh so với cùng kỳ năm trước. "
2024-09-05,Becamex IDC phát hành thêm 500 tỷ đồng trái phiếu,"Becamex IDC đã phát hành thành công 500 tỷ đồng trái phiếu (BCMH2427003) và 300 tỷ đồng trái phiếu (BCMH2427004) vào ngày 14/8/2024, mỗi lô đều có kỳ hạn 3 năm.  Trước đó, công ty đã phát hành 200 tỷ đồng (BCMH2427002) vào ngày 8/8 và 800 tỷ đồng (BCMH2427001) vào ngày 17/6, cũng với kỳ hạn 3 năm.  Lãi suất trái phiếu là 10,5%/năm (trừ BCMH2427003). Báo cáo tài chính hợp nhất bán niên 2024 đã được soát xét cho thấy doanh thu thuần đạt 1.967,6 tỷ đồng và lợi nhuận sau thuế đạt 406,3 tỷ đồng, giảm 20,85% so với báo cáo quý II/2024 do lợi nhuận gộp giảm và chi phí tài chính tăng. "
2024-03-16,"Phó Tổng giám đốc Becamex: Lãi suất vay mua nhà ở xã hội còn cao, thời gian vay ngắn","Phó Tổng giám đốc Becamex cho biết Becamex đã xây dựng hơn 45.000 căn hộ nhà ở công nhân và nhà ở xã hội, và sẽ tiếp tục tập trung phát triển nhà ở xã hội tại Bình Dương (mục tiêu 10.000 căn trong năm 2024).  Tuy nhiên, Becamex cho rằng lãi suất vay mua nhà ở xã hội vẫn còn cao và thời hạn vay ngắn, cần điều chỉnh để người lao động dễ tiếp cận sở hữu nhà hơn.  Chủ tịch HĐQT Tập đoàn Hoàng Quân cũng kiến nghị Chính phủ áp dụng các điều khoản về nhà ở xã hội trong Luật Nhà ở từ 1/7/2024, mở rộng gói tín dụng 120.000 tỷ đồng cho cả những người đã mua nhà ở xã hội nhưng chưa được hưởng ưu đãi,  và cân bằng thời hạn vay giữa chủ đầu tư và người mua nhà,  cùng với việc hỗ trợ bù lãi suất cho ngân hàng để thúc đẩy chương trình 1 triệu căn nhà ở xã hội. "
2024-06-07,"Sau ít năm làm nông nghiệp, Thaco Agri của tỷ phú Trần Bá Dương có tài sản tăng vọt lên hơn 51.000 tỷ, vượt Vincom Retail, gần bằng Vinamilk, Becamex IDC","Thaco Agri, công ty nông nghiệp của tỷ phú Trần Bá Dương, báo cáo tổng tài sản năm 2023 đạt hơn 51.000 tỷ đồng, vượt Vincom Retail và gần bằng Vinamilk, Becamex IDC.  Năm 2023, công ty lãi 41,5 tỷ đồng (so với lỗ 868 tỷ đồng năm trước), vốn chủ sở hữu tăng 26%, và có tổng nợ phải trả 36.863 tỷ đồng (trong đó nợ trái phiếu 2.374 tỷ). Thaco Agri đang triển khai chiến lược đầu tư quy mô lớn tại Việt Nam, Lào và Campuchia, với kế hoạch đầu tư 5.800 tỷ đồng trong năm 2024 để mở rộng sản xuất chuối, chăn nuôi bò và heo, sản xuất thức ăn chăn nuôi và nuôi cá.  Công ty cũng xuất khẩu trái cây sang nhiều nước. "
2024-10-11,"Becamex IDC muốn rút bớt tài sản bảo đảm trái phiếu, Trưởng Ban kiểm soát xin từ nhiệm","Becamex IDC (BCM) dự kiến rút bớt tài sản đảm bảo cho trái phiếu BCMH2427001 (800 tỷ đồng, kỳ hạn 3 năm, lãi suất 10,5%/năm) và sẽ lấy ý kiến người sở hữu trái phiếu trong tháng 10/2024.  Bà Nguyễn Thị Thùy Dương, Trưởng Ban Kiểm soát của Becamex IDC, đã xin từ nhiệm.  Về hoạt động kinh doanh, doanh thu quý II/2024 giảm 10% so với cùng kỳ nhưng lợi nhuận sau thuế tăng mạnh (tăng 11 lần). Lũy kế 6 tháng đầu năm, doanh thu tăng 4,7% và lợi nhuận tăng 950,5%.  Becamex IDC đặt kế hoạch doanh thu và lợi nhuận năm 2024 lần lượt là 9.000 tỷ đồng và 2.350 tỷ đồng.  Tổng nợ vay của công ty (ngắn hạn và dài hạn) đã tăng 7,9% so với đầu năm, vượt quá vốn chủ sở hữu. "
