publish_date,title,summary
2024-10-11,"Kiểm soát quỹ đạo tài chính, chi tiêu thông minh cùng Thẻ BIDV Mastercard Moneyverse","Bài báo đề cập đến việc người Việt Nam thiếu kiến thức quản lý tài chính (OECD 2021), và chương trình ""The Moneyverse"" nhấn mạnh tầm quan trọng của việc quản lý chi tiêu.  Bài báo lấy ví dụ về sinh viên tiêu hết tiền nhanh chóng do thiếu kinh nghiệm và kế hoạch.  Giải pháp được đề xuất là sử dụng tài khoản ngân hàng và thẻ ghi nợ để kiểm soát chi tiêu.  BIDV ra mắt thẻ BIDV Mastercard Moneyverse dành riêng cho sinh viên, với nhiều ưu đãi, tính năng bảo mật, và tích hợp với ứng dụng BIDV SmartBanking để hỗ trợ quản lý tài chính và kết nối với cộng đồng The Moneyverse. Thẻ này giúp kiểm soát chi tiêu, tích lũy điểm thưởng, và có bảo hiểm mua hàng online.   "
2024-03-19,BIDV rao bán khoản nợ xấu trăm tỷ của Nhà máy nước Sài Gòn - An Khê,"BIDV sẽ bán đấu giá khoản nợ của Công ty CP Nước Sài Gòn – An Khê, trị giá gần 133,7 tỷ đồng (gốc 100,8 tỷ, lãi và phí 32,9 tỷ).  Tài sản đảm bảo là toàn bộ nhà máy nước và hệ thống cấp nước tại thị xã An Khê, Gia Lai. Giá khởi điểm bằng tổng dư nợ. Nhà máy có công suất 9.500 m3/ngày đêm nhưng sản lượng thấp, dẫn đến lỗ nặng. "
2024-02-13,"DN thuỷ sản trên sàn có Chủ tịch vừa bị bắt: Lỗ triền miên, âm vốn 1.400 tỷ, mất khả năng thanh toán nợ 400 tỷ cho BIDV, Vietcombank, Agribank","Cục Điều tra hình sự Bộ Quốc phòng đã bắt tạm giam ông Ngô Văn Phăng, nguyên Chủ tịch HĐQT của Cadovimex, và khởi tố một số cán bộ ngân hàng liên quan đến vụ án lừa đảo chiếm đoạt tài sản.  Trước đó, Cadovimex đã thua lỗ triền miên nhiều năm, vốn chủ sở hữu âm 1.424 tỷ đồng, và mất khả năng thanh toán nợ hơn 400 tỷ đồng cho BIDV, Agribank và Vietcombank.  Công ty đã hoàn tất thủ tục phá sản, tài sản rất ít, và hoạt động sản xuất kinh doanh gần như ngừng trệ.   "
2024-10-17,"Ngân hàng hé lộ kết quả kinh doanh 9 tháng: Lợi nhuận thuần BIDV dự kiến đạt 36.100 tỷ đồng, ACB được cấp room tín dụng 18,4%","Hội nghị các ngân hàng cho thấy kỳ vọng tích cực về lợi nhuận năm 2024, với chất lượng tài sản được dự báo cải thiện.  BIDV dự kiến lợi nhuận thuần 9 tháng đạt 36.100 tỷ đồng (+6% so với cùng kỳ).  Vietcombank dự kiến hoàn tất bán vốn cho nước ngoài vào đầu năm 2025. VietinBank đạt tăng trưởng tín dụng 8,75% trong quý III, và đặt mục tiêu tỷ lệ nợ xấu dưới 1,5%. MB kỳ vọng tăng trưởng tín dụng hơn 12% và NIM tăng. ACB được cấp room tín dụng 18,4% nhưng dự báo NIM có thể giảm nhẹ. VPBank dự báo NIM chịu áp lực trong nửa cuối năm, với nợ xấu chủ yếu từ bán lẻ. Techcombank đặt mục tiêu tăng trưởng tín dụng 18-20% năm 2024, và dự báo tỷ lệ nợ xấu khoảng 1,3%-1,4%.   "
2024-03-20,"Một DN thủy sản trên sàn không thể trả nợ 137 tỷ cho BIDV, phải bàn giao cả chục triệu cổ phiếu cho Chi Cục Thi hành án","Công ty CP Chế biến Thủy sản Xuất khẩu Minh Hải (JOS) đã không thể trả nợ 137 tỷ đồng cho BIDV và phải bàn giao 14,89 triệu cổ phiếu (49,49% vốn) của công ty liên kết Thủy sản Kiên Giang để xử lý nợ.  JOS đã lỗ liên tiếp nhiều năm, với tổng lỗ lũy kế 570 tỷ đồng đến cuối năm 2023.  Doanh thu và tài sản giảm mạnh, trong khi nợ vẫn còn cao.  Công ty được thành lập năm 1998, cổ phần hóa năm 2003 và niêm yết trên UPCoM năm 2017.   "
2024-01-27,"Lãi suất ngân hàng BIDV cuối tháng 1/2024: Giảm thêm, gửi 1-2 tháng chỉ còn 1,9%/năm","BIDV giảm lãi suất huy động đối với khách hàng cá nhân ở hầu hết các kỳ hạn vào cuối tháng 1/2024.  Kỳ hạn 1-2 tháng chỉ còn 1,9%/năm, trong khi kỳ hạn 24 và 36 tháng duy trì ở mức 5,3%/năm.  Khách hàng gửi tiền trực tuyến được hưởng thêm 0,1%/năm ưu đãi cho kỳ hạn 1-11 tháng.  Lãi suất huy động cho khách hàng doanh nghiệp cũng được điều chỉnh, với mức thấp nhất là 1,9%/năm (kỳ hạn 1-2 tháng) và cao nhất là 4,5%/năm (kỳ hạn 12-60 tháng). "
2024-05-24,"Khi nhà đầu tư 'chốt lời' cổ phiếu công nghệ: Viettel Global trả lại vị trí công ty giá trị thứ 2 sàn chứng khoán cho BIDV, FPT khớp lệnh kỷ lục, khối ngoại bán ròng 350 tỷ","Thị trường chứng khoán giảm điểm mạnh ngày 24/5, cổ phiếu công nghệ bị bán mạnh, đặc biệt là FPT (giảm 4%, khớp lệnh kỷ lục gần 1.800 tỷ đồng, khối ngoại bán ròng 350 tỷ đồng) và VGI (giảm 6,19%). VGI mất vị trí công ty giá trị thứ 2 sàn chứng khoán vào tay BIDV.  Sự tăng trưởng mạnh của cổ phiếu công nghệ đầu năm 2024 nhờ kết quả kinh doanh tốt và kỳ vọng đầu tư FDI vào lĩnh vực công nghệ (bán dẫn, AI,...) cũng như triển vọng tăng trưởng toàn cầu (Gartner dự báo tăng 8%).  Việc CEO của Nvidia đến thăm Việt Nam và các thỏa thuận hợp tác với các công ty Việt Nam (FPT, VNG, CMC Corp) cũng tác động tích cực đến triển vọng ngành công nghệ.  Tuy nhiên, phiên 24/5 cho thấy nhà đầu tư đang chốt lời.   "
2024-11-05,BIDV được vinh danh “Thương hiệu quốc gia”,"BIDV đã được vinh danh ""Thương hiệu quốc gia"" năm 2024, đây là lần thứ 8 nhận giải thưởng này.  BIDV là ngân hàng có tổng tài sản lớn nhất Việt Nam, với tổng tài sản đạt trên 2,58 triệu tỷ đồng (tính đến 30/9/2024). Ngân hàng này cũng đạt được nhiều thành tích khác về lợi nhuận, nộp thuế và số lượng khách hàng.  BIDV đang tích cực thúc đẩy hoạt động kinh doanh bền vững,  xây dựng hình ảnh ""Ngân hàng Xanh"" và đóng góp vào chiến lược tăng trưởng xanh quốc gia,  thông qua việc ban hành các khung quản lý rủi ro môi trường và xã hội, cũng như triển khai các sáng kiến xanh.  Ngoài ""Thương hiệu quốc gia"", BIDV còn nhận được nhiều giải thưởng quốc tế và trong nước khác. "
2024-10-07,Một công ty bất động sản nợ xấu hơn 5.700 tỷ đồng tại BIDV,"BIDV đang bán đấu giá khoản nợ 5.720 tỷ đồng (gốc 2.506 tỷ, lãi 3.214 tỷ) của Công ty Tài Nguyên.  Tài sản đảm bảo gồm quyền sử dụng đất và tài sản tại dự án Kenton (Nhà Bè, TP.HCM) và quyền khai thác mỏ đá (Quốc Oai, Hà Nội).  Vụ kiện tranh chấp hợp đồng tín dụng giữa BIDV và Công ty Tài Nguyên đã bị tạm đình chỉ.  Giá khởi điểm đấu giá là hơn 4.904 tỷ đồng. Công ty Tài Nguyên còn nợ xấu tại MSB (296 tỷ đồng). Công ty Tài Nguyên, thành lập năm 1996, tập trung vào bất động sản từ năm 2001, đã tăng vốn điều lệ mạnh năm 2018. Dự án Kenton Node, từng được kỳ vọng lớn nhưng bị đình trệ nhiều năm, là tài sản thế chấp chính.   "
2024-07-01,"Lãi suất tiết kiệm BIDV mới nhất tháng 7/2024: Mức cao nhất là 4,8%/năm","Lãi suất tiết kiệm BIDV tháng 7/2024:  * **Cá nhân (quầy):** 1,7%-4,7%/năm; cao nhất 4,7% (12 tháng trở lên). * **Cá nhân (online):** 0,3%-4,8%/năm; cao nhất 4,8% (24-36 tháng). * **Doanh nghiệp:** 1,6%-4,2%/năm; cao nhất 4,2% (12-60 tháng).  Lãi suất online cao hơn lãi suất gửi tại quầy. "
