publish_date,title,summary
2024-06-28,"Hơn 745 tỷ đồng ""tiền tươi thóc thật"" sắp chảy vào túi cổ đông Tập đoàn Bảo Việt","Đại hội cổ đông thường niên 2023 của Tập đoàn Bảo Việt thông qua kế hoạch chia cổ tức 745 tỷ đồng bằng tiền mặt cho cổ đông, tương đương tỷ lệ 10,037%.  Năm 2023, Bảo Việt đạt lợi nhuận sau thuế hợp nhất 1.860 tỷ đồng (tăng 14,4% so với năm 2022) và tổng tài sản gần 9 tỷ USD.  Dự kiến năm 2024, Bảo Việt sẽ chia cổ tức 768 tỷ đồng.  Công ty có lịch sử lâu đời, thành lập năm 1965 và hiện là doanh nghiệp bảo hiểm lớn tại Việt Nam. "
2024-09-12,"'Bão' quét qua thị trường bảo hiểm: PVI bồi thường kỷ lục hơn 2.000 tỷ đồng, số tiền chi trả quyền lợi không ngừng tăng tại Bảo hiểm Bảo Việt, BIC, PTI...","Bão số 3 (Yagi) gây thiệt hại nặng nề cho nhiều doanh nghiệp bảo hiểm tại Việt Nam.  PVI ghi nhận hơn 500 vụ tổn thất, ước tính hơn 2.000 tỷ đồng (chưa tính xe và người), đây được cho là mức bồi thường kỷ lục. Bảo Việt ghi nhận gần 385 tỷ đồng, BIC gần 200 tỷ đồng, PJICO và các công ty khác cũng ghi nhận hàng trăm tỷ đồng thiệt hại.  Về bảo hiểm nhân thọ, 6 công ty báo cáo 15 vụ thương vong, với tổng số tiền bồi thường ước tính khoảng 9,7 tỷ đồng, trong đó AIA Việt Nam chiếm phần lớn với 6,5 tỷ đồng.  Số liệu thiệt hại vẫn đang được cập nhật. "
2024-09-11,"Chung tay với bà con vùng lũ: Hội DN Trẻ ủng hộ 3 tỷ, Bảo Việt ủng hộ 5 tỷ, Shark Bình khoe vừa chuyển khoản 500 triệu đồng","Hậu quả bão số 3 gây ra thiệt hại nặng nề ở miền Bắc, nhiều tổ chức và cá nhân đã chung tay hỗ trợ. Hội Doanh nhân trẻ Việt Nam ủng hộ 2,9 tỷ đồng cho 10 tỉnh thành bị ảnh hưởng. Tập đoàn Bảo Việt ủng hộ 5 tỷ đồng thông qua Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam, đồng thời Bảo hiểm Bảo Việt đang tích cực giải quyết bồi thường cho khách hàng.  Shark Bình (Nguyễn Hòa Bình) ủng hộ 500 triệu đồng, TikToker Phạm Thoại ủng hộ 1 tỷ đồng.  Central Retail hỗ trợ 10.000 suất hàng nhu yếu phẩm (khoảng 1,25 tỷ đồng), Long Châu tặng thuốc và kit sơ cứu, Thế giới Di động chuẩn bị 10.000 nồi cơm điện. "
2024-06-06,Bảo hiểm Bảo Việt tung khuyến mại lớn chào mừng kỷ niệm 60 năm,"Bảo hiểm Bảo Việt kỷ niệm 60 năm thành lập (1965-2024) với chương trình khuyến mãi ""60 Năm Đồng Hành, Nhận Vạn Quà Bình An"" từ 6/6 đến 6/8/2024.  Mỗi 500.000 VNĐ phí bảo hiểm được quy đổi thành một mã dự thưởng, có cơ hội nhận gần 2.000 giải thưởng trị giá hơn 1 tỷ đồng, bao gồm 6 xe máy Honda Vision, 600 máy đo huyết áp, 600 cân sức khỏe, 600 mũ bảo hiểm và 10.000 tấm che nắng.  Bảo Việt cũng tự hào về các giải thưởng đã đạt được trong suốt 60 năm hoạt động, khẳng định vị thế dẫn đầu trong ngành bảo hiểm phi nhân thọ tại Việt Nam. Khách hàng có thể tham gia trực tuyến hoặc thông qua các đại lý trên toàn quốc. "
2024-06-26,"Bảo Việt dự kiến chi trả cổ tức năm 2023 bằng tiền tỷ lệ 10,037%","Tập đoàn Bảo Việt (BVH) dự kiến chi trả cổ tức năm 2023 bằng tiền, tỷ lệ 10,037%, tương đương hơn 745 tỷ đồng.  Năm 2023, doanh nghiệp đạt lợi nhuận sau thuế hợp nhất 1.860 tỷ đồng (tăng 14,4%), tổng tài sản gần 9 tỷ USD.  Quý I/2024 tiếp tục tăng trưởng mạnh. Bảo Việt cũng được Fortune công bố trong danh sách Fortune 500 của Đông Nam Á.  Doanh nghiệp cam kết phát triển bền vững, thực hiện nhiều chương trình an sinh xã hội (trên 116 tỷ đồng từ năm 2020) và tích hợp ESG vào quản trị, bao gồm giảm lượng khí thải và thúc đẩy đa dạng, bình đẳng trong môi trường làm việc. "
2024-11-30,"Bảo Việt có Quyền Chủ tịch và Quyền Tổng giám đốc mới sau 2 năm biến động thượng tầng, cổ phiếu tăng trần lên cao nhất 1 năm","Tập đoàn Bảo Việt bổ nhiệm bà Trần Thị Diệu Hằng làm Quyền Chủ tịch HĐQT và ông Nguyễn Xuân Việt làm Quyền Tổng Giám đốc, thay thế ông Đào Đình Thi và ông Nguyễn Đình An (chuyển sang Phó Chủ tịch).  Việc bổ nhiệm diễn ra sau hai năm biến động thượng tầng, kể từ khi ông Đào Đình Thi và ông Đỗ Trường Minh bị miễn nhiệm hồi tháng 8/2022.  Tin này khiến cổ phiếu BVH tăng trần lên mức cao nhất trong một năm, đạt 47.500 đồng. "
2024-11-15,Bảo Việt sắp chi 745 tỷ đồng trả cổ tức,"Tập đoàn Bảo Việt (BVH) sẽ chi trả cổ tức năm 2023 bằng tiền mặt với tỷ lệ 10,037% (khoảng 745 tỷ đồng) vào ngày 20/12/2024.  Ngày đăng ký cuối cùng là 20/11, ngày giao dịch không hưởng quyền là 19/11.  Bộ Tài chính (sở hữu 65% cổ phần) và Sumitomo Life Insurance Company (22,09%) là hai cổ đông lớn nhất sẽ nhận được phần lớn cổ tức.  Lũy kế 9 tháng đầu năm 2024, lợi nhuận ròng của BVH đạt 1.619 tỷ đồng, tăng so với cùng kỳ năm trước, nhờ hoạt động kinh doanh bảo hiểm phục hồi. Tổng tài sản đạt 238.219 tỷ đồng vào cuối tháng 9/2024. "
2024-07-22,BAOVIET Bank giữ vững tăng trưởng ổn định trong hệ sinh thái Tập đoàn Bảo Việt,"BAOVIET Bank báo cáo kết quả kinh doanh 6 tháng đầu năm 2024 khả quan: tổng tài sản tăng 14,67%, tiền gửi khách hàng tăng 7,71%, tín dụng tăng 4,24%.  Lợi nhuận trước thuế đạt 25,79 tỷ đồng (tăng 4,42% so với cùng kỳ).  Ngân hàng tập trung khai thác khách hàng từ hệ sinh thái Bảo Việt, đạt kết quả tích cực với việc tăng thêm 3.600 khách hàng và huy động gần 650 tỷ đồng.  BAOVIET Bank cũng triển khai các gói vay ưu đãi cho doanh nghiệp nhỏ và siêu nhỏ (từ 6,5%/năm) và khách hàng cá nhân (từ 3%/năm cho vay ngắn hạn và từ 7,5%/năm cho vay trung dài hạn).  Trong nửa cuối năm, ngân hàng sẽ tiếp tục đẩy mạnh hợp tác với các đơn vị trong hệ sinh thái Bảo Việt và đầu tư vào số hóa để nâng cao trải nghiệm khách hàng. "
2024-11-26,Bảo Việt Nhân thọ phát triển bền vững vì một Việt Nam an bình và thịnh vượng,"Bảo Việt Nhân thọ khẳng định vị thế dẫn đầu ngành bảo hiểm nhân thọ Việt Nam năm 2024 với kết quả kinh doanh vượt trội, doanh thu khai thác mới và tổng doanh thu phí bảo hiểm dẫn đầu. Công ty nhận được nhiều giải thưởng uy tín trong và ngoài nước, như ""Nơi làm việc tốt nhất Châu Á 2024"" và ""Doanh nghiệp xuất sắc Châu Á năm 2024"".  Bảo Việt Nhân thọ chú trọng phát triển bền vững, thể hiện qua các hoạt động cộng đồng như hỗ trợ học bổng, cứu trợ thiên tai và chăm sóc sức khỏe.  Công ty cam kết tiếp tục đổi mới, nâng cao chất lượng dịch vụ và sản phẩm để trở thành người bạn đồng hành đáng tin cậy cho khách hàng. "
2024-07-01,"Cứ 10 hợp đồng bảo hiểm mở mới, có 5 người là khách hàng của ba “ông lớn” Bảo Việt nhân thọ, Dai-ichi, Prudential – “miếng bánh” thị trường đang được phân chia ra sao?","Thị trường bảo hiểm nhân thọ Việt Nam 4 tháng đầu năm 2024 ghi nhận tổng doanh thu phí bảo hiểm khai thác mới giảm 31,6% so với cùng kỳ năm trước, đạt 7.290 tỷ đồng.  Bảo Việt Nhân thọ dẫn đầu thị phần với gần 18%, tiếp theo là Dai-ichi (15%) và Prudential (gần 15%). Ba công ty này chiếm gần 50% thị phần.  Doanh thu bảo hiểm liên kết đầu tư giảm mạnh (42,1%), trong khi bảo hiểm hỗn hợp và bảo hiểm tử kỳ tăng trưởng cao.  Nghiệp vụ bảo hiểm liên kết đầu tư chiếm tỷ trọng lớn nhất (69%) về doanh thu, và 52,5% về số lượng hợp đồng. Tổng số hợp đồng có hiệu lực giảm 12,7% so với cùng kỳ năm trước. "
