publish_date,title,summary
2024-09-17,Lãi suất ngân hàng VietinBank mới nhất tháng 9/2024: Gửi kỳ hạn nào có lãi suất cao nhất,"Lãi suất tiết kiệm VietinBank tháng 9/2024: Khách hàng cá nhân gửi tiết kiệm kỳ hạn 24 tháng trở lên được hưởng lãi suất cao nhất là 4,8%/năm.  Kỳ hạn khác dao động từ 0,2%/năm đến 4,7%/năm. Khách hàng doanh nghiệp gửi từ 12 tháng trở lên được lãi suất cao nhất 4,2%/năm, các kỳ hạn khác từ 0,2% đến 2,9%/năm.  Lưu ý: đây chỉ là thông tin tham khảo, khách hàng nên liên hệ trực tiếp VietinBank để biết thông tin chính xác. "
2024-04-12,"Một công ty bảo hiểm nhân thọ nắm giữ lượng lớn trái phiếu của Vietcombank, BIDV, VietinBank, Vingroup","Báo cáo tài chính năm 2023 của Dai-ichi Việt Nam cho thấy tổng tài sản đạt 66.686 tỷ đồng, tăng 14,9%.  Đầu tư tài chính chiếm 72% tổng tài sản, chủ yếu là trái phiếu (37.549 tỷ đồng), trong đó 70% là trái phiếu Chính phủ.  Dai-ichi cũng nắm giữ lượng lớn trái phiếu của các ngân hàng lớn như Vietcombank, BIDV, VietinBank và các doanh nghiệp như Vingroup.  Hoạt động tài chính mang lại hơn 3.439 tỷ đồng doanh thu, chủ yếu từ lãi trái phiếu, giúp bù đắp sự sụt giảm lợi nhuận từ hoạt động bảo hiểm.  Lợi nhuận trước thuế đạt 3.015 tỷ đồng. "
2024-04-23,VietinBank ra mắt sản phẩm dành riêng cho khách hàng kinh doanh,"VietinBank ra mắt gói sản phẩm Shop365 và chương trình ưu đãi ""Siêu ưu đãi lãi, phí"" dành cho khách hàng kinh doanh đến hết 16/12/2024.  Gói Shop365 bao gồm: lãi suất tiền gửi tăng 5 lần (0,5%/năm), lãi suất vay ưu đãi từ 5%/năm, phí POS từ 1%, miễn phí nhiều dịch vụ tài khoản và thẻ.  Chương trình ưu đãi tặng 500.000 đồng cho khách hàng có tổng giao dịch hoặc số lượng giao dịch VietQR cao nhất mỗi tháng, tổng giá trị giải thưởng 5,4 tỷ đồng.   "
2024-10-01,"Dự báo lợi nhuận quý III của các ngân hàng: Eximbank, HDBank, LPBank, VietinBank, VPBank, TPBank sẽ tăng trưởng mạnh nhất","MBS dự báo tăng trưởng tín dụng quý III/2024 sẽ tốt hơn quý II, nhưng biên lãi thuần (NIM) sẽ đi ngang hoặc giảm nhẹ. Thu nhập ngoài lãi vẫn ảm đạm.  Nợ xấu dự kiến không tăng.  Một số ngân hàng dự báo tăng trưởng lợi nhuận mạnh: Eximbank (70%), HDBank (44%), TPBank (35%), VietinBank (40%).  Các ngân hàng khác tăng trưởng thấp hơn hoặc giảm lợi nhuận, bao gồm Vietcombank (9%), ACB (7%), VIB (-19%), OCB (-20%).  Tăng trưởng lợi nhuận chủ yếu nhờ tăng trưởng tín dụng (HDBank, TPBank), mức nền thấp cùng kỳ (Eximbank, VietinBank, LPBank), hoặc duy trì NIM tốt và giảm chi phí trích lập. "
2024-05-23,VietinBank công bố Khung Tài chính Bền vững,"VietinBank công bố Khung Tài chính Bền vững (SFF), được Morningstar Sustainalytics đánh giá cao và phù hợp với các tiêu chuẩn quốc tế.  SFF tập trung vào 4 trụ cột, hướng dẫn tài trợ cho các dự án phát triển bền vững (xanh và xã hội).  Các dự án ""xanh"" bao gồm năng lượng tái tạo, sử dụng năng lượng hiệu quả, kinh tế tuần hoàn, v.v.; các dự án ""xã hội"" bao gồm tiếp cận cơ sở hạ tầng, nhà ở xã hội và dịch vụ cơ bản.  VietinBank đã tích cực tài trợ cho các dự án bền vững từ năm 2018, với mức tăng trưởng 100% trong giai đoạn 2018-2022, và năm 2024 ra mắt gói tài chính xanh 5.000 tỷ đồng. SFF sẽ giúp VietinBank chuẩn hóa hoạt động cấp tín dụng và phát hành trái phiếu bền vững, hướng tới mục tiêu phát thải ròng bằng 0 vào năm 2050. "
2024-09-26,Chân dung Phó Tổng giám đốc được đề cử bầu vào Hội đồng quản trị VietinBank,"Ông Nguyễn Trần Mạnh Trung, Phó Tổng giám đốc VietinBank sinh năm 1983, tốt nghiệp cử nhân và thạc sĩ Tài chính Ngân hàng, được đề cử bổ sung vào Hội đồng quản trị VietinBank nhiệm kỳ 2024-2029. Ông đã làm việc tại VietinBank từ năm 2005 và giữ chức Phó Tổng giám đốc từ tháng 9/2022.  Nếu được bầu, Hội đồng quản trị sẽ có 10 thành viên. VietinBank đạt lợi nhuận sau thuế 10.411 tỷ đồng trong 6 tháng đầu năm 2024 và tổng tài sản hơn 2,16 triệu tỷ đồng vào cuối tháng 6/2024. "
2024-04-12,"Cổ phiếu CTG, TCB, MBB đồng loạt tăng mạnh, LPB tăng kịch trần và lập đỉnh mới","Phiên giao dịch ngày 12/4/2024 chứng kiến sự tăng trưởng ấn tượng của thị trường chứng khoán Việt Nam, đặc biệt là nhóm cổ phiếu ngân hàng.  LPB (LPBank) tăng kịch trần 6,83%, lập đỉnh mới. CTG (VietinBank) tăng 6,53% với thanh khoản cao. TCB (Techcombank) và MBB cũng tăng mạnh.  Đáng chú ý là sự tăng trưởng của VAB (VietABank) gần đạt mệnh giá sau khi công bố kế hoạch chuyển sàn.  Giao dịch khối ngoại đột biến ở ACB với hơn 205 triệu cổ phiếu được trao tay, cho thấy sự quan tâm của nhà đầu tư nước ngoài.   "
2024-04-22,VietinBank ra mắt sản phẩm siêu ưu đãi cho khách hàng kinh doanh,"VietinBank ra mắt gói sản phẩm Shop365 và chương trình khuyến mãi đến 16/12/2024 dành cho khách hàng kinh doanh.  Gói Shop365 gồm nhiều ưu đãi: lãi suất tiền gửi tăng 5 lần (0,5%/năm), lãi suất vay ưu đãi từ 5%/năm, phí POS từ 1%, miễn phí nhiều dịch vụ. Chương trình khuyến mãi tặng 500.000 đồng/tháng cho khách hàng có tổng giá trị hoặc số lượng giao dịch VietQR cao nhất, tổng giải thưởng 5,4 tỷ đồng, kèm quà tặng VietQR. "
2024-05-09,"Sản lượng bán hàng lần đầu vượt 800.000 tấn sau 2 năm, cổ phiếu tăng liền 4 phiên kéo vốn hóa của Hòa Phát vượt PV Gas, Vingroup, Vinhomes, Vietinbank... để xếp thứ 3 trên HoSE","Cổ phiếu HPG của Hòa Phát tăng 4 phiên liên tiếp, đưa vốn hóa thị trường lên vị trí thứ 3 trên HoSE, vượt PV Gas, Vietinbank, Vingroup và Vinhomes.  Tháng 4/2024, Hòa Phát đạt sản lượng bán hàng kỷ lục 805.000 tấn, tăng 16% so với tháng trước và 76% so với cùng kỳ năm ngoái.  Lợi nhuận quý I/2024 đạt 2.869 tỷ đồng.  Chủ tịch Trần Đình Long cho rằng năm 2024 sẽ có tăng trưởng nhưng không đột biến do thị trường bất động sản khó khăn, nhưng năm 2025 sẽ khả quan hơn. Hòa Phát đang nghiên cứu sản phẩm mới như tôn silic và tham gia đấu thầu dự án đường sắt cao tốc Bắc-Nam. SSI Research dự báo tiêu thụ thép năm 2024 sẽ tăng trưởng, hỗ trợ lợi nhuận của các công ty thép, bao gồm cả Hòa Phát. "
2024-04-17,"Có từ 300 triệu đồng trở lên gửi tiết kiệm ở VietinBank, Agribank, BIDV, Vietcombank: Ngân hàng nào trả lãi cao nhất?","VietinBank tăng lãi suất tiết kiệm cho khoản gửi từ 300 triệu đồng trở lên, cao hơn các ngân hàng khác trong nhóm Big 4 (Agribank, BIDV, Vietcombank) từ 0,2-0,3%.  VietinBank có lãi suất cao nhất ở hầu hết các kỳ hạn, đặc biệt là kỳ hạn 11 tháng - dưới 12 tháng (4,5%) và 24-36 tháng (5%).  Tuy nhiên, Vietcombank có lãi suất cạnh tranh ở một số kỳ hạn khác.  Nhiều ngân hàng khác cũng điều chỉnh lãi suất, nhưng một số ngân hàng lại giảm lãi suất. "
