publish_date,title,summary
2024-01-29,"Vượt kỳ vọng, chuỗi nhà thuốc Long Châu tăng trưởng hơn 60%, đem về gần 16.000 tỷ doanh thu cho FPT Retail trong năm 2023","FPT Retail (FRT) công bố kết quả kinh doanh năm 2023 với doanh thu hợp nhất đạt 31.850 tỷ đồng, tăng 6% so với năm 2022, nhưng lỗ trước thuế 294 tỷ đồng.  Mặc dù FPT Shop giảm doanh thu 22%, chuỗi nhà thuốc FPT Long Châu tăng trưởng vượt trội, đạt 15.888 tỷ đồng (tăng 66%), chiếm 50% tổng doanh thu và là động lực chính giúp FRT duy trì mức tăng trưởng.  Quý 4/2023, FRT lỗ trước thuế 97 tỷ đồng do chi phí thưởng cho Long Châu (vượt xa kế hoạch), chi phí hủy hàng, đóng cửa hàng FPT Shop không hiệu quả và đầu tư mới.  FRT đang chuyển hướng chiến lược, tập trung nâng cao trải nghiệm khách hàng, đa dạng sản phẩm (gia dụng, điện thoại Honor, mạng di động FPT), và mở rộng hệ thống (Long Châu tăng 560 cửa hàng, FPT Shop giảm 31 cửa hàng).  Công ty cũng đầu tư vào hệ thống logistics hiện đại và hệ thống khách hàng thân thiết.  Mặc dù chịu áp lực cạnh tranh giá cả, FRT quyết định không tham gia cuộc chiến giá mà tập trung vào chất lượng dịch vụ và trải nghiệm khách hàng. "
2024-01-12,"Sau 20 năm 'dấn thân', FPT đặt mục tiêu 1 tỷ USD doanh thu từ phần mềm cho ô tô","FPT thành lập FPT Automotive tại Texas, Mỹ, đặt mục tiêu doanh thu 1 tỷ USD từ phần mềm ô tô vào năm 2030.  Sau gần 20 năm kinh nghiệm (từ năm 2006) trong lĩnh vực phần mềm nhúng cho ô tô, FPT tận dụng xu hướng tăng trưởng mạnh mẽ của ngành công nghiệp này, đặc biệt là ba cuộc cách mạng: xe điện, xe tự hành và kết nối xe.  Mặc dù còn nhiều thách thức như đảm bảo an toàn cho xe tự hành và phát triển hạ tầng cho xe điện, FPT nhìn thấy cơ hội lớn từ sự thiếu hụt kỹ sư chất lượng cao toàn cầu và  kinh nghiệm sẵn có với 4.000 kỹ sư và  khách hàng lớn tại Nhật Bản, Châu Âu, Mỹ, Hàn Quốc và Trung Quốc.  Ông Trương Gia Bình, Chủ tịch HĐQT FPT, đóng vai trò quan trọng trong việc định hướng chiến lược cho FPT Automotive. "
2024-08-08,"Lãnh đạo FPT: Đồng Yên tăng giá không có nhiều tác động đến tập đoàn, lên kế hoạch thành lập nhà máy AI tại Nhật Bản","FPT báo cáo kết quả kinh doanh khả quan, dự đoán tăng trưởng mạnh trong nửa cuối năm 2024 nhờ nhu cầu chuyển đổi số ổn định.  Họ đã ký được 27 hợp đồng lớn (trong đó có 1 hợp đồng trên 100 triệu USD), và việc mua lại công ty Nhật Bản NAC tăng cường năng lực kinh doanh.  Sự tăng giá của đồng Yên Nhật không ảnh hưởng đáng kể đến lợi nhuận vì FPT sử dụng biện pháp phòng ngừa rủi ro về tỷ giá.  FPT lên kế hoạch mở rộng dịch vụ cho thuê GPU (GPUaaS) sang Nhật Bản, đặt mục tiêu 100 triệu USD doanh thu vào năm 2027, và đang xem xét xây dựng nhà máy AI tại Nhật Bản.  Tại Việt Nam, hợp tác với Nvidia để xây dựng nhà máy AI với mục tiêu 100 triệu USD doanh thu từ GPUaaS vào năm 2027. Mảng viễn thông (đặc biệt là trung tâm dữ liệu) và giáo dục dự kiến tăng trưởng hai con số, với các dự án trung tâm dữ liệu mới và mở rộng mạng lưới giáo dục K12. "
2024-10-01,'Hoa hậu FPT 2018' được bổ nhiệm làm Phó Tổng giám đốc FPT Retail,"Bà Nguyễn Đỗ Quyên, cựu ""Hoa hậu FPT 2018"" và Giám đốc Điều hành (COO) của FPT Retail, được bổ nhiệm làm Phó Tổng giám đốc của công ty từ ngày 1/10/2024 đến 30/9/2027.  Bà Quyên có nhiều đóng góp quan trọng cho FPT Retail trong suốt 10 năm làm việc, bao gồm thành công trong việc cải thiện hình ảnh FPT Shop thông qua dự án ""We loveFPTShop"", tối ưu hóa hoạt động vận hành của chuỗi cửa hàng, và đóng góp đáng kể vào sự phát triển của FPT Long Châu thành chuỗi nhà thuốc số 1 Việt Nam.  Ngoài ra, bà cũng có nhiều thành tích trong việc ứng dụng chuyển đổi số. "
2024-03-01,"Chủ tịch FPT Trương Gia Bình phân tích ảnh hưởng của công nghệ lên thị trường chứng khoán qua 3 chữ cái D, G, I","Chủ tịch FPT Trương Gia Bình cho rằng thị trường chứng khoán Việt Nam cần phát triển mạnh hơn để tương xứng với vị thế quốc tế của Việt Nam. Ông nhấn mạnh vai trò của công nghệ với 3 yếu tố chính:  **D (Digital):**  Số hóa, minh bạch thông tin, cần học hỏi mô hình của Thái Lan về minh bạch sở hữu công ty.  **G (Green):** Chuyển đổi xanh, cần tích hợp với chuyển đổi số để thu hút vốn xanh và phát triển bền vững. **I (AI):** Trí tuệ nhân tạo, cần ứng dụng AI để phát hiện gian lận, bảo vệ nhà đầu tư và nâng cao hiệu quả thị trường,  như các thị trường chứng khoán lớn khác đã làm. Ông Bình cho rằng Việt Nam có tiềm năng lớn về cả ba yếu tố này nhưng cần tận dụng hiệu quả hơn để phát triển kinh tế. "
2024-09-09,"FPT mở văn phòng tại Thụy Điển, thúc đẩy tăng trưởng thị trường Bắc Âu","FPT chính thức khai trương văn phòng tại Stockholm, Thụy Điển, đánh dấu bước tiến quan trọng trong việc mở rộng thị trường Bắc Âu.  Văn phòng tọa lạc tại Công viên Khoa học Lindholmen, thuận lợi cho việc kết nối với các doanh nghiệp lớn trong khu vực.  FPT hướng đến mục tiêu xây dựng đội ngũ 1.000 chuyên gia công nghệ tại châu Âu trong 3 năm tới, tập trung vào các lĩnh vực như chăm sóc sức khỏe, ô tô, ngân hàng và chuyển đổi xanh.  Việc mở văn phòng này được kỳ vọng sẽ thúc đẩy hợp tác công nghệ giữa Việt Nam và Thụy Điển,  và là một phần trong chiến lược mở rộng toàn cầu của FPT, hiện đã có mặt tại 9 quốc gia châu Âu và hợp tác với hơn 150 doanh nghiệp. "
2024-01-12,"Ông Trương Gia Bình lần đầu chia sẻ về những 'đánh đổi' của FPT để vươn tới 1 tỷ USD doanh thu từ nước ngoài, đặt mục tiêu con số này sẽ đạt 5 tỷ USD đến 2030","FPT đạt mốc 1 tỷ USD doanh thu từ dịch vụ CNTT quốc tế năm 2023 và đặt mục tiêu 5 tỷ USD vào năm 2030.  Chủ tịch Trương Gia Bình chia sẻ về ""đánh đổi"" để đạt được thành tựu này, chủ yếu tập trung vào đầu tư mạnh mẽ cho đào tạo nhân sự.  Ông nhấn mạnh vị thế ngày càng vững chắc của FPT trên thị trường quốc tế,  khả năng đa ngôn ngữ, và sự tin tưởng của đối tác quốc tế, đặc biệt là sự hợp tác sâu rộng với NVIDIA.  Mục tiêu 5 tỷ USD được cho là khả thi dựa trên dư địa phát triển lớn ở các thị trường Mỹ, Châu Âu, và khả năng đa dạng hóa thị trường của FPT. Tuy nhiên, thách thức lớn nhất vẫn là nguồn nhân lực chất lượng cao trong bối cảnh phát triển mạnh mẽ của công nghệ AI. "
2024-11-09,Giám đốc FPT Semiconductor: “Tham vọng của chúng tôi là trở thành công ty thiết kế chip số một tại Đông Nam Á”,"Diễn đàn “Phát triển lĩnh vực thiết kế và đóng gói, kiểm thử vi mạch tại Đông Nam Á” nhấn mạnh tiềm năng phát triển ngành bán dẫn tại Việt Nam, với mục tiêu đến năm 2030 hình thành 100 doanh nghiệp thiết kế và 10 nhà máy đóng gói, kiểm thử, đào tạo 50.000 kỹ sư.  Giám đốc FPT Semiconductor, ông Nguyễn Vinh Quang, chia sẻ tham vọng của FPT trở thành công ty thiết kế chip số một Đông Nam Á, tập trung vào PMIC (mạch tích hợp quản lý năng lượng) và hướng đến chip AI trong tương lai.  FPT đặt mục tiêu đào tạo 10.000 nhân sự cho ngành bán dẫn và hướng đến xuất khẩu chip ra toàn cầu, kế thừa và phát triển giấc mơ của thế hệ trước.  Các chuyên gia đánh giá cao tiềm năng phát triển ngành bán dẫn Việt Nam dựa trên nền kinh tế số phát triển nhanh, vị trí địa chính trị thuận lợi, nguồn nhân lực trẻ và cơ sở hạ tầng hiện đại. "
2024-02-28,"Ông Trương Gia Bình: Cổ phiếu FPT liên tục tăng trưởng từ sau 100 ngày ""giải cứu"" nghẽn lệnh trên HOSE","Chủ tịch FPT Trương Gia Bình bày tỏ sự cảm ơn Chính phủ vì đã hỗ trợ FPT vượt qua thời gian khó khăn do nghẽn lệnh trên HOSE, cho rằng việc này đã góp phần vào sự tăng trưởng của cổ phiếu FPT. Ông cũng nhấn mạnh tầm quan trọng của việc nâng cấp thị trường chứng khoán Việt Nam lên tầm cao mới, tương đương với các thị trường phát triển,  bằng cách tận dụng công nghệ. Ông đề cập đến ba yếu tố then chốt: **D (Digital - Số hóa):**  tăng cường minh bạch thông tin; **G (Green - Xanh):**  chuyển đổi xanh kết hợp với chuyển đổi số; và **I (AI - Trí tuệ nhân tạo):**  ứng dụng AI để nâng cao hiệu quả và chống gian lận.  Ông cho rằng Việt Nam có tiềm năng lớn trong ba lĩnh vực này và cần tận dụng tối đa để phát triển kinh tế.  Cuối cùng, ông nhấn mạnh vai trò của việc niêm yết trên thị trường chứng khoán trong việc thúc đẩy hợp tác quốc tế của FPT. "
2024-03-04,"Đặc điểm chung giữa Nguyễn Hà Đông - ""cha đẻ"" Flappy Bird, Shark Hưng, Chủ tịch FPT Telecom Hoàng Việt Anh cùng hàng loạt CEO lừng danh của Việt Nam: Cha mẹ muốn con cái thành tài đừng bỏ qua!","Bài báo đề cập đến nhiều CEO thành công của Việt Nam, đều tốt nghiệp Đại học Bách khoa Hà Nội, nổi bật là: Nguyễn Hà Đông (Flappy Bird), Shark Hưng, Hoàng Việt Anh (FPT Telecom), và Phạm Đình Đoàn (Phú Thái Holdings).  Bài báo nhấn mạnh chất lượng đào tạo của trường Bách khoa, với tỷ lệ sinh viên có việc làm cao và mức lương tốt sau tốt nghiệp.  Các ví dụ về CEO thành công được đưa ra để minh họa cho chất lượng đào tạo và sự thành công của cựu sinh viên trường, nổi bật là sự kết hợp giữa kiến thức chuyên ngành vững chắc và khả năng ứng dụng thực tiễn. "
