publish_date,title,summary
2024-07-22,Tập đoàn Cao su (GVR) ước lãi trước thuế quý 2 tăng 27%,"Tập đoàn Cao su Việt Nam (GVR) ước tính doanh thu 6 tháng đầu năm 2024 đạt 10.092 tỷ đồng (+6% so với cùng kỳ) và lợi nhuận trước thuế 1.909 tỷ đồng (+4%).  Riêng quý 2, doanh thu ước đạt 5.507 tỷ đồng (+29%) và lợi nhuận trước thuế 1.131 tỷ đồng (+27%).  Mục tiêu năm 2024 là doanh thu 24.999 tỷ đồng (+13%) và lợi nhuận trước thuế 4.104 tỷ đồng (gần bằng năm 2023).  GVR cho rằng giá mủ cao su phục hồi nhưng bị ảnh hưởng bởi biến đổi khí hậu, thiếu lao động và chi phí đầu vào tăng.  Cổ phiếu GVR giảm 14% trong tuần nhưng vẫn tăng 55% so với đầu năm.  HĐQT GVR đã phân công lại nhiệm vụ sau khi ông Trần Ngọc Thuận bị khởi tố (sự việc liên quan đến giai đoạn trước năm 2015). "
2024-10-28,Tập đoàn Cao su Việt Nam sắp chi 1.200 tỷ đồng trả cổ tức 2023,"Tập đoàn Cao su Việt Nam (GVR) sẽ chi trả cổ tức năm 2023 với tỷ lệ 3% (300 đồng/cổ phiếu), tổng cộng khoảng 1.200 tỷ đồng, vào ngày 12/12/2024 (ngày đăng ký cuối cùng: 15/11/2024).  Ủy ban Quản lý vốn Nhà nước tại doanh nghiệp dự kiến nhận khoảng 1.161,3 tỷ đồng cổ tức.  6 tháng đầu năm 2024, GVR đạt doanh thu hơn 9.244 tỷ đồng (+11,33%) và lợi nhuận trước thuế gần 1.902,7 tỷ đồng (+3,98%).  Mục tiêu năm 2024 của GVR là doanh thu 24.999 tỷ đồng và lợi nhuận trước thuế 4.104 tỷ đồng. "
2024-05-24,Cựu chủ tịch Tập đoàn Cao su Lê Quang Thung bị bắt,"Cơ quan Cảnh sát điều tra Bộ Công an đã khởi tố vụ án ""Vi phạm quy định về quản lý, sử dụng tài sản Nhà nước gây thất thoát, lãng phí"" tại Tập đoàn Công nghiệp Cao su Việt Nam và các đơn vị liên quan.  Cựu chủ tịch Lê Quang Thung cùng 8 bị can khác bị bắt tạm giam, bị cáo buộc có sai phạm tại Tập đoàn, Công ty Cao su Đồng Nai, Công ty Cao su Bà Rịa và liên quan đến dự án khu đất 39-39B Bến Vân Đồn, Quận 4, TP.HCM.  Cơ quan điều tra đang tiếp tục mở rộng điều tra và thu hồi tài sản cho Nhà nước. "
2024-07-25,"Trong khi HVN, VGI, GVR, VEA đã giảm hàng chục phần trăm từ đỉnh, cổ phiếu Becamex IDC 'lầm lũi' tăng 37% sau 3 tháng, vốn hóa vượt Sabeco, Petrolimex...","Cổ phiếu BCM của Becamex IDC tăng 37% trong 3 tháng qua, đạt mức giá cao nhất trong 4 tháng, bất chấp sự giảm giá mạnh của một số cổ phiếu doanh nghiệp nhà nước khác như HVN (-44%), VGI (-34,6%), và GVR (-14,3%). Vốn hóa của Becamex IDC đã vượt Sabeco, BSR, Vietjet và SSI.  Sự tăng trưởng này diễn ra sau khi Chính phủ phê duyệt kế hoạch giảm sở hữu nhà nước tại Becamex IDC xuống 65% vào cuối năm 2025, thông qua việc phát hành 300 triệu cổ phiếu (29% cổ phiếu lưu hành) đấu giá công khai với giá khởi điểm không dưới 50.000 đồng/cổ phiếu.  Becamex IDC là một trong những nhà phát triển khu công nghiệp lớn nhất Việt Nam, với nhiều công ty con niêm yết trên sàn chứng khoán.  Doanh thu quý 1/2024 của Becamex IDC tăng 3% và lợi nhuận sau thuế tăng 60% so với cùng kỳ. "
2024-07-20,Tập đoàn Cao su (GVR) lên tiếng về việc lãnh đạo bị khởi tố,"Tập đoàn Cao su Việt Nam (GVR) thông báo đã nhận đơn từ nhiệm của ông Trần Ngọc Thuận (cựu thành viên HĐQT) vào ngày 28/6/2024, trước khi ông bị bắt tạm giam ngày 17/7 vì liên quan đến vụ án ""Vi phạm quy định về quản lý, sử dụng tài sản Nhà nước gây thất thoát, lãng phí"".  GVR cho biết sự việc xảy ra trước năm 2015 và trước khi chuyển sang mô hình công ty cổ phần.  HĐQT đã phân bổ lại nhiệm vụ để đảm bảo hoạt động của Tập đoàn.  Ba bị can khác cũng bị khởi tố trong vụ án này.  Cổ phiếu GVR giảm 10% sau 3 phiên giao dịch kể từ khi thông tin được công bố. "
2024-07-09,Vụ án xảy ra tại Tập đoàn cao su Việt Nam: Khởi tố 12 bị can,"Bộ Công an đã khởi tố 12 bị can trong vụ án “Vi phạm quy định về quản lý, sử dụng tài sản Nhà nước gây thất thoát, lãng phí”, “Nhận hối lộ”, và “Lợi dụng chức vụ, quyền hạn trong khi thi hành công vụ” tại Tập đoàn Công nghiệp Cao su Việt Nam, Công ty Cao su Đồng Nai, và Công ty Cao su Bà Rịa.  Lê Quang Thung, cựu Tổng giám đốc và Chủ tịch HĐQT, bị khởi tố về tội “Vi phạm quy định về quản lý, sử dụng tài sản Nhà nước gây thất thoát, lãng phí” liên quan đến dự án khu đất 39-39B Bến Vân Đồn, Quận 4, TP.HCM.  Cơ quan điều tra đang mở rộng điều tra và thu hồi tài sản cho Nhà nước. "
2024-10-01,"Công ty liên quan EVN bất ngờ tăng cổ tức tiền mặt sau nửa đầu năm lãi đậm, các đại gia PV Power, Vinaconex, GVR sắp “bỏ túi” tiền tỷ","Công ty Cổ phần EVN Quốc tế (EIC) điều chỉnh tăng kế hoạch doanh thu và lợi nhuận năm 2024, đồng thời tăng tỷ lệ cổ tức từ 10% lên 13% (1.300 đồng/cp), dự kiến chi gần 48 tỷ đồng.  Ngày 15/10 sẽ chốt danh sách cổ đông nhận tạm ứng cổ tức đợt 1 (7%, 700 đồng/cp).  Kết quả kinh doanh 6 tháng đầu năm 2024 rất khả quan với lợi nhuận ròng hơn 21 tỷ đồng, gấp 17 lần cùng kỳ năm trước.  Các cổ đông lớn như EVNGENCO 1, PPC, GVR, ABB, PV Power và Vinaconex sẽ nhận được phần lớn cổ tức.  Giá cổ phiếu EIC hiện giảm 5% so với đầu năm, thanh khoản thấp. "
2024-02-23,"Cổ phiếu tăng 30%, giá trị vừa vượt 100.000 tỷ, GVR đón tin xấu: Thua kiện, bị buộc phải hoàn trả hơn 141 tỷ đồng","Cổ phiếu GVR của Tập đoàn Công nghiệp Cao su Việt Nam tăng hơn 30% trong tháng qua, giúp vốn hóa vượt 100.000 tỷ đồng. Tuy nhiên, GVR bị tòa án buộc phải hoàn trả hơn 141,4 tỷ đồng cho Công ty Cổ phần Thủy điện Đắk R’Tíh liên quan đến tranh chấp hợp đồng chuyển nhượng cổ phần năm 2016.  Bản án phúc thẩm khẳng định việc hủy hợp đồng và yêu cầu GVR hoàn trả tiền đặt cọc.  Năm 2023, GVR ghi nhận doanh thu 22.080 tỷ đồng và lợi nhuận sau thuế 3.370 tỷ đồng, giảm so với năm 2022.  Tổng tài sản cuối năm 2023 là 78.385 tỷ đồng, trong đó tiền mặt và tiền gửi là 16.904 tỷ đồng. "
2024-08-06,Vụ án Tập đoàn Cao su: Khởi tố 17 bị can,"Cơ quan Cảnh sát điều tra Bộ Công an đã khởi tố 17 bị can trong vụ án liên quan đến Tập đoàn Công nghiệp Cao su Việt Nam, Công ty Cao su Đồng Nai, Công ty Cao su Bà Rịa, và Bộ Tài nguyên và Môi trường. Các bị can bị khởi tố về các tội danh: vi phạm quy định về quản lý, sử dụng tài sản nhà nước gây thất thoát, lãng phí; nhận hối lộ; lợi dụng chức vụ, quyền hạn trong khi thi hành công vụ.  Nguyễn Thị Như Loan, Tổng Giám đốc Công ty CP Quốc Cường Gia Lai, là một trong những bị can bị bắt tạm giam mới nhất, bị cáo buộc thông đồng để thâu tóm đất của Tập đoàn Cao su Việt Nam gây thiệt hại lớn cho nhà nước.  Cơ quan điều tra đang mở rộng điều tra và thu hồi tài sản. "
2024-09-30,"Tập đoàn Cao su (GVR) ước lãi gần 2.400 tỷ đồng trong 9 tháng, tăng 22% so với cùng kỳ","Tập đoàn Công nghiệp Cao su Việt Nam (GVR) đạt doanh thu 9 tháng năm 2024 là 16.207 tỷ đồng (65% kế hoạch) và lợi nhuận sau thuế ước tính 2.386 tỷ đồng (tăng 22% so với cùng kỳ). Lợi nhuận quý 3 ước đạt 801 tỷ đồng (+62% so với cùng kỳ).  GVR cho rằng kết quả khả quan này là do giá cao su phục hồi và mùa vụ thu hoạch thuận lợi.  Tuy nhiên, GVR dự báo năm 2025 sẽ gặp nhiều thách thức, đặt mục tiêu doanh thu khoảng 27.490 tỷ đồng và lợi nhuận sau thuế 3.900 tỷ đồng.  Công ty cũng sẽ mở rộng đầu tư vào nông nghiệp công nghệ cao và năng lượng tái tạo. "
