publish_date,title,summary
2024-04-01,"HDBank: Lơi nhuận 2023 đạt 13.017 tỷ đồng, ROE 24,2%, phát hành báo cáo bền vững 2024","HDBank công bố lợi nhuận trước thuế năm 2023 đạt 13.017 tỷ đồng, tăng trưởng mạnh và dẫn đầu ngành.  Chỉ số ROA đạt 2,0%, ROE đạt 24,2%, và CAR đạt 12,6%.  Tổng tài sản đạt trên 602 nghìn tỷ đồng.  HDBank duy trì chiến lược tập trung vào bán lẻ đa năng, SME và tài chính tiêu dùng, đồng thời ứng dụng chuẩn mực Basel III và cam kết phát triển bền vững (ESG),  là một trong những ngân hàng đầu tiên công bố báo cáo bền vững năm 2024.  Ngân hàng cũng đạt được nhiều giải thưởng trong năm 2023. "
2024-06-11,"HDBank khóa “room ngoại” còn 17,5%, sẵn sàng cho các dự án chiến lược","HDBank đề nghị điều chỉnh tỷ lệ sở hữu tối đa của nhà đầu tư nước ngoài xuống còn 17,5% (từ 20%), nhằm tạo điều kiện thuận lợi cho việc triển khai các dự án chiến lược và tuân thủ quy định. HDBank là một trong số ít ngân hàng lớn chưa có cổ đông chiến lược nước ngoài, nhưng đang có tốc độ tăng trưởng mạnh và nhiều tiềm năng phát triển. Các quỹ đầu tư quốc tế bày tỏ sự tin tưởng vào triển vọng của HDBank. "
2024-10-03,HDBank được vinh danh “Ngân hàng Xanh của năm” tại Better Choice Awards 2024,"HDBank được vinh danh “Ngân hàng Xanh của năm” tại Better Choice Awards 2024, nhờ các sáng kiến ESG, bao gồm tài trợ năng lượng tái tạo, tín dụng xanh và giảm thải carbon.  Cùng ngày, HDBank khai trương Trung tâm Đổi mới Sáng tạo Galaxy Innovation Hub miền Bắc, mở rộng hoạt động của hai quỹ đầu tư mạo hiểm và hỗ trợ công nghệ cao.  Tổng Giám đốc HDBank nhấn mạnh cam kết phát triển bền vững của ngân hàng.  HDBank cũng nhận được nhiều giải thưởng quốc tế khác về tài chính xanh. "
2024-04-26,"Nhiều cổ phiếu ngân hàng biến động mạnh trong ngày họp cổ đông 26/4: Một mã tăng trần hơn 14%, HDB xanh 4,9%","Phiên giao dịch 26/4, VN-Index tăng nhẹ, thanh khoản thấp.  Cổ phiếu ngân hàng phân hóa mạnh, đặc biệt là 6 ngân hàng tổ chức đại hội cổ đông: VietBank (VBB) tăng trần (+14,4%) sau khi thông qua kế hoạch chia cổ tức 25% bằng cổ phiếu; HDBank (HDB) tăng 4,9% sau khi thông qua kế hoạch cổ tức 30% (10% tiền mặt, 20% cổ phiếu) và báo lãi quý 1/2024 hơn 4.000 tỷ đồng; VietABank (VAB) và Kienlongbank (KLB) cũng tăng nhẹ; Saigonbank (SGB) tăng gần 5,3% sau khi thông báo kế hoạch chia cổ tức 8% bằng cổ phiếu; SHB tăng ấn tượng sau khi thông qua cổ tức 16% (5% tiền mặt, 11% cổ phiếu) và báo lãi quý 1 cao nhất lịch sử.  Ngược lại, Sacombank (STB) giảm 0,9%, BID và CTG cũng giảm nhẹ. "
2024-03-11,Lãi suất Ngân hàng HDBank tháng 3/2024: Gửi online 18 tháng có lãi suất tốt nhất,"Tháng 3/2024, lãi suất tiết kiệm tại quầy HDBank dao động từ 0,5%/năm đến 8,1%/năm (tùy kỳ hạn và số tiền gửi),  lãi suất online từ 0,5% đến 5,7%/năm.  Kỳ hạn 18 tháng có lãi suất tốt nhất (5,6%/năm online, 5,6%/năm tại quầy). HDBank cũng cung cấp nhiều hình thức trả lãi linh hoạt.  Gói Tiền gửi Bảo ngân Online có lãi suất cố định 4,7%/năm và gói tiết kiệm gửi góp linh hoạt trực tuyến có lãi suất 2,45%/năm. "
2024-09-05,"Khẳng định vị thế 'Ngân hàng đối tác hàng đầu tại Việt Nam' của ADB, HDBank triển khai mạnh mẽ các sáng kiến về tài trợ thương mại và ESG","HDBank được ADB công nhận là “Ngân hàng đối tác hàng đầu tại Việt Nam” trong Chương trình Tài trợ Thương mại và Chuỗi Cung ứng, với hạn mức tín dụng được nâng lên 200 triệu USD.  HDBank cũng tích cực hợp tác với ADB trong các sáng kiến ESG, bao gồm tư vấn tín dụng xanh, hỗ trợ người khuyết tật, và dự án ADB Climate Tagging.  Kết quả kinh doanh nửa đầu năm 2024 của HDBank rất khả quan, với lợi nhuận trước thuế tăng 48,9%.  HDBank cam kết phát triển bền vững và đạt mục tiêu phát thải ròng bằng 0 vào năm 2050. "
2024-01-30,"Toàn cảnh KQKD 28 ngân hàng: Cập nhật Big 4, MB, SHB, Eximbank,..., HDBank và VPBank gây bất ngờ lớn","Báo cáo kết quả kinh doanh quý 4/2023 của nhiều ngân hàng cho thấy sự phân hóa lớn.  VPBank và HDBank có mức tăng trưởng lợi nhuận trước thuế ấn tượng trong quý 4, lần lượt tăng 96% và 95%, nhưng lợi nhuận cả năm của VPBank không đạt kế hoạch. MB tăng trưởng lợi nhuận cả năm 15,7%,  trong khi SHB giảm 4,6%. OCB, Kienlongbank, và NamABank đều tăng trưởng lợi nhuận cả năm. VietABank giảm lợi nhuận cả năm do chi phí dự phòng tăng.  Vietcombank vẫn dẫn đầu về lợi nhuận, với 7 ngân hàng đạt trên 20.000 tỷ đồng lợi nhuận trước thuế.  Nhiều ngân hàng tư nhân không hoàn thành kế hoạch lợi nhuận năm 2023 do tăng trích lập dự phòng rủi ro. Saigonbank có tăng trưởng lợi nhuận quý 4 cao nhất. "
2024-09-02,Lãi suất ngân hàng HDBank mới nhất tháng 9/2024: Gửi online 18 tháng có lãi suất cao nhất,"Tháng 9/2024, lãi suất tiết kiệm HDBank dao động từ 0,5% đến 8,1%/năm (tại quầy) và 0,5% đến 6,1%/năm (online).  Lãi suất online cao nhất (6,1%/năm) áp dụng cho kỳ hạn 18 tháng.  HDBank cung cấp nhiều hình thức trả lãi (cuối kỳ, trước kỳ, hàng tháng, hàng quý, 6 tháng, hàng năm) với các mức lãi suất khác nhau. "
2024-01-12,"Lãi suất ngân hàng HDBank mới nhất tháng 1/2024: Mức cao nhất lên tới 8,4%/năm","Tháng 1/2024, HDBank áp dụng lãi suất tiền gửi từ 0,5% đến 8,4%/năm (tại quầy) và 0,5% đến 6,3%/năm (online).  Lãi suất cao nhất tại quầy (8,4%/năm) áp dụng cho kỳ hạn 13 tháng với số tiền từ 300 tỷ đồng trở lên.  Lãi suất online cao nhất (6,3%/năm) áp dụng cho kỳ hạn 18 tháng.  HDBank cung cấp nhiều hình thức trả lãi khác nhau. "
2024-09-24,HDBank được vinh danh giải thưởng Quan hệ Nhà đầu tư xuất sắc,"HDBank được trao giải thưởng Quan hệ Nhà đầu tư xuất sắc (IR Awards 2024), ghi nhận chiến lược quản trị hiệu quả và công tác quan hệ nhà đầu tư xuất sắc.  HDBank có kết quả kinh doanh ấn tượng, ROE cao nhất ngành (26,1%),  và chính sách cổ tức cao (30% năm 2023 và dự kiến 30% năm 2024).  HDBank tích cực tương tác với nhà đầu tư trong và ngoài nước,  và tích hợp hoạt động IR vào chiến lược ESG.  Sự tham gia của các quỹ đầu tư quốc tế như LeapFrog Investments và DEG cho thấy sự tin tưởng vào HDBank.   "
