publish_date,title,summary
2024-11-25,"Lãnh đạo Hòa Phát lý giải vì sao biên lợi nhuận 9T2024 tiệm cận mức lịch sử, dự báo đỉnh vay nợ rơi vào năm sau","Giám đốc tài chính Hòa Phát cho biết dự án Dung Quất 2 đang đúng tiến độ, dự kiến hoàn thành cuối năm 2024 và đóng góp lớn vào doanh thu năm 2025.  Biên lợi nhuận 9 tháng đầu năm 2024 đạt 8,8%, gần bằng mức lịch sử năm 2021, nhờ giá nguyên vật liệu giảm và giá bán thép giảm ít hơn.  Hòa Phát đang kiểm soát tốt nợ/vốn chủ sở hữu.  Năm 2025 sẽ là đỉnh vay nợ do giải ngân cho Dung Quất 2.  Dự kiến Dung Quất 2 đạt công suất tối đa năm 2028,  khi đó doanh thu Hòa Phát có thể vượt 10 tỷ USD, biên lợi nhuận 7-8%.  Chi phí khấu hao sẽ tăng lên nhưng được cho là không ảnh hưởng nhiều do lợi nhuận tăng trưởng mạnh. Hòa Phát sẽ tăng sản lượng thép lên 8,6 triệu tấn và duy trì xuất khẩu khoảng 30% sản lượng.  "
2024-02-29,"Chủ tịch Trần Đình Long khẳng định, Hòa Phát thành công vì KHÔNG bị biến thành tập đoàn họ hàng: Làm việc tại công ty ""gia đình trị"" tại sao khiến nhân viên sợ hãi?","Bài báo thảo luận về mô hình công ty gia đình, phân tích cả mặt tích cực (sự gắn kết, truyền thống, linh hoạt) và tiêu cực (thiếu minh bạch, thiên vị, xung đột lợi ích, áp lực tâm lý).  Chủ tịch Hòa Phát Trần Đình Long khẳng định thành công của Hòa Phát nhờ không biến công ty thành ""tập đoàn họ hàng"",  không ưu tiên người thân trong tuyển dụng.  Bài báo dẫn chứng câu chuyện của một kỹ sư (Lý Bình) bị sa thải bất ngờ sau khi thành công trong dự án tại một công ty gia đình, cho thấy những khó khăn và bất công mà nhân viên có thể gặp phải.  Bài báo đưa ra lời khuyên cho những ai làm việc trong công ty gia đình: lựa chọn công ty phù hợp,  xây dựng mối quan hệ chuyên nghiệp,  tôn trọng nhưng thẳng thắn,  tìm kiếm cơ hội phát triển, và chăm sóc sức khỏe tinh thần. "
2024-02-27,"Cổ phiếu thép bất ngờ nổi sóng, Hòa Phát (HPG) khớp lệnh chóng mặt","Phiên 27/2, cổ phiếu thép tăng mạnh, đặc biệt là Hòa Phát (HPG), khớp lệnh gần 50 triệu cổ phiếu chỉ trong 1 giờ đầu.  Hoa Sen (HSG), Nam Kim (NKG), và các mã thép khác cũng tăng mạnh.  Nhóm thép gần như đứng im từ đầu năm 2024, trong khi VN-Index tăng hơn 8%.  SSI Research dự báo lợi nhuận ngành thép năm 2024 sẽ tăng trưởng mạnh so với năm 2023 (mức nền thấp), nhờ tiêu thụ nội địa và xuất khẩu tăng, và biên lợi nhuận gộp cải thiện.  Lợi nhuận quý 4/2023 của ngành thép đã tăng đáng kể so với cùng kỳ năm trước.  "
2024-05-18,"Doanh nghiệp từng là đối thủ ""sừng sỏ"" của Hòa Phát chốt ngày trở lại sàn chứng khoán","Công ty Cổ phần Thép Pomina (POM) sẽ giao dịch trở lại trên UPCoM ngày 23/5, sau khi bị hủy niêm yết trên HoSE do chậm nộp báo cáo tài chính.  Pomina từng là nhà sản xuất thép xây dựng lớn,  nhưng thị phần bị thu hẹp do sự cạnh tranh của Hòa Phát.  Pomina lỗ nặng năm 2022 và 2023,  và tiếp tục lỗ trong quý I/2024 do nhà máy ngừng hoạt động nhưng vẫn phải chịu nhiều chi phí.  Công ty đang tìm kiếm nhà đầu tư để tái cấu trúc. "
2024-02-27,"Ấn tượng như cách Hòa Phát của tỷ phú Trần Đình Long lên đỉnh 21 tháng: 87 triệu cổ phiếu “đổi chủ”, 2.600 tỷ khớp lệnh, khối ngoại “giúp một tay” gần 500 tỷ","Cổ phiếu HPG của Hòa Phát tăng 5,38% lên mức cao nhất 21 tháng,  vốn hóa thị trường gần 176.500 tỷ đồng. Khối lượng giao dịch gần 87 triệu cổ phiếu (cao thứ hai lịch sử),  khối ngoại mua ròng hơn 450 tỷ đồng.  Đà tăng được hỗ trợ bởi kết quả kinh doanh quý 4/2023 khả quan (lợi nhuận ròng tăng 48% so với quý trước) và triển vọng tích cực năm 2024 (SSI Research dự báo lợi nhuận ròng tăng 64,5%).  Nhà đầu tư đang chú ý đến sự kiện tham quan nhà máy Dung Quất và đại hội cổ đông của Hòa Phát.  Dự án Dung Quất 2 được kỳ vọng sẽ thúc đẩy tăng trưởng mạnh mẽ của Hòa Phát trong dài hạn. "
2024-09-13,Hòa Phát xếp thứ 16 trong Top 100 thương hiệu giá trị nhất Việt Nam,"Hòa Phát xếp thứ 16 trong Top 100 thương hiệu giá trị nhất Việt Nam năm 2024 của Brand Finance, với giá trị 620 triệu USD, là doanh nghiệp sản xuất thép duy nhất trong Top 20.  Hòa Phát dẫn đầu thị phần nhiều lĩnh vực thép trong nước,  có mặt tại 39 quốc gia, và nhãn hiệu được bảo hộ tại 46 quốc gia.  6 tháng đầu năm 2024, doanh thu 71.029 tỷ đồng, lợi nhuận sau thuế 6.189 tỷ đồng.  Hòa Phát hoạt động đa ngành (gang thép, sản phẩm thép, nông nghiệp, bất động sản, điện máy gia dụng) và tích cực thực hiện trách nhiệm xã hội (đóng góp ngân sách, từ thiện).  Hòa Phát đã đạt nhiều giải thưởng uy tín khác.  "
2024-10-09,"Giá thép xây dựng tăng ""chóng mặt"", Hòa Phát của tỷ phú Trần Đình Long bất ngờ đón “tin mừng” từ khối ngoại","Khối ngoại mua ròng cổ phiếu HPG (Hòa Phát) hơn 137 tỷ đồng phiên 8/10, đảo chiều sau 4 tháng bán ròng mạnh.  Giá thép thế giới tăng mạnh do chính sách kích thích kinh tế của Trung Quốc.  MBS dự báo giá thép nội địa sẽ phục hồi từ quý 4/2024,  lợi nhuận HPG năm 2024-2025 tăng mạnh nhờ sản lượng và biên lợi nhuận gộp cải thiện.  Dung Quất 2 dự kiến đóng góp lớn vào lợi nhuận từ năm 2026.  BVSC cũng kỳ vọng sản lượng tiêu thụ thép tăng mạnh trong 2 quý cuối năm và thuế chống bán phá giá thép HRC nhập khẩu sẽ hỗ trợ HPG.  Định giá HPG hiện đang hấp dẫn.  "
2024-09-04,"Top 10 DN tư nhân lãi nhất Việt Nam: Vingroup đứng thứ 3, FPT trở lại Top 10 sau 5 năm vắng bóng, Hòa Phát không còn trong danh sách","Bảng xếp hạng Profit 500 năm 2024 của Vietnam Report xếp Techcombank dẫn đầu về lợi nhuận trước thuế trong các doanh nghiệp tư nhân,  ACB thứ hai, và Vingroup thứ ba.  VPBank tụt xuống hạng 6,  Hòa Phát không còn trong Top 10.  FPT trở lại Top 10 sau 5 năm vắng mặt.  Xếp hạng dựa trên lợi nhuận trước thuế, doanh thu, tổng tài sản và số lượng nhân viên.   "
2024-06-15,"Quỹ ETF ngoại quy mô hơn 500 triệu USD thêm mới CTR, EVF, dự kiến mua mạnh cổ phiếu “họ” Vingroup nhưng sẽ bán bớt HPG, NVL, PDR,…","Vaneck Vectors Vietnam ETF (VNM ETF) sẽ điều chỉnh danh mục quý 2/2024, thêm CTR và EVF,  tăng tỷ trọng VHM và VIC, và giảm tỷ trọng HPG, PDR, và NVL.  VNM ETF hiện có quy mô gần 523 triệu USD.  Quỹ này đã thu hút vốn mạnh mẽ cuối năm 2022,  nhưng bị rút vốn đáng kể từ giữa năm 2023. FTSE Vietnam ETF cũng sẽ điều chỉnh danh mục, thêm TCH.  Cả hai quỹ sẽ hoàn tất điều chỉnh vào tuần tới. "
2024-10-09,"Hòa Phát báo doanh thu 9T2024 tăng 23% lên hơn 4 tỷ USD, cổ phiếu cố gắng ""lấy lại những gì đã mất"" sau 2,5 tháng","Hòa Phát báo doanh thu 9 tháng đầu năm 2024 đạt hơn 105.000 tỷ đồng (hơn 4 tỷ USD), tăng 23% so với cùng kỳ.  Sản lượng thép giảm 7% so với quý trước nhưng vẫn duy trì thị phần dẫn đầu.  Sản lượng thép các loại tăng 32% so với cùng kỳ năm trước.  Sản lượng ống thép và tôn mạ tăng trưởng tốt.  Hòa Phát cũng có kết quả khả quan ở mảng nông nghiệp và điện máy gia dụng.  Dự án Dung Quất 2 đang được triển khai,  dự kiến chạy thử cuối năm 2024.  Cổ phiếu HPG tăng từ 25.000 đồng lên 27.500 đồng sau 2,5 tháng giảm điểm.   "
