publish_date,title,summary
2024-08-19,"Tài trợ 100% phí thành lập doanh nghiệp, BIZ MBBank giúp SME tối ưu hóa chi phí","Bài báo giới thiệu chương trình hỗ trợ doanh nghiệp nhỏ và vừa (SME) của Ngân hàng Quân đội (MB) thông qua nền tảng số BIZ MBBank.  Chương trình này tập trung giải quyết những thách thức lớn mà SME gặp phải, bao gồm khó khăn về tài chính, công nghệ và pháp lý.  Điểm nhấn chính là việc MB tài trợ 100% phí thành lập doanh nghiệp cho các SME đăng ký sử dụng BIZ MBBank, bao gồm cả tư vấn pháp lý miễn phí từ các văn phòng luật hàng đầu.  Ngoài ra, BIZ MBBank còn cung cấp các giải pháp số hóa toàn diện, giúp SME tối ưu hóa quy trình quản lý, kinh doanh và tăng năng suất, ví dụ như mở tài khoản online, chuyển tiền quốc tế miễn phí, giải ngân nhanh chóng.  Bài báo nhấn mạnh sự hỗ trợ toàn diện của MB đối với SME, giúp họ vượt qua khó khăn và phát triển mạnh mẽ trong bối cảnh chuyển đổi số. "
2024-11-28,Ngân hàng số BIZ MBBank - Chinh phục doanh nghiệp bởi sự tiện lợi và bảo mật cao,"BIZ MBBank là ngân hàng số của MBBank dành cho doanh nghiệp, nổi bật với sự tiện lợi, nhanh chóng và bảo mật cao.  Nó cung cấp nhiều dịch vụ trực tuyến như mở tài khoản, chuyển tiền quốc tế, cấp tín dụng, bảo lãnh, tất cả đều nhằm mục đích tối ưu hóa hoạt động tài chính của doanh nghiệp.  BIZ MBBank có hệ thống bảo mật nhiều lớp, đảm bảo an toàn thông tin và giao dịch.  Ngoài ra, BIZ MBBank còn cung cấp nhiều ưu đãi hấp dẫn như tài trợ 100% phí thành lập doanh nghiệp, tặng tài khoản số đẹp, miễn phí giao dịch, v.v…  Nhìn chung, BIZ MBBank được quảng bá là giải pháp hoàn hảo cho doanh nghiệp trong kỷ nguyên số, giúp tiết kiệm thời gian, chi phí và nâng cao hiệu quả quản lý tài chính. "
2024-04-12,"Cổ phiếu CTG, TCB, MBB đồng loạt tăng mạnh, LPB tăng kịch trần và lập đỉnh mới","Phiên giao dịch ngày 12/4 chứng kiến sự tăng trưởng mạnh mẽ của thị trường chứng khoán Việt Nam, đặc biệt là nhóm cổ phiếu ngân hàng. VN-Index tăng 1,46%, HNX-Index tăng 0,95%, và UPCoM-Index tăng 0,19%.  LPB (LPBank) tăng kịch trần 6,83%, lập đỉnh mới,  được thúc đẩy bởi kế hoạch tăng vốn và lợi nhuận.  CTG (VietinBank) cũng tăng mạnh 6,53%,  TCB (Techcombank) tăng 5,1% và MBB tăng 3,79%, đóng góp tích cực vào đà tăng của VN-Index.  Nhiều cổ phiếu ngân hàng khác cũng tăng điểm, ngoại trừ BVB.  Giao dịch đột biến được ghi nhận ở một số mã, đáng chú ý là ACB với hơn 205 triệu cổ phiếu được trao tay giữa các nhà đầu tư nước ngoài, được cho là liên quan đến việc Whistler Investment Limited (liên quan đến CVC Capital Partners) bán gần 5% cổ phần cho các tổ chức tài chính Mỹ.  Thanh khoản toàn ngành ngân hàng duy trì ở mức cao. Cuối cùng, VAB (VietABank) tăng mạnh sau khi công bố kế hoạch chuyển sàn lên HoSE hoặc HNX. "
2024-10-23,Novaland muốn giải chấp tài sản đảm bảo ở MBBank,"Bài báo đề cập đến tình hình tài chính khó khăn của Novaland và nỗ lực giải quyết các vấn đề liên quan đến nợ nần với MBBank.  Novaland đang có dư nợ lớn với MBBank, chủ yếu thông qua các khoản vay liên quan đến dự án Aqua City.  Do tình hình tài chính xấu đi và giá cổ phiếu NVL giảm mạnh, Novaland đang tìm cách giải chấp tài sản đảm bảo tại MBBank, cụ thể là các quyền sử dụng đất tại dự án Aqua City để đáp ứng yêu cầu của các trái chủ liên quan đến lô trái phiếu NVLH2123010.  Tuy nhiên, các trái chủ từ chối đề xuất của Novaland về việc không cần thế chấp bổ sung, dẫn đến việc Novaland phải bổ sung thêm tài sản đảm bảo,  gồm 47 giấy chứng nhận quyền sử dụng đất tại Aqua City.  Novaland cũng đề xuất phương án quản lý tài sản đảm bảo bổ sung với MBBank nhằm giải quyết khó khăn tài chính hiện tại.  Tình hình tài chính khó khăn của Novaland được phản ánh qua giá cổ phiếu NVL giảm mạnh và việc nhiều ngân hàng cắt đứt quan hệ tín dụng với tập đoàn này. "
2024-03-13,"Cổ phiếu ngân hàng tăng mạnh phiên 13/3: Không có mã giảm giá, khối ngoại giao dịch sôi động tại VCB và MBB","Phiên giao dịch 13/3 chứng kiến sự tăng trưởng mạnh mẽ của thị trường chứng khoán Việt Nam, với VN-Index tăng 2,05%.  Ngành ngân hàng đóng vai trò quan trọng trong đà tăng này, với 26/27 mã tăng điểm.  VIB, ACB và MBB dẫn đầu đà tăng,  các cổ phiếu ngân hàng lớn khác như TPB, VPB, SHB, STB, TCB, CTG, VCB và BID cũng tăng tốt.  Nhóm ngân hàng đóng góp 6/10 mã có ảnh hưởng tích cực nhất đến VN-Index, trong đó VCB đóng góp lớn nhất.  Mặc dù tăng giá, thanh khoản của nhóm ngân hàng vẫn ở mức thấp. Khối ngoại giao dịch sôi động tại một số mã như VCB, MBB và STB. "
2024-05-09,DN từng nổi sóng trong hệ sinh thái Louis lại bị ngân hàng “siết nợ”: MBBank rao bán 6.476m2 tại thành phố Dĩ An với giá chưa đến 9 triệu đồng/m2,"Công ty VKC Holdings, từng là một phần của hệ sinh thái Louis Holdings, đang gặp khó khăn tài chính nghiêm trọng.  MBBank đang tiến hành bán đấu giá một thửa đất của VKC tại Bình Dương (6.476m2) với giá khởi điểm hơn 56 tỷ đồng để thu hồi khoản nợ gần 88 tỷ đồng (gồm gốc, lãi và bảo lãnh).  Trước đó, VKC cũng bị VPBank kiện để thu hồi hơn 78 tỷ đồng nợ tín dụng, đe dọa việc xử lý tài sản thế chấp khác của công ty.  VKC từng có doanh thu hàng trăm tỷ đồng mỗi quý, nhưng sau khi gia nhập Louis Holdings, công ty đã báo lỗ nặng trong năm 2022, đánh dấu mức lỗ lớn nhất trong lịch sử niêm yết.  Việc MBBank rao bán tài sản thế chấp cho thấy tình hình tài chính khó khăn của VKC. "
2024-07-17,"Tự doanh CTCK bán ròng trăm tỷ trong phiên 17/7, tâm điểm tại HPG và MBB","Phiên giao dịch 17/7 chứng kiến VN-Index giảm 12,52 điểm, bất chấp khối ngoại mua ròng hơn 624 tỷ đồng.  Tự doanh các công ty chứng khoán bán ròng 107 tỷ đồng trên toàn thị trường, tập trung vào HPG (59 tỷ), MBB (58 tỷ) và STB (41 tỷ).  Ngược lại, tự doanh mua ròng mạnh nhất ở SHB (86 tỷ) và MSN, MWG (mỗi mã 29 tỷ).  Trên HNX và UPCoM, tự doanh mua ròng lần lượt 6 tỷ và 8 tỷ đồng. "
2024-11-20,Tiện & Nhanh: App MBBank hỗ trợ người dùng cập nhật căn cước qua tài khoản VneID,"Ứng dụng MBBank bổ sung tính năng cập nhật thông tin căn cước công dân (CCCD) thuận tiện cho người dùng, tuân thủ Thông tư 17 của Ngân hàng Nhà nước (có hiệu lực từ 01/01/2025).  Khách hàng có thể cập nhật CCCD qua tài khoản VNeID (không cần NFC) hoặc sử dụng CCCD gắn chip (nếu có NFC).  MBBank cũng cung cấp hỗ trợ tại chi nhánh và tính năng ""sinh trắc có hội"" trên app.  Ngoài ra, ứng dụng MBBank được tích hợp các tính năng bảo mật cao, tự động quét và cảnh báo phần mềm độc hại, nhằm bảo vệ tài khoản khách hàng trước các nguy cơ an ninh mạng.  MBBank nhấn mạnh việc đầu tư công nghệ là một phần trong chiến lược chuyển đổi số, hướng đến trải nghiệm an toàn và tiện lợi cho khách hàng. "
2024-09-25,"Cổ phiếu ngân hàng đua nhau tăng giá phiên 25/9: Tâm điểm MSB, STB, MBB, VPB và VCB","Phiên giao dịch 25/9 chứng kiến sự tăng trưởng mạnh của thị trường chứng khoán Việt Nam, đặc biệt là nhóm cổ phiếu ngân hàng.  MSB dẫn đầu đà tăng với hơn 3%,  theo sau là STB (2,7%), MBB (1,98%), VIB (1,83%), và VCB (1,75%).  Sự tăng trưởng của MSB được thúc đẩy bởi việc hoàn thành phát hành cổ phiếu trả cổ tức và kế hoạch chia cổ tức trong tương lai.  VCB tăng mạnh sau khi Ủy ban Thường vụ Quốc hội nhất trí bổ sung vốn nhà nước.  Các cổ phiếu ngân hàng khác như ACB, BID, TPB, VPB, và TCB cũng tăng tốt.  TPB tăng mạnh hai phiên liên tiếp sau khi TPBank chốt danh sách cổ đông nhận cổ tức.  Thanh khoản nhóm ngân hàng cao, VPB dẫn đầu.  Đà tăng của cổ phiếu ngân hàng được cho là do các chính sách nới lỏng của Ngân hàng Nhà nước, bao gồm giảm lãi suất OMO và nới room tín dụng.   "
2024-10-24,BIZ MBBank: Đối tác tin cậy của doanh nghiệp xuất nhập khẩu,"BIZ MBBank được quảng bá là đối tác tin cậy cho doanh nghiệp xuất nhập khẩu, cung cấp các dịch vụ chuyển tiền quốc tế online nhanh chóng (trong 1 giờ), minh bạch với phí 0 đồng (bao gồm cả phí điện),  và dịch vụ L/C nhập khẩu online với hỗ trợ chuyên gia.  MBBank cũng cung cấp nhiều gói sản phẩm tài trợ vốn ưu đãi, lãi suất thấp (từ 0.42%/tháng) cho doanh nghiệp sử dụng dịch vụ thanh toán quốc tế online trên BIZ MBBank.  Ngoài ra, doanh nghiệp được hưởng nhiều ưu đãi khác như hoàn tiền 500.000 VND khi đăng ký, miễn phí tài khoản số đẹp và các giao dịch.  BIZ MBBank nhấn mạnh vào việc số hóa hoàn toàn các giao dịch, tiết kiệm thời gian và chi phí cho doanh nghiệp, đồng thời đảm bảo tính bảo mật và chính xác. "
