publish_date,title,summary
2024-03-14,"Vingroup, Masan Group, FPT, Đèo Cả... cùng các doanh nghiệp được Thủ tướng hỏa tốc triệu tập họp có tình hình tài chính thế nào?","Thủ tướng Phạm Minh Chính triệu tập hội nghị ngày 14/3/2024 với các tập đoàn lớn, bao gồm Vingroup, Masan Group, FPT, Đèo Cả, Novaland, và nhiều doanh nghiệp khác, để thảo luận về chính sách tiền tệ và tháo gỡ khó khăn kinh doanh.  Các doanh nghiệp này có tổng lợi nhuận trước thuế gần 33.000 tỷ đồng năm 2023, Vingroup dẫn đầu với 13.681 tỷ đồng.  Tổng tài sản của các doanh nghiệp niêm yết tham dự ước tính 1,29 triệu tỷ đồng, với vốn chủ sở hữu 318.000 tỷ đồng và nợ vay lớn.  Tổng vốn hóa thị trường của các doanh nghiệp này là 575.000 tỷ đồng.  Cuộc họp được tổ chức trong bối cảnh nền kinh tế khó khăn với tỷ giá tăng, thị trường bất động sản đóng băng, xuất khẩu giảm và tiêu dùng suy yếu.  Các doanh nghiệp hy vọng nhận được hỗ trợ từ Chính phủ để vượt qua giai đoạn này. "
2024-06-26,"2 'ông trùm' bán lẻ Thế Giới Di Động, Masan cùng bị loại khỏi Danh sách 50 công ty niêm yết tốt nhất của Forbes","Forbes Việt Nam công bố danh sách 50 công ty niêm yết tốt nhất năm 2024, với tổng lợi nhuận giảm 13% so với năm 2023.  Danh sách năm nay phản ánh khó khăn kinh tế, với ít đại diện từ bất động sản và tài chính, thay vào đó là các ngành phòng thủ (tiện ích, thực phẩm, y tế).  Thế Giới Di Động và Masan bị loại khỏi danh sách do lợi nhuận giảm mạnh (Thế Giới Di Động giảm 96%, Masan giảm 60%) vì sức mua thị trường yếu.  Một số công ty mới xuất hiện trong danh sách năm nay bao gồm Vietjet Air, Vincom Retail, và Viettel Post.   "
2024-05-21,95 nhân viên chủ chốt của Masan sắp được mua lượng cổ phiếu trị giá 570 tỷ đồng với số tiền chỉ bằng 1/7,"Masan Group sẽ phát hành 7,527 triệu cổ phiếu (khoảng 0,5% cổ phiếu lưu hành) cho 95 nhân viên chủ chốt theo chương trình ESOP.  Giá phát hành là 10.000 đồng/cổ phiếu, tổng giá trị là 75,3 tỷ đồng, nhưng giá thị trường là 75.800 đồng/cổ phiếu, tương đương 570 tỷ đồng.  Chương trình này nhằm ghi nhận đóng góp của nhân viên và khuyến khích gắn bó lâu dài.  Cổ phiếu sẽ bị hạn chế chuyển nhượng trong 1 năm.  Masan hiện có vốn hóa 114 nghìn tỷ đồng và đạt lợi nhuận 479 tỷ đồng trong quý 1/2024. "
2024-01-31,"Kết quả kinh doanh quý 4/2023 ngày 31/1: Vingroup, Masan, Vietcombank, Vietjet... hàng trăm doanh nghiệp dồn dập công bố vào hạn chót, nhiều kết quả bất ngờ","Nhiều doanh nghiệp công bố báo cáo tài chính quý 4/2023 và cả năm 2023 vào ngày 31/1, với một số kết quả đáng chú ý: Vingroup đạt doanh thu 161.634 tỷ đồng và lợi nhuận trước thuế 13.681 tỷ đồng trong năm 2023. Vietcombank dẫn đầu ngành ngân hàng về lợi nhuận trước thuế với hơn 41.000 tỷ đồng. Vinamilk đạt lợi nhuận trước thuế gần 11.000 tỷ đồng. Novaland và HAGL ghi nhận tăng trưởng lợi nhuận trước thuế mạnh mẽ trong quý 4.  Ngược lại, Pomina và SMC báo lỗ lớn trong cả năm 2023. Vietjet đạt doanh thu tăng trưởng mạnh nhưng lợi nhuận sau thuế thấp hơn so với doanh thu. "
2024-03-29,"Cứ 10 bát nước mắm thì 7 bát của Masan, tỷ phú Nguyễn Đăng Quang hé lộ tham vọng bước chân ra thị trường 3.100 tỷ USD","Masan chiếm lĩnh thị trường gia vị Việt Nam, với hơn 70% thị phần nước mắm và hơn 60%/50% thị phần nước tương/tương ớt.  Công ty đang triển khai chiến lược ""Go Global"", tập trung vào thương hiệu Chin-Su, nhằm mở rộng thị trường quốc tế (Hàn Quốc, Úc, Châu Âu, Bắc Mỹ). Doanh thu xuất khẩu tăng 13,6% năm 2023, đạt CAGR 31% từ 2020-2023. Masan đặt mục tiêu đưa sản phẩm đến 8 tỷ người tiêu dùng toàn cầu, mở rộng quy mô thị trường lên 3.100 tỷ USD. "
2024-09-02,"Từng được IFC rót 1.000 tỷ để cạnh tranh với Masan, CP Group… trong mảng thịt, công ty của ông Lý Anh Dũng báo lãi đột biến 655 tỷ, đang “cõng” khối nợ hơn 5.100 tỷ đồng","GreenFeed Việt Nam báo lãi đột biến 655 tỷ đồng trong nửa đầu năm 2024, cao hơn cả năm 2023 (438 tỷ) và 2022 (419 tỷ).  Tuy nhiên, công ty đang ""cõng"" khối nợ gần 5.100 tỷ đồng, với hệ số nợ phải trả/vốn chủ sở hữu là 1,11.  GreenFeed hoạt động trong lĩnh vực thức ăn chăn nuôi, chăn nuôi heo (với quy mô đàn nái 120.000 con) và chế biến thực phẩm.  Năm 2021, công ty huy động 1.000 tỷ đồng trái phiếu từ IFC.  GreenFeed từng được đánh giá cao và nằm trong top các công ty chăn nuôi heo lớn nhất thế giới, cũng như top các công ty sản xuất thức ăn chăn nuôi lớn nhất Việt Nam.  Công ty có vốn đầu tư nước ngoài đáng kể từ các cổ đông Hong Kong và Thái Lan. "
2024-01-11,"FPT Retail chính thức chào sân Mạng di động ảo nhà FPT, gia nhập cuộc chơi mới cùng “ông lớn” Masan, VNPay…","FPT Retail chính thức ra mắt mạng di động ảo FPT (MVNO) với đầu số 0775, chỉ trong 6 tháng kể từ khi được cấp phép.  Dịch vụ này sẽ được tích hợp vào hệ sinh thái FPT và tận dụng hơn 800 cửa hàng FPT Shop để tiếp cận khách hàng.  Mô hình MVNO đang thu hút sự quan tâm của nhiều doanh nghiệp lớn như Masan và VNPay,  vì tính hiệu quả về chi phí và khả năng triển khai nhanh chóng.  FPT Retail sử dụng hạ tầng của MobiFone và kỳ vọng dịch vụ này sẽ hoàn thiện hệ sinh thái số của tập đoàn FPT.  Thị trường MVNO toàn cầu đang phát triển mạnh, với doanh thu dự kiến vượt 124,81 tỷ USD vào năm 2028. "
2024-10-14,Masan Group: Hành trình phụng sự người tiêu dùng,"Masan Group, với hơn 28 năm hoạt động, là tập đoàn hàng tiêu dùng nhanh hàng đầu Việt Nam, doanh thu gần 24 tỷ USD.  Mảng tiêu dùng và bán lẻ chiếm 80% doanh thu và lợi nhuận.  6 tháng đầu năm 2024, Masan đạt doanh thu 38.989 tỷ đồng (+4,5%), lợi nhuận sau thuế 1.425 tỷ đồng (+64%), và lợi nhuận ròng thuộc về cổ đông mẹ 607 tỷ đồng (+90%).  Các dự báo cho quý III/2024 và cả năm 2024 đều rất tích cực, với tăng trưởng lợi nhuận ấn tượng.  Masan đặt kế hoạch doanh thu 84.000-90.000 tỷ đồng và lợi nhuận sau thuế 2.250-4.020 tỷ đồng trong năm 2024. "
2024-10-04,"Các “doanh nghiệp dân tộc” Viettel, PVN, Vingroup, FPT, THACO, Hòa Phát, TH, Vinamilk, Masan… đóng góp lớn vào thương hiệu quốc gia","Thủ tướng Phạm Minh Chính gặp mặt các doanh nghiệp nhân ngày Doanh nhân Việt Nam (4/10), đánh giá cao đóng góp của doanh nghiệp trong phát triển kinh tế.  Thủ tướng nhấn mạnh vai trò quan trọng của doanh nghiệp trong quá trình đổi mới và hội nhập quốc tế, cũng như việc Chính phủ hỗ trợ doanh nghiệp phát triển.  Thủ tướng nêu những điểm sáng: tăng trưởng số lượng doanh nghiệp, doanh nghiệp Việt Nam vươn tầm quốc tế,  khả năng thích ứng với khó khăn, đóng góp vào an sinh xã hội,  và tham gia xây dựng chính sách.  Các doanh nghiệp lớn như Viettel, PVN, Vingroup, FPT, THACO, Hòa Phát, TH, Vinamilk, và Masan được nhắc đến như những ""doanh nghiệp dân tộc"" đóng góp lớn vào thương hiệu quốc gia.  Thủ tướng đề ra 6 nhiệm vụ, giải pháp hỗ trợ doanh nghiệp và 5 đề nghị đối với doanh nghiệp,  nhấn mạnh sự cần thiết của môi trường kinh doanh thuận lợi, hạ tầng tốt, quản trị thông minh, và sự hợp tác giữa Nhà nước và doanh nghiệp để cùng phát triển bền vững. "
2024-01-13,"Một dự án nghỉ dưỡng tại Ninh Thuận dở dang suốt 15 năm, nay bất ngờ được sang tay cho Tập đoàn Masan","Dự án Khu du lịch, sinh thái nghỉ dưỡng và nhà máy nước khoáng Krông Pha tại Ninh Thuận, do Công ty Krông Pha làm chủ đầu tư, đã bị dở dang suốt 15 năm.  Dự án không đạt yêu cầu về quy mô và hiệu quả sử dụng đất,  và Công ty Krông Pha không tìm được đối tác chuyển nhượng đúng hạn.  Masan Group hiện đang đầu tư vào dự án này sau khi được tỉnh Ninh Thuận hỗ trợ tháo gỡ vướng mắc. "
