publish_date,title,summary
2024-05-08,"MWG nhận được 1,77 nghìn tỷ đồng trong thương vụ bán 5% Bách Hóa Xanh","MWG huy động 1.770 tỷ đồng từ việc phát hành riêng lẻ 5% cổ phần Bách Hóa Xanh (BHX),  với mức định giá P/S 2023 là 1,1 lần.  SSI Research kỳ vọng lợi nhuận BHX sẽ là động lực tăng trưởng chính cho MWG từ năm 2026.  Kết quả kinh doanh quý I/2024 của MWG tốt hơn dự kiến,  nhờ doanh thu máy điều hòa và biên lợi nhuận điện thoại, điện máy.  SSI Research dự báo doanh thu và lợi nhuận MWG năm 2024-2025 tăng trưởng,  nhưng biên lợi nhuận trước thuế sẽ giảm so với mức đỉnh.  Giá cổ phiếu MWG tăng mạnh trong 7 tháng liên tiếp.  "
2024-10-21,Cổ phiếu Thế giới Di động MWG chính thức trở lại rổ VNDiamond,"Cổ phiếu MWG (Thế giới Di Động) quay trở lại rổ chỉ số VNDiamond tháng 10/2024,  trong khi VRE (Vincom Retail) nằm trong danh sách chờ loại bỏ.  BSC dự báo chính xác sự thay đổi này,  cho rằng MWG được thêm vào để tăng tính đa dạng của rổ chỉ số,  trong khi VRE không đáp ứng về hệ số FOL.  Hiện có 4 quỹ ETF sử dụng VNDiamond làm chỉ số tham chiếu. "
2024-03-05,Xiaomi tháng 2: Đứng đầu thị phần tại hệ thống Thế Giới Di Động,"Xiaomi chiếm 13% thị phần smartphone toàn cầu và 16% tại Việt Nam (quý III/2023),  với doanh thu tăng 13,8% và biên lợi nhuận gộp kỷ lục 16,6%.  Redmi Note 13 series bán chạy tại Việt Nam,  đặc biệt tại Thế Giới Di Động.  Xiaomi là thương hiệu dẫn đầu doanh số tại Việt Nam tháng 2/2024.  Xiaomi nhấn mạnh việc đáp ứng nhu cầu người dùng về giá cả,  chất lượng camera,  và hiệu năng.  Thế Giới Di Động được Xiaomi trao giải thưởng ""Xiaomi Legend Partner"".   "
2024-05-15,"Khối ngoại trở lại mua ròng gần 300 tỷ đồng trên HOSE, gom mạnh MWG, HPG","VN-Index tăng 11,11 điểm lên 1.254 điểm ngày 15/5,  với thanh khoản cao.  Khối ngoại mua ròng 289 tỷ đồng trên toàn thị trường (296 tỷ trên HOSE),  tập trung vào MWG (272 tỷ), HPG (176 tỷ),  và NVL (79 tỷ).  VHM bị bán ròng mạnh (142 tỷ).  Trên HNX, khối ngoại mua ròng 69 tỷ đồng,  và bán ròng 73 tỷ đồng trên UPCoM.  MCH bị bán ròng 25 tỷ đồng trên UPCoM.  "
2024-06-26,"2 'ông trùm' bán lẻ Thế Giới Di Động, Masan cùng bị loại khỏi Danh sách 50 công ty niêm yết tốt nhất của Forbes","Forbes Việt Nam công bố danh sách 50 công ty niêm yết tốt nhất năm 2024,  với tổng lợi nhuận giảm 13% so với năm 2023.  Thế Giới Di Động và Masan không có mặt trong danh sách năm nay do lợi nhuận giảm mạnh (Thế Giới Di Động giảm 96%, Masan giảm 60%) vì sức mua yếu.  Danh sách năm nay có nhiều đại diện từ ngành tiện ích, thực phẩm, và y tế.  Vietjet Air, Vincom Retail, và Viettel Post là một số công ty mới được đưa vào danh sách. "
2024-05-01,Thế Giới Di Động lần đầu hé lộ số lỗ của chuỗi Era Blue sau tham vọng thắng lớn tại Indonesia,"Thế Giới Di Động (MWG) báo lỗ gần 20,5 tỷ đồng từ Era Blue (liên doanh tại Indonesia) trong quý I/2024.  Era Blue, hoạt động từ năm 2022,  đã mở 55 cửa hàng (kế hoạch mở thêm dưới 100 cửa hàng năm 2024).  Mặc dù lỗ, Era Blue được kỳ vọng sẽ trở thành nhà bán lẻ điện máy hàng đầu tại Indonesia,  với mô hình kinh doanh hướng đến khách hàng và dịch vụ tốt.  Lãnh đạo MWG kỳ vọng Era Blue hòa vốn năm 2024 và đạt 500 cửa hàng năm 2027.   "
2024-11-29,"CTCK giảm dự phóng lợi nhuận 2024 của Thế Giới Di Động (MWG) vì chi phí bất thường, lo ngại việc mở rộng Bách Hoá Xanh ảnh hưởng lãi ròng","SSI Research giảm dự phóng lợi nhuận MWG năm 2024 do chi phí bất thường quý 3 (đóng cửa hàng, bão Yagi, khấu hao).  Lợi nhuận cốt lõi mảng điện máy cải thiện nhưng chi phí bất thường ảnh hưởng đến tổng lợi nhuận.  SSI dự báo doanh thu điện máy năm 2024-2025 tăng nhưng biên lợi nhuận giảm.  Era Blue (Indonesia) có lãi quý 3.  Doanh thu Bách Hóa Xanh (BHX) dự báo tăng nhưng lợi nhuận giảm do chi phí mở rộng.  Nhà thuốc An Khang dự kiến vẫn lỗ.  LNST MWG năm 2024 dự báo giảm xuống 4.000 tỷ đồng,  và 5.700 tỷ đồng năm 2025.  "
2024-03-27,"Con số báo động với Thế Giới Di Động, FPT Shop: TMĐT thành lãnh địa mới của Apple, doanh thu iPhone 15 từ các sàn cao gấp 5 lần iPhone 14","Doanh thu iPhone 15 trên các sàn thương mại điện tử (TMĐT) cao gấp 5,3 lần iPhone 14 cùng kỳ,  đặc biệt tăng mạnh trong các đợt siêu sale.  Ngược lại,  doanh thu iPhone tại các hệ thống bán lẻ truyền thống như Thế Giới Di Động (MWG) và FPT Shop giảm mạnh năm 2023.  YouNet ECI nhận định người tiêu dùng đang chuyển sang mua sắm online,  đặt ra thách thức lớn cho các nhà bán lẻ truyền thống.   "
2024-04-09,Home Credit và Thế Giới Di Động ký kết hợp tác chiến lược với sản phẩm Home PayLater,Thế Giới Di Động hợp tác với Home Credit để cung cấp dịch vụ mua trước trả sau Home PayLater tại hệ thống cửa hàng của mình.  Khách hàng có thể mua hàng với lãi suất 0% trong 45 ngày hoặc trả góp đến 12 tháng.  Home Credit là đơn vị duy nhất cung cấp dịch vụ này cho Thế Giới Di Động.  Hai công ty đặt mục tiêu doanh thu 2 tỷ USD trong 3 năm.  
2024-11-02,"Bầu Đức 'bắt tay' nhà cựu sáng lập Thế giới di động, đưa Chuối, Heo, sầu riêng, Bưởi da xanh... của HAGL vào thị trường nội địa","Hoàng Anh Gia Lai (HAGL) hợp tác với KingFood Mart (Seedcom) để phân phối nông sản (chuối, sầu riêng, bưởi, heo, gà, cá) tại thị trường Việt Nam.  Ông Đoàn Nguyên Đức (HAGL) cho biết HAGL đã đầu tư hơn 2 tỷ USD vào nông nghiệp.  Ông Đinh Anh Huân,  cựu đồng sáng lập Thế Giới Di Động và chủ tịch Seedcom,  là người đứng đầu KingFood Mart.   "
