publish_date,title,summary
2024-10-09,MB Capital mua lại hơn 2 triệu cổ phiếu Gas Petrolimex,"MB Capital, công ty quản lý quỹ đầu tư của Ngân hàng Quân đội, đã mua lại 2,08 triệu cổ phiếu của Gas Petrolimex (PGC) từ ngày 2/10 đến 4/10/2024, nâng tỷ lệ sở hữu lên 4,47%.  Trước đó, vào ngày 26/9/2024, MB Capital đã bán ra 2,1 triệu cổ phiếu PGC.  Tổng cộng, MB Capital đã chi hơn 29,95 tỷ đồng cho đợt mua vào này.  Báo cáo tài chính 6 tháng đầu năm 2024 của Gas Petrolimex cho thấy doanh thu tăng 15,3% và lợi nhuận tăng 5,84% so với cùng kỳ năm trước. Tuy nhiên, vốn chủ sở hữu lại giảm 4,27%. "
2024-07-25,"Trong khi HVN, VGI, GVR, VEA đã giảm hàng chục phần trăm từ đỉnh, cổ phiếu Becamex IDC 'lầm lũi' tăng 37% sau 3 tháng, vốn hóa vượt Sabeco, Petrolimex...","Trong khi nhiều cổ phiếu doanh nghiệp nhà nước lớn như HVN (-44%), VGI (-34,6%), và GVR (-14,3%) giảm mạnh từ đỉnh, cổ phiếu BCM của Becamex IDC lại tăng 37% trong 3 tháng qua, đạt mức giá cao nhất 4 tháng. Vốn hóa thị trường của Becamex IDC đã vượt qua các doanh nghiệp lớn như Sabeco, BSR, Vietjet và SSI.  Sự tăng trưởng này diễn ra sau khi Chính phủ phê duyệt kế hoạch giảm sở hữu nhà nước tại Becamex IDC xuống 65% vào cuối năm 2025, thông qua việc phát hành 300 triệu cổ phiếu (29% cổ phiếu lưu hành) ra công chúng.  Becamex IDC dự kiến huy động tối thiểu 15.000 tỷ đồng để đầu tư vào các dự án khu công nghiệp, tái cấu trúc tài chính và góp vốn vào các công ty con. SSI Research đánh giá tích cực về kế hoạch này, cho rằng nó sẽ giúp Becamex IDC tăng vốn chủ sở hữu, giảm nợ và tăng cường đầu tư.  Becamex IDC là nhà phát triển khu công nghiệp lớn nhất tại Bình Dương và đứng thứ ba cả nước, với nhiều công ty con niêm yết trên sàn chứng khoán. Kết quả kinh doanh quý 1/2024 cho thấy doanh thu tăng nhẹ 3% và lợi nhuận sau thuế tăng 60% so với cùng kỳ năm trước. "
2024-05-05,Petrolimex sắp chi trả cổ tức năm 2023 tỷ lệ 15% bằng tiền mặt,"Petrolimex (PLX) sẽ chi trả cổ tức năm 2023 với tỷ lệ 15% bằng tiền mặt (1.500 đồng/cổ phiếu), chốt danh sách cổ đông ngày 15/5 và thanh toán ngày 28/5/2024.  Nguồn cổ tức đến từ Quỹ đầu tư phát triển và các quỹ khen thưởng, phúc lợi. Báo cáo tài chính quý I/2024 cho thấy doanh thu tăng 11% lên 75.106 tỷ đồng, lợi nhuận ròng tăng 70% đạt 1.133 tỷ đồng so với cùng kỳ năm trước.  Petrolimex đặt mục tiêu doanh thu và lợi nhuận trước thuế năm 2024 lần lượt là 188.000 tỷ đồng và 2.900 tỷ đồng.  Kết quả quý I đã hoàn thành gần 50% kế hoạch lợi nhuận cả năm. "
2024-06-18,"Lần đầu tiên Fortune công bố Top DN lớn nhất Đông Nam Á, điểm mặt 13 DN Việt lọt Top 100: Petrolimex, Vingroup, Thế giới Di động…","Tạp chí Fortune lần đầu tiên công bố bảng xếp hạng Fortune SEA 500, gồm 500 công ty lớn nhất Đông Nam Á dựa trên doanh thu năm 2023.  Petrolimex là doanh nghiệp Việt Nam có thứ hạng cao nhất (thứ 23), trong khi Việt Nam có tổng cộng 13 doanh nghiệp trong Top 100.  Các doanh nghiệp Việt khác trong Top 100 bao gồm nhiều ngân hàng lớn (Agribank, BIDV, VietinBank, VPBank, MB) và các tập đoàn hàng đầu như Vingroup, Hòa Phát, Thế giới Di Động, Vietnam Airlines.  Vinamilk và Vietjet Air là hai doanh nghiệp Việt có nữ làm chủ trong Top 10 doanh nghiệp có nữ lãnh đạo.  Trong lĩnh vực hàng không, Vietnam Airlines đứng thứ 3 và Vietjet Air đứng thứ 7.  FPT dẫn đầu trong lĩnh vực dịch vụ CNTT tại Đông Nam Á.  Trafigura (Singapore) dẫn đầu bảng xếp hạng Fortune SEA 500. "
2024-08-02,"DN của 6 tỷ phú đô la Việt Nam nộp ngân sách gần 73.000 tỷ đồng năm 2023, gần bằng “người khổng lồ” PVN, ngang ngửa Viettel và Petrolimex cộng lại","Danh sách PRIVATE 100 của CafeF, công bố lần đầu tiên vào tháng 8/2024, xếp hạng các doanh nghiệp tư nhân Việt Nam nộp ngân sách lớn nhất năm 2023.  Sáu tỷ phú đô la Việt Nam (Phạm Nhật Vượng, Nguyễn Thị Phương Thảo, Trần Đình Long, Hồ Hùng Anh, Nguyễn Đăng Quang, Trần Bá Dương) đã đóng góp tổng cộng gần 73.000 tỷ đồng, tương đương với tổng số thuế của Viettel và Petrolimex, và gần bằng PVN.  Vingroup (Phạm Nhật Vượng) dẫn đầu với hơn 30.900 tỷ đồng, tiếp theo là Thaco (Trần Bá Dương) với 21.000 tỷ đồng và Hòa Phát (Trần Đình Long) với gần 9.100 tỷ đồng.  Techcombank (Hồ Hùng Anh) đóng góp hơn 7.900 tỷ đồng, Masan Group (Nguyễn Đăng Quang) hơn 4.400 tỷ đồng,  HDBank (Nguyễn Thị Phương Thảo) gần 3.000 tỷ đồng và Vietjet Air (Nguyễn Thị Phương Thảo) gần 800 tỷ đồng.  Danh sách PRIVATE 100 bao gồm nhiều doanh nghiệp khác với số nộp ngân sách từ 100 tỷ đồng trở lên. "
2024-11-03,Petrolimex báo lãi ròng quý III/2024 giảm sâu do biến động của giá dầu thế giới,"Petrolimex (PLX) báo cáo lợi nhuận ròng quý III/2024 giảm mạnh 82,11% so với cùng kỳ năm trước, xuống còn 130,5 tỷ đồng.  Doanh thu giảm 11,17% xuống 64.352 tỷ đồng.  Sự sụt giảm này chủ yếu do giá dầu thế giới giảm và việc thiếu lợi nhuận từ hoạt động thoái vốn khỏi PG Bank.  Mặc dù doanh thu luỹ kế 9 tháng tăng 3,6% và lợi nhuận sau thuế tăng 11,5%, nhưng lợi nhuận quý III giảm sâu cho thấy tác động tiêu cực của biến động giá dầu.  Tổng tài sản giảm 11,9% so với đầu kỳ, trong khi tổng nợ phải trả giảm 17,75%. "
2024-10-18,Petrolimex Aviation –Tiên phong cung cấp nhiên liệu hàng không bền vững SAF tại Việt Nam,"Petrolimex Aviation đã cung cấp nhiên liệu hàng không bền vững (SAF) lần đầu tiên cho hai chuyến bay quốc tế của Vietjet Air khởi hành từ Thành phố Hồ Chí Minh, đánh dấu một bước tiến quan trọng trong việc giảm lượng khí thải carbon của ngành hàng không Việt Nam.  Sự kiện này được các cơ quan chính phủ, các hiệp hội ngành hàng không và các đối tác đánh giá cao.  Petrolimex Aviation cam kết tiếp tục cung cấp SAF, góp phần vào mục tiêu phát thải ròng bằng 0 vào năm 2050 của Việt Nam và nỗ lực toàn cầu giảm phát thải carbon.  SAF, một loại nhiên liệu tương thích với cơ sở hạ tầng hiện tại, có thể giảm lượng khí thải carbon lên đến 80% so với nhiên liệu truyền thống. Vietjet Air cũng cam kết tiếp tục sử dụng SAF để giảm lượng khí thải của mình. "
2024-07-08,"Cổ phiếu hai “ông trùm” bán lẻ xăng dầu Petrolimex, PV Oil nổi sóng sau một dự thảo Nghị định mới, đâu là điểm đặc biệt?","Dự thảo Nghị định mới về kinh doanh xăng dầu dự kiến sẽ củng cố vị thế của các thương nhân đầu mối lớn như Petrolimex (PLX) và PV Oil (OIL), dẫn đến giá cổ phiếu của hai công ty này tăng mạnh (PLX tăng khoảng 30%, OIL tăng hơn 50% trong chưa đầy 2 tháng).  Nghị định này duy trì quy định chỉ có thương nhân đầu mối được phép nhập khẩu hoặc mua trực tiếp từ nhà máy lọc dầu, cho phép họ kiểm soát giá bán và phân chia lợi nhuận trong chuỗi cung ứng.  Các thương nhân phân phối giờ đây chỉ được mua từ thương nhân đầu mối, làm giảm sức mạnh của các thương nhân nhỏ hơn.  Maybank Investment Bank và ACBS đều đánh giá tích cực về tác động của nghị định này đối với PLX và OIL, đặc biệt là Petrolimex với mạng lưới phân phối rộng lớn.  Petrolimex và PV Oil chiếm gần 70% thị phần bán lẻ xăng dầu tại Việt Nam. "
2024-07-22,"Petrolimex nói gì khi chưa ""phổ cập"" bán nhiên liệu Euro 5?","Mặc dù xe ô tô phải sử dụng nhiên liệu Euro 5 (RON 95-V và DO 0.001s-V) từ năm 2022, việc phân phối nhiên liệu này, đặc biệt là dầu diesel 0.001s-V, vẫn còn hạn chế. Petrolimex cho biết, nguyên nhân là do phần lớn phương tiện đang lưu hành không bắt buộc sử dụng nhiên liệu Euro 5, dẫn đến nhu cầu thấp và chi phí kinh doanh cao (vận chuyển, tồn kho...).  Hơn nữa, chưa có chính sách hỗ trợ khuyến khích người dùng chuyển sang nhiên liệu cao cấp này.  Petrolimex hiện chỉ bán dầu diesel 0.001s-V tại 1.500 cửa hàng trên tổng số 2.700 cửa hàng trực thuộc, gặp khó khăn về chi phí vận chuyển, hạn chế kho bể và thủ tục pháp lý.  Tuy nhiên, Petrolimex cam kết sẽ tiếp tục mở rộng phân phối nhiên liệu Euro 5 theo nhu cầu thị trường. Bộ Công Thương cũng đang phối hợp với các nhà sản xuất ô tô và nhà cung cấp xăng dầu để giải quyết vấn đề này. "
2024-05-04,Tổng Công ty cổ phần Bảo hiểm Petrolimex (PJICO) bước vào hành trình chuyển đổi số toàn diện,"PJICO, Tổng Công ty cổ phần Bảo hiểm Petrolimex, đã đạt doanh thu bảo hiểm gốc 4.023 tỷ đồng năm 2023 và đang triển khai chiến lược chuyển đổi số toàn diện (2023-2028) với sự hỗ trợ của FPT Digital.  Chiến lược này tập trung vào ba trụ cột: 1) Nâng cao trải nghiệm khách hàng thông qua cải thiện website, call center, AI chatbox, CDP và CRM; 2) Tối ưu hoạt động kinh doanh khai thác và bồi thường bằng cách cải tiến quy trình và phân tích dữ liệu; 3) Số hóa hoạt động nội bộ thông qua văn phòng số và các công cụ hỗ trợ, nhằm tiết kiệm chi phí và bảo vệ môi trường. PJICO kỳ vọng chuyển đổi số sẽ giúp công ty trở thành doanh nghiệp bảo hiểm hàng đầu Việt Nam, bền vững và hiệu quả hơn. "
