publish_date,title,summary
2024-07-31,"Đại gia ngành khí Việt Nam “ôm” lượng tiền mặt khổng lồ, lớn hơn vốn hoá Đức Giang, PV Power và nhiều ngân hàng","PV Gas (GAS) nắm giữ hơn 43.900 tỷ đồng tiền mặt (cao nhất từ trước đến nay), vượt quá vốn hóa của nhiều doanh nghiệp lớn như Đức Giang, Vincom Retail, REE, PNJ, PV Power và một số ngân hàng.  Doanh thu tài chính quý II đạt gần 445 tỷ đồng, chủ yếu từ lãi tiền gửi (luỹ kế 6 tháng đạt gần 831 tỷ đồng).  Doanh thu thuần quý II tăng 25% lên 30.052 tỷ đồng, lợi nhuận sau thuế tăng 7% lên 3.416 tỷ đồng.  Lũy kế 6 tháng, doanh thu tăng 18% nhưng lợi nhuận giảm 10%.  PV Gas dự kiến trả cổ tức năm 2023 ở mức kỷ lục 60% (6.000 đồng/cổ phiếu), chủ yếu thuộc về PVN (công ty mẹ).  Kế hoạch kinh doanh năm 2024 của PV Gas thận trọng hơn, giảm doanh thu và lợi nhuận so với năm 2023.   "
2024-10-15,PV Power ước lãi 833 tỷ đồng sau 9 tháng,"PV Power (POW) báo cáo sản lượng điện 9 tháng năm 2024 đạt 11,42 tỷ kWh (tăng 2% so với cùng kỳ, đạt 92% kế hoạch), doanh thu đạt 22.374 tỷ đồng (tăng 1%, đạt 95% kế hoạch), và lợi nhuận trước thuế đạt 833 tỷ đồng (vượt 6% kế hoạch nhưng giảm 18% so với cùng kỳ).  Sự sụt giảm doanh thu là do doanh thu trực tiếp của công ty mẹ và các công ty con thấp hơn kế hoạch.  PV Power đã ký hợp đồng mua bán điện (PPA) cho dự án Nhiệt điện Nhơn Trạch 3&4 và đang thu xếp vốn vay.  Công ty đặt mục tiêu doanh thu và lợi nhuận trước thuế năm 2024 lần lượt là 31.736 tỷ đồng và 995 tỷ đồng.  Trong 3 tháng cuối năm, PV Power đặt mục tiêu doanh thu 8.197 tỷ đồng và lợi nhuận trước thuế 210 tỷ đồng. "
2024-09-10,"Sau VinFast, đến lượt PV Power với tham vọng 1.000 trạm sạc xe điện năm 2035","PV Power (POW) hợp tác với đối tác Hàn Quốc để phát triển hệ thống trạm sạc xe điện tại Việt Nam, bắt đầu bằng việc xây dựng trạm sạc thí điểm tại Hà Nội.  Công ty đặt mục tiêu xây dựng một mạng lưới trạm sạc toàn quốc, dựa trên lộ trình chuyển đổi sang xe điện của Chính phủ và dự báo tăng trưởng thị trường xe điện của VAMA.  Tuy nhiên, việc đầu tư vào trạm sạc xe điện tiềm ẩn nhiều rủi ro về tài chính và các thách thức về thủ tục hành chính, vị trí đặt trạm và chuẩn sạc.  Hiện tại, VinFast là công ty dẫn đầu trong việc đầu tư trạm sạc tại Việt Nam, với kế hoạch triển khai trạm sạc nhượng quyền trên toàn quốc.   "
2024-10-31,"PV GAS vẫn còn 4.400 tỷ nợ xấu, một nửa đến từ PV POWER, cầm 44.800 tỷ tiền mặt hưởng lãi hơn 1.100 tỷ trong 9T2024","PV Gas (GAS) giảm nợ xấu xuống còn 4.407 tỷ đồng (giảm 2.067 tỷ đồng so với quý trước), trong đó hơn 2.000 tỷ đồng đến từ PV Power.  Mặc dù nợ xấu vẫn tăng so với đầu năm, nhưng vẫn thấp hơn nhiều so với số tiền mặt và tiền gửi hơn 44.800 tỷ đồng.  Doanh thu quý III/2024 tăng 14% lên 25.257 tỷ đồng, lợi nhuận sau thuế tăng nhẹ. Lãi từ tiền gửi 9 tháng đạt 1.125 tỷ đồng.  Mặc dù lợi nhuận 9 tháng giảm 5% so với cùng kỳ, PV Gas đã vượt kế hoạch lợi nhuận năm 2024 do kế hoạch đặt ra thấp hơn so với thực tế.  Kế hoạch doanh thu và lợi nhuận năm 2024 của GAS giảm mạnh so với năm 2023. "
2024-06-25,"CTCK ước tính KQKD quý 2/2024 của 53 doanh nghiệp ""hot"": HPG, BCM, POW, FRT, VJC được dự báo có lợi nhuận đột biến, một tên tuổi đầu ngành có thể tăng trưởng gần 3.000%","MBS dự báo lợi nhuận thị trường chứng khoán quý II/2024 tăng 9,5% so với cùng kỳ, nhờ nền thấp năm trước và phục hồi nhẹ của sản xuất, tiêu dùng.  Ngành bán lẻ tăng trưởng mạnh (379%), vật liệu cơ bản (63%), trong khi bất động sản khu công nghiệp giảm (26%) và dầu khí giảm nhẹ (2%).  Nhiều cổ phiếu dự báo tăng trưởng lợi nhuận mạnh, gồm LPB (146%), VPB (62%), HDB (38%), FPT (21%), MWG (2.944%), FRT (119%), HPG (127%), và POW (210%).  Ngược lại, nhiều ngân hàng (OCB, BID, STB) và doanh nghiệp bất động sản, dầu khí (BSR, DGC) dự báo giảm lợi nhuận.  Sự tăng trưởng của các doanh nghiệp được thúc đẩy bởi nhiều yếu tố như nền thấp năm trước, tăng trưởng tín dụng, cải thiện biên lợi nhuận, giá nguyên vật liệu giảm, và tăng sản lượng.   "
2024-11-23,"Vingroup và PV Power chính thức bắt tay, muốn hợp lực phát triển hệ thống trạm sạc xe điện toàn quốc","Vingroup và PV Power đã ký kết thỏa thuận hợp tác, tập trung vào việc cung cấp điện xanh và phát triển hệ thống trạm sạc xe điện.  PV Power sẽ cung cấp điện cho Vingroup và các công ty thành viên, trong khi Vingroup sẽ hỗ trợ PV Power lắp đặt hệ thống điện mặt trời.  PV Power sẽ cung cấp thiết bị cho V-GREEN (công ty con của Vingroup chuyên về trạm sạc xe điện) và chuyển giao mạng lưới 1.000 trạm sạc dự kiến xây dựng trong giai đoạn 2025-2030 cho V-GREEN quản lý và phát triển.  Sự hợp tác này nhằm thúc đẩy việc mở rộng mạng lưới trạm sạc và chuyển đổi sang năng lượng xanh tại Việt Nam. "
2024-03-06,"Tròn 6 năm từ ngày PV Power (POW) chào sàn chứng khoán: ""Gió đông"" thoái vốn vẫn chưa xuất hiện, cổ phiếu đầu ngành điện lặng sóng","Bài báo đánh giá 6 năm hoạt động của PV Power (POW) kể từ khi niêm yết trên UPCoM năm 2018.  Mặc dù khởi đầu ấn tượng, giá cổ phiếu POW đã giảm mạnh trong thời gian đầu, sau đó phục hồi nhưng chưa vượt đỉnh lịch sử.  Vốn hóa hiện tại chỉ còn khoảng một nửa so với thời điểm niêm yết.  Quá trình thoái vốn của nhà nước vẫn chưa hoàn tất, ban đầu dự kiến bán 28,82% cổ phần cho nhà đầu tư chiến lược nhưng chưa thực hiện được.  PV Power hiện là doanh nghiệp dẫn đầu ngành điện trên sàn chứng khoán, sở hữu 6 nhà máy điện và đang đầu tư thêm 2 nhà máy nhiệt điện khí (Nhơn Trạch 3&4).  Kết quả kinh doanh năm 2023 giảm so với năm trước, nhưng dự báo khả quan hơn trong năm 2024 nhờ cải thiện biên lợi nhuận và giảm chi phí.  Tuy nhiên, tiến độ dự án Nhơn Trạch 3&4 đang chậm hơn kế hoạch, và việc ký kết hợp đồng PPA vẫn chưa hoàn tất. "
2024-05-16,"Doanh thu bán điện của PV Power tăng ""nóng"" ngay đầu mùa nắng nóng","PV Power (POW) báo cáo doanh thu tháng 4/2024 đạt 3.278 tỷ đồng (tăng 25% so với cùng kỳ, đạt 138% kế hoạch), chủ yếu nhờ nhu cầu điện tăng cao do nắng nóng và giá điện thị trường tăng.  Doanh thu bán điện đạt 3.240 tỷ đồng, sản lượng điện hơn 1.712 triệu kWh.  Các nhà máy điện Cà Mau 1&2, Vũng Áng 1, và Nhơn Trạch 2 đóng góp nhiều nhất vào doanh thu.  Nhà máy Nhơn Trạch 1 hạn chế vận hành do nguồn khí, trong khi các nhà máy khác vận hành tối đa sản lượng.  PV Power đang đàm phán hợp đồng mua bán điện và khí cho dự án Nhơn Trạch 3&4.  Mục tiêu doanh thu tháng 5 là 2.955 tỷ đồng. "
2024-03-14,"Đứng trước nguy cơ mất 1.000 tỷ đồng, PV Power kiến nghị khẩn tới Chính phủ và Bộ Công Thương","PV Power đang kiến nghị Chính phủ và Bộ Công Thương giải quyết vướng mắc tại dự án Nhà máy điện Nhơn Trạch 3&4 (1.500MW, 1,4 tỷ USD) do Công ty Tín Nghĩa (đơn vị quản lý khu công nghiệp) yêu cầu phí sử dụng hạ tầng quá cao (100 USD/m2) và chưa có cơ sở pháp lý rõ ràng.  Việc này gây chậm tiến độ, đe dọa thiệt hại khoảng 1.000 tỷ đồng doanh thu cho PV Power, bao gồm tiền phạt, bồi thường và tổn thất khác.  PV Power cho biết đã làm việc với Công ty Tín Nghĩa để thỏa thuận giá thuê hạ tầng, và đang chờ ý kiến của Chính phủ và tỉnh Đồng Nai để tiếp tục thi công dự án.  Dự án Nhơn Trạch 3&4 là dự án trọng điểm quốc gia, sử dụng khí LNG, có ý nghĩa quan trọng đối với an ninh năng lượng quốc gia. "
2024-08-16,"PV Power (POW) thu hơn 2.100 tỷ đồng từ bán điện trong tháng 7, tuyên bố gia nhập 'cuộc chơi' xây trạm sạc xe điện","PV Power (POW) báo cáo doanh thu bán điện tháng 7/2024 đạt 2.064 tỷ đồng (lũy kế 7 tháng đạt 17.997 tỷ đồng), sản lượng điện đạt 1.042 triệu kWh (lũy kế 7 tháng đạt 9.412 triệu kWh).  Doanh thu bị ảnh hưởng bởi giá điện thị trường thấp do mưa lũ ở miền Bắc.  Các nhà máy Cà Mau 1&2 và Vũng Áng 1 đóng góp nhiều nhất vào doanh thu. Nhà máy Nhơn Trạch 1 không được vận hành do hạn chế nguồn khí.  PV Power đang triển khai dự án Nhơn Trạch 3&4 và đã ký hợp đồng thuê đất.  Công ty cũng công bố kế hoạch đầu tư xây dựng trạm sạc xe điện thí điểm tại Hà Nội với tổng chi phí hơn 1,8 tỷ đồng, dự kiến sẽ mở rộng hệ thống sau khi trạm thí điểm hoạt động.   "
2024-01-13,"PV Power (POW) ước lãi 2023 sụt giảm 53% so với năm trước, mục tiêu lợi nhuận 2024 dưới nghìn tỷ","PV Power (POW) báo cáo sản lượng điện năm 2023 đạt 14.443 triệu kWh (93% kế hoạch), doanh thu đạt 30.614 tỷ đồng (tăng 6%, vượt kế hoạch), và lợi nhuận sau thuế đạt 1.194 tỷ đồng (tăng 7% so với kế hoạch nhưng giảm 53% so với năm 2022).  Lợi nhuận giảm do doanh thu của Nhơn Trạch 2, Hủa Na, và Đakđrinh giảm.  Kế hoạch năm 2024 đặt mục tiêu sản lượng 16.703 triệu kWh, doanh thu 31.736 tỷ đồng, và lợi nhuận sau thuế 824 tỷ đồng (mục tiêu thấp hơn năm 2023).  POW sẽ tập trung vào việc bảo dưỡng, sửa chữa các nhà máy điện và đẩy nhanh tiến độ dự án Nhơn Trạch 3&4.  Giá cổ phiếu POW đạt 11.450 đồng/cp vào ngày 12/1. "
2024-05-31,"Việt Nam lần đầu tiêu thụ điện vượt 1 tỷ kWh/ngày, cổ phiếu PV Power lên cao nhất 8 tháng, gã khổng lồ ngành điện “thức giấc” sau khi nhiều thông tin quan trọng được hé lộ","Cổ phiếu POW của PV Power tăng hơn 22% trong hơn một tháng, đạt mức cao nhất 8 tháng, đẩy vốn hóa lên gần 30.000 tỷ đồng.  Việc tiêu thụ điện toàn quốc vượt 1 tỷ kWh/ngày lần đầu tiên đã thúc đẩy sự tăng trưởng này.  PV Power đạt 41% kế hoạch doanh thu và 67% kế hoạch lợi nhuận trong 5 tháng đầu năm 2024.  Công ty nhận được bồi thường bảo hiểm khoảng 1.000 tỷ đồng cho sự cố tại nhà máy Vũng Áng 1.  Tiến độ dự án Nhơn Trạch 3&4 đang tích cực, với việc nhận điện ngược thành công, dự kiến phát điện thương mại vào cuối năm 2024 (Nhơn Trạch 3) và giữa năm 2025 (Nhơn Trạch 4).  Nhơn Trạch 3&4 là dự án trọng điểm quốc gia, bổ sung 9 tỷ kWh điện/năm. "
2024-07-11,"Người nhà Kiểm toán nội bộ PV Power lên tiếng về việc mua “chui” cổ phiếu POW, lý do gây bất ngờ","Ông Ngô Nguyên Đán, chồng của kiểm toán nội bộ PV Power, đã mua 5.000 cổ phiếu POW mà không đăng ký trước, lý do là do không quen thuộc với quy định giao dịch chứng khoán.  Giá cổ phiếu POW hiện đạt mức cao nhất 2 năm.  PV Power đạt 97% kế hoạch doanh thu và 103% kế hoạch sản lượng điện trong 6 tháng đầu năm 2024, với doanh thu quý II ước đạt gần 10.000 tỷ đồng.  Kế hoạch năm 2024 của PV Power dự kiến tăng sản lượng và doanh thu nhưng giảm lợi nhuận.   "
2024-05-29,PV Power tiếp tục triển khai các giải pháp đảm bảo cấp điện trong mùa nóng,"Do nhu cầu điện tăng cao vì nắng nóng, PV Power đang điều hành linh hoạt các nhà máy điện để tối đa hóa sản lượng và hiệu quả.  Tháng 4, sản lượng điện đạt 1,7 tỷ kWh, doanh thu hơn 3.200 tỷ đồng.  Nhà máy Nhơn Trạch 2, Cà Mau 1&2, và Vũng Áng 1 hoạt động hiệu quả, trong khi Nhơn Trạch 1 bị hạn chế do nguồn khí.  PV Power đặt mục tiêu sản lượng điện tháng 5 đạt 1,5 tỷ kWh và doanh thu 2.900 tỷ đồng, đồng thời đang đàm phán hợp đồng cho dự án Nhơn Trạch 3&4.  Công ty sẽ phối hợp với PV Gas và TKV để đảm bảo cung cấp nhiên liệu và làm việc với EVN/EPTC về việc phân bổ sản lượng điện.  PV Power cam kết đảm bảo cung ứng điện trong mùa nắng nóng và phát triển các nguồn năng lượng tái tạo. "
2024-07-17,PV Power (POW) báo lãi ‘đi lùi’ trong nửa đầu năm 2024,"PV Power (POW) báo cáo doanh thu 6 tháng đầu năm 2024 đạt 15.822 tỷ đồng (giảm nhẹ so với cùng kỳ) và lợi nhuận trước thuế đạt 657 tỷ đồng (giảm 29,3% so với cùng kỳ).  Sản lượng điện tăng tại các nhà máy Cà Mau 1&2 và Vũng Áng 1 nhưng giảm tại các nhà máy khác.  PV Power đã hoàn thành 49,9% kế hoạch doanh thu và 66% kế hoạch lợi nhuận năm 2024.  Tiến độ dự án Nhơn Trạch 3&4 đạt 90%, và PV Power đã hoàn tất đàm phán hợp đồng mua bán điện.  Công ty đặt kế hoạch sản lượng và doanh thu 6 tháng cuối năm cao hơn nhưng lợi nhuận trước thuế thấp hơn so với cùng kỳ năm trước. Giá cổ phiếu POW giảm nhẹ vào ngày 17/7. "
2024-06-04,"Dự án điện khí LNG đầu tiên của Việt Nam chậm tiến độ vì vấn đề thuê đất, cổ phiếu PV Power (POW) vẫn tăng “bốc đầu”, điều gì đang xảy ra?","Cổ phiếu POW của PV Power tăng mạnh, đạt mức cao nhất 9 tháng, do tiêu thụ điện tăng đột biến (12% trong quý I và dự báo 13% trong mùa hè).  Sản lượng điện của PV Power, đặc biệt là nhà máy Vũng Áng 1, được huy động mạnh để đáp ứng nhu cầu.  PV Power dự kiến tăng vốn điều lệ tối thiểu 5.000 tỷ đồng, có thể sử dụng lợi nhuận giữ lại và quỹ phát triển.  Dự án Nhơn Trạch 3&4 bị chậm tiến độ do tranh chấp giá thuê đất với Tín Nghĩa, nhưng Vietcap vẫn dự báo dự án sẽ hoàn thành, mặc dù muộn hơn kế hoạch.  Quá trình đàm phán PPA với EVN đang diễn ra, với sự khác biệt về tỷ lệ bao tiêu sản lượng, nhưng dự thảo nghị định mới của Bộ Công Thương có thể giúp hai bên đạt được thỏa thuận.  Việc phê duyệt khung giá điện sử dụng LNG cũng là tín hiệu tích cực.  "
2024-02-23,PV Power ước đạt trên 2.000 tỷ đồng trong doanh thu trong tháng đầu năm,"PV Power (POW) báo cáo doanh thu tháng 1/2024 đạt 2.015 tỷ đồng (82% kế hoạch), với Vũng Áng 1 và Cà Mau 1&2 đóng góp nhiều nhất.  Doanh thu bán điện tăng 15% so với cùng kỳ, sản lượng điện đạt 1.232 triệu kWh.  Nhà máy Cà Mau 1&2 vận hành bám sát kế hoạch do giá điện thấp, trong khi Vũng Áng 1 đạt sản lượng cao do giá điện cao hơn chi phí.  Nhơn Trạch 1 vận hành thử nghiệm sau trung tu, Nhơn Trạch 2 vận hành theo yêu cầu, Đakđrinh ưu tiên vận hành khi giá điện cao, và Hủa Na giữ nước cho mùa khô.  Tiến độ dự án Nhơn Trạch 3&4 đạt 65,6% (chậm hơn kế hoạch).  Mục tiêu doanh thu tháng 2 là 2.156 tỷ đồng, và kế hoạch năm 2024 đặt mục tiêu giảm doanh thu và lợi nhuận so với năm 2023.  "
2024-06-28,"Bình quân mỗi ngày PV Power (POW) thu hơn trăm tỷ từ bán điện, lợi nhuận quý 2 được dự báo tăng đột biến","PV Power (POW) báo cáo doanh thu 6 tháng đầu năm 2024 đạt 16.169 tỷ đồng (tương đương 109 tỷ đồng/ngày trong quý II), đạt 97% kế hoạch.  MBS dự báo lợi nhuận quý II tăng 210%.  Kế hoạch năm 2024 đặt mục tiêu tăng sản lượng và doanh thu nhưng giảm lợi nhuận trước thuế xuống 995 tỷ đồng.  Công ty nhận được bồi thường bảo hiểm khoảng 1.000 tỷ đồng cho sự cố tại Vũng Áng 1.  Dự án Nhơn Trạch 3&4 đã ký hợp đồng thuê đất và dự kiến hoàn thành muộn hơn 6-12 tháng so với kế hoạch ban đầu.  PV Power là một trong những nhà sản xuất điện lớn nhất Việt Nam.  "
2024-03-04,"NT2 chốt quyền chia cổ tức bằng tiền, PV Power sắp “bỏ túi” 120 tỷ đồng","Công ty Điện lực Dầu khí Nhơn Trạch 2 (NT2) sẽ chốt quyền trả cổ tức tạm ứng lần 1/2023 (7%, 700 đồng/cổ phiếu) ngày 15/3 và chốt quyền tham dự ĐHĐCĐ thường niên 2024 ngày 22/3.  PV Power (công ty mẹ, nắm giữ 59,37% vốn NT2) sẽ nhận gần 120 tỷ đồng cổ tức.  NT2 báo cáo doanh thu và lợi nhuận năm 2023 giảm so với năm trước do bảo dưỡng và cạnh tranh.  PV Power ước tính doanh thu tháng 1/2024 đạt 2.015 tỷ đồng, với Vũng Áng 1 và Cà Mau 1&2 đóng góp nhiều nhất.  Kế hoạch kinh doanh năm 2024 của PV Power đặt mục tiêu giảm doanh thu và lợi nhuận so với năm 2023. "
2024-05-11,"Từng hậu thuẫn cho Nutifood và PV Power vay hàng trăm triệu đô, Tập đoàn tài chính Ý SACE đang tìm kiếm doanh nghiệp bảo lãnh nguồn vốn “khủng” 1,3 tỷ USD","SACE, tập đoàn tài chính Ý, đang tìm kiếm doanh nghiệp Việt Nam để bảo lãnh khoản vay 1,3 tỷ USD trong năm 2024-2025, nhằm thúc đẩy giao thương giữa Ý và Việt Nam.  SACE đã mở văn phòng tại TP.HCM và đang tập trung vào các doanh nghiệp vừa và nhỏ (SME) của Việt Nam, đặc biệt trong các lĩnh vực năng lượng tái tạo và hàng hóa thân thiện với môi trường.  SACE sẽ hợp tác với các ngân hàng quốc tế và trong nước để cung cấp các khoản vay trung-dài hạn, ưu tiên các dự án ESG và các ngành công nghiệp trọng điểm.  Điều kiện là doanh nghiệp Việt Nam phải ưu tiên sử dụng hàng hóa ""Made in Italy"".  SACE đã từng bảo lãnh khoản vay cho NutiFood (31 triệu USD) và PV Power (200 triệu USD) trước đây.  Dự kiến, trong năm 2024, SACE sẽ bảo lãnh khoảng 370-380 triệu USD cho các doanh nghiệp Việt Nam.   "
2024-10-03,"PV Power ký hợp đồng tín dụng ""khủng"" cho Dự án điện Nhơn Trạch 3, 4","PV Power đã ký kết hợp đồng tín dụng trị giá 521,5 triệu USD cho dự án Nhà máy điện Nhơn Trạch 3&4 (tổng vốn đầu tư 1,4 tỷ USD), đây là khoản vay lớn nhất cho dự án này.  Khoản vay được tài trợ bởi Citi và ING, với sự bảo lãnh của KSURE và SERV.  Dự án Nhơn Trạch 3&4 là nhà máy điện khí LNG đầu tiên tại Việt Nam, góp phần vào mục tiêu chuyển đổi năng lượng của quốc gia.  PV Power nhấn mạnh cam kết phát triển năng lượng sạch và bền vững.   "
2024-03-12,"PV Power báo doanh thu sụt giảm 1/3 trong tháng 2, chốt xong giá điện cho nhà máy điện Nhơn Trạch 3 và 4","PV Power (POW) báo cáo doanh thu tháng 2/2024 giảm 43% so với cùng kỳ xuống 1.589 tỷ đồng (74% kế hoạch), do nhu cầu điện giảm trong dịp Tết Nguyên Đán và giá điện thị trường thấp.  Doanh thu bán điện đạt 1.560 tỷ đồng, sản lượng 912 triệu kWh.  Cà Mau 1&2 và Vũng Áng 1 đóng góp nhiều nhất vào doanh thu.  Nhơn Trạch 1 và 2 hạn chế vận hành do giá điện thấp.  Đakđrinh và Hủa Na cân đối vận hành để tối ưu lợi nhuận.  Tiến độ dự án Nhơn Trạch 3&4 đạt 80,2% và giá điện đã được thỏa thuận.  Mục tiêu doanh thu tháng 3 là 3.002 tỷ đồng.   "
