publish_date,title,summary
2024-07-19,"Tập đoàn Thái Lan đang sở hữu Sabeco muốn cầm về 20% cổ phần Vinamilk trong thương vụ trị giá 1,6 tỷ USD","Thai Beverage (ThaiBev), cổ đông lớn nhất của Sabeco, lên kế hoạch thoái vốn khỏi mảng bất động sản bằng cách hoán đổi cổ phần trị giá 1,6 tỷ USD với TCC Assets.  ThaiBev sẽ nhận cổ phần của Fraser and Neave (F&N) từ TCC Assets, nâng tỷ lệ sở hữu F&N lên gần 70%.  F&N hiện là cổ đông lớn nhất nước ngoài của Vinamilk (20,39% vốn), vì vậy thương vụ này cho thấy ThaiBev có thể muốn sở hữu 20% cổ phần Vinamilk gián tiếp thông qua F&N.  ThaiBev muốn tập trung vào mảng thực phẩm và đồ uống.   "
2024-09-09,"Sabeco sẽ ""vượt mặt"" Heineken tại Việt Nam nếu nắm quyền kiểm soát Sabibeco?","Sabeco dự kiến sẽ mua thêm cổ phần của Sabibeco, nâng tỷ lệ sở hữu lên 59,6% và trở thành công ty mẹ.  Sabibeco hiện gia công sản xuất bia cho Sabeco và chiếm 81% doanh thu của Sabibeco từ việc này.  Nếu Sabeco nắm quyền kiểm soát Sabibeco, tổng công suất sản xuất bia của Sabeco sẽ vượt Heineken, trở thành nhà sản xuất bia lớn nhất Việt Nam.  Sabeco đang tìm cách giành lại thị phần đã mất cho các hãng bia ngoại trong những năm gần đây bằng cách tập trung vào các sản phẩm giá bình dân.  "
2024-11-29,SABECO: Hành trình ghi dấu thành tích vàng với cam kết vì người lao động và cộng đồng,"SABECO được vinh danh trong Top 100 Nơi Làm Việc Tốt Nhất Việt Nam 2024, đạt Top 15 Ngành Hàng Tiêu Dùng và Top 40 Doanh Nghiệp Lớn.  Thành công này dựa trên chiến lược phát triển nhân sự tập trung vào người lao động, với nhiều chương trình đào tạo, phúc lợi và văn hóa doanh nghiệp tích cực.  SABECO cũng cam kết mạnh mẽ với ESG, giảm phát thải khí nhà kính và tăng sử dụng năng lượng tái tạo.  Công ty tích cực tham gia các hoạt động vì cộng đồng, hỗ trợ người lao động và địa phương.  SABECO khẳng định vị thế doanh nghiệp hàng đầu và đóng góp tích cực cho xã hội. "
2024-08-15,Sabeco được dự báo chiếm thêm thị phần khi thuế tiêu thụ đặc biệt có thể tăng từ năm 2026,"Vietcap dự báo tiêu thụ bia Việt Nam sẽ tăng trưởng 5%/năm từ 2023-2028, mặc dù việc thực thi nghiêm ngặt luật cấm lái xe sau khi uống rượu bia có thể làm chậm tăng trưởng trong trung hạn.  Việc tăng thuế tiêu thụ đặc biệt từ năm 2026 dự kiến sẽ ít ảnh hưởng đến tỷ suất lợi nhuận của Sabeco (SAB) vì công ty có thể chuyển chi phí tăng thêm cho người tiêu dùng.  Tuy nhiên, tăng trưởng sản lượng có thể giảm trong 2-3 năm đầu sau khi tăng thuế.  Sabeco được kỳ vọng sẽ giành lại thị phần từ các đối thủ cạnh tranh, đặc biệt là Heineken, do tăng thuế sẽ ảnh hưởng nhiều hơn đến các sản phẩm bia cao cấp.  Sabeco cũng được cho là sẽ hưởng lợi từ việc người tiêu dùng chuyển sang mua bia về nhà do luật cấm lái xe.  Vietcap dự báo Sabeco sẽ chia cổ tức 3.500 đồng/cổ phiếu trong 5 năm tới. "
2024-07-26,"Những nguyên nhân giúp Sabeco lãi hơn 1.200 tỷ trong quý 2/2024, cao nhất 7 quý","Sabeco báo cáo lợi nhuận sau thuế quý II/2024 đạt 1.248 tỷ đồng, cao nhất trong 7 quý và tăng 8% so với cùng kỳ năm trước, bất chấp doanh thu giảm 3%.  Sự tăng trưởng lợi nhuận là do giảm chi phí tài chính, bán hàng và quản lý doanh nghiệp, cũng như giảm chi phí quảng cáo và khuyến mãi (giảm 16%).  Doanh thu 6 tháng đầu năm tăng 5%, lợi nhuận tăng gần 6% so với cùng kỳ năm trước. Sabeco có lượng tiền mặt và tiền gửi lớn (23.362 tỷ đồng), thu được 533 tỷ đồng lãi tiền gửi trong 6 tháng đầu năm.   "
2024-06-25,"Vì sao các công ty bia của Sabeco, Habeco, Heineken đóng vai trò quan trọng 'hàng đầu' về nộp ngân sách tại các địa phương?","Ngành đồ uống, đặc biệt là ngành bia (Sabeco, Habeco, Heineken), đóng góp lớn vào ngân sách nhà nước nhờ mức thuế tiêu thụ đặc biệt cao (hiện tại 65% cho bia).  Bộ Tài chính đề xuất tăng thuế lên 100% vào năm 2030.  Các công ty bia đóng góp đáng kể vào ngân sách địa phương.  Sabeco nộp 25.588 tỷ đồng thuế năm 2023 (84% doanh thu), trong khi Habeco nộp 3.621 tỷ đồng (47% doanh thu).  Một số công ty con của Sabeco nộp thuế tiêu thụ đặc biệt gần bằng doanh thu.  Các công ty bia đóng góp hàng nghìn tỷ đồng thuế vào ngân sách địa phương.   "
2024-08-21,"Cổ phiếu bán lẻ, hàng tiêu dùng trong cuộc đua hút tiền: MWG, FRT, PNJ bứt phá mạnh, VNM, MSN, SAB mới bắt đầu nóng máy","Cổ phiếu bán lẻ (MWG, FRT) tăng mạnh trong khi cổ phiếu hàng tiêu dùng (VNM, MSN, SAB) bắt đầu tăng trưởng, thu hút dòng tiền đầu tư.  MWG và FRT tăng 60-70% từ đầu năm, PNJ tăng gần 30%.  VNM tăng 16% trong một tháng, MSN và SAB tăng hai con số kể từ tháng 8.  Sự tăng trưởng này được thúc đẩy bởi các biện pháp kích cầu của Chính phủ, sự phục hồi kinh tế, và kết quả kinh doanh khả quan của các doanh nghiệp (MWG, FRT, PNJ, MSN, VNM, SAB).  Ngành bán lẻ và hàng tiêu dùng được dự báo sẽ tiếp tục hồi phục trong nửa cuối năm 2024, với triển vọng tích cực về dài hạn, đặc biệt là các chuỗi bán lẻ hiện đại và ngành dược phẩm.  Thị trường cũng đang chờ đợi các thương vụ IPO lớn của các công ty bán lẻ.  "
2024-02-27,"Tia hy vọng le lói của ông trùm bia Sabeco, Heineken...: Một kênh bán hàng tăng trưởng hơn 150%, Gen Z cực ưa chuộng","Mặc dù doanh thu ngành bia giảm năm 2023 do Nghị định 100, giảm chi tiêu và tăng giá thuê mặt bằng, doanh thu trên các sàn thương mại điện tử lại tăng 12% trong 6 tháng cuối năm.  Shopee ghi nhận mức tăng trưởng 154% cho ngành bia.  Sự tăng trưởng này được cho là do:  1) các nhãn hàng bia đẩy mạnh quảng cáo và khuyến mãi trên sàn TMĐT (Sabeco là ví dụ điển hình); 2) các chương trình siêu sale của sàn TMĐT; và 3) sự ưa chuộng của Gen Z và Gen Y đối với mua sắm trực tuyến.  Gen Z ít trung thành với thương hiệu, và các sàn TMĐT cung cấp nhiều sự lựa chọn hơn so với các cửa hàng truyền thống.  Kênh thương mại điện tử hứa hẹn là một tia hy vọng cho các doanh nghiệp bia.  "
2024-09-19,SABECO đồng hành cùng TƯ Đoàn hỗ trợ các tỉnh phía Bắc khắc phục sau bão Yagi,"SABECO, phối hợp với Trung ương Đoàn, đã hỗ trợ hơn 4,2 tỷ đồng cho 6 tỉnh phía Bắc bị ảnh hưởng bởi bão Yagi, bao gồm hàng hóa thiết yếu và hỗ trợ tài chính cho lực lượng cứu trợ.  SABECO cũng ưu tiên đảm bảo an toàn cho nhân viên và duy trì hoạt động kinh doanh trong thời gian bão.  Công ty cam kết hỗ trợ cộng đồng và phát triển bền vững, thể hiện qua các hoạt động từ thiện trước đây và hợp tác với Trung ương Đoàn trong các dự án cộng đồng.  SABECO nhấn mạnh triết lý ""Vì một Việt Nam cùng lên"". "
2024-04-22,"Sau một năm 'liêu xiêu' vì cú đấm nồng độ cồn, Sabeco lạc quan: 2024 mang đến các cơ hội vàng cho ngành bia Việt Nam","Sabeco nhận định ngành bia Việt Nam năm 2024 vẫn đối mặt với nhiều thách thức: Nghị định 100, giảm chi tiêu của người tiêu dùng, chi phí sản xuất cao, và khả năng tăng thuế tiêu thụ đặc biệt.  Tuy nhiên, Sabeco lạc quan về các cơ hội:  1) cơ cấu dân số vàng và thu nhập tăng; 2) tiềm năng của bia không cồn; và 3) tiềm năng xuất khẩu.  Doanh thu và lợi nhuận năm 2023 của Sabeco giảm so với năm trước.  Kế hoạch năm 2024 của Sabeco đặt mục tiêu tăng doanh thu và lợi nhuận.   "
2024-05-29,"Tăng 'bốc đầu', giá trị vốn hóa của chủ thương hiệu CHIN-SU, Omachi lên hơn 5 tỷ USD, vượt cả MB, Thế Giới Di Động, ACB, Sabeco...","Cổ phiếu MCH của Masan Consumer đạt mức giá cao nhất lịch sử (185.100 đồng/cp), tăng 112% từ đầu năm, đẩy vốn hóa lên 5,2 tỷ USD, vượt qua nhiều doanh nghiệp lớn như MB, ACB, và Thế Giới Di Động.  Sự tăng trưởng này được thúc đẩy bởi kết quả kinh doanh tốt năm 2023 (lợi nhuận kỷ lục 7.195 tỷ đồng, biên lợi nhuận gộp gần 50%), kết quả kinh doanh quý I/2024 khả quan, và kế hoạch huy động vốn và IPO.  Masan Consumer sở hữu các thương hiệu nổi tiếng như CHIN-SU, Omachi, và đang trả cổ tức 100% (10.000 đồng/cổ phiếu).  Tăng trưởng lợi nhuận của Masan Consumer vượt trội so với các công ty cùng ngành trong khu vực.   "
2024-02-19,"Sabeco rơi vào chuỗi ngày buồn thảm, tài sản của tỷ phú Thái Lan đứng sau hiện ra sao?","Sabeco báo cáo lợi nhuận quý IV/2023 giảm 9% so với cùng kỳ, mức thấp nhất trong 2 năm, và doanh thu cả năm 2023 giảm 13%, lợi nhuận giảm 23%.  Sự giảm sút này được cho là do giảm tiêu thụ bia của Gen Z, các quy định về hạn chế uống rượu bia, và thay đổi hành vi người tiêu dùng.  Ông Charoen Sirivadhanabhakdi, tỷ phú sở hữu Thai Beverage (cổ đông lớn của Sabeco), có tổng tài sản 10,6 tỷ USD (giảm so với mức cao nhất 20,1 tỷ USD năm 2018).  ThaiBev đầu tư vào Sabeco với tầm nhìn dài hạn, và kết quả kinh doanh ngắn hạn của Sabeco không ảnh hưởng lớn đến tài sản của ông Charoen.   "
2024-05-29,"Từng lãi 10-12 nghìn tỷ mỗi năm tại Việt Nam, lợi nhuận 2023 của Heineken có thể đã sụt giảm gần một nửa nhưng vẫn lãi vượt xa Sabeco, Habeco","Lợi nhuận của Heineken tại Việt Nam năm 2023 ước tính giảm gần một nửa so với năm trước, do khó khăn kinh tế và chính sách siết chặt nồng độ cồn, nhưng vẫn cao hơn nhiều so với Sabeco và Habeco.  Lợi nhuận của Heineken tại Việt Nam được phản ánh qua kết quả kinh doanh của Satra (sở hữu 40% vốn của Heineken tại Việt Nam), giảm mạnh xuống 2.700 tỷ đồng.  Sản lượng bia toàn cầu của Heineken giảm 4,7%, chủ yếu do thị trường Việt Nam và Nigeria.  Tổng tài sản của Satra giảm, nhưng công ty vẫn nắm giữ lượng lớn tiền mặt và tiền gửi.  Sabeco và Habeco đang mất dần thị phần so với Heineken.   "
2024-06-12,"Vượt qua cú đấm 'thổi nồng độ cồn', lợi nhuận của Sabeco được dự báo tăng trưởng hai chữ số nhờ Euro 2024, Thế vận hội Mùa hè 2024","SSI Research dự báo lợi nhuận quý II/2024 của Sabeco (SAB) tăng trưởng hai chữ số so với cùng kỳ, nhờ mức nền thấp năm ngoái và tác động tích cực từ Euro 2024 và Thế vận hội Mùa hè.  Doanh thu và lợi nhuận cả năm được dự báo tăng lần lượt lên 32.200 tỷ đồng và 4.600 tỷ đồng.  Tuy nhiên, Mirae Asset cho rằng còn quá sớm để kết luận Sabeco đã vượt qua giai đoạn khó khăn, do doanh thu vẫn thấp hơn so với quý IV/2022-I/2023.  Sabeco ghi nhận tăng trưởng doanh thu và lợi nhuận trong quý I/2024.  Mặc dù có triển vọng tích cực, Sabeco vẫn phải mất thời gian để đạt doanh thu trước thời kỳ Covid-19.  Kế hoạch năm 2024 của Sabeco đặt mục tiêu tăng doanh thu và lợi nhuận. "
2024-10-25,Sabeco sắp gom thêm hơn 2 triệu cổ phiếu WSB,"Sabeco dự kiến mua hơn 2 triệu cổ phiếu WSB của Bia Sài Gòn - Miền Tây (tương đương 13,91% vốn) từ ngày 28/10 đến 25/11/2024, nâng tỷ lệ sở hữu từ 70,55% lên 84,46%.  Đại hội cổ đông bất thường của Bia Sài Gòn - Miền Tây đã chấp thuận cho Sabeco nhận chuyển nhượng cổ phiếu từ 7 cá nhân và tổ chức.  Bia Sài Gòn - Miền Tây được thành lập từ việc hợp nhất hai công ty bia tại Cần Thơ và Sóc Trăng.   "
2024-07-25,"Kết quả kinh doanh quý 2/2024 ngày 25/7: Lợi nhuận của Sabeco lên cao nhất 7 quý, The PAN Group báo lãi tăng trưởng mạnh","The Pan Group (PAN) báo cáo doanh thu tăng 22% và lợi nhuận trước thuế tăng 37% trong quý II/2024.  Sabeco (SAB) đạt lợi nhuận trước thuế cao nhất 7 quý gần đây (tăng 7%), nhờ tiết giảm chi phí, bất chấp doanh thu giảm.  Mía Đường Sơn La (SLS) báo cáo lợi nhuận tăng 7% và EPS cao nhất thị trường.  Đường Kon Tum (KTS) giảm lợi nhuận 15%.  Vinasun (VNS) giảm lợi nhuận 58%.  FPT Online (FOC) tăng lợi nhuận 8%.  SeABank tăng lợi nhuận 61% trong 6 tháng đầu năm.  Đạm Hà Bắc (DHB) báo lỗ quý II.  Nosco (NOS) báo lỗ tăng.  Vinaseed (NSC) tăng lợi nhuận 6% trong 6 tháng đầu năm.   "
2024-05-21,"""Ngấm đòn"" thổi nồng độ cồn, Sabeco vẫn có thể tăng đột biến trong quý 2 nhờ nhân tố nhiều năm mới xuất hiện một lần","Mặc dù chịu ảnh hưởng tiêu cực từ Nghị định 100 và thói quen tiêu dùng thay đổi, Sabeco ghi nhận tăng trưởng doanh thu và lợi nhuận trong quý I/2024.  SSI Research dự báo lợi nhuận quý II/2024 tăng trưởng hai chữ số so với cùng kỳ, nhờ mức nền thấp năm trước và các sự kiện thể thao lớn (Euro 2024 và Thế vận hội).  Doanh thu và lợi nhuận năm 2024 được dự báo tăng 5,8% và 9% lên 32.200 tỷ đồng và 4.600 tỷ đồng.  Tuy nhiên, SSI Research vẫn thận trọng về năm 2024 do Nghị định 100, thói quen tiêu dùng và khả năng tăng thuế.  Dự báo năm 2025 lạc quan hơn, với tăng trưởng doanh thu và lợi nhuận lần lượt là 3% và 7%.   "
