publish_date,title,summary
2024-03-26,SHB tăng lãi suất tiết kiệm,"SHB tăng lãi suất tiền gửi một số kỳ hạn, cụ thể: kỳ hạn 1 tháng tăng 0,2% lên 2,8%/năm; 2 tháng tăng 0,1% lên 2,8%/năm; 12 tháng tăng 0,1% lên 4,9%/năm; 13-15 tháng tăng 0,2% lên 5%/năm; và 18 tháng tăng 0,1% lên 5,2%/năm.  Lãi suất các kỳ hạn khác giữ nguyên.  Lãi suất cao nhất (5,7%/năm) áp dụng cho kỳ hạn 36 tháng trở lên, với số tiền gửi từ 2 tỷ đồng trở lên.  Đầu tháng 3, nhiều ngân hàng khác đã giảm lãi suất huy động, trong khi SHB, Saigonbank và Eximbank tăng lãi suất một số kỳ hạn. "
2024-01-22,SHB 5 năm liên tiếp được vinh danh “Top 50 doanh nghiệp xuất sắc nhất Việt Nam”,"SHB được vinh danh trong Top 50 doanh nghiệp xuất sắc nhất Việt Nam năm 2023, nhờ lợi nhuận trước thuế cao, tổng tài sản lớn, và các chỉ số an toàn tốt.  SHB tuân thủ các chuẩn mực Basel II và Basel III,  tăng vốn điều lệ bằng cách phát hành cổ phiếu chia cổ tức.  SHB tích cực hỗ trợ phát triển kinh tế xã hội, đặc biệt là tín dụng xanh,  và đã triển khai nhiều chương trình tín dụng ưu đãi.  SHB cũng tham gia kết nối ngân hàng-doanh nghiệp và thực hiện trách nhiệm xã hội.  SHB nằm trong top các ngân hàng tư nhân lớn và uy tín nhất Việt Nam.  "
2024-04-16,Chi tiêu hoàn tiền lên tới 3 triệu đồng cùng thẻ tín dụng quốc tế SHB,"SHB triển khai chương trình hoàn tiền lên đến 3 triệu đồng cho chủ thẻ tín dụng quốc tế, tùy thuộc vào loại thẻ và doanh số chi tiêu.  Khách hàng mở mới thẻ SHB Visa Platinum/Platinum Star sẽ được hoàn tiền từ 500.000 đến 1.000.000 đồng, và thêm 5% (tối đa 600.000 đồng) khi chi tiêu tại nhà hàng vào cuối tuần.  Chủ thẻ SHB Mastercard Cashback/SHB-FCB Mastercard sẽ được hoàn tiền từ 300.000 đến 500.000 đồng.  SHB cũng có chương trình hoàn tiền cho khách hàng có doanh số trả góp cao và ưu đãi lãi suất 0% cho trả góp.  Thẻ tín dụng quốc tế SHB có nhiều tiện ích khác như phòng chờ sân bay, bảo hiểm du lịch và công nghệ bảo mật tiên tiến.   "
2024-05-28,SHB chiến thắng 03 giải thưởng quan trọng tại FinanceAsia Awards 2024,"SHB giành 3 giải thưởng FinanceAsia Awards 2024: ""Ngân hàng có tác động ESG tích cực nhất Việt Nam"", ""Ngân hàng SME tốt nhất Việt Nam"", và ""Ngân hàng có môi trường làm việc DEI nhất Việt Nam"".  SHB đang thực hiện chiến lược chuyển đổi toàn diện dựa trên 4 trụ cột: cải cách, con người, khách hàng, và công nghệ.  SHB cam kết phát triển bền vững, hỗ trợ tín dụng xanh, và đầu tư vào các dự án năng lượng tái tạo.  SHB tích cực hỗ trợ doanh nghiệp SME, đặc biệt là doanh nghiệp do phụ nữ làm chủ, và hợp tác với các tổ chức quốc tế.  SHB cũng chú trọng vào phát triển văn hóa doanh nghiệp đa dạng, công bằng và hòa nhập, với tỷ lệ nữ giới cao trong lực lượng lao động và ban lãnh đạo.  "
2024-04-28,"Chủ tịch SHB Đỗ Quang Hiển: Có thể khởi công xây trụ sở trong năm nay trên khu đất kim cương giữa Hà Nội, 3 mặt tiền, quy mô hơn 2000m2","Chủ tịch SHB, Đỗ Quang Hiển, cho biết ngân hàng sẽ khởi công xây dựng trụ sở mới trên khu đất 2.200m2, 3 mặt tiền tại trung tâm Hà Nội trong năm 2024.  Ông cũng nhấn mạnh những thành tích của SHB năm 2023, bao gồm việc nhận Huân chương Lao động hạng Ba và cổ phiếu lọt vào rổ VN30, cũng như nhiều giải thưởng quốc tế.  Ông Hiển cho biết SHB khác biệt với các ngân hàng khác nhờ chiến lược kinh doanh linh hoạt, đa dạng sản phẩm, và tập trung vào các doanh nghiệp có hệ sinh thái xanh.   "
2024-01-30,"SHB kiểm soát chi phí tốt nhất hệ thống với CIR năm 2023 chỉ 23%, lợi nhuận hơn 9.200 tỷ đồng","SHB đạt lợi nhuận trước thuế 9.245 tỷ đồng năm 2023, với doanh thu tăng 20%.  Chỉ số CIR chỉ 23%, tốt nhất hệ thống.  Tỷ lệ dự phòng rủi ro đạt 75%.  Tổng tài sản đạt 630 nghìn tỷ đồng.  Dư nợ tín dụng tăng 17,1%, tập trung vào các lĩnh vực ưu tiên.  SHB triển khai nhiều chương trình tín dụng ưu đãi, giảm lãi suất cho khách hàng, và hỗ trợ phi tài chính.  SHB tuân thủ các chuẩn mực Basel II và III.  SHB mở rộng mạng lưới chi nhánh và phòng giao dịch.  SHB chuyển nhượng 50% vốn SHBFinance và ký hợp đồng tín dụng với IFC.   "
2024-02-19,"Lãi suất ngân hàng SHB mới nhất tháng 2/2024: Mức cao nhất là 5,8%/năm","Lãi suất tiền gửi tại quầy SHB tháng 2/2024 dao động từ 2,8% đến 5,7%/năm (lĩnh lãi cuối kỳ), tùy thuộc vào kỳ hạn và số tiền gửi (dưới 2 tỷ hoặc từ 2 tỷ trở lên).  Lãi suất gửi online cao hơn 0,1-0,4 điểm phần trăm, với mức cao nhất 5,8%/năm (kỳ hạn 36 tháng trở lên).  SHB cũng cung cấp nhiều hình thức trả lãi linh hoạt và các gói huy động riêng.  "
2024-04-13,"Vừa chi gần trăm tỷ mua SHS, ông Đỗ Quang Vinh dự kiến chi tiếp 1.100 tỷ mua cổ phiếu SHB","Ông Đỗ Quang Vinh, Phó Chủ tịch SHB và con trai của Chủ tịch Đỗ Quang Hiển, dự kiến mua thêm 100,2 triệu cổ phiếu SHB (khoảng 1.100 tỷ đồng), trong khi chị gái ông Hiển đăng ký bán ra lượng cổ phiếu tương tự.  Ông Vinh gần đây cũng đã mua 5 triệu cổ phiếu SHS. "
2024-04-25,"Đại hội cổ đông SHB: Tặng quà cho cổ đông dự họp, trước giờ khai mạc có gần 1.400 người tới","Đại hội cổ đông thường niên 2024 của SHB có hơn 1.300 cổ đông tham dự (67% cổ phần có quyền biểu quyết), nhiều hơn số đăng ký.  SHB tặng mỗi cổ đông 200.000 đồng.  Kế hoạch chia cổ tức 16% (5.859 tỷ đồng): 5% bằng tiền mặt, 11% bằng cổ phiếu.  Vốn điều lệ dự kiến tăng lên gần 40.658 tỷ đồng sau khi chia cổ tức bằng cổ phiếu.  Vốn tăng thêm sẽ được dùng chủ yếu cho vay doanh nghiệp. "
2024-05-28,"Techcombank, SHB và nhiều ngân hàng vừa tăng mạnh lãi suất tiết kiệm","Techcombank tăng lãi suất huy động các kỳ hạn dưới 12 tháng.  SHB tăng lãi suất tất cả các kỳ hạn.  ABBank tăng mạnh lãi suất kỳ hạn 12 tháng (lần điều chỉnh thứ 4 tháng 5).  Bac A Bank tăng lãi suất một số kỳ hạn (lần thứ hai tháng 5).  BVBank tăng lãi suất nhiều kỳ hạn (lần thứ hai tháng 5).  PGBank tăng lãi suất (lần thứ hai tháng 5). Nhiều ngân hàng khác cũng tăng lãi suất huy động trong tháng 5, chủ yếu là ngân hàng tư nhân.  Ngân hàng nhà nước vẫn duy trì lãi suất thấp.  Việc tăng lãi suất nhằm thu hút tiền gửi do giảm tiền gửi và tăng trưởng tín dụng. "
