publish_date,title,summary
2024-08-21,SeABank kết nối giá trị bền vững cùng doanh nghiệp với đặc quyền tài chính vượt trội,"Bài báo giới thiệu các giải pháp tài chính toàn diện của SeABank dành cho doanh nghiệp, tập trung vào việc hỗ trợ doanh nghiệp tiếp cận nguồn vốn và tối ưu hóa quản lý tài chính.  Các điểm nổi bật bao gồm:  * **Ưu đãi lãi suất và giải pháp vay vốn:** SeABank cung cấp nhiều gói vay với hạn mức lớn, lãi suất ưu đãi (từ 4.5%/năm đến 8.5%/năm tùy sản phẩm), thủ tục đơn giản, bao gồm cả các sản phẩm tài trợ ngành hàng cụ thể (Honda, FMCG).  Hạn mức tín chấp lên đến 5 tỷ đồng.  * **Ngân hàng điện tử hiện đại:** SeAMobile Biz/SeANet cung cấp trải nghiệm số hóa toàn diện, cho phép doanh nghiệp quản lý tài khoản, chuyển tiền, tra cứu thông tin nhanh chóng, đã đạt giải thưởng Sao Khuê 2024.  * **Thẻ tín dụng doanh nghiệp:** SeAMileage và Visa Corporate với hạn mức lên đến 5 tỷ đồng, thời gian miễn lãi tối đa 55 ngày, tích điểm thưởng và nhiều ưu đãi khác (miễn phí thường niên, hoàn tiền, ưu đãi từ Vietnam Airlines và BRG).  * **Hỗ trợ xuất nhập khẩu:** SeABank cung cấp giải pháp trọn gói về bảo lãnh, thư tín dụng L/C và tài trợ xuất nhập khẩu.  * **Chăm sóc khách hàng đặc biệt:** Chương trình SeALoyalty và Câu lạc bộ Nữ chủ SeAPower mang đến những đặc quyền tài chính và phi tài chính cho khách hàng doanh nghiệp thân thiết, bao gồm ưu đãi vay vốn, khóa đào tạo, kết nối doanh nghiệp, v.v.  Tóm lại, SeABank cam kết đồng hành cùng doanh nghiệp Việt Nam trong hành trình phát triển bền vững bằng các giải pháp tài chính toàn diện, ưu việt và đặc quyền hấp dẫn. "
2024-07-01,AIIB đầu tư 75 triệu USD vào trái phiếu xanh do SeABank phát hành,"Ngân hàng Đầu tư Cơ sở hạ tầng châu Á (AIIB) đã đầu tư 75 triệu USD vào trái phiếu xanh (gồm cả trái phiếu xanh lam và xanh lá) do SeABank phát hành.  Đây là trái phiếu xanh lam đầu tiên và trái phiếu xanh lá đầu tiên được phát hành bởi một ngân hàng thương mại tư nhân tại Việt Nam.  Khoản đầu tư này, được thực hiện thông qua sự hợp tác với Tổ chức Tài chính Quốc tế (IFC) và có sự hỗ trợ của chính phủ Úc, sẽ giúp SeABank mở rộng tài trợ cho các dự án kinh tế bền vững liên quan đến biển, nước, năng lượng tái tạo và tòa nhà xanh.  Tổng số vốn mà AIIB và IFC cam kết đầu tư cho dự án này là 225 triệu USD (75 triệu USD từ AIIB và 150 triệu USD từ IFC). IFC cũng sẽ hỗ trợ SeABank trong việc xây dựng khung pháp lý và danh mục đầu tư cho trái phiếu xanh.  Việc này phù hợp với kế hoạch đóng góp do quốc gia tự quyết định (NDC) của Việt Nam về giảm thiểu và thích ứng với biến đổi khí hậu. "
2024-06-04,Câu chuyện phát triển bền vững tại SeABank,"Bài báo trình bày câu chuyện phát triển bền vững của SeABank, tập trung vào ba trụ cột chính: quản trị doanh nghiệp, ngân hàng xanh và trách nhiệm xã hội.  **Quản trị doanh nghiệp:** SeABank không ngừng nâng cao hiệu quả quản trị, áp dụng các tiêu chuẩn quốc tế như Basel II, III và IFRS,  được Moody's đánh giá cao về mức độ an toàn vốn và triển vọng phát triển ổn định.  Ngân hàng chú trọng đầu tư vào nguồn nhân lực, tạo môi trường làm việc chuyên nghiệp và có chính sách đãi ngộ cạnh tranh.  **Ngân hàng xanh:** SeABank tập trung phát triển sản phẩm và dịch vụ tài chính xanh, như ngân hàng điện tử để giảm thiểu tác động môi trường.  Ngân hàng ưu tiên tài trợ cho các dự án xanh, thân thiện môi trường, đặc biệt là các dự án năng lượng hiệu quả và giảm thiểu phát thải.  SeABank đã nhận được gần 600 triệu USD đầu tư từ các tổ chức tài chính quốc tế như IFC và DFC để hỗ trợ phát triển mảng này.  **Trách nhiệm xã hội:** SeABank tích cực tham gia các hoạt động thiện nguyện, hỗ trợ cộng đồng thông qua các chương trình như ""Xuân Yêu Thương"", ""SeABanker vì trẻ thơ"",  cung cấp học bổng, xây nhà tình nghĩa, hỗ trợ chống dịch Covid-19... Ngân hàng cũng tham gia tích cực vào chương trình trồng cây xanh của Chính phủ.  Tóm lại, SeABank cam kết phát triển bền vững bằng việc kết hợp hiệu quả quản trị, hoạt động kinh doanh xanh và trách nhiệm xã hội, đóng góp tích cực cho sự phát triển kinh tế - xã hội và môi trường của đất nước.  Những nỗ lực này đã được các tổ chức quốc tế đánh giá cao và tạo tiền đề cho sự phát triển bền vững của ngân hàng trong tương lai. "
2024-03-18,Những đặc quyền chỉ có khi là khách VIP của SeABank,"Bài báo giới thiệu chương trình khách hàng ưu tiên SeAPremium của SeABank,  được thiết kế dành riêng cho khách hàng có giá trị tài sản cao.  Chương trình này cung cấp gần 600 đặc quyền, nổi bật là 7 ưu đãi chính:  * **Đặc quyền chơi Golf:** Miễn phí chơi golf tại các sân golf hàng đầu. * **Đặc quyền ẩm thực:** Bữa ăn cao cấp tại các nhà hàng sang trọng. * **Đặc quyền trà chiều:** Trà chiều cao cấp tại khách sạn 5 sao. * **Đặc quyền nghỉ dưỡng:** Nghỉ dưỡng miễn phí tại khách sạn/khu nghỉ dưỡng cao cấp. * **Đặc quyền Spa/Salon:** Liệu trình Spa/làm tóc cao cấp. * **Dịch vụ đón tiễn sân bay:** Dịch vụ đón tiễn tại sân bay Nội Bài và Tân Sơn Nhất. * **Dịch vụ phòng chờ sân bay:** Sử dụng phòng chờ sân bay trong và ngoài nước.  Ngoài ra, SeAPremium còn bao gồm dịch vụ thuê két an toàn tại tòa nhà hạng sang, bảo mật theo tiêu chuẩn châu Âu.  Chương trình hướng đến việc mang lại trải nghiệm ngân hàng đẳng cấp và cá nhân hóa cho khách hàng VIP,  nhằm đáp ứng nhu cầu ngày càng tăng của nhóm khách hàng giàu có tại Việt Nam.  Bài báo nhấn mạnh sự hài lòng của khách hàng với các dịch vụ này. "
2024-05-29,SeABank và Visa hợp tác chiến lược phát triển thanh toán số,"SeABank và Visa đã ký kết hợp tác chiến lược để thúc đẩy phát triển thanh toán số tại Việt Nam.  Visa sẽ hỗ trợ SeABank trong 5 lĩnh vực chính: cải thiện trải nghiệm khách hàng trên nền tảng số, cải tiến sản phẩm thẻ, tối ưu hóa hệ sinh thái dịch vụ thẻ số, nâng cao hiệu quả truyền thông và tăng cường quản trị rủi ro.  Hợp tác này dựa trên thành công trước đây của hai bên, trong đó SeABank đã phát hành nhiều dòng thẻ đa dạng (Signature, SeATravel, SeALady, SeAEasy, SeAGolf, BRG Elite) và ghi nhận tăng trưởng doanh số giao dịch thẻ ấn tượng (trung bình 125%/năm).  Việc hợp tác nhằm tận dụng xu hướng chuyển đổi nhanh chóng từ tiền mặt sang thanh toán số tại Việt Nam (56% người tiêu dùng mang ít tiền mặt hơn năm 2022),  để cải thiện hệ thống sản phẩm dịch vụ thẻ của SeABank, hướng tới sự đa dạng, an toàn, thân thiện người dùng và góp phần vào chuyển đổi số quốc gia. "
2024-04-25,"SeABank kết nối hưng thịnh, tri ân khách hàng doanh nghiệp nhân dịp 30 năm","Nhân kỷ niệm 30 năm thành lập (1994-2024), SeABank triển khai chương trình ""SeABank 30 năm Kết nối vươn tầm, Khởi dựng hưng thịnh"" để tri ân khách hàng doanh nghiệp. Chương trình kéo dài đến 30/6/2024, cung cấp nhiều ưu đãi hấp dẫn trên các sản phẩm dịch vụ như:  * **Chuyển tiền quốc tế (CTQT), Nhờ thu, L/C:** Giảm 30% phí giao dịch vào thứ 3 hàng tuần, miễn phí báo có và giao dịch đầu tiên cho khách hàng mới, tặng e-Voucher (từ 1-3 triệu đồng). * **Ngân hàng điện tử (SeANet/SeAMobile Biz):** Tặng e-Voucher 1 triệu đồng cho 243 khách hàng đầu tiên mở mới và phát sinh giao dịch. * **Thẻ tín dụng (SeAMileage/Visa Corporate):** Hoàn tiền 2.43% (tối đa 300.000 đồng). * **Gửi tiền online/tại quầy:** Tham gia quay số trúng thưởng vàng AJC (giải nhất: 1 lượng vàng).  Khách hàng tích lũy mã dự thưởng qua các giao dịch để tham gia quay số.  Chương trình nhằm khẳng định vị thế của SeABank và tri ân khách hàng doanh nghiệp đã đồng hành trong suốt 30 năm qua. "
2024-07-18,"Công ty chứng khoán trong tầm ngắm của SeABank báo lãi quý 2 tăng 6.400%, ""ôm"" 3 mã cổ phiếu tạm lãi bằng lần","Công ty Chứng khoán Asean (Aseansc) báo lãi trước thuế quý 2/2024 tăng vọt 6.400% so với cùng kỳ năm trước, đạt gần 55 tỷ đồng, chủ yếu nhờ lợi nhuận từ đầu tư tài chính (FVTPL).  Mặc dù doanh thu môi giới giảm, nhưng lợi nhuận từ FVTPL bù đắp đáng kể, đạt gần 60 tỷ đồng so với lỗ 22 tỷ đồng cùng kỳ.  Aseansc đang nắm giữ một số cổ phiếu, đáng chú ý là 7 triệu cổ phiếu SGP của Cảng Sài Gòn, mang lại lợi nhuận khổng lồ (tạm lãi 413%).  Tổng tài sản giảm do tài sản FVTPL giảm, nhưng khoản đầu tư nắm giữ đến ngày đáo hạn lại tăng. SeABank dự kiến mua lại Aseansc, nhằm mở rộng hoạt động kinh doanh, đa dạng hóa sản phẩm dịch vụ, bán chéo sản phẩm và kênh phân phối, tối ưu hóa vốn góp, đặc biệt hướng đến khách hàng cá nhân.  Mục tiêu là đa dạng hóa doanh thu và hoạt động đầu tư. "
2024-02-22,Lãi suất ngân hàng Đông Nam Á (SeABank) mới nhất tháng 2/2024: Mức cao nhất là bao nhiêu?,"Lãi suất tiền gửi tại SeABank tháng 2/2024:  * **Khách hàng cá nhân:** Lãi suất gửi tiết kiệm thông thường dao động từ 0.5%/năm (kỳ hạn 7-21 ngày) đến 4.8%/năm (kỳ hạn 15-36 tháng).  Lãi suất cao nhất dành cho sản phẩm ""Tiết kiệm bậc thang"" là 5.6%/năm (tối thiểu 10 tỷ đồng, kỳ hạn từ 15 tháng).  * **Khách hàng doanh nghiệp:** Lãi suất gửi tiết kiệm thông thường dao động từ 0.5%/năm (kỳ hạn 7-21 ngày) đến 4.4%/năm (kỳ hạn 24-60 tháng).  SeABank cũng cung cấp các hình thức nhận lãi khác (định kỳ, đầu kỳ, rút gốc linh hoạt) với lãi suất khác nhau.   "
2024-02-05,"SeABank lãi trước thuế hơn 4.600 tỷ đồng trong năm 2023, CASA tăng trưởng tốt","Năm 2023, SeABank đạt lợi nhuận trước thuế hơn 4.616 tỷ đồng, hoàn thành kế hoạch kinh doanh.  Tổng tài sản tăng 15% lên 266.107 tỷ đồng, vốn điều lệ tăng 22,32%.  SeABank ghi nhận tăng trưởng mạnh về số lượng khách hàng (trên 3 triệu), giao dịch số (tăng 157%), và huy động vốn (tăng gần 125,4%, tỷ lệ CASA đạt 11,5%).  Dư nợ cho vay tăng hơn 116%, đạt gần 180.000 tỷ đồng.  Ngân hàng đã giảm lãi suất và phí cho khách hàng, hỗ trợ doanh nghiệp và cá nhân vượt qua khó khăn kinh tế.  Mặc dù có nhiều thách thức, SeABank vẫn kiểm soát được tỷ lệ nợ xấu dưới 2% và duy trì tỷ lệ dự trữ thanh khoản cao.  Moody's tiếp tục xếp hạng tín nhiệm SeABank ở mức Ba3 với triển vọng ổn định. "
2024-07-23,"SeABank đạt lợi nhuận hơn 3.238 tỷ đồng trong 6 tháng đầu năm, CASA tăng mạnh","SeABank báo cáo lợi nhuận trước thuế 6 tháng đầu năm 2024 đạt hơn 3.238 tỷ đồng, tăng gần 61% so với cùng kỳ năm trước.  Tổng thu nhập hoạt động (TOI) tăng 43%, đạt 6.011 tỷ đồng, trong đó thu nhập ngoài lãi (NOII) tăng 39%, chiếm 21,1% tổng thu nhập.  Chỉ số ROE đạt 16,38% và ROA đạt 1,88%.  Huy động vốn tăng ròng 16.139 tỷ đồng, đặc biệt CASA tăng mạnh 59% lên 20.038 tỷ đồng, chiếm 13,4% tổng huy động.  Dư nợ cho vay đạt 185.959 tỷ đồng, tín dụng xanh tăng 40%. Tỷ lệ nợ xấu được kiểm soát ở mức 1,91%. Tổng tài sản đạt 280.658 tỷ đồng. SeABank đang triển khai kế hoạch tăng vốn điều lệ lên 28.350 tỷ đồng bằng cách phát hành cổ phiếu trả cổ tức và tăng vốn.  Ngân hàng cũng đã huy động được 255 triệu USD từ các tổ chức tài chính quốc tế. "
