publish_date,title,summary
2024-07-05,"SSI Research dự báo lợi nhuận của 11 nhà băng: VPBank có thể tăng trưởng đến 60%, OCB và VIB đi lùi","SSI Research dự báo lợi nhuận quý II/2024 của 11 ngân hàng:  * **Tăng trưởng mạnh:** VPBank (60%, đạt 4.200 tỷ đồng do FE Credit hòa vốn), Techcombank (31%, đạt 7.000 tỷ đồng), HDBank (28-31%, đạt 3.500-3.600 tỷ đồng). * **Tăng trưởng vừa phải:** Vietcombank (8-10%, đạt 10.000-10.300 tỷ đồng), BIDV (12%, đạt 7.800 tỷ đồng), VietinBank (15%, đạt 7.500 tỷ đồng). * **Giảm lợi nhuận:** VIB (giảm 25-28%, đạt 2.100-2.200 tỷ đồng do giảm lãi suất), OCB (giảm 5-14%, đạt 1.350-1.500 tỷ đồng do chi phí dự phòng tăng).   "
2024-08-15,SSI Research dự báo Bách Hoá Xanh có thể lãi 228 tỷ trong năm 2024,"SSI Research dự báo Bách Hóa Xanh sẽ lãi 228 tỷ đồng trong năm 2024, đạt 40.000 tỷ đồng doanh thu (tăng lên 45.000 tỷ đồng năm 2025).  Doanh thu/tháng/cửa hàng đạt 2 tỷ đồng trong quý II/2024 nhờ cơ cấu sản phẩm tốt hơn và thu hút khách từ chợ truyền thống.  SSI Research cho rằng Bách Hóa Xanh sẽ tối ưu hóa chi phí và mở rộng mạng lưới cửa hàng để tăng trưởng dài hạn, dự kiến vượt số lượng cửa hàng điện máy trong trung hạn.  FPTS cũng đánh giá cao sự đa dạng sản phẩm của Bách Hóa Xanh so với đối thủ.  Ngược lại, chuỗi nhà thuốc An Khang dự kiến tiếp tục lỗ trong 2 năm tới (339 tỷ và 243 tỷ đồng), do đó MWG đang đóng cửa nhiều nhà thuốc.  Việc đóng cửa nhà thuốc được cho là không ảnh hưởng đáng kể đến lợi nhuận ròng tổng thể của MWG. "
2024-04-18,"Cập nhật số liệu CTCK ngày 18/4: Thêm SSI, FPTS, Vietinbank Securities,... ồ ạt công bố KQKD quý 1, một công ty tăng lãi hơn 800%","Tính đến ngày 18/4/2024, 34 công ty chứng khoán đã công bố báo cáo kết quả kinh doanh quý I/2024.  Một số điểm nổi bật:  * **SSI:** Doanh thu 1.945 tỷ đồng (+33%), lợi nhuận trước thuế (LNTT) 900 tỷ đồng (+53%). * **FPTS:** Doanh thu 299 tỷ đồng (+68%), LNTT 191 tỷ đồng (+93%). * **Vietinbank Securities (CTS):** Doanh thu 324 tỷ đồng (+63%), LNTT 124 tỷ đồng (+822%). * **Bảo Việt Securities (BVSC):** Doanh thu 236 tỷ đồng (+71%), LNTT 67 tỷ đồng (gấp đôi cùng kỳ). * **Lỗ:** Chứng khoán Vina và Stanley Brothers đều báo lỗ trong quý I/2024.  Vietinbank Securities có mức tăng trưởng lợi nhuận ấn tượng nhất (+822%).  Nhiều công ty chứng khoán khác cũng ghi nhận tăng trưởng doanh thu và lợi nhuận so với cùng kỳ năm trước. "
2024-10-10,Trong dự báo lợi nhuận quý III của SSI có một doanh nghiệp VN30 tăng 1250%,"SSI Research dự báo lợi nhuận quý III/2024 của Masan Group sẽ cao hơn quý II, nhờ WinCommerce có thể lãi lần đầu tiên, Masan Consumer tăng trưởng và các mảng kinh doanh khác tích cực.  Masan dự kiến nhận 70-80 triệu USD từ việc bán HCS cho MMC trong quý IV/2024.  Trong 17 năm, Masan đã huy động được khoảng 5 tỷ USD. J.P. Morgan đánh giá tích cực triển vọng kinh tế Việt Nam và khuyến nghị đầu tư vào cổ phiếu MSN (Masan Group), đặc biệt nhấn mạnh tiềm năng của ngành tiêu dùng thiết yếu.  Masan Group cho biết, trong 4 năm qua, chỉ số EBITDA của WinCommerce đã chuyển từ âm 7% lên dương 4%. "
2024-01-18,SSI báo lãi trước thuế quý 4/2023 tăng 151% so với cùng kỳ năm trước,"SSI công bố báo cáo tài chính riêng lẻ quý 4/2023: doanh thu 2.023 tỷ đồng (+48%), lợi nhuận trước thuế 616 tỷ đồng (+151%).  Doanh thu đến từ dịch vụ chứng khoán (827 tỷ đồng) và đầu tư (1.000 tỷ đồng).  Cả năm 2023, doanh thu riêng lẻ đạt 6.984 tỷ đồng (+12%), lợi nhuận trước thuế 2.705 tỷ đồng (+35%).  Kết quả hợp nhất cả năm: doanh thu 7.285 tỷ đồng (+11,8%), lợi nhuận trước thuế 2.848 tỷ đồng (+35%).  Tăng trưởng mạnh đến từ mảng đầu tư (tăng 58%).  Tổng tài sản và vốn chủ sở hữu tăng lần lượt 33% và 3%.  Thị phần môi giới cổ phiếu của SSI duy trì trong top 2 tại HoSE. "
2024-10-14,Kinh tế trưởng Chứng khoán SSI: “Sai lầm khi nghĩ rằng có nhiều tiền là sẽ có nhiều kinh nghiệm và kiến thức”,"Chương trình truyền hình thực tế The Moneyverse tập 3, với chủ đề ""Tinh vân tiết kiệm"", có sự tham gia của ông Phạm Lưu Hưng (Kinh tế trưởng SSI) với vai trò giám khảo.  Ông Hưng nhấn mạnh sai lầm khi cho rằng nhiều tiền đồng nghĩa với nhiều kinh nghiệm và kiến thức đầu tư.  Ông nhận định thế hệ trẻ (Gen Z) có kiến thức tốt nhưng cần được trang bị kinh nghiệm thực tế và khả năng kiểm soát cảm xúc khi đầu tư.  Chương trình nhằm phổ cập kiến thức tài chính cho giới trẻ.  Đội Trường Đại học Duy Tân giành chiến thắng chung cuộc.  Bà Lê Thị Thuý Sen (Vụ trưởng Vụ Truyền thông Ngân hàng Nhà nước) cho rằng phổ cập kiến thức tài chính là cần thiết nhưng khó khăn.   "
2024-06-06,SSI tung thông điệp “Chính là tôi” bằng MV ca nhạc ấn tượng,"SSI ra mắt MV ""Chính là Tôi"" nhằm thu hút giới trẻ tham gia đầu tư, khẳng định sự tự tin và cá tính trong đầu tư.  SSI cung cấp nhiều ưu đãi cho khách hàng trẻ, bao gồm:  * **Ưu đãi giao dịch:** Miễn phí giao dịch và hoàn lãi margin. * **Công cụ đầu tư:** Ứng dụng SSI iBoard Pro và sản phẩm đầu tư theo danh mục mẫu iFollow. * **Hoạt động cộng đồng:** Cộng đồng Zalo, chương trình ""The Moneyverse"", ""Cafe Chứng"", ""Đóng bảng cuối tuần"".  SSI hướng đến việc phá bỏ rào cản tâm lý, kiến thức và tài chính để giúp giới trẻ tự tin đầu tư và cải thiện kinh tế. "
2024-03-02,"Tuần 26/2 - 1/3: Khối ngoại ""tung"" hơn 600 tỷ gom cổ phiếu quốc dân, SSI và DGC cũng được mua mạnh","Tuần 26/2-1/3, Vn-Index tăng 3,82%, mức tăng mạnh nhất trong 4 tuần tăng liên tiếp.  Khối ngoại giao dịch tương đối cân bằng, mua ròng 116 tỷ đồng (mua ròng 110 tỷ trên HoSE).  HPG dẫn đầu danh sách mua ròng với 622 tỷ đồng, tiếp theo là SSI (533 tỷ đồng) và DGC (329 tỷ đồng).  Khối ngoại cũng mua ròng VND, VIX, BID, VCI, IDC, KBC.  Ngược lại, FUEVFVND dẫn đầu danh sách bán ròng với 352 tỷ đồng, tiếp theo là VNN, VHM, VRE, MSN và VPB.   "
2024-08-28,"Con trai Chủ tịch SSI Nguyễn Duy Hưng bán ra cổ phiếu, ai là người mua vào?","Ông Nguyễn Duy Linh (con trai Chủ tịch SSI Nguyễn Duy Hưng) đã bán 47 triệu cổ phiếu SSI (3.1% vốn) thông qua giao dịch thỏa thuận từ 19-23/8/2024.  Đồng thời, Công ty TNHH Đầu tư NDH (thuộc sở hữu của ông Nguyễn Duy Hưng) đã mua 32 triệu cổ phiếu SSI trong cùng thời gian đó, nâng sở hữu lên 8.354%.  Ước tính giao dịch của ông Linh có giá trị khoảng 1.550 tỷ đồng, và của Đầu tư NDH khoảng 1.065 tỷ đồng.  Giới quan sát cho rằng đây là giao dịch chuyển nhượng nội bộ.  Lũy kế 6 tháng đầu năm 2024, SSI đạt lợi nhuận trước thuế hơn 2.000 tỷ đồng, gần 60% kế hoạch năm.  SSI hiện là công ty chứng khoán lớn nhất về quy mô tài sản. "
2024-07-18,"Kết quả kinh doanh quý 2/2024 ngày 18/7: SSI, VIX, FPT, ... cùng loạt doanh nghiệp ồ ạt công bố","Ngày 18/7/2024, nhiều doanh nghiệp công bố báo cáo tài chính quý II/2024:  * **SSI:** Lợi nhuận trước thuế 1.041 tỷ đồng (+59%), lũy kế 6 tháng 1.941 tỷ đồng (+56%). * **TCM:** Doanh thu tháng 6 tăng 10%, lợi nhuận tăng 624%; lũy kế 6 tháng doanh thu tăng 12%, lợi nhuận tăng 29%. * **FPT:** Doanh thu 6 tháng tăng 21,4%, LNTT tăng 19,8%, lãi ròng tăng 22,3%; LNTT quý 2 tăng 20,1%, lãi ròng tăng 24%. * **TCBS:** LNTT quý 2 tăng 39% so với quý 1 và 192% so với cùng kỳ. * **PGD:** Doanh thu quý 2 tăng 9%, LNTT tăng 94%. * **VTO:** LNTT quý 2 tăng 291% do giá vốn giảm mạnh. * **DRC:** LNTT quý 2 tăng 55%, lũy kế 6 tháng tăng 69%. * **Kafiex:** LNTT quý 2 tăng 118%. * **Bảo Minh Securities:** LNTT quý 2 giảm 80%. * **VOS:** LNTT quý 2 tăng hơn 5.200% do thanh lý tài sản. * **DDV:** LNTT quý 2 tăng 4.826%. * **VRG:** LNTT quý 2 tăng 1.138%. * **HBC:** LNTT quý 2 đạt 727 tỷ đồng (lỗ cùng kỳ) do thanh lý tài sản.  Nhiều doanh nghiệp ghi nhận tăng trưởng lợi nhuận mạnh, một số nhờ vào hoạt động thanh lý tài sản. "
