publish_date,title,summary
2024-04-02,"Lãi suất ngân hàng Sacombank mới nhất: Lãi suất tiết kiệm cao nhất là 5,2%, lãi suất cho vay là bao nhiêu?","Lãi suất tiết kiệm Sacombank tháng 4/2024:  * **Tại quầy:** 0,5-5%/năm (lãi cuối kỳ), cao nhất 5% (36 tháng).  Có các hình thức trả lãi khác (hàng quý, hàng tháng, trả trước). * **Online:** 0,5-5,2%/năm (lãi cuối kỳ), cao nhất 5,2% (36 tháng).  Có các hình thức trả lãi khác (hàng quý, hàng tháng). Lãi suất online cao hơn tại quầy 0,2%/năm (từ 1 tháng trở lên).  Lãi suất cho vay bình quân Sacombank tháng 3/2024 là 7,09%/năm, chênh lệch với lãi suất tiền gửi là 2,8%/năm.  Tháng 2/2024 là 7,66%/năm (chênh lệch 3,21%).   "
2024-05-03,Nợ xấu của Sacombank hiện nay còn bao nhiêu?,"Báo cáo tài chính quý I/2024 của Sacombank cho thấy lợi nhuận trước thuế tăng 11,4% lên 2.654 tỷ đồng, nhờ giảm chi phí dự phòng rủi ro.  Tuy nhiên, lợi nhuận thuần từ hoạt động kinh doanh giảm nhẹ.  Tổng tài sản tăng 2,8%, dư nợ cho vay tăng 3,7%, tiền gửi khách hàng tăng 4,4%.  Nợ xấu tăng 3,8% lên 11.402 tỷ đồng (tỷ lệ nợ xấu/dư nợ cho vay 2,28%), nợ nhóm 5 tăng 28%.  Tỷ lệ dự phòng bao phủ nợ xấu được cải thiện lên 73%.  Sacombank đang tích cực xử lý nợ xấu theo Đề án tái cơ cấu, đã thu hồi 7.941 tỷ đồng nợ xấu năm 2023.   "
2024-06-14,"Sacombank, Eximbank, ACB… đang bán vàng miếng SJC giá bao nhiêu?","Ngày 13/6, giá vàng SJC được SJC niêm yết ở mức 74,98 triệu đồng/lượng (mua vào) và 76,98 triệu đồng/lượng (bán ra).  Giá bán tại BIDV, Vietcombank, Agribank và VietinBank cũng là 76,98 triệu đồng/lượng.  Tuy nhiên, một số ngân hàng thương mại khác (Eximbank, ACB, Sacombank) niêm yết giá bán cao hơn (khoảng 2 triệu đồng/lượng), do phải tự cân đối lượng vàng mua bán từ khách hàng, không phải từ nguồn bình ổn giá.   "
2024-09-24,Lời khai “ngây ngô” của chủ mưu vụ cướp ở ngân hàng Sacombank,"Nguyễn Ngọc Mỹ, Lâm Phúc Lợi và Nguyễn Thị Bích Tuyền bị kết án vì tội cướp tài sản tại Sacombank (3,8 tỷ đồng).  Mỹ là chủ mưu, lên kế hoạch chi tiết, mua súng tự chế và thuê xe.  Cả ba bị bắt chỉ sau 22 giờ gây án.  Tuyền, Lợi và Đặng Hoàng Văn cũng bị kết án lưu hành tiền giả.  Mỹ nhận 25 năm tù, Lợi 25 năm tù, Tuyền 24 năm tù, Văn 6 năm tù.  Các bị cáo bị buộc bồi thường cho Sacombank. Mỹ khai nhận chọn cướp ngân hàng vì thấy ít thông tin bị bắt trên mạng. "
2024-09-06,"Sacombank phát hành chứng chỉ tiền gửi dài hạn lãi suất 7,1%/năm","Sacombank phát hành Chứng chỉ tiền gửi dài hạn 7 năm (84 tháng), mệnh giá từ 1 triệu đồng, lãi suất năm đầu 7,1%/năm (các năm sau điều chỉnh theo thị trường), trả lãi hàng năm, có thể rút trước hạn, chuyển nhượng hoặc cầm cố vay vốn ưu đãi.  Khách hàng gửi tiết kiệm online qua Sacombank Pay được hưởng lãi suất cao hơn (0,4-0,7%/năm) so với gửi tại quầy. "
2024-04-07,"“Ôm” 100 triệu cổ phiếu Sacombank, quỹ ngoại quy mô hơn 800 triệu EUR chiến thắng thị trường từ đầu năm","Pyn Elite Fund (quỹ Phần Lan, 805,7 triệu EUR) báo cáo hiệu suất tháng 3 đạt 2,57% và hiệu suất lũy kế đầu năm 15,34%.  Sacombank (STB) là khoản đầu tư lớn nhất (14,6%, ~3.200 tỷ đồng, ước tính 100 triệu cổ phiếu), được kỳ vọng sẽ có thu nhập ổn định sau tái cơ cấu.  Quý I/2024, GDP Việt Nam tăng 5,7% (+cao nhất 5 năm), xuất khẩu tăng 17%, FDI tăng 13,4%.  Ông Petri Deryng (Pyn Elite Fund) cho rằng Việt Nam và Ấn Độ có tiềm năng tăng trưởng mạnh, và việc NHNN kiểm soát tăng trưởng tín dụng sẽ hỗ trợ tăng trưởng bền vững.  Giảm lãi suất và thu hẹp chênh lệch lãi suất với USD sẽ tác động tích cực đến thị trường chứng khoán.   "
2024-08-24,"Lãi suất ngân hàng Sacombank mới nhất tháng 8/2024: Gửi tiền online 24 tháng có lãi suất tốt nhất, các khoản vay mới có lãi suất bình quân là 7,58%/năm","Lãi suất tiết kiệm Sacombank tháng 8/2024:  * **Tại quầy:** 0,5-5,2%/năm (lãi cuối kỳ), cao nhất 5,2% (36 tháng). Có các hình thức trả lãi khác. * **Online:** 0,5-5,7%/năm (lãi cuối kỳ), cao nhất 5,7% (24-36 tháng). Lãi suất online cao hơn tại quầy 0,4-0,7%/năm (từ 1 tháng trở lên).  Lãi suất cho vay bình quân Sacombank tháng 7/2024 là 7,37%/năm (chênh lệch với lãi suất tiền gửi 3,38%), tháng 6/2024 là 7,58%/năm (chênh lệch 3,61%).  Đây là lãi suất bình quân, không phải lãi suất cụ thể từng khoản vay. "
2024-04-26,"Cổ đông Sacombank yêu cầu chia cổ tức, Chủ tịch HĐQT Dương Công Minh nói gì?","Đại hội cổ đông Sacombank năm 2024, cổ đông yêu cầu chia cổ tức, nhưng ngân hàng chưa có kế hoạch do cần hoàn thành các mục tiêu:  hoàn vốn điều lệ, giảm nợ xấu xuống dưới 3%, và xử lý 32% cổ phần của ông Trầm Bê và người liên quan.  Chủ tịch Dương Công Minh cho biết ông cũng muốn chia cổ tức nhưng phải tuân thủ quy định.  Tổng Giám đốc cho biết ngân hàng sẽ chia cổ tức sau khi hoàn tất xử lý cổ phần của ông Trầm Bê, với lợi nhuận chưa phân phối 18.400 tỷ đồng.  Chủ tịch Sacombank cũng điểm lại quá trình tái cơ cấu thành công của ngân hàng trong 7 năm qua, giảm tỷ lệ nợ xấu từ 42% xuống 6,9%, và khẳng định minh bạch trong việc thanh lý tài sản.   "
2024-09-06,"“Bỏ túi” 8,6 tỷ đồng trong năm 2023, Chủ tịch HĐQT Sacombank dẫn đầu toàn ngành ngân hàng về thu nhập","Báo cáo của FiinGroup, FiinRatings và VNIDA cho thấy Chủ tịch Sacombank (Dương Công Minh) có thu nhập cao nhất ngành ngân hàng năm 2023 (8,6 tỷ đồng), chỉ sau Chủ tịch PNJ.  Thu nhập này cao hơn đáng kể so với các chủ tịch ngân hàng nhà nước.  Tuy nhiên, Sacombank đã 9 năm không chia cổ tức (lợi nhuận giữ lại 2023 hơn 18.000 tỷ đồng), do cần hoàn thành tái cơ cấu và xử lý cổ phần của ông Trầm Bê.  Sacombank cho rằng giá cổ phiếu STB tăng và kết quả kinh doanh tích cực nhưng chưa đáp ứng điều kiện chia cổ tức.   "
2024-07-30,"Cập nhật BCTC quý 2/2024 tối 30/7: Lợi nhuận của MWG, Vinamilk lên cao nhất chục quý, Sacombank, REE, Cen Land, PV Gas... cùng nhiều DN 'ào ạt' công bố","Nhiều doanh nghiệp công bố báo cáo tài chính quý II/2024:  * **Sacombank (STB):** Lợi nhuận trước thuế tăng 13%. * **REE:** Lợi nhuận sau thuế giảm 35%, thấp nhất 11 quý. * **Dabaco (DBC):** Lợi nhuận giảm 58%. * **Thế Giới Di Động (MWG):** Lợi nhuận tăng 1.000%, cao nhất 9 quý. * **Vinamilk (VNM):** Lợi nhuận tăng 21%, cao nhất 9 quý. * **MBB:** Lợi nhuận trước thuế tăng 23%, lũy kế 6 tháng tăng 5%. * **Viettel Construction (CTR):** Lợi nhuận tăng 4%. * **Vimico (KSV):** Lãi trước thuế 634 tỷ đồng (lỗ cùng kỳ). * **GVR:** Lợi nhuận trước thuế tăng 32%. * **NKG:** Lợi nhuận trước thuế tăng 58%. * **LDG:** Lỗ ròng 171 tỷ đồng. * **Eximbank (EIB):** Lợi nhuận trước thuế tăng 52%. * **Đất Xanh (DXG):** Lợi nhuận trước thuế giảm 33%. * **Gex:** Lợi nhuận trước thuế tăng 59,2%. * **BVBank (BVB):** Lợi nhuận trước thuế tăng 486%. * **PVS:** Lợi nhuận sau thuế giảm 12%.   MWG và VNM đạt lợi nhuận cao nhất trong nhiều quý.  Nhiều doanh nghiệp khác có mức tăng trưởng lợi nhuận đáng kể, trong khi một số khác giảm hoặc lỗ.   "
