publish_date,title,summary
2024-01-25,Vì sao lãnh đạo Techcombank đề xuất trả cổ tức tiền mặt trong nhiều năm?,"Sau 10 năm giữ lại toàn bộ lợi nhuận để tái đầu tư, Techcombank đang xem xét chính sách chia cổ tức tiền mặt.  Lãnh đạo ngân hàng cho rằng, với tiềm năng tăng trưởng 20%/năm và nguồn vốn dồi dào hiện tại, việc trả cổ tức hàng năm là khả thi và bền vững.  Techcombank dự kiến đề xuất chi trả ít nhất 20% lợi nhuận sau thuế hàng năm (ước tính khoảng 1.500 đồng/cổ phiếu cho năm 2024), tương đương 4-5% vốn chủ sở hữu.  Mặc dù vậy, quyết định cuối cùng vẫn thuộc về Hội đồng Quản trị và Đại hội đồng cổ đông.  Ban lãnh đạo khẳng định mục tiêu là xây dựng chính sách chia cổ tức bền vững lâu dài, không chỉ trong vài năm tới, nhằm đảm bảo quyền lợi cho cổ đông, đặc biệt là cổ đông dài hạn. "
2024-07-15,"Techcombank ưu đãi lớn cho doanh nghiệp mua bán ngoại tệ, thanh toán quốc tế","Techcombank Business đang cung cấp các giải pháp thanh toán quốc tế ưu đãi cho doanh nghiệp, nhằm hỗ trợ hoạt động xuất nhập khẩu đang hồi phục mạnh mẽ.  Các ưu đãi bao gồm: tỷ giá cạnh tranh, phí giao dịch thấp (có chương trình miễn phí trong năm đầu cho chuyển khoản quốc tế online và nhận tiền từ nước ngoài),  dịch vụ chuyển tiền nhanh SWIFT GO (nhận trạng thái trong 4 giờ), tính năng kiểm tra trước thông tin giao dịch, và thanh toán trực tuyến các khoản phí như phí cảng biển, thuế xuất khẩu.  Thêm vào đó, Techcombank cung cấp các ưu đãi khác như miễn phí chuyển tiền nội địa online trọn đời, miễn phí quản lý tài khoản, và hỗ trợ tín dụng lên đến 70 tỷ đồng.  Ngân hàng cũng hỗ trợ doanh nghiệp quản lý rủi ro tỷ giá bằng cách cung cấp thông tin và khuyến nghị thị trường thường xuyên.  Mục tiêu là giúp doanh nghiệp giảm chi phí, tăng hiệu quả hoạt động, và nắm bắt cơ hội kinh doanh quốc tế. "
2024-11-04,"Concert Anh Trai Vượt Ngàn Chông Gai chính thức công bố địa điểm tại Hà Nội: Techcombank ""chơi lớn"", Vingroup cũng tung loạt ưu đãi khủng","Concert ""Anh Trai Vượt Ngàn Chông Gai"" sẽ diễn ra tại Vinhomes Ocean Park 3, Hà Nội vào ngày 14/12.  Techcombank tiếp tục đồng hành với vai trò Nhà đồng đầu tư, sau thành công của chương trình ""Săn vé anh tài"" tại concert TP.HCM.  Vingroup, chủ đầu tư Vinhomes Ocean Park 3,  cũng mang đến nhiều ưu đãi cho khán giả, bao gồm: xe buýt Vinbus miễn phí đến 3h sáng, mã giảm giá 20% cho dịch vụ di chuyển Xanh SM, giảm giá phòng tại StaynFun, và ưu đãi lên đến 50% tại các cửa hàng, nhà hàng trong khu vực.  Concert hứa hẹn sẽ mang đến những màn trình diễn ấn tượng, tái hiện lại các tiết mục nổi bật của chương trình, từ các ca khúc hiện đại đến các bài hát truyền thống đặc sắc của Việt Nam. "
2024-02-27,"Bí mật văn hóa DN tại Vingroup, Techcombank: Ông Phạm Nhật Vượng duyệt từng chữ văn bản liên quan đến văn hóa, người Tech được thử những việc chưa làm bao giờ","Bài báo đề cập đến bí quyết xây dựng văn hóa doanh nghiệp mạnh mẽ của Vingroup và Techcombank.  Tại Vingroup, Chủ tịch Phạm Nhật Vượng trực tiếp định hướng và duyệt từng chi tiết tài liệu liên quan đến văn hóa doanh nghiệp, tạo nên một nền tảng văn hóa mạnh mẽ, kỷ luật cao.  Techcombank lại tập trung vào việc trao quyền cho nhân viên, khuyến khích họ thử nghiệm những công việc mới mẻ, tạo ra các quy trình chuẩn hóa từ những thử nghiệm này.  Bài báo cũng đề cập đến những chia sẻ của các doanh nghiệp khác như TH Food Chain về chính sách phúc lợi và đào tạo nhân viên.  Cuối cùng, bài báo nhắc đến sự kiện ""Holistic Excellence"" và báo cáo ""Employer of Choice 2023"", nhấn mạnh tầm quan trọng của yếu tố con người trong việc nâng cao năng lực cạnh tranh của doanh nghiệp trong bối cảnh thị trường khó khăn. "
2024-11-30,"Anh trai vượt ngàn chông gai “cháy vé” concert chỉ sau 40 phút, Techcombank hưởng lợi gì khi trở thành Nhà tài trợ kim cương?","KBSV đánh giá tích cực về việc Techcombank tài trợ kim cương cho concert ""Anh Trai Vượt Ngàn Chông Gai"".  Chương trình tặng vé concert kèm điều kiện sử dụng tính năng ""Sinh lời tự động"" đã thu hút hơn 120.000 khách hàng, gia tăng lượng tiền gửi không kỳ hạn, dù chi phí hoạt động cũng tăng lên.  KBSV dự báo tăng trưởng tín dụng của Techcombank sẽ duy trì ở mức cao (21% năm 2024, 16-18% năm 2025-2027), nhờ sự phục hồi của thị trường bất động sản và chiến lược đa dạng hóa danh mục cho vay.  Báo cáo tài chính quý III/2024 cho thấy Techcombank đạt lợi nhuận ấn tượng (tăng 33% so với cùng kỳ năm trước), tổng tài sản tăng mạnh, và số dư CASA đạt mức kỷ lục,  cho thấy chiến lược marketing thành công. "
2024-03-08,Giải mã động lực tăng trưởng của Techcombank trong năm 2024,"Bài báo phân tích động lực tăng trưởng của Techcombank năm 2024 dựa trên bối cảnh thuận lợi của ngành ngân hàng.  Các yếu tố tích cực bao gồm: nền kinh tế phục hồi, lạm phát được kiểm soát, chính sách tiền tệ nới lỏng, và cầu tín dụng tăng.  HSC dự báo lợi nhuận của 14 ngân hàng lớn sẽ tăng 20-21% năm 2024.  Techcombank được đánh giá có 4 lợi thế:  1) dẫn đầu mảng quản lý tài sản, 2) đa dạng nguồn thu (đặc biệt là phí), 3) phát triển chuỗi giá trị hiệu quả, và 4) đa dạng hóa khách hàng.  Techcombank dự kiến tăng trưởng tổng thu nhập và lợi nhuận nhờ tỷ lệ CASA hồi phục, tăng trưởng tín dụng (sử dụng hết hạn mức NHNN), và tăng trưởng mạnh mẽ thu nhập từ phí.  Chất lượng tài sản của ngân hàng cũng được đánh giá là lành mạnh với tỷ lệ nợ xấu thấp.  Mặc dù rủi ro ngắn hạn về nợ xấu toàn hệ thống vẫn tồn tại, nhưng Techcombank tự tin về triển vọng tăng trưởng mạnh mẽ trong năm 2024. "
2024-07-22,"Cập nhật KQKD ngân hàng Quý 2/2024: Techcombank, LPBank, PGBank","Kết quả kinh doanh quý 2/2024 của một số ngân hàng:  * **Techcombank (TCB):** Lợi nhuận trước thuế kỷ lục, đạt 7.827 tỷ đồng (hợp nhất), tăng 38,5% so với cùng kỳ. Tổng tài sản tăng, dư nợ cho vay tăng, nhưng tỷ lệ CASA giảm và nợ xấu tăng nhẹ (lên 1,23%).  * **LPBank (LPB):** Lợi nhuận trước thuế 6 tháng đầu năm tăng mạnh (142%), tổng tài sản và dư nợ cho vay tăng. Tuy nhiên, nợ xấu cũng tăng đáng kể (lên 1,73%).  * **PGBank (PGB):** Lợi nhuận trước thuế quý 2 tăng nhẹ, nhưng lợi nhuận 6 tháng đầu năm giảm 6,6% so với cùng kỳ, đạt 48% kế hoạch năm.  * **BaoVietBank:** Lợi nhuận trước thuế 6 tháng đầu năm tăng 4,42% so với cùng kỳ.   "
2024-04-22,"Techcombank báo lãi 7.802 tỷ đồng trong quý đầu năm 2024, tỷ lệ CASA tăng tiếp lên 40,5%, giữ vững ngôi vị quán quân","Techcombank báo cáo lợi nhuận trước thuế quý 1/2024 đạt 7.802 tỷ đồng, tăng 38,7% so với cùng kỳ năm trước.  Thu nhập lãi thuần và thu nhập từ dịch vụ đều tăng trưởng mạnh.  Tỷ lệ chi phí/thu nhập (CIR) giảm xuống 26,5%. Tín dụng tăng 6,4%, và đáng chú ý là dư nợ ngoài bất động sản tăng 38%. Tỷ lệ CASA tăng lên 40,5%, cao nhất hệ thống. Nợ xấu giảm, và tỷ lệ dự phòng bao phủ nợ xấu đạt 106%.  Tổng giám đốc Techcombank, ông Jens Lottner, cho rằng kết quả tích cực này được thúc đẩy bởi tăng trưởng mạnh mẽ trên nhiều mảng, quản lý chi phí hiệu quả và tăng trưởng CASA ấn tượng, thể hiện sự tự tin trong việc duy trì kết quả kinh doanh tốt trong năm 2024. "
2024-04-14,"Không phải NEU hay BAV, đây mới là trường ĐH sản sinh ra ""ông trùm Techcombank"" Hồ Hùng Anh: Không phải đóng học phí, 100% sinh viên tốt nghiệp có việc làm nhưng muốn vào học không dễ","Bài báo giới thiệu về Học viện Kỹ thuật Quân sự, ngôi trường mà Chủ tịch Techcombank Hồ Hùng Anh từng theo học.  Học viện này đào tạo các ngành kỹ thuật quân sự, miễn học phí hoàn toàn và cam kết việc làm 100% cho sinh viên tốt nghiệp. Tuy nhiên,  đầu vào rất khắt khe, đòi hỏi học lực xuất sắc và đáp ứng các tiêu chí về sức khỏe, lý lịch, với điểm chuẩn cao.  Bài báo nhấn mạnh sự thành công của ông Hồ Hùng Anh, một cựu sinh viên của Học viện,  như một minh chứng cho chất lượng đào tạo của trường. "
2024-08-29,Khách hàng hào hứng với Tuần lễ sinh lời tự động của Techcombank,"Techcombank tổ chức ""Tuần lễ sinh lời tự động"" tại Hà Nội và TP. Hồ Chí Minh, thu hút nhiều tiểu thương tham gia.  Chương trình tập trung vào việc giới thiệu ""Tài khoản Techcombank phiên bản vượt trội"", tích hợp giải pháp thanh toán không tiền mặt tiện lợi (SmartPOS, SoftPOS) và tính năng ""Sinh lời tự động"" giúp tối ưu hóa lợi nhuận từ tiền nhàn rỗi (lãi suất lên đến 3.6%/năm).  Khách hàng đánh giá cao sự tiện lợi, nhanh chóng của thủ tục mở tài khoản và tính năng sinh lời tự động, giúp tăng thêm thu nhập. Techcombank sẽ tiếp tục triển khai chương trình này đến các địa phương khác trên toàn quốc. "
