publish_date,title,summary
2024-02-09,"[Video] Toàn cảnh cuộc đua lợi nhuận ngân hàng 10 năm: Vietcombank ""cô đơn"" trên đỉnh suốt 8 năm","Bài báo đánh giá bảng xếp hạng lợi nhuận của các ngân hàng Việt Nam trong 10 năm (2013-2023). Vietcombank dẫn đầu suốt 8 năm (2016-2023),  lợi nhuận năm 2023 vượt 40.000 tỷ đồng.  Vị trí từ á quân đến top 10 có sự cạnh tranh gay gắt giữa ngân hàng tư nhân và 3 ngân hàng quốc doanh lớn (BIDV, VietinBank, Agribank).  HDBank và VIB gia nhập top 10 từ năm 2017, trong khi SHB và Sacombank đã giảm vị thế.  Năm 2022, tất cả 10 ngân hàng đều có lợi nhuận trên 10.000 tỷ đồng,  và năm 2023 có 7 ngân hàng trên 20.000 tỷ đồng. "
2024-02-24,Vietcombank chuẩn bị họp cổ đông bàn phương án phân phối lợi nhuận và tăng vốn,"Vietcombank sẽ tổ chức đại hội đồng cổ đông thường niên 2024 vào ngày 26/4 để thông qua báo cáo kinh doanh năm 2023, phương án phân phối lợi nhuận (lợi nhuận trước thuế hợp nhất đạt 41.244 tỷ đồng, tăng 10,4%), và phương án tăng vốn.  Năm 2023, Vietcombank đạt kỷ lục lợi nhuận ngành ngân hàng, tổng tài sản đạt hơn 1,839 triệu tỷ đồng, dư nợ cho vay khách hàng tăng 10,9%, và huy động tiền gửi khách hàng tăng 12,2%.  Tuy tỷ lệ nợ xấu tăng (lên 0,98%),  Vietcombank vẫn duy trì tỷ lệ nợ xấu thấp và tỷ lệ bao phủ nợ xấu cao trong ngành. "
2024-03-08,Lãi suất ngân hàng Vietcombank mới nhất: Gửi 12 tháng có lãi suất tốt nhất,"Lãi suất huy động của Vietcombank tháng 3/2024 không thay đổi so với tháng 2.  Đối với khách hàng cá nhân, lãi suất từ 0,1% (không kỳ hạn) đến 4,7% (12 tháng trở lên).  Khách hàng tổ chức có lãi suất từ 0,2% (không kỳ hạn) đến 4,2% (12 tháng trở lên).  Lãi suất gửi online tương tự như gửi tại quầy.  Vietcombank là một trong những ngân hàng lớn nhất Việt Nam, với lợi nhuận năm 2023 hơn 41.000 tỷ đồng.   "
2024-09-16,Mặt trận Tổ quốc tiếp tục công bố hơn 13.000 trang sao kê qua số tài khoản Vietcombank,"Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam đã công bố 13.358 trang sao kê (386.402 giao dịch) về tiền ủng hộ đồng bào bị ảnh hưởng bởi bão số 3, chuyển vào tài khoản Vietcombank 0011001932418.  Số tiền ủng hộ từ vài nghìn đến vài chục triệu đồng.  Ban Vận động cứu trợ Trung ương đang rà soát và phân bổ tiền,  và tiếp tục cập nhật công khai danh sách người ủng hộ.  Việc công khai này nhằm đảm bảo minh bạch và tạo niềm tin cho người dân. "
2024-06-12,EVNGENCO3 và Vietcombank ký kết Hợp đồng Tái cấu trúc khoản vay nước ngoài,EVNGENCO3 và Vietcombank chi nhánh Vũng Tàu đã ký kết hợp đồng tái cấu trúc khoản vay nước ngoài trị giá 2.075 tỷ đồng.  Việc tái cấu trúc này nhằm giảm thiểu rủi ro tỷ giá và tối ưu chi phí tài chính cho EVNGENCO3 trong bối cảnh biến động kinh tế thế giới.  EVN đánh giá cao sự chủ động của EVNGENCO3 và tin tưởng vào sự hợp tác bền vững giữa hai bên. 
2024-08-11,"Dịch vụ của các ngân hàng: Techcombank 'kiếm bộn', MB áp sát Vietcombank","Kết quả kinh doanh dịch vụ quý II/2024 của các ngân hàng Việt Nam cho thấy tổng thu nhập tăng 13,4% so với quý I và 7,4% so với cùng kỳ năm trước. Techcombank vẫn dẫn đầu với 2.461 tỷ đồng, BIDV đứng thứ hai (vượt VietinBank),  và MB tăng mạnh 43%,  áp sát Vietcombank.  TPBank tăng trưởng tốt và VIB gần như không đổi.  HDBank giảm 37%.  Nhiều ngân hàng khác tăng trưởng hai chữ số, trong khi NCB tăng trưởng mạnh nhất do có mức lợi nhuận thấp ở quý trước.   "
2024-02-22,Vietcombank bổ nhiệm loạt lãnh đạo tại Trụ sở chính,"Vietcombank đã bổ nhiệm nhiều lãnh đạo mới tại trụ sở chính kể từ ngày 21/02/2024, với nhiệm kỳ 4 năm.  Các vị trí được bổ nhiệm bao gồm: Giám đốc và Phó Giám đốc Ban Giao dịch thị trường tài chính toàn cầu; Giám đốc và Phó Giám đốc Ban Kinh doanh sản phẩm và dịch vụ vốn; Trưởng phòng và Phó Trưởng phòng Phát triển sản phẩm và giám sát giao dịch vốn; và Trưởng Ban Định chế tài chính.  Thông báo nêu tên cụ thể từng người được bổ nhiệm và vị trí cũ của họ. "
2024-12-01,"Đầu tháng 12, gửi tiết kiệm tại Agribank, Vietcombank, BIDV, VietinBank hưởng lãi suất cao nhất?","Lãi suất tiết kiệm tại các ngân hàng lớn (Agribank, Vietcombank, BIDV, VietinBank) trong tháng 11/2024 có sự khác biệt. Agribank đã điều chỉnh lãi suất, cao nhất 4,9% (online, 24 tháng). Vietcombank giữ nguyên lãi suất từ tháng 4, cao nhất 4,7% (24-60 tháng). BIDV giữ nguyên lãi suất tại quầy (cao nhất 4,7%, 12-36 tháng) nhưng điều chỉnh lãi suất online (cao nhất 4,8%, 24-36 tháng). VietinBank có lãi suất từ 0,2% đến 4,8% (tại quầy) và  5% (online, 24-36 tháng).  Lãi suất online thường cao hơn lãi suất tại quầy.   "
2024-04-02,"Lãi suất tiết kiệm mới nhất tại ngân hàng Agribank, Vietcombank, BIDV, VietinBank: Cao nhất bao nhiêu?","Đầu tháng 4, lãi suất tiết kiệm tại các ngân hàng Big 4 (Agribank, Vietcombank, BIDV, VietinBank) được điều chỉnh, chủ yếu giảm.  Lãi suất cao nhất là 4,8%/năm (BIDV và VietinBank, kỳ hạn 24-36 tháng). Vietcombank có lãi suất thấp nhất ở một số kỳ hạn (4,6% cho kỳ hạn 12 tháng, 2,9% cho kỳ hạn 6-9 tháng, 1,6% cho kỳ hạn 1-2 tháng).   "
2024-09-06,"Công an tìm người bị lừa đảo đầu tư, vay tiền online, đã chuyển tiền vào 4 số tài khoản ở ngân hàng VIB, VPBank, MB, Vietcombank","Công an tỉnh Bình Thuận đang truy tìm các bị hại trong vụ án lừa đảo chiếm đoạt tài sản qua mạng liên quan đến Phạm Anh Trường.  Trường và đồng phạm đã lập các trang web giả mạo công ty tài chính để cho vay online và sàn đầu tư JDR để lừa đảo.  Tiền của các nạn nhân được chuyển vào 4 tài khoản ngân hàng tại VIB, VPBank, MB, và Vietcombank.  Công an đề nghị những người bị hại liên hệ để điều tra vụ án.   "
2024-06-12,"Nhiều người dân xếp hàng từ 3h sáng, Vietcombank triển khai đăng ký mua vàng SJC online từ hôm nay 12/6","Từ ngày 12/6/2024, Vietcombank cho phép khách hàng đăng ký mua vàng SJC trực tuyến trên website,  nhận lịch hẹn giao dịch mà không cần xếp hàng.  Khách hàng đăng ký từ 9h-16h và giao dịch từ 13h30-16h.  Việc này nhằm giải quyết tình trạng người dân xếp hàng từ sớm để mua vàng tại các điểm giao dịch của Vietcombank.  Giá vàng được niêm yết tại thời điểm giao dịch.   "
