publish_date,title,summary
2024-04-03,"Một đối tác của Vinhomes báo lỗ hơn 100 tỷ, có nợ phải trả gấp 6 lần vốn chủ sở hữu","Công ty Bất động sản Lan Việt, đối tác của Vinhomes, báo lỗ gần 112 tỷ đồng trong năm 2023.  Hệ số nợ phải trả trên vốn chủ sở hữu của công ty lên tới 5,94 lần, tương đương 9.950 tỷ đồng, trong đó trái phiếu chiếm 4.099 tỷ đồng.  Công ty này phát hành trái phiếu vào tháng 8/2023 trị giá 4.100 tỷ đồng, ngay sau khi ký hợp đồng hợp tác với Vinhomes về dự án Vinhomes Ocean Park 3 - The Crown.  Hợp đồng này cũng như hợp đồng liên quan khác giữa Lan Việt và Vinhomes (đối với dự án Vinhomes Ocean Park 2)  đã được thế chấp tại Techcombank.  Lan Việt có vốn chủ sở hữu 1.675 tỷ đồng. "
2024-09-17,"Cổ đông “nín thở” chờ thương vụ lớn nhất lịch sử chứng khoán Việt Nam, khi nào Vinhomes mua cổ phiếu quỹ?","Cổ phiếu Vinhomes (VHM) tăng mạnh trong tuần qua, lên mức cao nhất 5 tháng, đạt 44.000 đồng/cp, sau thông tin công ty dự kiến mua lại tối đa 370 triệu cổ phiếu quỹ, tương đương 8,5% lượng cổ phiếu đang lưu hành.  Giá trị vốn hóa của Vinhomes tăng gần 41.000 tỷ đồng.  Đây sẽ là thương vụ mua cổ phiếu quỹ lớn nhất trong lịch sử chứng khoán Việt Nam, với số tiền dự kiến lên đến 13.000 tỷ đồng.  Vinhomes cho biết, việc mua cổ phiếu quỹ được tài trợ bằng tiền mặt và dòng tiền hoạt động, giảm thiểu tác động đến thanh khoản và nợ vay.  Cổ đông đã chấp thuận phương án này với tỷ lệ cao (78,52%).  Hiện Vinhomes đang chờ phê duyệt từ Ủy ban Chứng khoán Nhà nước, và dự kiến sẽ bắt đầu quá trình mua lại vào cuối tháng 9. "
2024-10-13,Chứng khoán trước giờ giao dịch 14-10: Vinhomes chơi lớn,"Bài báo cung cấp một bản tin tổng hợp về hoạt động chứng khoán, tập trung vào các giao dịch cổ phiếu và thông tin công ty trong ngày 14/10.  Điểm nổi bật là thông tin Vinhomes sẽ mua lại 370 triệu cổ phiếu quỹ, tương đương 8,5% lượng cổ phiếu đang lưu hành, trong giai đoạn từ 23/10 đến 22/11.  Ngoài ra, bài báo còn đề cập đến các hoạt động mua bán cổ phiếu của các cổ đông lớn khác, thay đổi nhân sự, niêm yết bổ sung cổ phiếu, và các phương án chi trả cổ tức của nhiều doanh nghiệp niêm yết trên thị trường chứng khoán.  Có nhiều thông tin về các giao dịch, thay đổi nhân sự, niêm yết và chi trả cổ tức tại các doanh nghiệp khác nhau. "
2024-09-05,"Một tập đoàn tại Việt Nam gia nhập 'CLB tỷ USD', chung mâm với loạt ông lớn FPT, Vinamilk, Vinhomes","Tập đoàn Bảo Việt (BVH) đã công bố báo cáo tài chính bán niên 2024, ghi nhận doanh thu hợp nhất đạt 28.030 tỷ đồng (khoảng 1,1 tỷ USD).  Lợi nhuận trước và sau thuế cũng tăng trưởng so với cùng kỳ năm ngoái, với tổng tài sản đạt 234.844 tỷ đồng.  Các lĩnh vực kinh doanh của Bảo Việt như bảo hiểm nhân thọ và phi nhân thọ đều có kết quả khả quan, cùng với sự tăng trưởng mạnh mẽ của mảng đầu tư tài chính thông qua Công ty Chứng khoán Bảo Việt.  Với kết quả này, Bảo Việt đã chính thức gia nhập ""câu lạc bộ"" các tập đoàn tỷ USD tại Việt Nam, cùng với các ông lớn như FPT, Vinamilk, và Vinhomes.  Công ty dự kiến trả cổ tức 745 tỷ đồng. "
2024-05-17,Chuyển động mới nhất tại siêu dự án khu đô thị hơn 1.250 ha có mức đầu tư 85.000 tỷ đồng ở Khánh Hòa do liên danh Vinhomes (VHM) làm chủ đầu tư,"Dự án khu đô thị ven vịnh Cam Ranh, với quy mô 1.250 ha và tổng vốn đầu tư gần 85.000 tỷ đồng, do liên danh Vinhomes làm chủ đầu tư, đang trong quá trình triển khai.  Sau khi được Thủ tướng Chính phủ chấp thuận chủ trương đầu tư và phê duyệt đồ án quy hoạch chi tiết cho 3 khu, dự án đã hoàn tất các thủ tục đầu tư.  Hiện nay, công tác đền bù giải phóng mặt bằng đang được tiến hành, cùng với việc thẩm định báo cáo đánh giá tác động môi trường.  Các cơ quan chức năng đã yêu cầu đẩy nhanh tiến độ xây dựng giá đất bồi thường và tái định cư, đảm bảo tính đồng bộ với quy hoạch TP. Cam Ranh.  Dự án dự kiến sẽ cung cấp khoảng 8.474 căn nhà ở liền kề, 10.732 căn biệt thự và 19.816 căn nhà ở xã hội. "
2024-05-17,"Vincom Retail lập công ty con quy mô 3.620 tỷ đồng, ký thỏa thuận nhận chuyển nhượng tài sản với Vingroup, Vinhomes và Vinwonders Nha Trang","Vincom Retail thành lập công ty con mới, Công ty TNHH Bất động sản Vincom NCT, với vốn điều lệ 3.620 tỷ đồng, chủ yếu do Vincom Retail sở hữu.  Công ty này sẽ tham gia vào lĩnh vực kinh doanh bất động sản.  Đồng thời, Vincom Retail ký thỏa thuận nhận chuyển nhượng tài sản tại các dự án ở Hải Phòng, Quảng Ninh, và Khánh Hòa từ Vingroup, Vinhomes, và Vinwonders Nha Trang, nhằm mở rộng quỹ đất thương mại dịch vụ.  Đây là một bước đi mở rộng hoạt động và gia tăng tài sản cho Vincom Retail trong lĩnh vực bất động sản.  Quá trình này diễn ra trong bối cảnh Vingroup đã hoàn tất một số thương vụ chuyển nhượng, bao gồm cả việc bán 55% vốn của công ty SDI, giảm sự liên kết trực tiếp với Vincom Retail. Tuy nhiên, Vingroup vẫn là cổ đông lớn thứ hai của Vincom Retail. "
2024-06-29,"Các ông lớn Vinhomes, Vinaconex làm hàng loạt dự án gần cửa khẩu Móng Cái","Nhiều tập đoàn bất động sản lớn, bao gồm Vinhomes và Vinaconex, đang đầu tư mạnh vào các dự án bất động sản ở khu vực cửa khẩu Móng Cái, tỉnh Quảng Ninh.  Sự phát triển hạ tầng, đặc biệt là tuyến đường cao tốc Vân Đồn - Móng Cái, tạo điều kiện thuận lợi cho các dự án này.  Các dự án đáng chú ý dọc sông Ka Long bao gồm Vinhomes Golden Avenue, Khu đô thị đại lộ Hòa Bình kéo dài, Marina Móng Cái, và các dự án khác của Vinaconex và các nhà đầu tư khác.  Các dự án này có quy mô lớn, đa dạng về loại hình sản phẩm, từ nhà ở liền kề, biệt thự đến shophouse, nhằm đáp ứng nhu cầu nhà ở và sinh hoạt của cộng đồng.  Sự đổ bộ của các ""ông lớn"" bất động sản cho thấy tiềm năng phát triển của khu vực Móng Cái. "
2024-10-11,Cổ phiếu VHM 'gánh' thị trường chứng khoán,"Cổ phiếu VHM (Vinhomes) đóng vai trò quan trọng trong việc đẩy chỉ số VN-Index tăng trong phiên giao dịch 11/10, tăng 3,4% với khối lượng giao dịch lớn gần 678 tỷ đồng.  Mặc dù khối ngoại bán ròng mạnh cổ phiếu này, nhưng các nhà đầu tư trong nước đã hấp thụ phần lớn, giúp VHM có đóng góp đáng kể lên tới hơn 1,5 điểm cho VN-Index.  Tuy nhiên, thị trường chứng khoán nhìn chung vẫn giằng co, thanh khoản thấp, và sự đồng thuận trên thị trường kém, khi có 160 mã giảm so với 195 mã tăng.  Ngành công nghệ thông tin là nhóm giảm mạnh nhất trong phiên, trong khi ngành công nghiệp và một số mã bất động sản khác có mức tăng đáng kể.  Khối ngoại bán ròng trên sàn HOSE với hơn 357 tỷ đồng. Tổng thể thị trường có độ rộng nghiêng về sắc xanh, nhưng sự tăng trưởng chủ yếu đến từ các mã riêng lẻ. "
2024-10-21,"Ngược dòng thị trường, cổ phiếu Eximbank, Quốc Cường Gia Lai, Vinhomes “thăng hoa”","Thị trường chứng khoán ngày 21/10 rơi vào sắc đỏ, với VN-Index giảm gần 6 điểm.  Mặc dù cổ phiếu Eximbank (EIB), Quốc Cường Gia Lai (QCG), và Vinhomes (VHM)  tăng, nhưng áp lực bán mạnh ở cuối phiên đã khiến chỉ số chung giảm.  EIB và QCG tăng mạnh, lần lượt đạt mức tăng 6,94% và 6,6% , liên quan đến các thông tin trước đó về Eximbank. VHM tăng 5,64%, được hỗ trợ bởi kế hoạch mua lại cổ phiếu quỹ.  Tuy nhiên, thanh khoản giảm mạnh, và nhóm cổ phiếu blue-chip trong rổ VN30 chủ yếu giảm giá, ngoại trừ một số ít cổ phiếu. Khối ngoại tiếp tục bán ròng trên sàn HoSE trong phiên này.  Tổng thể, thị trường chứng khoán đang chịu áp lực tiêu cực. "
2024-10-14,"Sức nóng của thương vụ lớn nhất lịch sử chứng khoán Việt Nam đẩy cổ phiếu Vinhomes lên cao nhất 8 tháng, vốn hóa tăng 2 tỷ USD","Cổ phiếu Vinhomes (VHM) tăng mạnh lên mức cao nhất 8 tháng (45.350 đồng/cp) trong phiên giao dịch 14/10, được thúc đẩy bởi thông tin công ty sẽ mua lại 370 triệu cổ phiếu quỹ, một thương vụ lớn nhất lịch sử chứng khoán Việt Nam.  Lực mua mạnh, giá trị giao dịch đạt gần nghìn tỷ đồng.  Vốn hóa thị trường của Vinhomes tăng hơn 2 tỷ USD, vượt qua VietinBank trở lại vị trí thứ 4 trong danh sách doanh nghiệp niêm yết lớn nhất, chỉ sau Vietcombank, BIDV và FPT.  Vinhomes dự kiến chi khoảng 17.000 tỷ đồng cho thương vụ này, được tài trợ từ tiền mặt và dòng tiền hoạt động.  Khối ngoại cũng mua ròng trong phiên này, tuy nhiên giá trị không lớn.   "
