publish_date,title,summary
2024-08-01,Cao tốc Gia Nghĩa – Chơn Thành hơn 25.000 tỷ đồng do Vingroup - Techcombank đầu tư sẽ triển khai ngay từ năm 2024,"Dự án đường cao tốc Gia Nghĩa - Chơn Thành, dài 128,8km, 4 làn xe, với tổng mức đầu tư hơn 25.000 tỷ đồng, do Vingroup - Techcombank đầu tư, sẽ được triển khai ngay từ năm 2024.  Phó Thủ tướng Trần Hồng Hà giao nhiệm vụ cho Bộ Giao thông vận tải cùng các bên liên quan xây dựng và trình Chính phủ nghị quyết triển khai dự án trước ngày 5/8/2024. Dự án được chia thành 5 dự án thành phần, bao gồm giải phóng mặt bằng, xây dựng đường gom, cầu vượt (đầu tư công) và phần xây dựng - kinh doanh - chuyển giao (BOT) do Vingroup - Techcombank chịu trách nhiệm. Nguồn vốn bao gồm ngân sách Trung ương (hơn 10.500 tỷ), địa phương (gồm Bình Phước và Đắk Nông, hơn 2.200 tỷ), và vốn nhà đầu tư (hơn 12.700 tỷ).  Dự án dự kiến hoàn thành vào năm 2026 và đưa vào hoạt động năm 2027, góp phần phát triển kinh tế xã hội cho hai tỉnh và kết nối vùng Đông Nam Bộ với Tây Nguyên.  Vingroup - Techcombank đã đề xuất dự án từ năm 2022 và được Bộ Giao thông Vận tải chấp thuận.  Phần vốn nhà đầu tư ban đầu được dự tính 16.000 tỷ, còn lại được đề nghị hỗ trợ từ ngân sách địa phương và Trung ương. "
2024-05-10,"Vingroup vừa phát hành thành công 2.000 tỷ đồng trái phiếu, lãi suất 12,5%","Vingroup đã phát hành thành công trái phiếu trị giá 2.000 tỷ đồng với lãi suất 12,5%/năm, kỳ hạn 24 tháng.  Đây là đợt phát hành thứ ba của Vingroup trong vòng một tháng qua, tổng cộng huy động được 6.000 tỷ đồng.  Vingroup dự kiến phát hành thêm 4 đợt trái phiếu trong quý 2/2024, với tổng giá trị mục tiêu là 8.000 tỷ đồng.  Nguồn vốn huy động được sử dụng để cơ cấu lại nợ của tập đoàn.  Cùng thời điểm, Vinhomes cũng đã phát hành thành công trái phiếu với tổng giá trị 2.000 tỷ đồng. "
2024-11-07,"Vingroup đã hoàn tất bán 41,5% vốn của Vincom Retail với giá 'khủng', nhận đủ tiền","Vingroup đã hoàn tất việc bán 41,5% cổ phần của Vincom Retail với giá 39.100 tỷ đồng (tương đương 1,56 tỷ USD).  Đây là một thương vụ lớn, mang lại toàn bộ số tiền cho Vingroup.  Sau giao dịch, Vingroup vẫn giữ 18,8% cổ phần tại Vincom Retail và là cổ đông lớn thứ hai.  Nhóm nhà đầu tư mới gồm 4 doanh nghiệp tại TP.HCM mua lại cổ phần.  Mặc dù Vincom Retail ghi nhận doanh thu giảm 38% và lợi nhuận sau thuế hơn 900 tỷ đồng trong quý 3/2024, nhưng doanh thu và lợi nhuận lũy kế 9 tháng đầu năm vẫn đạt trên 70% kế hoạch.  Công ty cũng thu hồi được khoản vay 2.350 tỷ đồng. "
2024-06-18,"Lần đầu tiên Fortune công bố Top DN lớn nhất Đông Nam Á, điểm mặt 13 DN Việt lọt Top 100: Petrolimex, Vingroup, Thế giới Di động…","Tạp chí *Fortune* công bố bảng xếp hạng *Fortune SEA 500*, lần đầu tiên đánh giá 500 công ty lớn nhất Đông Nam Á dựa trên doanh thu năm 2023.  Trafigura của Singapore dẫn đầu danh sách.  Việt Nam có 13 doanh nghiệp lọt top 100, trong đó Petrolimex đứng vị trí cao nhất là thứ 23.  Các doanh nghiệp Việt Nam khác trong top 100 bao gồm nhiều ngân hàng lớn (Agribank, BIDV, VietinBank, VPBank, MB) và các tập đoàn hàng đầu như Vingroup, Hòa Phát, Thế giới Di động, và Vietnam Airlines.  Hai doanh nghiệp Việt Nam do nữ lãnh đạo (Vinamilk và Vietjet Air) cũng được vinh danh.  Vietnam Airlines xếp hạng 3 trong lĩnh vực hàng không, còn VietjetAir xếp hạng 7. FPT được xếp hạng cao trong lĩnh vực dịch vụ CNTT. "
2024-05-17,"Vincom Retail lập công ty con quy mô 3.620 tỷ đồng, ký thỏa thuận nhận chuyển nhượng tài sản với Vingroup, Vinhomes và Vinwonders Nha Trang","Vincom Retail thành lập công ty con mới, Vincom NCT, với vốn điều lệ 3.620 tỷ đồng, chuyên về bất động sản.  Cùng lúc, Vincom Retail ký thỏa thuận với Vingroup, Vinhomes và Vinwonders để chuyển nhượng tài sản tại các dự án ở Hải Phòng, Quảng Ninh và Khánh Hòa, nhằm mở rộng quỹ đất thương mại dịch vụ.  Các trung tâm thương mại Vincom tại các tỉnh này sẽ được bao gồm trong thỏa thuận này.  Việc này diễn ra trong bối cảnh Vingroup vừa hoàn tất việc thoái vốn khỏi SDI và Sado, hai công ty nắm giữ phần lớn cổ phần của Vincom Retail.  Mặc dù Vingroup không còn là công ty mẹ của SDI và Sado, họ vẫn giữ 18,8% cổ phần Vincom Retail.  Đáng chú ý, Vingroup cũng báo cáo lợi nhuận quý 1 năm 2024 cực cao, chủ yếu từ việc thanh lý đầu tư tài chính và chuyển nhượng các công ty con. "
2024-03-18,Tổng giám đốc Vingroup nói gì về việc thoái vốn Vincom Retail?,"Tổng giám đốc Vingroup bác bỏ việc thoái vốn Vincom Retail là để thâu tóm ""đất vàng"". Ông giải thích đây là bước đi tập trung nguồn lực cho các thương hiệu trọng điểm của Vingroup, nhằm đạt tăng trưởng cao hơn.  Vingroup khẳng định sẽ không thay đổi mô hình quản lý, vận hành và bảo đảm quyền lợi của khách hàng, nhà đầu tư thuê mặt bằng tại các trung tâm thương mại do Vincom Retail quản lý.  Vingroup cam kết rằng quyền lợi của các nhà đầu tư shophouse và các khu vực thương mại dịch vụ vẫn được đảm bảo. "
2024-09-12,"Thủ tướng tạm hoãn hội nghị với Chủ tịch, Tổng giám đốc Vingroup, Sungroup, Masan Group, FPT, Hòa Phát, THACO, T&T… sáng 12/9","Hội nghị của Thủ tướng Phạm Minh Chính với các tập đoàn lớn như Vingroup, Sungroup, Masan, FPT, v.v., dự kiến diễn ra ngày 12/9/2024, đã bị hoãn.  Hội nghị nhằm tháo gỡ khó khăn trong sản xuất kinh doanh, thúc đẩy tăng trưởng kinh tế, và giải quyết các dự án lớn, do các doanh nghiệp đang gặp khó khăn vì tình hình kinh tế thế giới phức tạp (tỷ giá, bất động sản, sức mua).  Mặc dù có sự gia tăng đáng kể số doanh nghiệp thành lập mới và quay trở lại hoạt động, nhưng cũng có số lượng đáng kể doanh nghiệp tạm ngừng hoạt động. "
2024-02-02,"Con đường 3km ngay trung tâm Hà Nội kéo qua hàng loạt dự án lớn, nối dự án quy hoạch của Vingroup và siêu đô thị của Nam Cường sẽ được thông xe trong 2 tháng tới","Đường Lê Quang Đạo kéo dài, dài 2,6km, tại Hà Nội, dự kiến thông xe kỹ thuật trong vòng 2 tháng tới.  Đường này đi qua nhiều dự án lớn, bao gồm Vinhomes Green Bay 2 của Vingroup, Louis City Đại Mỗ, FLC, và dự án của Nam Cường.  Dự án đã được khởi công từ quý 1/2023 và phần lớn công trình đã hoàn thành, chỉ còn một số đoạn chưa được giải phóng mặt bằng.  Tuyến đường mới này sẽ nâng cao kết nối giao thông và phục vụ phát triển kinh tế xã hội địa phương. "
2024-02-27,"Giá trị vốn hoá của Hòa Phát vút lên hơn 176.000 tỷ đồng, một lần nữa vượt trên Vingroup","Giá cổ phiếu Hòa Phát (HPG) tăng mạnh trong phiên 27/2/2024, đưa vốn hóa thị trường lên trên 176.000 tỷ đồng, vượt qua Vingroup (VIC) trong một thời gian.  Sự tăng trưởng này được thúc đẩy bởi kết quả kinh doanh tích cực của Hòa Phát trong quý 4/2023, với doanh thu tăng, biên lợi nhuận gộp tăng và lợi nhuận sau thuế tăng 48% so với quý trước.  Mặc dù tổng sản lượng thép năm 2023 giảm 10% so với năm 2022, nhưng xu hướng kinh doanh của Hòa Phát đang dần tích cực hơn, với số liệu tăng trưởng qua từng quý và đạt đỉnh vào quý 4.  Tổng doanh thu của Hòa Phát năm 2023 giảm 16% so với năm 2022, trong khi lợi nhuận sau thuế đạt 6.800 tỷ đồng, hoàn thành 85% kế hoạch.  Tuy nhiên, con số này vẫn thấp hơn đáng kể so với mức kỷ lục năm 2021. "
2024-12-02,"2 con trai của tỷ phú Phạm Nhật Vượng: Nhận nhiệm vụ đón tiếp Tổng thống Indonesia, Bulgaria, đảm nhiệm vai trò quan trọng tại các công ty thuộc hệ sinh thái Vingroup","Hai con trai của tỷ phú Phạm Nhật Vượng, Phạm Nhật Quân Anh (sinh năm 1993) và Phạm Nhật Minh Hoàng (sinh năm 2000), đang đảm nhiệm các vị trí quan trọng trong hệ sinh thái Vingroup.  Phạm Nhật Quân Anh, hiện là Phó Tổng giám đốc Khối sản xuất của VinFast, đã tham gia các sự kiện quan trọng như đón tiếp Tổng thống Indonesia và tham gia hợp tác với Marubeni.  Phạm Nhật Minh Hoàng, từng giữ vai trò Giám đốc Marketing toàn cầu của VinFast và gần đây là Tổng giám đốc của CTCP Thương mại và Dịch vụ FGF (công ty cho thuê xe điện của Vingroup).  Cả hai đều sở hữu cổ phần trong các công ty thuộc Vingroup, thể hiện sự tham gia tích cực vào việc kinh doanh của tập đoàn.  Cả hai người con đều được tỷ phú Phạm Nhật Vượng hướng dẫn và đào tạo để phát triển sự nghiệp. "
