publish_date,title,summary
2024-08-29,Vietcap dự báo lợi nhuận ròng 2024 của Vinamilk có thể tăng trưởng 2 con số lên trên 10.000 tỷ,"Vinamilk (VNM) dự báo có kết quả kinh doanh quý II 2024 đột phá, doanh thu tăng 10% đạt 16.656 tỷ đồng, lợi nhuận sau thuế tăng 21% lên gần 2.700 tỷ đồng, mức cao nhất trong 11 quý.  Vietcap dự báo lợi nhuận ròng 2024 của Vinamilk có thể tăng trưởng 2 con số, lên trên 10.000 tỷ đồng, cao hơn kế hoạch và là mức cao nhất trong vòng 3 năm.  Nguyên nhân chính là do tăng trưởng mạnh ở thị trường nước ngoài (dự kiến tăng 18% trong năm 2024, với xuất khẩu tăng 21%), cải thiện biên lợi nhuận gộp (tăng thêm 240-340 điểm cơ bản), và sự thành công trong marketing, đặc biệt tại Iraq.  Vietcap cũng dự báo doanh thu thuần 2024 của Vinamilk sẽ đạt gần 64.500 tỷ đồng, tăng 7%.  Sự khởi sắc này đã thu hút dòng vốn đầu tư nước ngoài trở lại, mua ròng hơn 34 triệu cổ phiếu VNM, đẩy giá cổ phiếu tăng gần 13% trong một tháng qua.  Vinamilk cũng sẽ chi trả cổ tức cho cổ đông với tỷ lệ 9,5% và tạm ứng cổ tức đợt 1/2024 với tỷ lệ 15%, tổng cộng hơn 5.120 tỷ đồng. "
2024-07-03,"""Trùm"" bán nguyên liệu cho Vinamilk, Masan, Unilever đẩy mạnh mua cổ phần ""Vua nha đam"" GC Food","Công ty Nguyên liệu Á Châu AIG (AIG), một nhà cung cấp nguyên liệu cho các doanh nghiệp sản xuất thực phẩm lớn như Vinamilk, Masan, và Unilever, đã tăng đáng kể sở hữu cổ phần tại GC Food (""vua nha đam""), từ 14,1% lên 28,07%.  AIG mua gần 4,3 triệu cổ phiếu GCF với giá bình quân khoảng 23.400 đồng/cp,  trong một thương vụ ước tính hơn 100 tỷ đồng.  Sự kiện này diễn ra cùng lúc với việc GC Food giải thể công ty con Công nghệ Pura và đang đặt mục tiêu doanh thu 573 tỷ đồng (tăng 21%) và lợi nhuận sau thuế hơn 52 tỷ đồng (tăng gần gấp đôi) trong năm 2024.  Việc AIG trở thành cổ đông lớn của GC Food có thể củng cố chiến lược kinh doanh của công ty này, đặc biệt trong bối cảnh AIG cung cấp nguyên liệu cho các đối tác lớn trong ngành thực phẩm.  Giá cổ phiếu GCF đã tăng mạnh trong tháng 5 nhưng hiện đã giảm trở lại. "
2024-11-01,"Danh mục đầu tư 9 tỷ USD của 1 DN Nhà nước: Một nửa để gửi ngân hàng, mua hơn 1 tỷ USD trái phiếu doanh nghiệp, đổ vào cổ phiếu ACB, VNM, VCB","Bảo Việt, một tập đoàn bảo hiểm nhà nước, đang quản lý danh mục đầu tư trị giá 9 tỷ USD, trong đó 52% (hơn 113.700 tỷ đồng) được gửi tiết kiệm ngân hàng, một kênh an toàn và sinh lời ổn định.  Hơn 1 tỷ USD được đầu tư vào trái phiếu doanh nghiệp và trái phiếu Chính phủ, với lãi suất từ 5,78% đến 7,23%.  Ngoài ra, Bảo Việt cũng đầu tư vào chứng khoán, bao gồm cổ phiếu của các công ty lớn như ACB, VNM, và VCB.  Tuy nhiên, giá trị danh mục cổ phiếu này hiện thấp hơn giá gốc, cho thấy có thể vẫn đang lỗ.  Lợi nhuận trước thuế của Bảo Việt trong quý 3/2024 đạt 688 tỷ đồng, tăng 26% so với cùng kỳ năm trước, là kết quả tích cực trong bối cảnh nhiều doanh nghiệp khác gặp khó khăn do ảnh hưởng của bão. "
2024-03-25,"Vinamilk yêu cầu gì khi tuyển dụng vị trí từng có tỷ lệ chọi 1:150, 'khắc nghiệt' hơn vào FTU, NEU: Mức lương mới thực sự là ẩn số?","Vinamilk đang tuyển dụng nhiều vị trí Marketing, với tỷ lệ chọi lên tới 1:150, cao hơn nhiều so với các trường đại học hàng đầu.  Yêu cầu tuyển dụng bao gồm tốt nghiệp đại học, 2 năm kinh nghiệm marketing, 1 năm kinh nghiệm ở vị trí tương đương tại công ty lớn trong ngành sữa/thực phẩm nhanh, và một loạt kỹ năng như lên kế hoạch, triển khai, giao tiếp, đàm phán, thuyết trình, giải quyết vấn đề, làm việc nhóm, tiếng Anh tốt, và khả năng chịu áp lực. Tuy nhiên, mức lương cụ thể không được công khai.  Vinamilk, nổi tiếng với chi phí quảng cáo lớn, vẫn đầu tư mạnh mẽ vào hoạt động này, thể hiện qua việc thay đổi bộ nhận diện thương hiệu mới, và vẫn giữ vị trí hàng đầu trong ngành sữa Việt Nam. "
2024-08-20,"Khối ngoại mạnh tay mua ròng cổ phiếu VNM, vốn hóa Vinamilk trở lại top 10 sàn chứng khoán","Cổ phiếu VNM của Vinamilk tăng mạnh gần 16% trong tháng qua, vượt qua Vingroup trở lại top 10 doanh nghiệp giá trị nhất sàn chứng khoán Việt Nam với vốn hóa xấp xỉ 160.000 tỷ đồng.  Sự hồi phục này được thúc đẩy bởi dòng vốn đầu tư nước ngoài mua ròng hơn 33 triệu cổ phiếu VNM trong hai tháng qua,  phần nào phản ánh kết quả kinh doanh quý II vượt trội của Vinamilk. Doanh thu thuần đạt 16.656 tỷ đồng, tăng gần 10% so với cùng kỳ năm ngoái, mức cao nhất kể từ đầu năm 2022. Lợi nhuận sau thuế cũng tăng 21% lên gần 2.700 tỷ đồng.  Tăng trưởng xuất khẩu, cải thiện biên lợi nhuận gộp và chiến lược tái định vị thương hiệu năm 2023 được cho là các yếu tố chính.  Phân tích của các nhà đầu tư cho thấy Vinamilk dự kiến tăng trưởng doanh thu trong nước và xuất khẩu trong năm 2024, dự án ""Tổ hợp chăn nuôi và chế biến thịt bò Vinabeef"" sẽ đem lại doanh thu đáng kể trong tương lai. "
2024-04-04,"Vinamilk đặt mục tiêu phá kỷ lục doanh thu, dự chi hơn 8.000 tỷ cổ tức cho năm 2024","Vinamilk đặt mục tiêu doanh thu 63.163 tỷ đồng và lợi nhuận sau thuế 9.376 tỷ đồng trong năm 2024,  tăng nhẹ so với năm 2023.  Đây là mục tiêu nhằm phá vỡ kỷ lục doanh thu năm 2021.  Công ty dự kiến chi trả cổ tức hơn 8.000 tỷ đồng, chiếm khoảng 95% lợi nhuận năm nay, tương đương tỷ lệ 38,5% (01 cổ phiếu nhận 3.850 đồng).  Số tiền cổ tức này sẽ được chia cho các cổ đông lớn như SCIC (36% vốn), nhóm F&N (20,4% vốn) và Platinum Victory Pte. Ptd (10,62% vốn).  Kết quả kinh doanh năm 2023 của Vinamilk cũng rất tốt, đạt doanh thu 60.479 tỷ đồng và lợi nhuận sau thuế 9.019 tỷ đồng, vượt kế hoạch đề ra. "
2024-05-15,"Đối tác không thể thiếu của Unilever, Acecook, Trung Nguyên, Vinamilk vừa báo lãi kỷ lục, chuẩn bị trả cổ tức tiền mặt ""khủng"" 35.000 đồng/cp","Bao bì Nhựa Tân Tiến (TTP) vừa công bố cổ tức tiền mặt kỷ lục 35.000 đồng/cổ phiếu cho năm 2023, tương đương tỷ lệ 350%.  Đây là mức cổ tức cao kỷ lục so với các năm trước.  Mặc dù doanh thu năm 2023 giảm 10% xuống 1.734 tỷ đồng do cạnh tranh, nhưng lợi nhuận sau thuế tăng mạnh 233% lên 153 tỷ đồng.  Công ty dự kiến doanh thu 1.944 tỷ đồng và lợi nhuận trước thuế 223 tỷ đồng trong năm 2024, tăng 14% so với năm 2023.  Tân Tiến là nhà cung cấp bao bì cho các công ty lớn như Unilever, Acecook, Trung Nguyên, và Vinamilk.  Cổ đông lớn của công ty là Dongwon Systems Corporation của Hàn Quốc.  Giá cổ phiếu TTP đã tăng gần gấp đôi trong năm nay lên mức 110.000 đồng/cp. "
2024-01-16,"WeChoice Award 2023: Vinamilk đạt bước ngoặt lớn khi vượt qua “cái bóng của chính mình”, bứt phá dẫn đầu trong Hạng mục Đơn Vị Vươn Mình Rực Rỡ","Vinamilk dẫn đầu hạng mục ""Đơn vị Vươn mình rực rỡ"" tại WeChoice Awards 2023 với 23.016 lượt bình chọn, vượt qua ""cái bóng của chính mình"" bằng việc thay đổi bộ nhận diện thương hiệu.  Năm 2023, Vinamilk cũng công bố lộ trình Net Zero 2050, thể hiện sự tiên phong trong việc thực hiện cam kết của chính phủ Việt Nam.  Các thương hiệu khác được đề cử bao gồm mì thanh long Caty (vị trí thứ 2), Nhà mạng Saymee (vị trí thứ 3), và một số thương hiệu khác trong lĩnh vực thực phẩm và dịch vụ.  WeChoice Awards 2023 vinh danh những đơn vị có những bước ngoặt đáng nhớ trong năm 2023. "
2024-11-07,"Thêm 1 doanh nghiệp trị giá 10.000 tỷ sắp lên sàn: Chủ tịch sở hữu khối tài sản hơn 3.000 tỷ, doanh thu hơn chục nghìn tỷ mỗi năm từ bán nguyên liệu cho Vinamilk, Masan, Trung Nguyên","Công ty Nguyên liệu Á Châu (AIG) niêm yết trên UPCoM với mã chứng khoán AIG, với vốn hóa khoảng 10.748 tỷ đồng.  Đây là một doanh nghiệp cung cấp nguyên liệu cho các thương hiệu lớn như Vinamilk, Masan, Trung Nguyên.  Doanh thu của AIG trong quý 3/2024 đạt 3.112 tỷ đồng, tăng 7% so với cùng kỳ và lợi nhuận sau thuế đạt 203 tỷ đồng, tăng gần 10%.  Lũy kế 9 tháng đầu năm, doanh thu đạt 8.891 tỷ đồng, lợi nhuận sau thuế đạt 634 tỷ đồng.  Chủ tịch và Tổng giám đốc AIG đều sở hữu khối tài sản lớn từ cổ phần của công ty, với giá trị chứng khoán lần lượt là hơn 3.258 tỷ đồng và gần 912 tỷ đồng.  Công ty đặt kế hoạch doanh thu gần 12.950 tỷ đồng và lợi nhuận sau thuế gần 890 tỷ đồng trong năm nay. "
2024-08-15,"Liên tục đăng ký mua cổ phiếu Vinamilk rồi “hủy kèo”, tỉ phú Thái Lan và cá mập Singapore đang suy tính gì?","Các nhà đầu tư nước ngoài, cụ thể là Platinum Victory Pte.Ltd (Singapore) và quỹ của tỷ phú Thái Lan Charoen Sirivadhanabhakdi, liên tục đăng ký mua cổ phiếu Vinamilk (VNM) nhưng không thành công.  Đây là lần thứ 6 Platinum Victory đăng ký nhưng không mua được, và lần thứ 5 của quỹ tỷ phú Thái Lan.  Mặc dù không mua được, sự quan tâm của các quỹ này diễn ra trong bối cảnh cổ phiếu VNM tăng mạnh sau thời gian đi ngang, đạt mức cao gần 74.000 đồng/cổ phiếu.  Kết quả kinh doanh quý II/2024 của Vinamilk rất khả quan, với doanh thu thuần gần 16.700 tỷ đồng và lợi nhuận sau thuế 2.695 tỷ đồng, tăng trưởng mạnh mẽ và giành thêm 1,2% thị phần.  Dự báo cho cả năm, doanh thu và lợi nhuận ròng của Vinamilk vẫn được dự báo tăng trưởng tốt, và cổ phiếu VNM được kỳ vọng hưởng lợi từ việc FTSE Russell nâng hạng thị trường Việt Nam. "
2024-06-08,Đại diện Vinamilk: Sữa Việt Nam sẵn sàng tham gia chuỗi bán lẻ toàn cầu,"Vinamilk đang tích cực mở rộng thị trường xuất khẩu, tham gia vào các chuỗi bán lẻ toàn cầu tại Vietnam International Sourcing Expo 2024.  Công ty nhận được sự quan tâm từ các chuỗi bán lẻ lớn như Walmart, Aeon, Woolworths, và nhiều đối tác từ các khu vực như châu Phi, Nhật Bản, Đông Nam Á, Nam Mỹ.  Vinamilk đã có 25 năm kinh nghiệm xuất khẩu và đã hiện diện ở 60 quốc gia.  Sự mạnh mẽ trong sản xuất quy mô lớn, chất lượng sản phẩm và việc đáp ứng tiêu chuẩn bền vững (đã có 3 đơn vị trung hòa carbon) là những yếu tố quan trọng giúp Vinamilk cạnh tranh thành công.  Công ty tin tưởng rằng, với những nỗ lực này, sữa Việt Nam sẽ ngày càng có chỗ đứng trong các chuỗi cung ứng toàn cầu. "
