publish_date,title,summary
2024-05-08,"VPBank cho vay trả nợ ngân hàng khác với lãi suất chỉ 4,6%/năm","VPBank is offering a loan to help customers pay off existing loans from other banks at a low interest rate of 4.6% per year.  This ""loan refinancing"" scheme targets individuals with existing mortgages, auto loans, business loans, or personal loans secured by assets like real estate.  The maximum loan amount is 100% of the outstanding balance on the old loan.  A key benefit is the 24-month grace period on principal repayment, and a loan term up to 35 years.  The application process is simplified, with online loan application and approval through the VPBank RACE system, reducing the need for extensive paperwork and potentially accelerating the loan disbursement process. "
2024-09-06,"Công an tìm người bị lừa đảo đầu tư, vay tiền online, đã chuyển tiền vào 4 số tài khoản ở ngân hàng VIB, VPBank, MB, Vietcombank","Vietnamese authorities are seeking victims of an online investment and loan fraud scheme.  The suspect, Phạm Anh Trường, allegedly operated fraudulent online loan platforms and investment schemes using fake company names and social media accounts.  To receive payments, Trường used four bank accounts at VIB, VPBank, MB Bank, and Vietcombank, registered under names that appeared to be legitimate companies.  Authorities are asking individuals in Bình Thuận who may have been victims of this scam to contact the local police.   "
2024-09-10,VPBank đóng cửa 2 quầy giao dịch tại Thái Nguyên do mưa lũ,"Due to severe flooding caused by Typhoon Yagi, VPBank temporarily closed two of its branches in Thái Nguyên.  The branches, located at 631 Lương Ngọc Quyến and 542-544 Cách mạng Tháng Tám, will be closed until the flood situation improves.  VPBank is encouraging customers to utilize online services during this time. "
2024-04-25,"Đến chiều 25/4, đã có 15 ngân hàng công bố lợi nhuận quý I: VPBank tăng mạnh, ACB hé lộ nguyên nhân sụt giảm","Q1 2024 saw strong results for many Vietnamese banks, with notable gains reported by VPBank (64% profit increase),  OCB (23% increase), and MSB (a slight increase).  However, some banks, like ACB, experienced a slight decline in profit compared to the same period last year, which was attributed to unusual income in prior years.  Several other banks also reported positive, but less spectacular, Q1 profit growth.  A key takeaway is the significant variation in performance across the banking sector, with some banks performing exceptionally well, while others faced modest headwinds.  This reflects the complexity of the Vietnamese financial landscape. "
2024-10-28,"Tín dụng tăng trưởng ổn định, lợi nhuận 3 quý của VPBank tăng 67% so với cùng kỳ","VPBank reported strong performance in the first nine months of 2024, with a 67% year-over-year increase in profit before tax.  This robust growth was driven by a significant increase in operating income and strong loan growth, exceeding the industry average.  The bank's efforts in debt recovery and digitalization are highlighted as key contributing factors.  VPBank also secured a significant loan from a Japanese bank to support renewable energy projects, showcasing their commitment to sustainability.  The bank's healthy balance sheet and strong capital adequacy ratio (CAR) further solidify their financial stability and position for future growth.  Strategic partnerships and branch expansion, particularly in Ho Chi Minh City, are also seen as key growth drivers.   "
2024-08-08,"VPBank vừa tăng mạnh lãi suất tiết kiệm từ hôm nay (8/8), một loạt ngân hàng lớn nâng lãi suất huy động ngay đầu tháng 8","VPBank raised its deposit interest rates by 0.5% for one-month terms and 0.2% for other terms, effective August 8, 2024.  This is the sixth interest rate hike by VPBank in the past five months, and one of several across the Vietnamese banking sector in early August.  The increases are largely driven by a combination of factors: low deposit growth and increasing loan demand leading to banks needing to attract deposits, and government interventions and currency market movements also influencing rates.  Analysts predict further interest rate hikes in the coming months, as loan demand is expected to continue accelerating in the second half of 2024. "
2024-06-12,"Tiền vào ồ ạt đẩy thanh khoản lên cao nhất 3 năm, cổ phiếu VPBank nổi sóng","VPBank's stock (VPB) saw a significant surge in trading, reaching an 8-month high and the highest single-day increase since March 2023.  This strong performance is likely due to positive investor sentiment surrounding the bank's Q1 2024 results, which showed substantial profit growth (over 65% increase year-over-year).  Analysts cite factors like improved net interest margins (NIM), potential one-time gains, and favorable valuations as supporting the positive outlook.  While future profit projections are ambitious, the current market sentiment seems to favor VPBank.  High trading volume, exceeding 3-year highs, further reinforces investor confidence.  The positive outlook also extends to potential future dividend payments and suggests that the bank is well-positioned for continued success and potentially increased investor interest.   "
2024-03-18,Lãi suất huy động ngân hàng số Cake by VPBank mới nhất tháng 3/2024: Mức cao nhất là bao nhiêu?,"Cake by VPBank, a digital-only bank, released its latest interest rate table in March 2024.  Interest rates for various deposit terms range from 3% to 5.2% per year, with the highest rate (5.2%) for 24-36 month fixed deposits.  Different payment frequencies (end-of-term, monthly, quarterly) are also available, with slightly varying rates.  The rates are generally competitive with other banks, with higher rates available for online deposits and larger balances.  Cake by VPBank targets a younger demographic, primarily in major cities. "
2024-03-15,Tổng Giám đốc VPBank: Tiền trong ngân hàng thừa hàng chục nghìn tỷ là phí phạm,"VPBank's CEO, Nguyễn Đức Vinh, expressed concern about substantial idle funds in Vietnamese banks, calling it a ""waste.""  He argued that while banks are eager to lend, many businesses lack viable projects, hindering loan disbursement.  Vinh highlighted the need for government initiatives beyond just lending policies to stimulate domestic consumption and provide targeted support for businesses.  He also stressed the need for a comprehensive legal framework for resolving bad debt, suggesting a dedicated law to address this ongoing challenge in the Vietnamese banking sector, citing the need to expedite the process of asset recovery. "
2024-11-02,"Cảnh báo loạt website giả mạo ngân hàng ACB, VPBank,...","NCSC (National Cyber Security Center) warned of fraudulent websites mimicking legitimate banking and government services.  These sites are designed to look like the real thing, tricking users into providing personal information, often via phishing emails or text messages claiming account issues or updates.  NCB advises users to verify any suspicious communication through official channels and to use strong security measures, such as antivirus software, to protect against these scams.  Users should only access banking services through verified official websites, and if there's any doubt about a communication, contact the bank's official support channels immediately. "
2024-07-17,VPBank vừa tăng lãi suất tiết kiệm tại nhiều kỳ hạn,"VPBank increased deposit interest rates by 0.1% for terms between 2 and 18 months, effective July 16, 2024.  This is part of a broader trend of interest rate increases by several Vietnamese banks in response to slowing deposit growth and recovering loan demand.  Analysts predict further rate increases in the coming months due to continued pressure on the currency, and potential intervention by the central bank (NHNN).  The increases are expected to be more moderate than in 2022, due to the different macroeconomic context.   "
2024-01-30,"Toàn cảnh KQKD 28 ngân hàng: Cập nhật Big 4, MB, SHB, Eximbank,..., HDBank và VPBank gây bất ngờ lớn","Several Vietnamese banks reported Q4 2023 financial results, with a mixed picture.  VPBank and HDBank showed significant profit growth (96% and 95% YoY increases respectively), outperforming many peers.  MB Bank also had a strong quarter, with a 38.6% profit increase.  However, some banks like REE and a number of private sector banks did not meet their profit targets.  The overall trend points towards a strong performance for the banking sector in 2023, but with a notable divergence in performance between banks.  Factors contributing to these results, especially for those exceeding targets, appear to be diverse, including improved operating income and cost management.  A notable feature was the variance in results across the banking sector, not all banks sharing the same performance. "
2024-07-30,"Toàn cảnh KQKD ngân hàng quý 2/2024: Cập nhật Vietcombank, VPBank, Sacombank, HDBank, MB,...","Q2 2024 financial results for many Vietnamese banks showed a mixed bag.  Several, including Vietcombank, HDBank, and MB Bank, reported strong profit growth, reflecting positive trends in lending and deposit growth.  However, some banks, like REE, experienced lower profits compared to the previous year, likely due to factors like cost increases or adjustments.  Sacombank and a few others also saw profit growth, but with less dramatic increases.  The overall picture indicates a resilient banking sector with substantial growth in several institutions, but with variations in performance and some challenges for others.   "
2024-10-01,"Dự báo lợi nhuận quý III của các ngân hàng: Eximbank, HDBank, LPBank, VietinBank, VPBank, TPBank sẽ tăng trưởng mạnh nhất","Analysts at MBS predict strong profit growth for several Vietnamese banks in Q3 2024, particularly Eximbank (70% YoY growth), HDBank (44% YoY growth), LPBank (41% YoY growth), VietinBank (40% YoY growth), and VPBank (37% YoY growth).  This growth is anticipated due to a combination of factors, including improving loan growth, the impact of interest rate adjustments, and a relatively low base for comparison from the previous year.  However, some banks (e.g., Techcombank, ACB, and VIB) are expected to see slower or even negative profit growth in Q3, primarily due to increased loan loss provisions.  Overall, the outlook suggests a positive, but varied, financial performance across the banking sector in Vietnam during Q3 2024, heavily influenced by the economic recovery and continued adjustments in lending and deposit rates.   "
2024-01-09,"Cập nhật lãi suất ngân hàng VPBank tháng 1/2024: Gửi kỳ hạn ngắn dưới 6 tháng, kể cả số tiền chục tỷ, thì lãi suất cũng chỉ hơn 3%/năm","VPBank's deposit interest rates in January 2024 showed a slight decrease from December 2023 levels.  Rates varied based on deposit amount and term, with the highest rates (around 5.4% per year) for longer-term deposits (15 months and longer) of 10 billion VND or more.  Rates for smaller amounts and shorter terms were considerably lower, generally below 4% per year.  The trend observed from April 2023 onward reflects a general downward adjustment in VPBank's deposit interest rate structure.   "
