publish_date,title,summary
2024-03-18,Vincom Retail đang kinh doanh ra sao trước khi Vingroup bất ngờ thoái vốn?,"Vingroup's divestment of its stake in Vincom Retail (via SDI) signals a strategic shift, focusing resources on high-growth areas.  Vincom Retail, despite this change, reported strong financial performance in 2023, with 33% revenue growth and a 58.8% increase in after-tax profit, driven by a successful expansion of international brands and flagship stores within their existing malls.  The company also implemented energy-saving measures and recycling programs, showcasing a commitment to sustainable development.  While Vingroup's move is strategic, Vincom Retail remains a significant player in Vietnam's retail market, with 83 malls across the country and projected expansions in 2024.   "
2024-03-19,Vincom Retail thay Tổng giám đốc trong ngày Vingroup công bố thoái vốn,"Vincom Retail replaced its CEO, Phạm Thị Thu Hiền, with Trần Mai Hoa on March 18, 2024.  This change occurred concurrently with Vingroup's announcement of divesting its stake in Vincom Retail.  Hiền, who had been CEO since October 2023, was promoted to the role of Deputy General Director for Sales and Marketing.  Hoa, a current board member, assumed the CEO position for a five-year term, also taking on a Deputy Chairman role.  The change in leadership occurred at a time of strategic realignment for Vingroup, suggesting a focus on core businesses and potentially a reallocation of resources.   "
2024-11-07,"Vingroup đã hoàn tất bán 41,5% vốn của Vincom Retail với giá 'khủng', nhận đủ tiền","Vingroup completed the sale of its 41.5% stake in Vincom Retail, a major Vietnamese retail company, for 39.1 trillion VND (approximately $1.56 billion).  The buyer was a group of four newly formed companies in Ho Chi Minh City.  This transaction marks Vingroup's full divestment from SDI, which in turn held a controlling interest in Vincom Retail.  While Vincom Retail saw a 38% decrease in Q3 2024 revenue compared to the same period last year, the company still reported positive profit after tax of over 900 billion VND in Q3 and achieved 72% of its projected annual revenue through the first nine months of 2024.   "
2024-10-29,"Vincom Retail (VRE) lãi sau thuế hơn 3.000 tỷ đồng trong 9 tháng đầu năm, mở mới Vincom Plaza Bắc Giang","Vincom Retail (VRE) reported a 38% decrease in Q3 2024 revenue compared to the same period last year, reaching 2.077 trillion VND.  However, the company showed resilience by maintaining stable mall operating revenue and achieving a 68% of its projected full-year profit target by the end of Q3.  Vincom Retail opened a new mall in Bắc Giang, bringing its total to 87 across Vietnam, and also plans to open a mall in Quảng Trị in Q4.  The company also saw improvements in the occupancy rate of existing malls, like the successful reopening of Vincom Plaza 3/2 in Ho Chi Minh City.  Despite the revenue dip, Vincom Retail's Q3 2024 financial results, including a profit after tax of over 3 trillion VND, demonstrate a continued commitment to expansion, improvements in customer experience, and community engagement through philanthropic activities.   "
2024-02-20,"Cổ phiếu VRE tăng dựng đứng, những 'cá mập' nào đang nắm giữ Vincom Retail?","Vincom Retail (VRE) stock surged on February 19th, likely due to investor confidence in the company's strong 2023 financial performance, with 33% revenue growth and a significant profit increase.  VRE's large market cap and significant ownership by Vingroup (holding over 60% of the shares) and other domestic investors likely contributed to the rally.  While international investors also hold a portion, the majority of ownership remains with domestic entities.  The company's continued expansion plans and positive financial results in 2023 likely boosted investor optimism and drove the stock price upward.   "
2024-03-18,"Cổ phiếu Vincom Retail (VRE) tăng bốc cùng thanh khoản kỷ lục sau thông tin sắp ""chia tay"" Vingroup","Vincom Retail (VRE) stock price surged on February 19th, likely driven by investor reaction to Vingroup's announcement of divesting its stake in Vincom Retail.  The stock experienced a significant increase and record trading volume, suggesting investor anticipation of the potential for the company to perform well independent of Vingroup.  While Vingroup cited a strategic focus on its core businesses as the reason for the divestment, the move created a positive market response for Vincom Retail shares.     "
2024-07-16,"Vincom Retail ồ ạt khai trương TTTM ‘khổng lồ’ sau 2 năm im lặng, ‘ông lớn’ nhà nước cũng ‘tham chiến’: DN nội dẫn trước đại gia ngoại trên thị trường BĐS bán lẻ","Vincom Retail (VRE) rapidly opened three large shopping malls in June 2024, demonstrating its continued dominance in Vietnam's retail real estate market.  This aggressive expansion, following a two-year lull, highlights the company's confidence in the sector's future despite recent economic headwinds.  While Vincom Retail is expanding, other domestic and international players, such as Lotte and AEON, are also active in the market, suggesting strong competition and substantial investment in Vietnam's retail real estate sector.   "
2024-05-17,"Vincom Retail lập công ty con quy mô 3.620 tỷ đồng, ký thỏa thuận nhận chuyển nhượng tài sản với Vingroup, Vinhomes và Vinwonders Nha Trang","Vincom Retail established a new subsidiary, Vincom NCT, with 3.62 trillion VND in capital.  Simultaneously, Vincom Retail finalized an agreement with Vingroup, Vinhomes, and Vinwonders Nha Trang to acquire real estate assets in Hải Phòng, Quảng Ninh, and Khánh Hòa provinces.  This acquisition is aimed at expanding Vincom Retail's commercial land holdings.  The transaction follows Vingroup's recent divestment of its majority stake in Vincom Retail's parent company, Sado, a move that resulted in significant profit for Vingroup.  This complex series of transactions positions Vincom Retail for further growth and expansion in Vietnam's retail real estate market.   "
2024-07-01,"Đưa 3 Trung tâm thương mại vào hoạt động trong vòng 1 tháng, VRE lại tăng trần đưa vốn hóa của Vincom Retail tiệm cận 50.000 tỷ","Vincom Retail (VRE) saw its stock price surge, hitting a record high, after opening three new malls in June 2024.  The company's strong Q1 2024 financial performance, with a 16% increase in revenue and a 6% increase in after-tax profit, likely boosted investor confidence.  While mall occupancy rates showed a slight dip in Q1,  management anticipates a recovery in the latter half of the year.  The openings, combined with VRE's existing mall portfolio and expansion plans, are contributing to its position as a leader in Vietnam's retail real estate sector.  However, potential cost increases related to future land acquisitions could pose a risk.   "
2024-06-05,Hé lộ tình hình mới của Vincom Retail sau khi Vingroup thoái vốn,"Following Vingroup's divestment of its majority stake in Vincom Retail, Vietcap's report details Vincom Retail's strategies for managing its relationships with Vingroup and other related entities.  Key aspects include continued management contracts for existing malls, unchanged terms for future development projects, and ongoing loan and deposit transactions with Vingroup entities.  Despite a Q1 2024 revenue dip, Vietcap forecasts continued stable operating profits, linked to expectations for improved occupancy rates and consumer spending.  The report emphasizes the importance of these ongoing transactions and management agreements for Vincom Retail's future development and profitability, but also notes potential risks related to potentially rising acquisition costs for future properties.   "
